,https://roic.ai/company/TKOI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,- -,518865,629852,1195924,1821872000,2865144000,7354177000,10328255000,2866120000,2402950000,1248386,1967030,1843589,1680692,1754566,765617,978207,408045,1265560,1043007,1865535
49,Short-Term Debt,- -,- -,310000,15000,- -,6350000,980444,1470820,7788924,387000,1544048,111405,74611,265985,907944,1010325,1062129,682211,121474,848182,1422651,195176
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1188136,- -,353260,- -,227415,83282,43400,26957,31396,5431
51,Deferred Revenue,- -,- -,- -,- -,- -,59020000,160125000,250613000,- -,- -,- -,55529,117556,111291,120754,291965,184793,292106,- -,653053,- -,- -
52,Other Current Liabilities,- -,- -,130330,11199,32975,6429907000,1270463556,2388571180,8523613076,2828057000,3490107952,2197572,- -,2074562,1484742,1191881,2995517,793194,1727113,527826,1451372,1928206
53,Total Current Liabilities,- -,- -,959195,656051,1228899,8317149000,4296713000,9994832000,18859657000,5694564000,5894602000,3612892,2159197,4295427,4194132,4248737,5008056,2745718,2256632,3294621,3917030,3988917
54,Long-Term Debt,- -,- -,862682,3132205,587910,- -,- -,- -,- -,2271838000,1157873000,853795,2342047,394502,114212,882041,23761,48839,71877,- -,- -,862757
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111291,- -,- -,120421,219960,- -,111131,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118636,- -,335275,534661,734047,- -,- -,162121,111131,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,30911,- -,- -,- -,- -,- -,- -,- -,- -,19629,140575,-778237,- -,- -,- -,647184,- -,97176
58,Total Non-Current Liabilities,- -,- -,862682,3132205,618821,- -,- -,- -,- -,2271838000,1157873000,972431,2342047,860697,789448,837851,144182,268799,233998,869446,- -,959933
59,Other Liabilities,- -,- -,- -,- -,- -,1341689000,- -,- -,- -,- -,- -,4312813,- -,2887019,2882755,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,30911,42317,- -,- -,204416,- -,- -,118636,133609,- -,- -,15214,- -,- -,- -,982150,834640,- -
61,Total Liabilities,- -,- -,1821877,3788256,1847720,9658838000,84580000,4499454000,3934982000,3380553000,1534541000,6953274,947537,6321749,6287439,5086588,5152238,3014517,2490630,4164067,1256648,959933
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3265589,324063,372030,1723517,1702625,- -,1702625,1702625,1702625,- -
63,Common Stock,- -,- -,15721,30690,44336,45765000,56992000,70827000,87526000,96564000,101261000,104352,108103,125035,125035,127054,132774,133695,134792,135990,136311,136311
64,Retained Earnings,- -,- -,-6458676,-14116612,-27209272,- -,- -,- -,- -,- -,- -,-118344196,- -,-121948847,-121906017,-122095121,-123471034,-119724656,-123171406,-125105539,- -,-128668176
65,Other Comprehensive Income/Loss,- -,- -,-35252,-71172,-213068,- -,- -,- -,-32750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,4951685,16545423,41024276,-40450004,-48856777,-49558859,-84042342,-90076829,-94677975,124483161,2968710,126036949,125908476,126135712,126955435,129124027,127570709,127708773,-2224302,129443601
67,Total Stockholders Equity,- -,- -,-1526522,2388329,13646272,5314996,8135223,21268141,3450908,6487171,6583025,6243317,6342402,4537200,4499524,5891162,5319800,9533066,6236720,4441849,-385366,911736
68,Total Liabilities And Stockholders Equity,- -,- -,295355,6176585,15493992,9664152996,92715223,4520722141,3938432908,3387040171,1541124025,13196591,7289939,10858949,10786963,10977750,10472038,12547583,8727350,8605916,871282,1871669
69,Minority Interest,- -,- -,- -,- -,- -,11431273004,9461521777,24453507859,21971564092,12672323829,13958157975,-11953,7851358,-44638,-131750,-142004,- -,-304170,-247289,-186525,4875104,3988917
70,Total Liabilities & Equity,- -,- -,295355,6176585,15493992,21095426000,9554237000,28974230000,25909997000,16059364000,15499282000,13184638,15141297,10814311,10655213,10835746,10472038,12243413,8480061,8419391,5746386,5860586
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094084/000101968706000586/0001019687-06-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968707000763/0001019687-07-000763-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968708001465/0001019687-08-001465-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968709001164/0001019687-09-001164-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968710001234/0001019687-10-001234-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968711001013/0001019687-11-001013-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968712001464/0001019687-12-001464-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968713001105/0001019687-13-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968714001081/0001019687-14-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968715001178/0001019687-15-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968716005641/0001019687-16-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316817000761/0001683168-17-000761-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316818000840/0001683168-18-000840-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316819000873/0001683168-19-000873-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316820000995/0001683168-20-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316821001114/0001683168-21-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316822002167/0001683168-22-002167-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-929720,-2006140,-3778488,-7657936,-13092660,-15778281000,-27437116000,-20391110000,-23985539000,1059837000,-1771872000,-1902239,390080,-3994731,42830,-189104,-1375913,3746378,-3016750,-1934133,-3149852,-412785
74,Depreciation and Amortization,21808,43557,564103,855683,175398,840814,6259860,2196615,1910106,348188,283713,268576,260830,258517,275236,273507,34289,51229,67107,66082,58853,43471
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335275,199386,199386,199386,- -,- -,- -,28021,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1623496,226842,291052,168887,201643,89565,15046,14383,127050,466888,150404,139262,25262,7262
77,Change in Working Capital,216175,4625,-894403,6190973,7374950,12048135480,-12591441000,-2460030000,-12423227000,11628400000,-376929000,4161645085,3650374,-3445860,150295,386794,5353387,4160490,-3274266,-2018850,-2485765,-492323
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,1089898,1341211,-615163,-455756,-1727733,1169200,276244,-822876,512250,-241701,473845,-1202296,1418413,-145380
79,Inventory,- -,- -,-39790,-568726,-1265202,397912,169213,251185,671349,827357,307181,156488,-332702,-284470,-87868,215198,-124709,-482334,-400637,544354,-15188,562703
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,718644,-123441,-162897,73874,-649031,212590,-570162,857515,-222553,822528
81,Other Working Capital,-4625,- -,-894403,5296570,12671520,12060807000,-530634000,-2990664000,-15413891000,-3785491000,-4162420000,-774915,2875459,-570401,-420106,-33312,5320075,9480565,6206299,4187449,1701684,1209361
82,Other Non-Cash Items,11387,569815,2038492,-4985205,-4041248,3717218674,40008325611,22834953951,36401174013,-12689719371,2146891309,-4160609956,-4691912,6759875,-687394,-1086886,-5072054,-11502649,2127763,1871793,4678687,-845240
83,Cash Provided by Operating Activities,-680350,-1388143,-2070296,-5596485,-9583560,-12086032,-13971529,-13989434,-4058385,-907341,-1334926,-429647,-188985,2641,-4601,-401920,-733855,-3077664,-3945742,-1875846,-844794,-1699615
84,CAPEX,- -,- -,-18265,-136921,-1006679,-794719,-2674647,-1879366,-1142629,-2675,-4800,- -,-43095,-25577,-120668,-42081,-36629,-211492,-10225,-5318,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-958438,-4050557,- -,-305539,- -,- -,- -,- -,- -,- -,- -,12072811,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-44,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,6000,33129,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-89029,34079,- -,- -,-500000,-10131000,10350571,881706,- -,-5979,- -,915645,91000,-382000,319000,31723,31277,-810000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-89029,34079,-18265,-136921,-1506679,-10925719,6717442,-5048217,-1136629,-281064,-4800,915645,47905,-407577,198332,-10358,-5352,11051319,-10225,-5318,- -,- -
90,Debt Repayment,-235000,- -,- -,- -,- -,- -,- -,- -,-2046519,-216719,-387000,-1606023,-61253,-186150,-266535,-300612,-93340,- -,-4280737,-11236127,-6192058,- -
91,Common Stock Issued,748929,150000,830673,4298227,13638073,852638,8739801,12428483,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,245000,1215500,1254830,6594270,4112950,18742490,-8263756,6594714,4393939,1740502,1358886,1945086,405000,- -,628204,536067,837859,-379918,3720000,11739000,6748063,1048863
95,Cash Used/Provided by Financing Activities,758929,1365500,2085503,10892497,17751023,19595128,476045,19023197,3847420,1523783,971886,339063,343747,-186150,361669,235455,744519,-379918,-560737,502873,556005,1048863
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,758929,11435,-3058,5159091,6660784,-3416623,-6778042,-14454,-1347594,335378,-367840,825061,202667,-591086,555400,-176823,5312,7593737,-4516704,-1378291,-288789,-650752
98,Cash at the End of Period,10450,21885,18827,5177918,11838702,8422079,1644037,1629583,281989,503870,136030,961091,1163758,572672,1128072,951249,685115,8385595,4678891,3300600,3011811,2361059
99,Cash at the Beginning of Period,- -,10450,21885,18827,5177918,11838702,8422079,1644037,1629583,168492,503870,136030,961091,1163758,572672,1128072,679803,791858,9195595,4678891,3300600,3011811
100,Free Cash Flow,-680350,-1388143,-2088561,-5733406,-10590239,-12880751,-16646176,-15868800,-5201014,-910016,-1339726,-429647,-232080,-22936,-125269,-444001,-770484,-3289156,-3955967,-1881164,-844794,-1699615
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094084/000101968706000586/0001019687-06-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968707000763/0001019687-07-000763-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968708001465/0001019687-08-001465-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968709001164/0001019687-09-001164-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968710001234/0001019687-10-001234-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968711001013/0001019687-11-001013-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968712001464/0001019687-12-001464-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968713001105/0001019687-13-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968714001081/0001019687-14-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968715001178/0001019687-15-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000101968716005641/0001019687-16-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316817000761/0001683168-17-000761-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316818000840/0001683168-18-000840-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316819000873/0001683168-19-000873-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316820000995/0001683168-20-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316821001114/0001683168-21-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1094084/000168316822002167/0001683168-22-002167-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
