,https://roic.ai/company/DNOW,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1599617/000119312515062723/d856275d10k.htm,https://www.sec.gov/Archives/edgar/data/1599617/000156459016013054/0001564590-16-013054-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459017001602/0001564590-17-001602-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459018002021/0001564590-18-002021-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459019002939/0001564590-19-002939-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459020005159/0001564590-20-005159-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459021006229/0001564590-21-006229-index.htm,https://www.sec.gov/Archives/edgar/data/1599617/000095017022001400/0000950170-22-001400-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,108000000,147000000,116000000,-502000000,-234000000,-52000000,52000000,-97000000,-427000000,5000000
74,Depreciation and Amortization,12000000,17000000,21000000,38000000,53000000,50000000,41000000,41000000,28000000,23000000
75,Deferred Income Tax,-7000000,3000000,7000000,-6000000,-2000000,-1000000,-1000000,-2000000,- -,- -
76,Stock Based Compensation,6000000,6000000,18000000,27000000,23000000,20000000,16000000,13000000,- -,- -
77,Change in Working Capital,-138000000,1263000000,128000000,-442000000,-373000000,123000000,43000000,-107000000,-82000000,-33000000
78,Accounts Receivable,-25000000,23000000,-200000000,414000000,102000000,-64000000,-69000000,98000000,- -,- -
79,Inventory,-87000000,158000000,-116000000,258000000,190000000,-110000000,-30000000,109000000,148000000,3000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,36000000,1299000000,1427000000,985000000,612000000,735000000,778000000,671000000,589000000,- -
82,Other Non-Cash Items,7000000,-1119000000,-182000000,1209000000,768000000,-255000000,-78000000,376000000,670000000,35000000
83,Cash Provided by Operating Activities,-12000000,317000000,108000000,324000000,235000000,-115000000,73000000,224000000,189000000,30000000
84,CAPEX,-14000000,-55000000,-39000000,-11000000,-11000000,-4000000,-11000000,-12000000,-8000000,-5000000
85,Acquisitions Net,-1113000000,- -,-36000000,-515000000,-175000000,-4000000,- -,-8000000,26000000,-96000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1000000,8000000,3000000,-4000000,16000000,2000000,-2000000,4000000,5000000
89,Cash Used for Investing Activites,-1127000000,-54000000,-67000000,-523000000,-183000000,8000000,-9000000,-22000000,22000000,-96000000
90,Debt Repayment,- -,- -,- -,-327000000,-296000000,-262000000,-533000000,-400000000,- -,-6000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1184000000,-299000000,66000000,433000000,249000000,356000000,496000000,262000000,-8000000,- -
95,Cash Used/Provided by Financing Activities,1184000000,-299000000,66000000,106000000,-47000000,94000000,-37000000,-138000000,-8000000,-6000000
96,Effect of Forex Changes on Cash,2000000,-1000000,-13000000,-12000000,11000000,5000000,-9000000,3000000,1000000,-2000000
97,Net Change In Cash,47000000,-37000000,94000000,-105000000,16000000,-8000000,18000000,67000000,204000000,-74000000
98,Cash at the End of Period,138000000,101000000,195000000,90000000,106000000,98000000,116000000,183000000,387000000,313000000
99,Cash at the Beginning of Period,91000000,138000000,101000000,195000000,90000000,106000000,98000000,116000000,183000000,387000000
100,Free Cash Flow,-26000000,262000000,69000000,313000000,224000000,-119000000,62000000,212000000,181000000,25000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1599617/000119312515062723/d856275d10k.htm,https://www.sec.gov/Archives/edgar/data/1599617/000156459016013054/0001564590-16-013054-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459017001602/0001564590-17-001602-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459018002021/0001564590-18-002021-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459019002939/0001564590-19-002939-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459020005159/0001564590-20-005159-index.html,https://www.sec.gov/Archives/edgar/data/1599617/000156459021006229/0001564590-21-006229-index.htm,https://www.sec.gov/Archives/edgar/data/1599617/000095017022001400/0000950170-22-001400-index.htm
102,false,,,,,,,,,,
