,https://roic.ai/company/HZN,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,14700000,7390000,2470000,-8340000,10010000,7760000,-9790000,-6540000,- -
66,Other Total Stockholders Equity,260690000,261010000,1260000,54800000,149490000,150990000,163850000,166120000,- -
67,Total Stockholders Equity,196210000,188190000,2000000,32360000,141890000,-63720000,12340000,-18690000,-33690000
68,Total Liabilities And Stockholders Equity,364320000,343830000,331580000,613670000,662520000,523850000,424780000,461650000,445480000
69,Minority Interest,- -,- -,- -,-300000,-1490000,-2500000,-3740000,-5160000,-6560000
70,Total Liabilities & Equity,364320000,343830000,331580000,613370000,661030000,521350000,421040000,456490000,438920000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637655/000163765516000083/0001637655-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765517000010/0001637655-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765518000011/0001637655-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765519000030/0001637655-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765520000026/0001637655-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765521000040/0001637655-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765522000062/0001637655-22-000062-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,9780000,15350000,8300000,-12360000,-3550000,-203960000,80750000,-36560000,-33120000
74,Depreciation and Amortization,19450000,18930000,17080000,18220000,25340000,25380000,21690000,22910000,22000000
75,Deferred Income Tax,-4460000,-2720000,-4920000,-8430000,-100000,1360000,-7280000,-2060000,-1670000
76,Stock Based Compensation,3600000,2660000,2530000,3860000,3630000,1550000,2150000,3000000,3520000
77,Change in Working Capital,-8550000,-570000,5190000,7420000,21280000,-29380000,-7160000,35260000,-3970000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-7820000,-210000,-30000,10650000,-17710000,-7530000,8380000,24220000,-52300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-5170000
81,Other Working Capital,83240000,82670000,87860000,95280000,116560000,87180000,80020000,115280000,111310000
82,Other Non-Cash Items,-5870000,-5640000,-1270000,26700000,-32440000,134550000,-147200000,16040000,-29460000
83,Cash Provided by Operating Activities,13950000,28010000,26910000,35410000,14160000,-70500000,-57050000,38590000,-42700000
84,CAPEX,-15260000,-11440000,-8320000,-14540000,-27290000,-13870000,-9720000,-13310000,-20460000
85,Acquisitions Net,-21000000,330000,- -,-94370000,-13450000,200000,214570000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10880000,-11440000,-6810000,-14070000,-27290000,-13870000,-8100000,-13220000,-20440000
89,Cash Used for Investing Activites,-31880000,-11110000,-6810000,-108440000,-40740000,-13670000,206470000,-13220000,-20440000
90,Debt Repayment,-195080000,-175900000,-183320000,-207630000,-369770000,-73990000,-304160000,-65480000,-3030000
91,Common Stock Issued,- -,- -,- -,- -,79920000,- -,- -,- -,16300000
92,Common Stock Repurchased,- -,- -,- -,- -,-10000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,217110000,156840000,182410000,308130000,303550000,156350000,139450000,78130000,17040000
95,Cash Used/Provided by Financing Activities,22030000,-19060000,-910000,100500000,3700000,82360000,-164710000,12650000,30310000
96,Effect of Forex Changes on Cash,- -,- -,-1390000,-750000,2210000,-110000,530000,900000,-590000
97,Net Change In Cash,4100000,-2160000,17800000,26720000,-20670000,-1920000,-15880000,38920000,- -
98,Cash at the End of Period,7880000,5720000,23520000,50240000,29570000,27650000,11770000,50690000,- -
99,Cash at the Beginning of Period,3780000,7880000,5720000,23520000,50240000,29570000,27650000,11770000,50690000
100,Free Cash Flow,-1310000,16570000,18590000,20870000,-13130000,-84370000,-66770000,25280000,-63160000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637655/000163765516000083/0001637655-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765517000010/0001637655-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765518000011/0001637655-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765519000030/0001637655-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765520000026/0001637655-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765521000040/0001637655-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1637655/000163765522000062/0001637655-22-000062-index.htm
102,false,,,,,,,,,
