,https://roic.ai/company/AVYA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,466000000,650000000,639000000,616000000,671000000,668000000,665000000,705000000,614000000,484000000,472000000,446000000,- -
52,Other Current Liabilities,747000000,854000000,805000000,674000000,632000000,617000000,674000000,519000000,252000000,344000000,307000000,400000000,704000000
53,Total Current Liabilities,1572000000,2016000000,1946000000,1765000000,1746000000,1733000000,1725000000,7580000000,1873000000,1123000000,1099000000,1137000000,1097000000
54,Long-Term Debt,5112000000,5880000000,6120000000,6084000000,6051000000,5991000000,5960000000,- -,- -,3097000000,3090000000,2886000000,2915000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373000000,53000000
56,Deferred Tax Liabilities,134000000,154000000,168000000,204000000,243000000,249000000,262000000,167000000,32000000,140000000,72000000,38000000,53000000
57,Other Non-Current Liabilities,2483000000,2769000000,2827000000,2603000000,2328000000,2402000000,2366000000,2545000000,8422000000,1268000000,1389000000,1433000000,1345000000
58,Total Non-Current Liabilities,7729000000,8803000000,9115000000,8891000000,8622000000,8642000000,8588000000,2712000000,8454000000,4505000000,4551000000,4730000000,4366000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,- -
61,Total Liabilities,9301000000,10819000000,11061000000,10656000000,10368000000,10375000000,10313000000,10292000000,10327000000,5628000000,5650000000,5867000000,5463000000
62,Preferred Stock,- -,- -,- -,371000000,414000000,459000000,505000000,546000000,577000000,- -,- -,128000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000
64,Retained Earnings,-2154000000,-3028000000,-3891000000,-4245000000,-4621000000,-4874000000,-5042000000,-5772000000,-5954000000,287000000,-289000000,-969000000,-985000000
65,Other Comprehensive Income/Loss,-1008000000,-1081000000,-1178000000,-1126000000,-1006000000,-1200000000,-1384000000,-1661000000,-1448000000,18000000,-173000000,-245000000,-91000000
66,Other Total Stockholders Equity,1819000000,1887000000,1874000000,2306000000,2482000000,2319000000,2177000000,2962000000,2973000000,1745000000,1761000000,1449000000,1467000000
67,Total Stockholders Equity,-682000000,-1543000000,-2500000000,-2472000000,-2719000000,-3141000000,-3477000000,-4471000000,-4429000000,2051000000,1300000000,364000000,392000000
68,Total Liabilities And Stockholders Equity,8619000000,9276000000,8561000000,8184000000,7649000000,7234000000,6836000000,5821000000,5898000000,7679000000,6950000000,6231000000,5855000000
69,Minority Interest,46000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000
70,Total Liabilities & Equity,8665000000,9276000000,8561000000,8184000000,7649000000,7234000000,6836000000,5821000000,5898000000,7679000000,6950000000,6231000000,5985000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418100/000141810018000192/0001418100-18-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810019000132/0001418100-19-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810020000143/0001418100-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810021000095/0001418100-21-000095-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-847000000,-874000000,-863000000,-354000000,-376000000,-253000000,-168000000,-730000000,-182000000,-671000000,-671000000,-680000000,-13000000
74,Depreciation and Amortization,652000000,691000000,653000000,564000000,454000000,434000000,371000000,374000000,326000000,443000000,443000000,423000000,425000000
75,Deferred Income Tax,-16000000,-13000000,-3000000,-37000000,-111000000,22000000,29000000,-53000000,-39000000,-54000000,-54000000,-29000000,40000000
76,Stock Based Compensation,10000000,19000000,12000000,8000000,11000000,25000000,19000000,16000000,11000000,25000000,25000000,30000000,- -
77,Change in Working Capital,109000000,-88000000,-99000000,93000000,-72000000,-31000000,-135000000,-5959000000,6224000000,301000000,241000000,-4000000,52000000
78,Accounts Receivable,211000000,-119000000,34000000,-5000000,70000000,-51000000,70000000,94000000,24000000,58000000,58000000,37000000,307000000
79,Inventory,101000000,1000000,-45000000,27000000,9000000,46000000,14000000,21000000,22000000,-7000000,-7000000,8000000,51000000
80,Accounts Payable,-45000000,144000000,2000000,-25000000,-30000000,19000000,-27000000,-37000000,-27000000,24000000,24000000,-48000000,295000000
81,Other Working Capital,-29000000,-117000000,-216000000,-123000000,-195000000,-226000000,-361000000,-6320000000,-96000000,205000000,446000000,442000000,494000000
82,Other Non-Cash Items,334000000,307000000,- -,-230000000,245000000,-158000000,99000000,6465000000,-6049000000,197000000,257000000,407000000,-504000000
83,Cash Provided by Operating Activities,242000000,42000000,-300000000,44000000,151000000,39000000,215000000,113000000,291000000,241000000,241000000,147000000,- -
84,CAPEX,-76000000,-79000000,-125000000,-127000000,-124000000,-135000000,-124000000,-96000000,-59000000,-113000000,-113000000,-98000000,295000000
85,Acquisitions Net,-11000000,-805000000,-16000000,-234000000,-12000000,10000000,-24000000,-20000000,66000000,- -,- -,- -,- -
86,Purchases of Investments,-1000000,-5000000,- -,- -,- -,-10000000,-1000000,-1000000,- -,-10000000,-10000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,74000000,1000000,1000000,1000000,- -,- -,- -,- -,412000000,- -
88,Other Investing Activites,-143000000,-54000000,-85000000,-123000000,-102000000,67000000,-105000000,-79000000,-136000000,-114000000,-114000000,-98000000,- -
89,Cash Used for Investing Activites,-155000000,-864000000,-101000000,-283000000,-113000000,68000000,-129000000,-100000000,-70000000,-124000000,-124000000,314000000,- -
90,Debt Repayment,-72000000,-48000000,-42000000,-97000000,-906000000,-1327000000,-2320000000,-335000000,-392000000,-43000000,-41000000,-2884000000,- -
91,Common Stock Issued,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-330000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-30000000,901000000,270000000,252000000,827000000,1267000000,2267000000,344000000,706000000,-18000000,-20000000,2725000000,- -
95,Cash Used/Provided by Financing Activities,-101000000,853000000,228000000,155000000,-79000000,-60000000,-53000000,9000000,314000000,-61000000,-61000000,-489000000,- -
96,Effect of Forex Changes on Cash,2000000,-19000000,-6000000,7000000,-8000000,-14000000,-32000000,-9000000,5000000,-4000000,-4000000,3000000,- -
97,Net Change In Cash,-12000000,12000000,-179000000,-77000000,-49000000,33000000,1000000,13000000,540000000,52000000,52000000,-25000000,- -
98,Cash at the End of Period,582000000,594000000,415000000,338000000,289000000,322000000,323000000,336000000,876000000,756000000,756000000,731000000,- -
99,Cash at the Beginning of Period,594000000,582000000,594000000,415000000,338000000,289000000,322000000,323000000,336000000,704000000,704000000,756000000,- -
100,Free Cash Flow,166000000,-37000000,-425000000,-83000000,27000000,-96000000,91000000,17000000,232000000,128000000,128000000,49000000,295000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418100/000141810018000192/0001418100-18-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810019000132/0001418100-19-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810020000143/0001418100-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1418100/000141810021000095/0001418100-21-000095-index.htm
102,false,,,,,,,,,,,,,
