,https://roic.ai/company/WAFU,2017,2018,2019,2020,2021
74,Depreciation and Amortization,118857,121930,131020,164940,195239
75,Deferred Income Tax,-92025,-155840,-106430,111760,-333045
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,581105,-1695825,244390,1986860,1130521
78,Accounts Receivable,304737,-1374210,257110,1238450,-1422278
79,Inventory,-1798,1070,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,306024,- -,- -,- -,2406401
82,Other Non-Cash Items,112181,143485,163890,362660,655750
83,Cash Provided by Operating Activities,1292819,-441650,-513310,937520,2328140
84,CAPEX,-75676,-556280,-350280,-75040,-74236
85,Acquisitions Net,-282303,52815,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-222736,-754485,357650,-2544060,2429659
89,Cash Used for Investing Activites,-580715,-1257950,7370,-2619100,2355423
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,4821470,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,66861,351334,11724,29723,11312
95,Cash Used/Provided by Financing Activities,66861,351334,11724,4851193,11312
96,Effect of Forex Changes on Cash,-349732,470449,-301021,-263439,525249
97,Net Change In Cash,429233,-877810,-795240,2906170,5220124
98,Cash at the End of Period,5600768,4722960,3927720,6833890,12054015
99,Cash at the Beginning of Period,5171535,5600770,4722960,3927720,6833891
100,Free Cash Flow,1217143,-997930,-863590,862480,2253904
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
