,https://roic.ai/company/FHTX,2018,2019,2020,2021
63,Common Stock,- -,- -,4000,4000
64,Retained Earnings,-43008000,-94136000,- -,-264256000
65,Other Comprehensive Income/Loss,-616000,- -,-7000,-10000
66,Other Total Stockholders Equity,4351000,- -,146190000,361133000
67,Total Stockholders Equity,-39273000,-88016000,146187000,96871000
68,Total Liabilities And Stockholders Equity,43058000,22342000,255594000,519774000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,43058000,22342000,255594000,519774000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1822462/000119312521085777/0001193125-21-085777-index.htm,https://www.sec.gov/Archives/edgar/data/1822462/000162828022005753/0001628280-22-005753-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-26337000,-51128000,-68800,-101320
74,Depreciation and Amortization,379000,693000,1327000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,732000,1694000,2961000,- -
77,Change in Working Capital,2424000,-32710000,167608000,239029000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1276000,1211000,474000,- -
81,Other Working Capital,36943000,4233000,171841000,410870000
82,Other Non-Cash Items,154000,35116000,-203113200,-238927680
83,Cash Provided by Operating Activities,-22648000,-46335000,-31286000,- -
84,CAPEX,-1541000,-968000,-16183000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-92981000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,4000,250000,- -
89,Cash Used for Investing Activites,-1541000,-964000,-108914000,- -
90,Debt Repayment,-823000,- -,- -,- -
91,Common Stock Issued,- -,- -,1221000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,52593000,23969000,216252000,- -
95,Cash Used/Provided by Financing Activities,51770000,23969000,217473000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,27581000,-23330000,77273000,- -
98,Cash at the End of Period,40585000,17255000,94528000,- -
99,Cash at the Beginning of Period,13004000,40585000,17255000,94528000
100,Free Cash Flow,-24189000,-47303000,-47469000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1822462/000119312521085777/0001193125-21-085777-index.htm,https://www.sec.gov/Archives/edgar/data/1822462/000162828022005753/0001628280-22-005753-index.htm
102,false,,,,
