,https://roic.ai/company/ALLT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1365767/000117891320001927/0001178913-20-001927-index.htm,https://www.sec.gov/Archives/edgar/data/1365767/000117891321001037/0001178913-21-001037-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2832000,- -,4095000,3677000,7117000,28101000,40029000,36470000,42858000,116682000,50026000,42813000,19180000,15470000,23326000,15342000,16336000,16930000,23599000,11717000
32,Short-Term Investments,- -,- -,- -,3850000,3588000,70423000,7305000,1063000,1264000,15531000,41580000,92883000,78798000,113271000,107621000,90328000,94237000,86833000,66569000,74403000,72251000
33,Cash and Short-Term Investments,- -,2832000,- -,7945000,7265000,77540000,35406000,41092000,37734000,58389000,158262000,142909000,121611000,132451000,123091000,113654000,109579000,103169000,83499000,98002000,83968000
34,Net Receivables,- -,- -,- -,3911000,4226000,7817000,9921000,8122000,11460000,15697000,17876000,22366000,18704000,26410000,25647000,25950000,23903000,27796000,30781000,23520000,39319000
35,Inventory,- -,- -,- -,1427000,1544000,3337000,4789000,4259000,5046000,10830000,10501000,9963000,13798000,10109000,10169000,7235000,7897000,11345000,10668000,12586000,11092000
36,Other Current Assets,- -,- -,- -,121000,119000,- -,- -,1058000,1060000,1060000,1138000,4831000,6422000,2732000,2943000,2087000,1911000,2409000,27938000,12570000,1480000
37,Total Current Assets,- -,- -,- -,13404000,13154000,88694000,50116000,54531000,55300000,85976000,187777000,180069000,160535000,171702000,161850000,148926000,143290000,144719000,152886000,146678000,135859000
38,PP&E,- -,- -,- -,1211000,1483000,2939000,4619000,4970000,5674000,5193000,5352000,6609000,5874000,5957000,5189000,4387000,5002000,6249000,14503000,16451000,23513000
39,Goodwill,- -,- -,- -,146000,123000,99000,239000,- -,- -,3516000,3151000,20814000,20814000,20814000,31562000,31562000,31562000,32432000,31683000,31683000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,12322000,9407000,7549000,6119000,4410000,2933000,4961000,96814000,2744000,- -
41,Intangible Assets,- -,- -,- -,146000,123000,99000,239000,3755000,3639000,3516000,3395000,33136000,30221000,28363000,37681000,35972000,34495000,37393000,- -,34427000,35138000
42,Investments,- -,- -,- -,- -,- -,- -,- -,15319000,14490000,162000,178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,196000,291000,264000,365000,- -,- -,- -,1525000,1602000,1716000,501000,267000,301000,281000,- -,420000,- -
44,Other Non-Current Assets,- -,- -,- -,2406000,2635000,9161000,39417000,3911000,3840000,340000,356000,452000,1025000,5210000,2994000,1388000,1437000,1202000,47780000,3624000,8904000
45,Total Non-Current Assets,- -,- -,- -,3763000,4437000,12490000,44539000,28320000,27643000,9211000,9281000,41722000,38722000,41246000,46365000,42014000,41235000,45125000,62283000,54922000,67555000
46,Other Assets,- -,11075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11075000,- -,17167000,17591000,101184000,94655000,82851000,82943000,95187000,197058000,221791000,199257000,212948000,208215000,190940000,184525000,189844000,215169000,201600000,203414000
48,Accounts Payable,- -,- -,- -,1757000,2293000,4415000,3409000,2902000,3142000,5140000,2684000,4809000,3191000,6300000,7107000,3275000,5857000,7813000,11676000,2092000,3940000
49,Short-Term Debt,- -,- -,- -,116000,- -,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3151000,2813000,2785000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,824000,384000,473000,416000,2311000,3356000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2333000,3247000,3788000,3968000,4475000,5467000,10828000,16694000,13829000,12504000,14557000,15169000,11156000,11387000,19555000,39626000,26665000,22138000
52,Other Current Liabilities,- -,- -,- -,2558000,3340000,4833000,5514000,6466000,8512000,10167000,9462000,29833000,10906000,12671000,12818000,10515000,14260000,15352000,18989000,27292000,26250000
53,Total Current Liabilities,- -,- -,- -,6764000,8880000,13042000,12891000,13843000,17121000,26135000,28840000,48471000,26601000,33528000,35094000,24946000,31504000,42720000,73442000,58862000,55113000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5467000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2293000,2046000,3873000,5430000,3945000,2447000,4158000,4912000,3597000,3878000,4247000,- -,9782000,15942000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2210000,2585000,3955000,4579000,3536000,3364000,191000,219000,254000,282000,282000,4804000,5094000,6014000,6974000,- -,2804000,884000
58,Total Non-Current Liabilities,- -,- -,- -,2210000,2585000,3955000,4579000,5829000,5410000,4064000,5649000,4199000,2729000,4440000,9716000,8691000,9892000,11221000,- -,12586000,22293000
59,Other Liabilities,- -,5651000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9876000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6971000,4648000,8252000
61,Total Liabilities,- -,5651000,- -,8974000,11465000,16997000,17470000,19672000,22531000,30199000,34489000,52670000,29330000,37968000,44810000,33637000,41396000,53941000,83318000,71448000,77406000
62,Preferred Stock,- -,- -,- -,103000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,29000,32000,456000,480000,482000,492000,527000,720000,761000,774000,819000,837000,843000,851000,853000,871000,896000,- -
64,Retained Earnings,- -,-29940000,- -,-35508000,-37884000,-37268000,-47208000,-63703000,-63694000,-69456000,-60647000,-67385000,-73842000,-76339000,-96181000,-104175000,-122247000,-131950000,-140609000,-149957000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-123000,-97000,-70000,-4870000,697000,-4862000,434000,-810000,1760000,366000,-1620000,-470000,-149000,36000,-767000,-525000,146000,- -
66,Other Total Stockholders Equity,- -,35364000,- -,43692000,43972000,121069000,128783000,125703000,128476000,133483000,223306000,233985000,242629000,252120000,259219000,260784000,264489000,267767000,272114000,279067000,- -
67,Total Stockholders Equity,- -,5424000,- -,8193000,6126000,84187000,77185000,63179000,60412000,64988000,162569000,169121000,169927000,174980000,163405000,157303000,143129000,135903000,131851000,130152000,126008000
68,Total Liabilities And Stockholders Equity,- -,11075000,- -,17167000,17591000,101184000,94655000,82851000,82943000,95187000,197058000,221791000,199257000,212948000,208215000,190940000,184525000,189844000,215169000,201600000,203414000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,11075000,- -,17167000,17591000,101184000,94655000,82851000,82943000,95187000,197058000,221791000,199257000,212948000,208215000,190940000,184525000,189844000,215169000,201600000,203414000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1365767/000117891320001927/0001178913-20-001927-index.htm,https://www.sec.gov/Archives/edgar/data/1365767/000117891321001037/0001178913-21-001037-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-3288000,-2376000,616000,-9940000,-16495000,-7672000,-5762000,8809000,-6738000,-6457000,-2497000,-19842000,-7994000,-18072000,-10415000,-8659000,-9348000,-15040000
74,Depreciation and Amortization,- -,- -,- -,1239000,632000,963000,1524000,2107000,2584000,2700000,2878000,5067000,6338000,5166000,5708000,4043000,3668000,3834000,4054000,4312000,5576000
75,Deferred Income Tax,- -,- -,- -,- -,-281000,-90000,102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1702000,2298000,1990000,2256000,4817000,7731000,8095000,7170000,5141000,3366000,2862000,- -,5198000,8000000
77,Change in Working Capital,- -,- -,- -,185000,1870000,-1313000,-3947000,4563000,-915000,641000,1247000,5526000,-26880000,5071000,5045000,-4678000,10783000,4709000,16972000,-12405000,-6905000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,20000,-1679000,-2897000,-1187000,-8139000,3328000,-6851000,-847000,-284000,1421000,-3356000,-2915000,8323000,-16787000
79,Inventory,- -,- -,- -,-337000,-271000,-2053000,-1590000,-44000,-787000,-5784000,329000,3233000,-3835000,3689000,-60000,2934000,-662000,-3448000,- -,-1918000,1494000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-507000,240000,1998000,-2456000,-1287000,-1618000,3109000,2218000,-3832000,2582000,1945000,3863000,-9584000,1848000
81,Other Working Capital,- -,- -,- -,554000,1033000,-659000,1619000,-101000,922000,1917000,6659000,-8020000,-2900000,1687000,3364000,-4014000,484000,3586000,- -,-5224000,1609000
82,Other Non-Cash Items,- -,- -,- -,155000,311000,1062000,6159000,7947000,3313000,7782000,7000,20000,18000,- -,6105000,24000,27000,39000,-12367000,18000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,-1709000,156000,1238000,-6102000,-176000,-392000,7351000,15197000,8692000,-19250000,15835000,4186000,-3464000,-228000,1029000,- -,-12225000,-8369000
84,CAPEX,- -,- -,- -,-607000,-686000,-2072000,-3030000,-1720000,-3608000,-2334000,-2953000,-3820000,-2706000,-3391000,-2223000,-1582000,-2833000,-3485000,-3708000,-7582000,-7642000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3802000,- -,- -,- -,-24892000,- -,- -,-9859000,- -,- -,-3048000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4850000,-4300000,-104118000,-87134000,-1001000,-201000,- -,-28735000,-62236000,-32805000,-73236000,-55798000,-29695000,-31345000,-34777000,- -,-43102000,-13495000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4550000,32525000,115751000,19595000,- -,1264000,2603000,10736000,46503000,37766000,60221000,46087000,26488000,41151000,- -,34847000,15094000
88,Other Investing Activites,- -,- -,- -,-18000,6000,-205000,- -,-1058000,157000,-2945000,-48000,913000,146000,-2083000,-203000,229000,-428000,-294000,-29666000,32896000,-280000
89,Cash Used for Investing Activites,- -,- -,- -,-5475000,-430000,-73870000,25587000,12014000,-3652000,-4015000,-29133000,-79299000,11138000,-40944000,-7862000,15039000,-8118000,-453000,-33374000,17059000,-6323000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1952000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,7882000,22000,75999000,1436000,- -,- -,- -,84922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,-3832000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-234000,-166000,73000,63000,90000,485000,3052000,2838000,5903000,899000,1476000,132000,113000,362000,418000,993000,1835000,2810000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,7648000,-144000,76072000,1499000,90000,485000,3052000,87760000,3951000,899000,1476000,-34000,-3719000,362000,418000,993000,1835000,2810000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,464000,-418000,3440000,20984000,11928000,-3559000,6388000,73824000,-66656000,-7213000,-23633000,-3710000,7856000,-7984000,994000,594000,6669000,-11882000
98,Cash at the End of Period,- -,- -,- -,4095000,3677000,7117000,28101000,40029000,36470000,42858000,116682000,50026000,42813000,19180000,15470000,23326000,15342000,16336000,- -,23599000,11717000
99,Cash at the Beginning of Period,- -,- -,- -,3631000,4095000,3677000,7117000,28101000,40029000,36470000,42858000,116682000,50026000,42813000,19180000,15470000,23326000,15342000,- -,16930000,23599000
100,Free Cash Flow,- -,- -,- -,-2316000,-530000,-834000,-9132000,-1896000,-4000000,5017000,12244000,4872000,-21956000,12444000,1963000,-5046000,-3061000,-2456000,- -,-19807000,-16011000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1365767/000117891320001927/0001178913-20-001927-index.htm,https://www.sec.gov/Archives/edgar/data/1365767/000117891321001037/0001178913-21-001037-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,
