,https://roic.ai/company/LPTH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-14.5000,-4.2857,-5.3750,-3.2727,-6.8880,-2.3243,-4.0525,-3.1232,-0.6719,-0.2961,-0.2768,-0.1958,-0.6195,-0.5105,-0.0606,-0.1602,-0.0766,0.0183,-0.0265,-0.0524,0.0819,0.2715,0.0326,-0.0794,0.0248,-0.0828
25,EPS,-15.84,-8.72,-16.00,-6.32,-14.88,-25.52,-20.48,-8.20,-1.98,-1.05,-0.86,-0.58,-1.03,-0.62,-0.07,-0.17,-0.09,0.02,-0.02,-0.05,0.09,0.39,0.04,-0.10,0.03,-0.12
26,EPS Diluted,-15.84,-8.72,-16.00,-6.32,-14.88,-25.52,-20.48,-8.20,-1.98,-1.05,-0.86,-0.58,-1.03,-0.62,-0.07,-0.17,-0.09,0.02,-0.02,-0.05,0.08,0.36,0.04,-0.10,0.03,-0.12
27,Weighted Average Shares Outstanding,183875,344375,376357,533914,1198352,2383017,2475922,2584595,2831128,3316560,3929132,4500853,5327419,6167827,8139852,9533558,9861596,12102124,14002093,14711586,15401893,20001868,25006467,25794669,25853419,26314025
28,Weighted Average Shares Outstanding Diluted,183875,344375,376357,533914,1198352,2383017,2475922,2584595,2831128,3316560,3929132,4500853,5327419,6167827,8139852,9533558,9861596,12959218,14002093,14711586,16875383,21666392,26811468,25794669,27469845,26314025
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889971/000119312504146477/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312505189232/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312506198719/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312507210893/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312508203151/0001193125-08-203151-index.html,https://www.sec.gov/Archives/edgar/data/889971/000114420409050034/0001144204-09-050034-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713110001035/0001387131-10-001035-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713111001980/0001387131-11-001980-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713112002919/0001387131-12-002919-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713113003243/0001387131-13-003243-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713114003204/0001387131-14-003204-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713115002762/0001387131-15-002762-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713116006998/0001387131-16-006998-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713117004685/0001387131-17-004685-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495418010147/0001654954-18-010147-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495419010669/0001654954-19-010669-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495420009993/0001654954-20-009993-index.htm,https://www.sec.gov/Archives/edgar/data/889971/000165495421010019/0001654954-21-010019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4300000,1000000,4200000,400000,58728130,29273034,13177624,3367650,2531029,2462540,3763013,1291364,358457,579949,1464351,928900,2354087,1565215,1197080,1643920,2908024,8085015,5508620,4604701,5387388,6774694
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4300000,1000000,4200000,400000,58728130,29273034,13177624,3367650,2531029,2462540,3763013,1291364,358457,579949,1464351,928900,2354087,1565215,1197080,1643920,2908024,8085015,5508620,4604701,5387388,6774694
34,Net Receivables,- -,200000,300000,300000,841533,3021599,2321263,1267465,1797113,1456612,1891024,1408815,1334856,1157047,1804063,1863987,2174079,2480437,2672852,3302634,3755043,5919315,5417082,6564526,6320777,4793457
35,Inventory,100000,300000,500000,500000,1690058,5414587,2403644,1074562,1457027,1783430,1876793,1853324,1323555,983278,1137678,1622637,1513384,1770681,3322983,3181377,3836809,5074576,6404741,7684527,8984482,8659587
36,Other Current Assets,100000,- -,100000,100000,243184,616071,770302,542792,500328,180493,145349,220860,277359,572844,391543,196880,208709,262236,298203,244075,652308,641469,2058610,754640,565181,475364
37,Total Current Assets,4500000,1500000,5100000,1300000,61502905,38325291,18672833,6252469,6285497,5883075,7676179,4774363,3294227,3293118,4797635,4612404,6250259,6078569,7491118,8372006,11152184,19720375,19389053,19608394,21257828,20703102
38,PP&E,400000,800000,700000,900000,6482039,12046891,6664374,3096606,2343783,1335612,1172651,1563250,1937741,1991828,2344692,2373022,1920950,2235781,3173905,4275551,4370045,10324558,11809241,11731084,13019491,22295365
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5854905,5854905,5854905,5854905,5854905
40,Intangible Assets,300000,500000,500000,600000,31727811,25683341,8054179,2958637,905896,325008,265473,232605,199737,166869,134001,101133,68265,35397,- -,- -,- -,10375053,9057970,7837306,6707964,5582881
41,Intangible Assets,300000,500000,500000,600000,31727811,25683341,8054179,2958637,905896,325008,265473,232605,199737,166869,134001,101133,68265,35397,- -,- -,- -,16229958,14912875,13692211,12562869,11437786
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285000,624000,652000,659000,147000
44,Other Non-Current Assets,- -,-100000,- -,300000,1000000,8234885,3585842,190352,145913,65214,59731,57306,57306,377781,179267,34917,31619,27737,27737,66964,66964,112323,381945,289491,75730,27737
45,Total Non-Current Assets,700000,1200000,1200000,1800000,39209850,45965117,18304395,6245595,3395592,1725834,1497855,1853161,2194784,2536478,2657960,2509072,2020834,2298915,3201642,4342515,4437009,26951839,27728061,26364786,26317090,33907888
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5200000,2700000,6300000,3100000,100712755,84290408,36977228,12498064,9681089,7608909,9174034,6627524,5489011,5829596,7455595,7121476,8271093,8377484,10692760,12714521,15589193,46672214,47117114,45973180,47574918,54610990
48,Accounts Payable,400000,300000,200000,200000,1573531,1276204,1002374,418172,656263,865960,1668683,1278328,1827461,1376599,511523,928790,1129708,1065651,1809532,1551885,1361914,1536121,2032834,2227768,2558638,2924333
49,Short-Term Debt,- -,- -,- -,- -,- -,242475,88550,- -,- -,12479,284965,182930,446076,157808,- -,- -,3602,3602,61178,218039,166454,1350832,1765999,985774,2024812,1646565
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37750,1966,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,200000,300000,200000,100000,800505,1431515,3443961,899110,1036107,746223,750925,740101,716748,513927,576233,605023,570144,551090,602205,926545,1684399,2863459,1913550,3141721,2819961,3877308
53,Total Current Liabilities,600000,600000,400000,300000,2374036,2950194,4534885,1317282,1692370,1624662,2704573,2201359,2990285,2048334,1087756,1533813,1741204,1622309,2472915,2696469,3212767,5750412,5712383,6355263,7403411,8448206
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277741,111097,1445980,1553865,1087500,1087500,- -,109963,- -,- -,9926844,5119796,5000143,4437365,12585299
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644056,569286,464262,345726,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,3316304,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182349,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,1000000,600000,-1,- -,- -,- -,- -,54193,39937,23653,227868,- -,- -,- -,1094199,1325539,814191,2018409,1444514,1091440,927491,1158648,1167201,- -
58,Total Non-Current Liabilities,100000,- -,1000000,600000,-1,3316304,- -,- -,- -,54193,39937,301394,338965,2090036,2123151,1551762,2527425,1325539,924154,2018409,1444514,11200633,6047287,6158791,5604566,12585299
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,54193,39937,23653,5050,5050,- -,- -,10505,6904,12466,476714,345373,381433,857326,1044708,2210663,9539653
61,Total Liabilities,700000,600000,1400000,300000,2374035,6266498,4534885,1317282,1692370,1678855,2744510,2502753,3329250,4138370,3210907,3085575,4268629,2947848,3397069,4714878,4657281,16951045,11759670,12514054,13007977,21033505
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,181363,193712,206771,25846,32226,36956,44686,45125,53317,66970,89716,97131,117120,129582,142933,152351,155909,242157,257645,258139,258919,269859
64,Retained Earnings,-14200000,-17200000,-23200000,-27100000,-44442714,-105295624,-156040867,-177232790,-182831197,-186311002,-189679883,-192294512,-197762281,-201585341,-202146300,-203748263,-204613130,-204397808,-204711057,-205426337,-204011722,-196308636,-195248532,-197928855,-197061926,-200247177
65,Other Comprehensive Income/Loss,-800000,-600000,-800000,-1200000,-1866509,-5819286,-3402822,-534017,-198857,-222230,-6085570,-43059,21369,58233,23466,50593,88258,52736,51681,50680,126108,295396,473508,808518,735892,2116152
66,Other Total Stockholders Equity,19500000,19900000,28900000,31100000,144466580,188945108,191679261,188921743,190986547,192426330,202150291,196417217,199847356,203151364,206277806,207636440,208410216,209645126,211812134,213222950,214661617,225492252,229874823,230321324,230634056,231438651
67,Total Stockholders Equity,4500000,2100000,4900000,2800000,98338720,78023910,32442343,11180782,7988719,5930054,6429524,4124771,2159761,1691226,4244688,4035901,4002464,5429636,7295691,7999644,10931912,29721169,35357444,33459126,34566941,33577485
68,Total Liabilities And Stockholders Equity,5200000,2700000,6300000,3100000,100712755,84290408,36977228,12498064,9681089,7608909,9174034,6627524,5489011,5829596,7455595,7121476,8271093,8377484,10692760,12714522,15589193,46672214,47117114,45973180,47574918,54610990
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5200000,2700000,6300000,3100000,100712755,84290408,36977228,12498064,9681089,7608909,9174034,6627524,5489011,5829596,7455595,7121476,8271093,8377484,10692760,12714521,15589193,46672214,47117114,45973180,47574918,54610990
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889971/000119312504146477/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312505189232/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312506198719/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312507210893/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312508203151/0001193125-08-203151-index.html,https://www.sec.gov/Archives/edgar/data/889971/000114420409050034/0001144204-09-050034-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713110001035/0001387131-10-001035-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713111001980/0001387131-11-001980-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713112002919/0001387131-12-002919-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713113003243/0001387131-13-003243-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713114003204/0001387131-14-003204-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713115002762/0001387131-15-002762-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713116006998/0001387131-16-006998-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713117004685/0001387131-17-004685-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495418010147/0001654954-18-010147-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495419010669/0001654954-19-010669-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495420009993/0001654954-20-009993-index.htm,https://www.sec.gov/Archives/edgar/data/889971/000165495421010019/0001654954-21-010019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2900000,-3000000,-4300000,-3600000,-15610067,-60763361,-50683337,-21191923,-5598407,-3479805,-3368881,-2614629,-5467769,-3823060,-560959,-1601963,-864867,215322,-313249,-715280,1414615,7703086,1060104,-2680323,866929,-3185251
74,Depreciation and Amortization,1000000,200000,300000,400000,3090322,16261789,10922531,4324085,3043201,1669724,791147,472222,459351,565988,700475,912929,1124038,813234,666322,537143,847990,2080439,3403581,3464156,3424438,3509436
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5493704,-533806,-28000,-7000,512000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156267,160416,246149,272044,268307,356815,284950,348735,394875,373554,394790,250737,642865
77,Change in Working Capital,-700000,-3000000,3800000,-3700000,58128869,-23753772,-21237149,-9202761,-342060,-334714,713193,-2398602,-2269062,940842,2465095,-631288,1430464,-52795,561943,657334,2263880,6030546,-293293,-423539,601286,-1599521
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379953,-827228,-13296,-311004,3769,-337105,-560133,-650753,-1042426,618393,-833665,3279,1568171
79,Inventory,-100000,-200000,-200000,-100000,-531698,-2656444,2897943,1329082,-382465,-361693,-135299,23469,529769,340277,-154400,-484959,109253,-257297,-1106514,141606,-916899,-318645,-1330994,-1405020,-1427827,167496
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,3900000,900000,4700000,1000000,59128869,35375097,14137948,4935187,4593127,4258413,4971606,2573004,303942,1244784,3709879,3078591,4509055,4456260,5018203,5675537,7939417,13969963,13676670,13253131,13854417,12254896
82,Other Non-Cash Items,300000,2900000,-3400000,4200000,-48864644,53283361,48144422,16387837,409196,1044170,-122242,2683705,3885944,692010,-3235732,1169075,-1555945,-687912,-1360608,-585184,-3349507,-5716198,-1391152,-315899,-1403577,4852495
83,Cash Provided by Operating Activities,-2300000,-2900000,-3600000,-2700000,-3255520,-14971983,-12853533,-9682762,-2488070,-1100625,-1986783,-1857304,-3391536,-1467953,-470705,94902,405734,556156,-88777,178963,1525713,4999044,2618988,411185,3732813,4732024
84,CAPEX,-300000,-500000,-200000,-400000,-5148438,-7230694,-2757528,-172725,-358333,-133625,-569432,-829953,-660003,-563764,-987728,-908391,-628593,-1097470,-1982313,-693634,-1131098,-2223126,-2517685,-1931835,-2442779,-3158784
85,Acquisitions Net,- -,- -,- -,- -,-2164662,-18411,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11777336,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-300000,-100000,-800000,-1628324,-7319515,-622474,134063,136820,112627,9915,- -,17640,37791,9138,20480,- -,- -,- -,- -,5916,- -,- -,683250,186986,- -
89,Cash Used for Investing Activites,-300000,-800000,-300000,-1200000,-8941424,-14568620,-3380002,-38662,-221513,-20998,-559517,-829953,-642363,-525973,-978590,-887911,-628593,-1097470,-1982313,-693634,-1125182,-14000462,-2517685,-1248585,-2255793,-3158784
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-404415,-157808,-14250,- -,-183601,-7409,-59412,-182926,-193940,-5003890,-7174374,-1068583,-1291476
91,Common Stock Issued,7400000,400000,7200000,- -,69648360,1570211,292050,- -,1872962,986462,3588543,56186,3023093,14220,2378545,12137,1610381,- -,- -,1122054,- -,8749496,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-582,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,- -,- -,100000,863326,-1484704,-153925,-88550,- -,66672,258230,159422,77899,2568749,147727,232544,- -,-28435,1711419,-100130,420416,5653087,3690240,5772845,446875,448047
95,Cash Used/Provided by Financing Activities,7000000,300000,7200000,100000,70511686,85507,138125,-88550,1872962,1053134,3846773,215608,3100992,2178554,2368464,230431,1610381,-212036,1704010,962512,236908,14208643,-1313650,-1401529,-621708,-843429
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36864,-34767,27127,37665,-35522,-1055,-1001,626665,-30234,-364048,335010,-72625,657495
97,Net Change In Cash,- -,- -,- -,-3800000,58314742,-29455096,-16095410,-9809974,-836621,-68489,1300473,-2471649,-932907,221492,884402,-535451,1425187,-788872,-368135,446840,1264104,5176991,-1576395,-1903919,782687,1387306
98,Cash at the End of Period,- -,- -,- -,400000,58728130,29273034,13177624,3367650,2531029,2462540,3763013,1291364,358457,579949,1464351,928900,2354087,1565215,1197080,1643920,2908024,8085015,6508620,4604701,5387388,6774694
99,Cash at the Beginning of Period,- -,4300000,1000000,4200000,413388,58728130,29273034,13177624,3367650,2531029,2462540,3763013,1291364,358457,579949,1464351,928900,2354087,1565215,1197080,1643920,2908024,8085015,6508620,4604701,5387388
100,Free Cash Flow,-2600000,-3400000,-3800000,-3100000,-8403958,-22202677,-15611061,-9855487,-2846403,-1234250,-2556215,-2687257,-4051539,-2031717,-1458433,-813489,-222859,-541314,-2071090,-514671,394615,2775918,101303,-1520650,1290034,1573240
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889971/000119312504146477/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312505189232/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312506198719/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312507210893/d10k.htm,https://www.sec.gov/Archives/edgar/data/889971/000119312508203151/0001193125-08-203151-index.html,https://www.sec.gov/Archives/edgar/data/889971/000114420409050034/0001144204-09-050034-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713110001035/0001387131-10-001035-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713111001980/0001387131-11-001980-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713112002919/0001387131-12-002919-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713113003243/0001387131-13-003243-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713114003204/0001387131-14-003204-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713115002762/0001387131-15-002762-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713116006998/0001387131-16-006998-index.html,https://www.sec.gov/Archives/edgar/data/889971/000138713117004685/0001387131-17-004685-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495418010147/0001654954-18-010147-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495419010669/0001654954-19-010669-index.html,https://www.sec.gov/Archives/edgar/data/889971/000165495420009993/0001654954-20-009993-index.htm,https://www.sec.gov/Archives/edgar/data/889971/000165495421010019/0001654954-21-010019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
