,https://roic.ai/company/BRGO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1431074/000139390513000143/0001393905-13-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390514000212/0001393905-14-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390515000203/0001393905-15-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390516000815/0001393905-16-000815-index.html,https://www.sec.gov/Archives/edgar/data/1431074/000139390517000108/0001393905-17-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390518000150/0001393905-18-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390519000284/0001393905-19-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390520000163/0001393905-20-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390521000128/0001393905-21-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000121390022015800/0001213900-22-015800-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,21430,- -,4262,128238,52703,- -,3259,2893,21662,21721,- -,22790,70081,1093195
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5828,- -
33,Cash and Short-Term Investments,21430,- -,4262,128238,52703,- -,3259,2893,21662,21721,- -,22790,75909,1093195
34,Net Receivables,- -,341695,649212,450642,1002529,763187,125102,51100,5594,61511,39354,85711,100255,51324
35,Inventory,- -,1378271,1602680,1529394,1800135,1611584,1756755,1416401,1264080,1188646,1215981,1165311,1143037,3206107
36,Other Current Assets,- -,2937,9353,75552,72548,16208,- -,375,- -,4687,- -,18652,2431,33559
37,Total Current Assets,21430,1722903,2265507,2183826,2927915,2390979,1885116,1470769,1291336,1276565,1255335,1292464,1321632,4384185
38,PP&E,- -,160307,118135,104597,110635,124924,527831,748087,346858,242420,173057,192517,148099,191506
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5681167
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511275
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6192442
42,Investments,- -,5000,5000,5000,5828,5828,5828,5828,5828,5828,5828,5828,5828,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6603
45,Total Non-Current Assets,- -,165307,123135,284597,116463,130752,533659,753915,352686,248248,178885,198345,153927,6390551
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21430,1888210,2388642,2468423,3044378,2521731,2418775,2224684,1644022,1524813,1434220,1490809,1475559,10774736
48,Accounts Payable,23985,587443,417144,119231,393086,45766,112649,109796,153829,153831,121493,102779,164841,- -
49,Short-Term Debt,- -,991218,437651,489468,406053,335655,718701,985214,949567,776336,544568,574496,558835,415419
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,323086,235317,- -,- -,- -,453309,628309,251112,181230,31313,- -
52,Other Current Liabilities,- -,521725,385589,282584,298187,284999,498438,761874,360168,232746,157534,691065,351329,6332643
53,Total Current Liabilities,23985,2100386,1240384,1214369,1332643,666420,1329788,1856884,1916873,1791222,1074707,1549570,1106318,6748062
54,Long-Term Debt,- -,188878,51626,31035,204939,- -,- -,- -,- -,- -,204429,202487,219205,163882
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204429,202487,179828,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,16717,- -,- -,- -,- -,- -,- -,- -,- -,591142,148981,141256,122489
58,Total Non-Current Liabilities,- -,205595,51626,31035,204939,- -,- -,- -,- -,- -,1000000,553955,540289,286371
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,39092,14656,- -,- -,- -,- -,- -,- -,- -,- -,65835,53954,- -
61,Total Liabilities,23985,2305981,1292010,1245404,1537582,666420,1329788,1856884,1916873,1791222,2074707,2103525,1646607,286371
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5033,51703,11159,41302,361970,2431169,74,691,18366,46218,53912,193,908,12325
64,Retained Earnings,-37900,-2097121,-2936120,-3344448,-3732882,-4568622,-6089383,-7246263,-7801231,-8193411,-8625412,-11660455,-11808505,-14452396
65,Other Comprehensive Income/Loss,- -,-226935,-242017,-285049,-307307,-326143,-358362,-492513,-894892,-667505,-769213,-823160,- -,- -
66,Other Total Stockholders Equity,30312,1854582,4263610,4811214,5185015,4318907,7536658,7938025,8426148,8549289,8700226,11870706,11636549,18737846
67,Total Stockholders Equity,-2555,-417771,1096632,1223019,1506796,1855311,1088987,199940,-251609,-265409,-640487,-612716,-171048,4297775
68,Total Liabilities And Stockholders Equity,21430,1888210,2388642,2468423,3044378,2521731,2418775,2056824,1665264,1525813,1434220,1490809,1475559,4584146
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,167860,-21242,-1000,- -,- -,- -,6190590
70,Total Liabilities & Equity,21430,1888210,2388642,2468423,3044378,2521731,2418775,2224684,1644022,1524813,1434220,1490809,1475559,10774736
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1431074/000139390513000143/0001393905-13-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390514000212/0001393905-14-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390515000203/0001393905-15-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390516000815/0001393905-16-000815-index.html,https://www.sec.gov/Archives/edgar/data/1431074/000139390517000108/0001393905-17-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390518000150/0001393905-18-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390519000284/0001393905-19-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390520000163/0001393905-20-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390521000128/0001393905-21-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000121390022015800/0001213900-22-015800-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-36941,-597725,-838999,-408328,-388434,-835740,-1520761,-1156880,-554968,-199785,-417314,-3035043,-148050,-2638556
74,Depreciation and Amortization,- -,65195,54282,43031,22261,18836,32218,134152,402379,103438,101708,56659,44418,264929
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,20000,- -,- -,- -,- -,- -,- -,- -,21000,- -,- -,100000,118451
77,Change in Working Capital,23985,-374928,1402606,-55666,625815,129287,-1169231,-941443,-239422,110880,695285,-437734,472420,-2579191
78,Accounts Receivable,- -,506050,-81897,76418,-616887,-66638,547978,48987,48738,-46099,98384,-46357,-14544,48931
79,Inventory,- -,-51282,-245909,73286,-270741,188551,-145171,340354,152321,75434,-37335,50670,22274,-943477
80,Accounts Payable,23985,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338343
81,Other Working Capital,-2555,-377483,1025123,969457,1595272,1724559,555328,-386115,-625537,-514657,180628,-257106,215314,-2363877
82,Other Non-Cash Items,- -,821320,-982692,154061,-695517,237106,2319431,1717482,388203,58347,-476260,3331164,-648890,2655130
83,Cash Provided by Operating Activities,-12956,-66138,-364803,-266902,-435875,-450511,-338343,-246689,-3808,93880,-96581,-84954,-180102,-2179237
84,CAPEX,- -,-62704,-28910,-29493,-28299,-33125,-352595,-5116,-1150,- -,-31345,-7572,- -,-47685
85,Acquisitions Net,- -,- -,50000,37500,- -,- -,- -,- -,- -,20527,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-828,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-62704,-31055,-29493,-28299,- -,- -,- -,- -,- -,- -,- -,- -,-838524
89,Cash Used for Investing Activites,- -,-62704,18945,8007,-29127,-33125,-352595,-5116,-1150,20527,-31345,-7572,- -,-886209
90,Debt Repayment,- -,-82854,-95898,-111914,-20648,-87070,- -,- -,- -,- -,-14700,- -,-157500,-30000
91,Common Stock Issued,- -,- -,30000,- -,- -,- -,100000,- -,- -,- -,- -,- -,170061,3768730
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,211696,416018,494785,410115,518003,594197,251439,23727,-114348,120905,115316,214832,349830
95,Cash Used/Provided by Financing Activities,- -,128842,350120,382871,389467,430933,694197,251439,23727,-114348,106205,115316,227393,4088560
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-12956,- -,- -,123976,-75535,- -,- -,-366,18769,59,- -,- -,47291,1023114
98,Cash at the End of Period,21430,- -,4262,128238,52703,- -,3259,2893,21662,21721,- -,22790,70081,1093195
99,Cash at the Beginning of Period,34386,- -,- -,4262,128238,52703,- -,3259,2893,21662,21721,- -,22790,70081
100,Free Cash Flow,-12956,-128842,-393713,-296395,-464174,-483636,-690938,-251805,-4958,93880,-127926,-92526,-180102,-2226922
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1431074/000139390513000143/0001393905-13-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390514000212/0001393905-14-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390515000203/0001393905-15-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390516000815/0001393905-16-000815-index.html,https://www.sec.gov/Archives/edgar/data/1431074/000139390517000108/0001393905-17-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390518000150/0001393905-18-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390519000284/0001393905-19-000284-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390520000163/0001393905-20-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000139390521000128/0001393905-21-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1431074/000121390022015800/0001213900-22-015800-index.htm
102,false,,,,,,,,,,,,,,
