,https://roic.ai/company/SAFE,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688852/000168885218000009/0001688852-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885219000007/0001688852-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885220000014/0001688852-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885221000012/0001688852-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885222000007/0001688852-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,22000,- -,168214000,16418000,22704000,56948000,29619000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22000,- -,168214000,16418000,22704000,56948000,29619000
34,Net Receivables,6673000,11905000,4097000,23138000,455390000,1976283000,3326279000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1656000,8007000,24078000,39519000,8897000
37,Total Current Assets,6695000,11905000,173967000,47563000,502172000,2072750000,3364795000
38,PP&E,- -,- -,- -,- -,29659000,28550000,27435000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,150000,135000,138725000,262531000,242837000,242166000,224182000
41,Intangible Assets,150000,135000,138725000,262531000,242837000,242166000,224182000
42,Investments,- -,- -,- -,- -,127524000,129614000,173374000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,137411000,143627000,415821000,669649000,1664369000,735890000,725940000
45,Total Non-Current Assets,137561000,143762000,554546000,932180000,2064389000,1136220000,1150931000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,144256000,155667000,728513000,979743000,2566561000,3208970000,4515726000
48,Accounts Payable,- -,- -,1347000,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,227000,1576000,4673000,8920000,18509000,31490000,46989000
53,Total Current Liabilities,227000,1576000,6020000,8920000,18509000,31490000,46989000
54,Long-Term Debt,- -,- -,307074000,543965000,1372922000,1690458000,2703108000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,59484000,69500000,81832000,105719000,80427000
58,Total Non-Current Liabilities,- -,- -,366558000,613465000,1454754000,1796177000,2783535000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5852000,5732000,5605000
61,Total Liabilities,227000,1576000,372578000,622385000,1473263000,1827667000,2830524000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,182000,183000,478000,532000,566000
64,Retained Earnings,- -,- -,-9246000,-8486000,-2146000,23945000,59368000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-57461000,-40980000
66,Other Total Stockholders Equity,144029000,154091000,364999000,363654000,1093480000,1412107000,- -
67,Total Stockholders Equity,144029000,154091000,355935000,355351000,1091812000,1379123000,1682278000
68,Total Liabilities And Stockholders Equity,144256000,155667000,728513000,977736000,2565075000,3206790000,4512802000
69,Minority Interest,- -,- -,- -,2007000,1486000,2180000,2924000
70,Total Liabilities & Equity,144256000,155667000,728513000,979743000,2566561000,3208970000,4515726000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688852/000168885218000009/0001688852-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885219000007/0001688852-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885220000014/0001688852-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885221000012/0001688852-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885222000007/0001688852-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,5349000,6615000,- -,11740000,27693000,59294000,73123000
74,Depreciation and Amortization,3472000,3142000,8603000,11660000,11888000,12081000,11986000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,766000,873000,1582000,1744000,1750000
77,Change in Working Capital,-1262000,3861000,157618000,-129304000,445020000,1557597000,-11595000
78,Accounts Receivable,- -,- -,1394000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,852000,- -,- -,- -,-11309000
81,Other Working Capital,6468000,10329000,167947000,38643000,483663000,2041260000,-286000
82,Other Non-Cash Items,-2534000,-8138000,-158290000,118559000,-488146000,-1595005000,-48347000
83,Cash Provided by Operating Activities,5025000,5480000,8697000,13528000,-1963000,35711000,26917000
84,CAPEX,- -,- -,-270734000,-385897000,-28816000,- -,-1247980000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-39455000
86,Purchases of Investments,- -,- -,- -,- -,- -,-474083000,-2083000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-7972000,-2977000,-384505000,-158182000,-56558000,1527000
89,Cash Used for Investing Activites,- -,-7972000,-273711000,-384505000,-1520775000,-530641000,-1287991000
90,Debt Repayment,- -,- -,-95000000,-74500000,-352858000,-377000000,-830000000
91,Common Stock Issued,- -,- -,363000000,- -,511900000,271206000,243345000
92,Common Stock Repurchased,- -,- -,363000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-2849000,-10927000,-16622000,-32002000,-35947000
94,Other Financing Activites,-5003000,2470000,-193001000,310959000,1402675000,682411000,1825725000
95,Cash Used/Provided by Financing Activities,-5003000,2470000,435150000,225532000,1545095000,544615000,1203123000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,170136000,-145445000,22357000,49685000,-57951000
98,Cash at the End of Period,22000,- -,170136000,24425000,46782000,96467000,38516000
99,Cash at the Beginning of Period,- -,22000,- -,169870000,24425000,46782000,96467000
100,Free Cash Flow,5025000,5480000,-262037000,13528000,-1364556000,35711000,-1221063000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688852/000168885218000009/0001688852-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885219000007/0001688852-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885220000014/0001688852-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885221000012/0001688852-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1688852/000168885222000007/0001688852-22-000007-index.htm
102,false,,,,,,,
