,https://roic.ai/company/BCDA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,31474,200000,1400000,2200000,6577627,2961179,2236666,1979849,1268060,870684,129220,82097,3095000,4973000,127000,12678000,13268000,13295000,13509000,13840000,21352000,12689000,5358000,5585000,21407000,12872000
34,Net Receivables,- -,461829,400000,400000,600000,453187,355674,380518,435667,327937,- -,- -,- -,186000,307000,413000,67000,- -,- -,- -,- -,74000,95000,274000,147000,- -,147000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942000,3256000,- -,- -,- -,- -,- -,- -,135000,191000,141000,4000,- -,- -
36,Other Current Assets,- -,53010,3900000,2000000,100000,76528,469885,84393,39825,60303,26588,12278,5013,107000,65000,99000,989000,33000,33000,36000,36000,356000,340000,445000,642000,1251000,462000
37,Total Current Assets,- -,546313,4500000,3800000,2900000,7107342,3786738,2701577,2455341,1656300,897272,141498,87110,4330000,8601000,639000,13734000,13301000,13328000,13545000,13876000,21917000,13315000,6218000,6378000,22658000,13481000
38,PP&E,- -,216507,200000,200000,300000,290836,309242,216939,143824,- -,- -,- -,- -,716000,1228000,1775000,- -,- -,- -,- -,- -,111000,169000,145000,1246000,145000,2065000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1233000,1233000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5003000,4353000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6236000,5586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,176173,- -,100000,- -,30711,91452,42975,42975,49726,- -,- -,- -,192000,173000,3021000,- -,- -,- -,- -,- -,54000,54000,54000,54000,- -,172000
45,Total Non-Current Assets,- -,392680,200000,300000,300000,321547,400694,259914,186799,49726,- -,- -,- -,7144000,6987000,4796000,- -,- -,- -,- -,- -,165000,223000,199000,1300000,145000,2237000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,938993,4700000,4100000,3200000,7428889,4187432,2961491,2642140,1706026,897272,141498,87110,11474000,15588000,5435000,13734000,13301000,13328000,13545000,13876000,22082000,13538000,6417000,7678000,22803000,15718000
48,Accounts Payable,- -,239261,200000,300000,300000,406078,179196,258097,277608,242070,11655,8073,3702,- -,- -,1299000,127000,- -,- -,- -,- -,525000,902000,1020000,914000,746000,507000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,528000,614000,237000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,284113,302407,268977,173418,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000,228000,112000,102000,683000,847000
52,Other Current Liabilities,- -,771478,400000,500000,700000,756437,319432,307981,416733,326958,708888,16500,22127,777000,851000,357000,629000,12000,18000,1000,10000,782000,1202000,1416000,2459000,2205000,2121000
53,Total Current Liabilities,- -,1010739,600000,800000,1000000,1162515,782741,868485,963318,742446,720543,24573,25829,777000,851000,2156000,756000,12000,18000,1000,10000,1444000,2332000,2548000,4003000,4248000,3712000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1631000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,81000,77000,614000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,81000,77000,1305000,- -,1631000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142000,614000,- -
61,Total Liabilities,- -,1010739,600000,700000,1000000,1162515,782741,868485,963318,742446,720543,24573,25829,777000,851000,2156000,756000,12000,18000,1000,10000,1500000,2413000,2625000,5308000,4248000,5343000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1813,- -,- -,- -,4093,1450,1450,1450,8702,10182,10182,10182,203000,230000,230000,230000,230000,230000,230000,230000,458000,38000,43000,7000,16000,17000
64,Retained Earnings,- -,-101990,-700000,-1400000,-2700000,-4326628,-6687254,-7914736,-8394247,-9116951,-9929292,-10022096,-10097540,-6087000,-11165000,-22674000,-13012000,-12707000,-12688000,-12454000,-12132000,-60142000,-72450000,-86361000,-101070000,- -,-128697000
65,Other Comprehensive Income/Loss,- -,- -,-100000,-100000,-300000,-432000,-487231,-588707,43960,51422,- -,- -,- -,- -,-739000,-524000000,- -,- -,- -,- -,- -,-771000,-758000,-845000,-957000,- -,- -
66,Other Total Stockholders Equity,- -,28431,4900000,4900000,5200000,11020909,10577726,10594999,10027659,10020407,10095839,10128839,10148639,- -,26411000,549723000,25760000,25766000,25768000,25768000,25768000,81037000,84295000,90955000,104390000,19160000,139055000
67,Total Stockholders Equity,- -,-71746,4100000,3400000,2200000,6266374,3404691,2093006,1678822,963580,176729,116925,61281,10697000,14737000,3279000,12978000,13289000,13310000,13544000,13866000,20582000,11125000,3792000,2370000,19176000,10375000
68,Total Liabilities And Stockholders Equity,- -,938993,4700000,4100000,3200000,7428889,4187432,2961491,2642140,1706026,897272,141498,87110,11474000,15588000,5435000,13734000,13301000,13328000,13545000,13876000,22082000,13538000,6417000,7678000,23424000,15718000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-621000,- -
70,Total Liabilities & Equity,- -,938993,4700000,4100000,3200000,7428889,4187432,2961491,2642140,1706026,897272,141498,87110,11474000,15588000,5435000,13734000,13301000,13328000,13545000,13876000,22082000,13538000,6417000,7678000,22803000,15718000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925741/000114420407050545/v088114_10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/925741/000113626110000078/0001136261-10-000078-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626111000181/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626112000180/0001136261-12-000180-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626113000152/0001136261-13-000152-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626114000123/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626115000089/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626116000427/0001136261-16-000427-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774917005643/0001437749-17-005643-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774918004870/0001437749-18-004870-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774919006300/0001437749-19-006300-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774920007405/bcda20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000143774921007543/0001437749-21-007543-index.htm,https://www.sec.gov/Archives/edgar/data/925741/000143774922007544/0001437749-22-007544-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,135599,-600000,-600000,-1300000,-1544099,-2178708,-1227482,-479511,-722704,-812341,-92804,-75444,-5800000,-5078000,-11509000,9662000,305000,19000,234000,322000,-10310000,-12308000,-13987000,-14709000,-15004000,-12623000
74,Depreciation and Amortization,- -,49744,100000,100000,100000,115445,107912,101826,84933,71080,- -,- -,- -,561000,1207000,967000,- -,- -,- -,- -,- -,39000,78000,88000,111000,68000,60000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,107000,51000,37000,6000,2000,- -,- -,942000,2707000,2774000,2722000,2952000,1661000
77,Change in Working Capital,- -,61656,4364426,-900000,-1100000,4044827,-2940830,-1170905,-341069,-578169,-737125,-59804,-55644,906537,4197000,-9267000,14495000,311000,21000,234000,322000,6607000,-9490000,-7313000,-1295000,16035000,-8641000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,-121000,-157000,119000,43000,- -,- -,- -,33000,-21000,-179000,127000,-85000,85000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-505000,-1013000,-1354000,85000,- -,- -,- -,- -,27000,-56000,49000,136000,4000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-744000,- -,- -,- -,-17000,377000,119000,171000,-168000,-239000
81,Other Working Capital,- -,-464426,3900000,3000000,1900000,5944827,3003997,1833092,1492023,913854,176729,116925,61281,3553000,7750000,-1517000,12978000,13289000,13310000,13544000,13866000,20473000,10983000,3670000,2375000,18410000,9769000
82,Other Non-Cash Items,- -,16391,-4364426,700000,1300000,-4000747,3480527,1805341,437985,480377,1093649,-588856,83965,1593463,-5216000,15481000,-27281000,-932000,-15000,-254000,-313000,-2800000,10342000,7369000,3726000,-16408000,9177000
83,Cash Provided by Operating Activities,- -,263390,-500000,-700000,-1000000,-1384574,-1531099,-491220,-297662,-749416,-455817,-741464,-47123,-2696000,-4783000,-4277000,-3087000,-310000,27000,214000,331000,-5522000,-8671000,-11069000,-9445000,-12357000,-10366000
84,CAPEX,- -,-124535,- -,-100000,- -,-133379,-126913,-9524,-11818,-12826,- -,- -,- -,-515000,-1018000,-1069000,-137000,- -,- -,- -,- -,- -,-136000,-66000,-146000,-32000,-116000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2245000,-1300000,- -,- -,- -,- -,- -,- -,18921000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-4100000,-2300000,-1400000,-1118675,-361140,-124225,-535518,-1486432,- -,- -,- -,-3487000,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,400000,4400000,2800000,1132150,315846,54826,726718,1180757,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,- -,- -,- -,- -
88,Other Investing Activites,- -,-3414,- -,-100000,-100000,55426,- -,- -,- -,- -,531470,- -,- -,-79000,-32000,- -,16275000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-127949,-3700000,1900000,1300000,-64478,-172207,-78923,179382,-318501,531470,- -,- -,-1836000,-2350000,-1069000,16138000,900000,- -,- -,- -,18921000,-136000,-66000,-146000,-32000,-116000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,- -,- -,-1724000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,4700000,- -,- -,5649230,97994,- -,- -,- -,64162,- -,- -,12924000,9011000,- -,- -,- -,- -,- -,- -,22000,- -,3800000,10452000,30500000,-59000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1812755,-71163,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-123999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-36038,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,500000,1224000,- -,- -,- -,- -,4374000,144000,4000,-634000,-2289000,2006000
95,Cash Used/Provided by Financing Activities,- -,-160037,4400000,- -,- -,5649230,-1714761,-71163,- -,- -,64162,- -,- -,6723000,9011000,500000,-500000,- -,- -,- -,- -,4396000,144000,3804000,9818000,28211000,1947000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-24596,4400000,- -,400000,4200178,-3418067,-641306,-118280,-1067917,139815,-741464,-47123,2191000,1878000,-4846000,12551000,590000,27000,214000,331000,17795000,-8663000,-7331000,227000,15822000,-8535000
98,Cash at the End of Period,- -,31474,- -,- -,1800000,5976439,2558372,1917066,1798786,730869,870684,129220,82097,3095000,4973000,127000,12678000,13268000,13295000,13509000,13840000,21352000,12689000,5358000,5585000,21407000,12872000
99,Cash at the Beginning of Period,- -,56070,- -,200000,1400000,1776261,5976439,2558372,1917066,1798786,730869,870684,129220,904000,3095000,4973000,127000,12678000,13268000,13295000,13509000,3557000,21352000,12689000,5358000,5585000,21407000
100,Free Cash Flow,- -,138855,-500000,-800000,-1000000,-1517953,-1658012,-500744,-309480,-762242,-455817,-741464,-47123,-3211000,-5801000,-5346000,-3224000,-310000,27000,214000,331000,-5522000,-8807000,-11135000,-9591000,-12389000,-10482000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925741/000114420407050545/v088114_10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/925741/000113626110000078/0001136261-10-000078-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626111000181/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626112000180/0001136261-12-000180-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626113000152/0001136261-13-000152-index.html,https://www.sec.gov/Archives/edgar/data/925741/000113626114000123/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626115000089/form10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000113626116000427/0001136261-16-000427-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774917005643/0001437749-17-005643-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774918004870/0001437749-18-004870-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774919006300/0001437749-19-006300-index.html,https://www.sec.gov/Archives/edgar/data/925741/000143774920007405/bcda20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/925741/000143774921007543/0001437749-21-007543-index.htm,https://www.sec.gov/Archives/edgar/data/925741/000143774922007544/0001437749-22-007544-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
