,https://roic.ai/company/HMMR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,961373,1216905,3624067,204511,448302,580597
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,227809,289385,299200
52,Other Current Liabilities,- -,- -,- -,- -,4130,7617,107095,- -,1383310,1206664,908136
53,Total Current Liabilities,- -,10000,10000,20000,4130,1620210,1435610,3624067,1815630,1944351,1787933
54,Long-Term Debt,- -,- -,- -,- -,83000,2375260,2394570,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-10,- -,4169360,8392710,8538423,622385
58,Total Non-Current Liabilities,- -,- -,- -,- -,83000,2375250,2394570,4169360,8392710,8538423,622385
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,10000,10000,20000,87130,3995460,3830180,4169360,10208340,10482774,2410318
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,80000,80000,80000,80000,10470,60500,60500,60500,60500,60503,60853
64,Retained Earnings,-10000,-30000,-50000,-80000,-459950,-2641170,-8676360,-14191440,-21987960,-22912310,-20428696
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-55120,- -,-1174680,- -,-1423290,- -,- -
66,Other Total Stockholders Equity,- -,-2174,-3397,-6981,146669,5422291,11799971,14617720,18625078,17512284,22859434
67,Total Stockholders Equity,70000,47826,26603,-6981,-357931,2841621,2009431,486780,-4725672,-5339523,2491591
68,Total Liabilities And Stockholders Equity,70000,57826,36603,13019,-270801,6837081,5839611,4656140,5482668,5143251,4901909
69,Minority Interest,- -,2174,3397,-3019,2892971,-1,-1,- -,2,- -,- -
70,Total Liabilities & Equity,70000,60000,40000,10000,2622170,6837080,5839610,4656140,5482670,5143251,4901909
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1539680/000151116413000489/0001511164-13-000489-index.html,https://www.sec.gov/Archives/edgar/data/1539680/000151116414000663/0001511164-14-000663-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000151116415000527/0001511164-15-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878217000326/0001078782-17-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878217001507/0001078782-17-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878218001355/0001078782-18-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878219000871/0001078782-19-000871-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878220000851/0001078782-20-000851-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000106299321009979/0001062993-21-009979-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-10000,-20000,-20000,-30000,-453440,-2188100,-6035190,-5515080,-7796520,-924351,2473614
74,Depreciation and Amortization,- -,- -,- -,- -,5120,297457,872103,1041958,42410,44454,55389
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-20000,-20000,-40000,1390400,-1539840,-708460,-2756167,2852867,-608627,-19604
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-34846,578834,54114,146344
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,9666,3887,5200,6699,327372,-567566,82881,-17257,277044,-295901
81,Other Working Capital,70000,50000,30000,-10000,1380400,-159440,-867900,-3624067,-771200,-1379827,-1399431
82,Other Non-Cash Items,10000,31006,22898,41917,-954667,2137118,1027588,4267930,4806514,1639227,-2587759
83,Cash Provided by Operating Activities,- -,-8994,-17102,-28083,-12587,-1293365,-4843959,-2961359,-94729,150703,-78360
84,CAPEX,-10000,- -,- -,- -,- -,-3821211,-734261,-568827,-319838,-107498,-75503
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-250000,-1058384,65000,289000,-224088,-412044,- -
89,Cash Used for Investing Activites,-10000,- -,- -,- -,-250000,-4871211,-669261,-279827,-319838,-464066,-75503
90,Debt Repayment,- -,- -,- -,- -,- -,-397020,-35157,-7405,-478184,-43923,-103493
91,Common Stock Issued,- -,- -,- -,- -,- -,2340323,- -,2600652,- -,- -,- -
92,Common Stock Repurchased,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,250000,3400500,5513003,123000,792435,343450,261030
95,Cash Used/Provided by Financing Activities,80000,- -,- -,- -,250000,5343803,5477846,2716247,314251,299527,157537
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,70000,-8714,-17102,-28083,250000,-820773,-35374,-524939,93164,-13836,3675
98,Cash at the End of Period,70000,57772,40670,12587,- -,563754,528380,3441,96605,73931,77606
99,Cash at the Beginning of Period,- -,66486,57772,40670,12587,1384527,563754,528380,3441,87767,73931
100,Free Cash Flow,-10000,-8994,-17102,-28083,-12587,-5114576,-5578220,-3530186,-414567,43205,-153863
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1539680/000151116413000489/0001511164-13-000489-index.html,https://www.sec.gov/Archives/edgar/data/1539680/000151116414000663/0001511164-14-000663-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000151116415000527/0001511164-15-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878217000326/0001078782-17-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878217001507/0001078782-17-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878218001355/0001078782-18-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878219000871/0001078782-19-000871-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000107878220000851/0001078782-20-000851-index.htm,https://www.sec.gov/Archives/edgar/data/1539680/000106299321009979/0001062993-21-009979-index.htm
102,false,,,,,,,,,,,
