,https://roic.ai/company/CEMI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,291979,198220,170075,189347,318215,331870,447100,334386,304154,384897,632805,1655900,1223171,2431982
77,Change in Working Capital,- -,1195,- -,-113677,108671,-450626,1101855,4463514,-1884509,-1564810,-169944,3066307,1573679,1496411,6590644,-1848842,-2892201,5227908,-6950536,14175134,3849566,1605609,12174532
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,137037,-976723,-2185071,952949,-1850908,263236,-3774768,5915918,-960758,1298389,-5150072,3764045,283939,-8009969
79,Inventory,- -,- -,- -,- -,- -,-72149,-149336,-420967,-344900,-365187,263134,206742,-951125,-187785,-700655,-449573,60274,242837,-1088430,-3077104,-1457612,-6461887,4054701
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3085205
81,Other Working Capital,- -,3496,3496,-110181,-1510,-452136,649719,5113233,3228724,1663914,1493970,4560277,6133956,7630367,14221011,12372169,9479968,14707876,7757340,21932474,25782040,27387649,39562181
82,Other Non-Cash Items,- -,34000,68820,134935,-114073,791745,-1953723,-3880958,2882246,1681986,-447747,-5016619,-985524,-2989186,-6241694,-1617276,6546241,-5829795,6625921,-19547804,-2802037,1504569,-14449736
83,Cash Provided by Operating Activities,- -,-93493,-3995,-26026,- -,-2647807,-4005360,-4202923,-1345796,-1194227,251927,1016850,2268408,761084,2277614,-3820299,1792978,-6704734,-5034515,-11781441,-9055506,-18887238,-30885716
84,CAPEX,- -,- -,- -,- -,- -,-60552,-348741,-374513,-410425,-397462,-390738,-182292,-726680,-872442,-885609,-1452601,-1030585,-118706,-1026954,-1467192,-3799546,-4166862,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550000,-850000,-5491204,45760,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2806,- -,- -,- -,- -,- -,- -,- -,- -,13750,- -,- -,- -,- -,- -,-550000,- -,- -,- -,-297006,-205493,-1857683
89,Cash Used for Investing Activites,- -,2806,- -,- -,- -,-60552,-348741,-374513,-410425,-397462,-376988,-182292,-726680,-872442,-885609,-1452601,-1030585,-668706,-1876954,-6958396,-3753786,-4166862,-1857683
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23458,-23476,-54053,-954677,-68127,-133483,- -,-700000,- -,- -,-64481,-201697,-3209730,-61867
91,Common Stock Issued,- -,100990,- -,- -,- -,1895005,4751061,8583856,558545,- -,- -,- -,- -,- -,5408462,- -,- -,12493398,- -,27476260,- -,28436740,38811958
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-699755,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-200226,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5736,24281,- -,848191,-199649,951799,-145341,- -,4550,287611,287552,120390,31432,237163,- -,57575,134280,71914,18696173,2536592,-59670
95,Cash Used/Provided by Financing Activities,- -,100990,5736,24281,- -,2743196,4551412,8635674,293204,-23458,-18926,233558,-667125,52263,5306411,237163,- -,12550973,134280,27483693,18494476,27763602,38690421
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13027,-9607,61617,85447,-240431
97,Net Change In Cash,- -,10303,1741,- -,- -,2743196,197311,4058238,-1463017,-1615147,-143987,1068116,874603,-59095,6698416,-5035737,762393,5177533,-6764162,8734249,5746801,4794949,5706591
98,Cash at the End of Period,- -,4691,1745,- -,- -,34837,232148,4290386,2827369,1212222,1068235,2136351,3010954,2951859,9650275,4614538,5376931,10554464,3790302,12524551,18271352,23066301,28772892
99,Cash at the Beginning of Period,- -,-5612,4,1745,- -,- -,34837,232148,4290386,2827369,1212222,1068235,2136351,3010954,2951859,9650275,4614538,5376931,10554464,3790302,12524551,18271352,23066301
100,Free Cash Flow,- -,-93493,-3995,-26026,- -,-2708359,-4354101,-4577436,-1756221,-1591689,-138811,834558,1541728,-111358,1392005,-5272900,762393,-6823440,-6061469,-13248633,-12855052,-23054100,-30885716
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092662/000109266206000023/0001092662-06-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266207000032/0001092662-07-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266208000017/0001092662-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266209000024/0001092662-09-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266210000007/0001092662-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000129346211000011/0001293462-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266212000013/0001092662-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266213000024/0001092662-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266214000018/0001092662-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266215000024/0001092662-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266216000121/0001092662-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266217000023/0001092662-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000109266218000013/0001092662-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036119005069/0001140361-19-005069-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036120005780/0001140361-20-005780-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036121008210/0001140361-21-008210-index.htm,https://www.sec.gov/Archives/edgar/data/1092662/000114036122007735/0001140361-22-007735-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
