,https://roic.ai/company/POLA,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,2917999,4783132,26629283,24524040,25240106,23563215,11497308,27180
69,Minority Interest,- -,- -,- -,- -,- -,- -,-11481166,- -
70,Total Liabilities & Equity,2917999,4783132,26629283,24524040,25240106,23563215,16142,27180
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622345/000161577418002313/0001615774-18-002313-index.html,https://www.sec.gov/Archives/edgar/data/1622345/000161577419005133/0001615774-19-005133-index.html,https://www.sec.gov/Archives/edgar/data/1622345/000121390020012207/f10k2019_polarpower.htm,https://www.sec.gov/Archives/edgar/data/1622345/000149315221007482/0001493152-21-007482-index.htm,https://www.sec.gov/Archives/edgar/data/1622345/000149315222008449/0001493152-22-008449-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,575248,-33339,4402810,-757416,-848252,-4044751,-10871,-1414
74,Depreciation and Amortization,94999,143573,207857,255631,385583,1288827,622,549
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,8240,- -,- -,- -,- -
77,Change in Working Capital,-1007245,869714,21379052,-806342,-1028246,-4656904,-16422775,11637
78,Accounts Receivable,-489125,-868416,-2907292,1345680,-4668653,6793089,-256,-3052
79,Inventory,150881,-1192827,-2746492,-647462,-2984716,-5710431,3400,77
80,Accounts Payable,-120558,104823,476471,98398,308662,-491905,-264,16
81,Other Working Capital,675624,1545338,22924390,22118048,21089802,16432898,10123,21760
82,Other Non-Cash Items,- -,-1600675,-25362663,-287243,-6356778,5246144,16426476,-20152
83,Cash Provided by Operating Activities,-336998,-620727,627056,-1587130,-7847693,-2166684,-6548,-9380
84,CAPEX,-85140,-223423,-165088,-342121,-574990,-338190,-19,-71
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-133000,-180000,-131215,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-218140,-403423,-296303,-342121,-574990,-338190,-19,-71
90,Debt Repayment,-152149,-4665924,-344197,-111744,-138402,-255145,- -,- -
91,Common Stock Issued,1165000,500000,16957334,- -,- -,- -,2812,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-39942,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4900000,-965150,- -,- -,- -,2561,12906
95,Cash Used/Provided by Financing Activities,1012851,734076,15647987,-111744,-138402,-295087,5373,12906
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,457713,-290074,15978740,-2040995,-8561085,-2799961,-1194,3455
98,Cash at the End of Period,553492,263418,16242158,14201163,5640078,2840117,1646,5101
99,Cash at the Beginning of Period,95779,553492,263418,16242158,14201163,5640078,2840,1646
100,Free Cash Flow,-422138,-844150,461968,-1929251,-8422683,-2504874,-6567,-9451
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622345/000161577418002313/0001615774-18-002313-index.html,https://www.sec.gov/Archives/edgar/data/1622345/000161577419005133/0001615774-19-005133-index.html,https://www.sec.gov/Archives/edgar/data/1622345/000121390020012207/f10k2019_polarpower.htm,https://www.sec.gov/Archives/edgar/data/1622345/000149315221007482/0001493152-21-007482-index.htm,https://www.sec.gov/Archives/edgar/data/1622345/000149315222008449/0001493152-22-008449-index.htm
102,false,,,,,,,,
