,https://roic.ai/company/XTNT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.07,-17.46,-66.58,-8.73,-19.65,-29.47,-19.21,-2.62,-18.34,-34.49,-5.93,-0.63,-0.25,-0.06
27,Weighted Average Shares Outstanding,242398,242398,294834,356827,388906,435494,545553,829709,1064290,1519650,11826537,13260343,28499847,85456175
28,Weighted Average Shares Outstanding Diluted,242398,242398,294834,356827,388906,435494,545553,829709,1064290,1519650,11826537,13260343,28499847,85456175
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1453593/000147793210000163/0001477932-10-000163-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420411021150/v215947_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420412017964/0001144204-12-017964-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420413017789/0001144204-13-017789-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420414018395/v371640_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420415017019/v402499_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420416090163/0001144204-16-090163-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420417017200/0001144204-17-017200-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420418018725/0001144204-18-018725-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315219004396/0001493152-19-004396-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315220003410/0001493152-20-003410-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315221004676/0001493152-21-004676-index.htm,https://www.sec.gov/Archives/edgar/data/1453593/000149315222006240/0001493152-22-006240-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,43717,46012,327481,751111,4926066,3046340,4468208,6368016,2578267,2855959,6797000,5237000,2341000,18243000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,43717,46012,327481,751111,4926066,3046340,4468208,6368016,2578267,2855959,6797000,5237000,2341000,18243000
34,Net Receivables,59494,68889,4135065,7083354,7154065,4793834,4427081,15385218,18991872,12714386,9990000,10124000,6880000,7154000
35,Inventory,26343,18978,5440638,8479710,13141421,10753600,9558648,22684716,26266457,22228587,17301000,16101000,21408000,17945000
36,Other Current Assets,10172,3894,572015,289326,353271,574910,654140,985471,1149615,1705963,589000,784000,736000,988000
37,Total Current Assets,139726,137773,10475199,16603501,25574823,19168684,19108077,45423421,48986211,39504895,34677000,32246000,31365000,44330000
38,PP&E,- -,3248096,3397320,3774140,5234867,5180556,4654527,11816629,15840730,9913439,7174000,6795000,4347000,6470000
39,Goodwill,- -,- -,- -,728618,728618,- -,- -,41534626,41534626,41534626,3205000,3205000,3205000,3205000
40,Intangible Assets,- -,554268,355639,656133,592378,586965,655490,40237289,35940810,13826373,573000,515000,457000,400000
41,Intangible Assets,- -,554268,355639,1384751,1320996,586965,655490,81771915,77475436,55360999,3778000,3720000,3662000,3605000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,13675,1535457,1407456,2364868,3941423,3532797,4047473,1799228,925250,793000,394000,- -,287000
45,Total Non-Current Assets,- -,- -,5288416,6566347,8920731,9708944,8842814,97636017,95115394,66199688,11745000,10909000,8009000,10362000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,139726,137773,15763615,23169848,34495554,28877628,27950891,143059438,144101605,105704583,46422000,43155000,39374000,54692000
48,Accounts Payable,51480,15603,2833273,2654263,3997789,2767639,3876760,9386531,10471944,9315424,6465000,2188000,2289000,2615000
49,Short-Term Debt,- -,3418583,264254,1666769,194864,219653,112641,35139,10693130,365476,426000,570000,17240000,4113000
50,Tax Payable,- -,1834,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,76905,-3393289,11082281,6619920,4501776,6664259,4493051,12052965,9956242,16136896,5160000,6632000,6120000,4349000
53,Total Current Liabilities,128385,40897,14179808,10940952,8694429,9651551,8482452,21474635,31121316,25817796,12051000,9390000,25649000,11077000
54,Long-Term Debt,- -,412545,2189866,6638270,14483102,16385245,20870330,112700476,119221434,137962482,77939000,76244000,16797000,12732000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,13185,89580,7085638,6683009,6373024,7800,832152,623297,204000,1726000,- -,- -
58,Total Non-Current Liabilities,- -,412545,2203051,6727850,21568740,23068254,27243354,112708276,120053586,138585779,78143000,77970000,16797000,12732000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,112145,43290,123371,395432,245703,73778,42939,1076999,988773,630000,2296000,1746000,1438000
61,Total Liabilities,128385,40897,16382859,17668802,30263169,32719805,35725806,134182911,151174902,164403575,90194000,87360000,26952000,23809000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6,37,40,43,53,7,11,17,2,- -,- -,- -,- -
64,Retained Earnings,-8056,75,-36945257,-39951726,-47665548,-60358673,-70866542,-73040972,-92534524,-144945786,-215045000,-223266000,- -,-235185000
65,Other Comprehensive Income/Loss,- -,-2358389,-2992216,-3693965,-4337955,-4968659,-4873258,-5425524,-7857143,-11287581,-12909000,-15591000,- -,- -
66,Other Total Stockholders Equity,19397,2455184,39318192,49146697,56235845,61485102,67964878,87343012,93318353,97534373,184182000,194652000,14514000,- -
67,Total Stockholders Equity,11341,96876,-619244,5501046,4232385,-3842177,-7774915,8876527,-7073297,-58698992,-43772000,-44205000,14514000,30883000
68,Total Liabilities And Stockholders Equity,139726,137773,15763615,23169848,34495554,28877628,27950891,143059438,144101605,105704583,46422000,43155000,41466000,54692000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2092000,- -
70,Total Liabilities & Equity,139726,137773,15763615,23169848,34495554,28877628,27950891,143059438,144101605,105704583,46422000,43155000,39374000,54692000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1453593/000147793210000163/0001477932-10-000163-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420411021150/v215947_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420412017964/0001144204-12-017964-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420413017789/0001144204-13-017789-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420414018395/v371640_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420415017019/v402499_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420416090163/0001144204-16-090163-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420417017200/0001144204-17-017200-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420418018725/0001144204-18-018725-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315219004396/0001493152-19-004396-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315220003410/0001493152-20-003410-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315221004676/0001493152-21-004676-index.htm,https://www.sec.gov/Archives/edgar/data/1453593/000149315222006240/0001493152-22-006240-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-15845,8131,-19467922,-3006469,-7713822,-12693125,-10507869,-2174430,-19493552,-52411262,-70099000,-8221000,-7023000,-4849000
74,Depreciation and Amortization,- -,707926,682544,755387,782889,753522,952320,4889272,7241870,8408594,6590000,3143000,2079000,1332000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,837350,- -,2555727,1554657,838847,935316,836741,522987,211809,694000,515000,1084000,2209000
77,Change in Working Capital,54489,85535,-3801485,9367158,11217845,-7363261,1108492,13323161,-6083891,-4177796,8938901,230000,-17140000,793000
78,Accounts Receivable,-33362,-9395,-2283079,-4818826,-414860,797680,283624,-5512429,-2680405,4746876,2536000,-647000,307000,-319000
79,Inventory,-7156,13643,-2618200,-2365403,-5271950,747691,-17392,-545713,-4074086,2122274,40000,692000,485000,2624000
80,Accounts Payable,- -,150349,1429413,334183,1249255,-1001228,715706,644149,319091,-1636580,-3011000,-4278000,101000,-332000
81,Other Working Capital,11341,96876,-3704609,5662549,16880394,9517133,10625625,23948786,17864895,13687099,22626000,22856000,5716000,- -
82,Other Non-Cash Items,- -,-1714051,14214895,-17033941,-16633901,12843093,187682,-25974612,3405290,47425475,55088099,3920000,20269000,954000
83,Cash Provided by Operating Activities,38644,-75109,-8371968,-7362138,-10792332,-5620924,-7324059,-9099868,-14407296,-543180,1212000,-413000,-731000,439000
84,CAPEX,- -,-93665,-816372,-1099717,-1836777,-693300,-299978,-2263033,-5832690,-1640666,-624000,-879000,-1545000,-2115000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-72975200,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,91954,-33321,-55013,-11163,658363,1626,1667195,16400,32500,-367000,335000,241000,225000
89,Cash Used for Investing Activites,- -,49865,-816372,-1017319,-1836777,35318,-298352,-73571038,-5816290,-1608166,-367000,-544000,-1304000,-1890000
90,Debt Repayment,- -,-782467,-4705159,-5151686,-9863407,-771696,-825354,-1427574,-144600,-88228,-359000,-455000,-156000,-36953000
91,Common Stock Issued,- -,1950000,5160963,2974618,3879749,4450001,5869633,2632332,3087462,178455,6811000,- -,620000,18426000
92,Common Stock Repurchased,- -,- -,-726707,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1090129,9732569,10980155,22787722,27575,4000000,83365956,13490975,2338811,-3356000,-148000,-1325000,36024000
95,Cash Used/Provided by Financing Activities,- -,77404,9461666,8803087,16804064,3705880,9044279,84570714,16433837,2429038,3096000,-603000,-861000,17497000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,38644,2295,273326,423630,4174955,-1879726,1421868,1899808,-3789749,277692,3941000,-1560000,-2896000,16046000
98,Cash at the End of Period,43717,46012,327481,751111,4926066,3046340,4468208,6368016,2578267,2855959,6797000,5237000,2341000,18387000
99,Cash at the Beginning of Period,5073,43717,54155,327481,751111,4926066,3046340,4468208,6368016,2578267,2856000,6797000,5237000,2341000
100,Free Cash Flow,38644,-75109,-9188340,-8461855,-12629109,-6314224,-7624037,-11362901,-20239986,-2183846,588000,-1292000,-2276000,-1676000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1453593/000147793210000163/0001477932-10-000163-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420411021150/v215947_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420412017964/0001144204-12-017964-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420413017789/0001144204-13-017789-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420414018395/v371640_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420415017019/v402499_10k.htm,https://www.sec.gov/Archives/edgar/data/1453593/000114420416090163/0001144204-16-090163-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420417017200/0001144204-17-017200-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000114420418018725/0001144204-18-018725-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315219004396/0001493152-19-004396-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315220003410/0001493152-20-003410-index.html,https://www.sec.gov/Archives/edgar/data/1453593/000149315221004676/0001493152-21-004676-index.htm,https://www.sec.gov/Archives/edgar/data/1453593/000149315222006240/0001493152-22-006240-index.htm
102,false,,,,,,,,,,,,,,
