,https://roic.ai/company/NINE,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,2.06,-1.82,-3.50,-2.92,-2.17,-7.43,-12.74,-2.13
27,Weighted Average Shares Outstanding,23300600,21492757,20268540,23184379,24411213,29308107,29744830,30302925
28,Weighted Average Shares Outstanding Diluted,23300600,21492757,20268540,23184379,24411213,29308107,29744830,30302925
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1532286/000156459018007130/0001564590-18-007130-index.html,https://www.sec.gov/Archives/edgar/data/1532286/000153228619000004/0001532286-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228620000005/0001532286-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228621000006/0001532286-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228622000006/0001532286-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,18877000,4074000,17513000,63615000,92989000,68864000,21509000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,18877000,4074000,17513000,63615000,92989000,68864000,21509000
34,Net Receivables,- -,58228000,61986000,99565000,162409000,97549000,42627000,65418000
35,Inventory,- -,13875000,15169000,22230000,91435000,60945000,38402000,- -
36,Other Current Assets,- -,6431000,9485000,7929000,15717000,17434000,16270000,- -
37,Total Current Assets,- -,97411000,90714000,147237000,333176000,268917000,166163000,- -
38,PP&E,- -,325894000,273210000,259039000,211644000,128604000,140605000,- -
39,Goodwill,- -,137493000,125286000,93756000,307804000,296196000,- -,- -
40,Intangible Assets,- -,85227000,76144000,63545000,282162000,148991000,132524000,- -
41,Intangible Assets,- -,222720000,201430000,157301000,589966000,445187000,132524000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12409000,10740000,15282000,6386000,8187000,3308000,2383000
45,Total Non-Current Assets,- -,561023000,485380000,431622000,807996000,581978000,276437000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,381613000
47,Total Assets,- -,658434000,576094000,578859000,1141172000,850895000,442600000,381613000
48,Accounts Payable,- -,18437000,18823000,29643000,46132000,35490000,18140000,28680000
49,Short-Term Debt,- -,10625000,18247000,241509000,- -,- -,8136000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,13132000,12417000,15268000,62156000,25725000,17139000,- -
53,Total Current Liabilities,- -,42194000,49487000,286420000,108288000,61215000,43415000,- -
54,Long-Term Debt,- -,239016000,226287000,- -,424978000,392059000,376118000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,22798000,10637000,5017000,5915000,1588000,- -,- -
57,Other Non-Current Liabilities,- -,1750000,1497000,64000,7168000,6156000,2658000,1613000
58,Total Non-Current Liabilities,- -,263564000,238421000,5081000,438061000,399803000,378776000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,420880000
60,Capital Lease Obligations,- -,- -,- -,- -,2995000,3196000,40696000,- -
61,Total Liabilities,- -,305758000,287908000,291501000,546349000,461018000,422191000,420880000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16000,16000,158000,302000,306000,316000,- -
64,Retained Earnings,- -,44512000,-26399000,-94081000,-147064000,-364815000,-743835000,-808410000
65,Other Comprehensive Income/Loss,- -,-109196000,-3000000,-4000000,-5000000,-4000000,-4501000,-4535000
66,Other Total Stockholders Equity,- -,417344000,317569000,385281000,746585000,758386000,768429000,- -
67,Total Stockholders Equity,- -,352676000,288186000,287358000,594823000,389877000,20409000,-39267000
68,Total Liabilities And Stockholders Equity,- -,658434000,576094000,578859000,1141172000,850895000,442600000,381613000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,658434000,576094000,578859000,1141172000,850895000,442600000,381613000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1532286/000156459018007130/0001564590-18-007130-index.html,https://www.sec.gov/Archives/edgar/data/1532286/000153228619000004/0001532286-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228620000005/0001532286-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228621000006/0001532286-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228622000006/0001532286-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-39117000,-70911000,-67682000,-52983000,-217751000,-378948000,- -
74,Depreciation and Amortization,- -,67544000,64343000,62221000,63815000,68911000,57795000,- -
75,Deferred Income Tax,- -,-15836000,-12159000,-5815000,898000,-4327000,-1588000,- -
76,Stock Based Compensation,- -,5473000,5711000,7568000,13221000,14057000,9744000,- -
77,Change in Working Capital,- -,80083000,-13990000,-180410000,364071000,-17186000,-84954000,-24994000
78,Accounts Receivable,- -,88880000,2073000,-52180000,-24972000,41852000,52914000,- -
79,Inventory,- -,3524000,-558000,-8212000,-15041000,22545000,13600000,- -
80,Accounts Payable,- -,-24141000,- -,12530000,- -,- -,- -,12447000
81,Other Working Capital,- -,55217000,41227000,-139183000,224888000,207702000,122748000,- -
82,Other Non-Cash Items,- -,42220000,23716000,189789000,-299445000,257601000,393050000,-15422000
83,Cash Provided by Operating Activities,- -,140367000,-3290000,5671000,89577000,101305000,-4901000,-40416000
84,CAPEX,- -,-26726000,-9130000,-45216000,-46646000,-64959000,-9417000,- -
85,Acquisitions Net,- -,-397000,- -,-1000000,-349986000,17934000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,7872000,4954000,1752000,6867000,12904000,7639000,- -
89,Cash Used for Investing Activites,- -,-19251000,-4176000,-44464000,-389765000,-34121000,-1778000,- -
90,Debt Repayment,- -,-142921000,-82536000,-61034000,-367285000,-45903000,-15837000,- -
91,Common Stock Issued,- -,419000,500000,61374000,171750000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-927000,-1643000,-158000,- -
93,Dividends Paid,- -,- -,- -,-2438000,- -,- -,- -,- -
94,Other Financing Activites,- -,15624000,74721000,54440000,543153000,9641000,-1390000,-627000
95,Cash Used/Provided by Financing Activities,- -,-126878000,-7315000,52342000,346691000,-37905000,-17385000,- -
96,Effect of Forex Changes on Cash,- -,403000,-22000,-110000,-401000,95000,-61000,- -
97,Net Change In Cash,- -,-5359000,-14803000,13439000,46102000,29374000,-24125000,- -
98,Cash at the End of Period,- -,18877000,4074000,17513000,63615000,92989000,68864000,21509000
99,Cash at the Beginning of Period,- -,24236000,18877000,4074000,17513000,63615000,92989000,- -
100,Free Cash Flow,- -,113641000,-12420000,-39545000,42931000,36346000,-14318000,- -
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1532286/000156459018007130/0001564590-18-007130-index.html,https://www.sec.gov/Archives/edgar/data/1532286/000153228619000004/0001532286-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228620000005/0001532286-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228621000006/0001532286-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1532286/000153228622000006/0001532286-22-000006-index.htm
102,false,,,,,,,,
