,https://roic.ai/company/HPTO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,Infinity,-Infinity,-1.9444,-1.2390,-2.6186,-2.4873,-0.4524,-0.4044,-0.2215,-0.5870,0.0168,-0.3916,-0.2254,-0.1112,-0.2675,-1.2500,-0.6361,-0.6472,-0.8816,-0.4631,0.1544,-0.0100,0.1570,0.1904,0.2913
25,EPS,0.15,-2.55,-10.65,-9.75,-14.55,-7.50,-1.65,-1.05,-1.80,-1.05,0.06,-0.90,-0.60,-0.30,-0.45,-1.50,-0.60,-0.45,-0.52,-0.19,0.06,-0.00,0.06,0.05,0.08
26,EPS Diluted,0.15,-2.55,-10.65,-9.75,-14.55,-7.50,-1.65,-1.05,-1.80,-1.05,0.06,-0.90,-0.60,-0.30,-0.45,-1.50,-0.60,-0.45,-0.52,-0.19,0.06,-0.00,0.05,0.05,0.07
27,Weighted Average Shares Outstanding,101000,125000,663344,959767,1067189,1164345,1107160,1420538,2788916,3080134,3120315,3134869,3147539,3064928,3840292,5476918,6027338,7440210,8433215,9770076,9804400,10150867,9821177,13874699,13874699
28,Weighted Average Shares Outstanding Diluted,101000,125000,663344,959767,1067189,1164345,1107160,1420538,2788916,3080134,3120315,3134869,3147539,3064928,3840292,5476918,6027338,7440210,8433215,9770076,9804400,10150867,10287183,14117850,14117850
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021435/000149315220006399/0001493152-20-006399-index.htm,https://www.sec.gov/Archives/edgar/data/1021435/000149315221007517/0001493152-21-007517-index.htm,https://www.sec.gov/Archives/edgar/data/1021435/000149315222008556/0001493152-22-008556-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,1958200,1025500,675300,3528100,2937100,5260800,3742200,2852900,1891000,7237500,3960600,2430700,1557100,1777300,546200,1015400,892500,1541900,4375300,4755300
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417600
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,1958200,1025500,675300,3528100,2937100,5260800,3742200,2852900,1891000,7237500,3960600,2430700,1557100,1777300,546200,1015400,892500,1541900,4375300,5172900
34,Net Receivables,- -,- -,- -,- -,- -,337900,521100,518900,763300,680400,886600,970000,839600,1015900,732100,865900,811700,2211300,434900,355300,426800,210800,271200,417300,558600
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,192000,23100,24100,43700,65300,42600,63400,64500,84100,151900,150200,43100,98100,139200,38700,112900,79000,59000,48500,52700
37,Total Current Assets,- -,- -,- -,- -,- -,2488100,1569700,1218300,4335100,3682800,6190000,4775600,3757000,2991000,8121500,4976700,3285500,3866500,2351400,940200,1555100,1182300,1872100,4841100,5784200
38,PP&E,- -,- -,- -,- -,- -,421900,144800,75400,94800,129400,134700,182700,127100,69900,43900,358900,302100,362500,252500,143300,30800,400,- -,- -,8200
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,335000,- -,4599500,3636100,2744900,984000,511700,39300,303800,223100,619400,408700,20800,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,335000,- -,4599500,3636100,2744900,984000,511700,39300,303800,223100,619400,408700,20800,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,1639600,512500,930700,7300,4700,4800,20200,14800,245800,39400,46900,139900,139700,109000,109000,17800,17800,- -,- -,17800
45,Total Non-Current Assets,- -,- -,- -,- -,- -,2061500,992300,1006100,4701600,3770200,2884400,1186900,653600,355000,387100,628900,1061400,910900,382300,252300,48600,18200,- -,- -,26000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800,17800,- -
47,Total Assets,- -,- -,- -,- -,- -,4549600,2562000,2224400,9036700,7453000,9074400,5962500,4410600,3346000,8508600,5605600,4346900,4777400,2733700,1192500,1603700,1200500,1889900,4858900,5810200
48,Accounts Payable,- -,- -,- -,- -,- -,228700,52300,250200,145800,232500,196200,205700,321800,75700,121500,159600,244600,204600,385200,575500,251700,318700,271900,251000,260800
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700,8400,6800,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,796100,1192000,689800,1014600,1153100,1475000,1744600,1862600,2058300,2878500,2948300,2804100,2903800,2488000,1783100,1845100,1300300,1256000,1084900,1033800
52,Other Current Liabilities,- -,- -,- -,- -,- -,795100,470800,491500,681000,560800,671000,590000,664400,593300,637200,789000,662400,781900,632800,971400,1406100,279500,242400,223600,173100
53,Total Current Liabilities,- -,- -,- -,- -,- -,1819900,1715100,1431500,1841400,1946400,2342200,2540300,2848800,2727300,3637200,3896900,3711100,3898000,3514400,3336800,3502900,1898500,1770300,1559500,1467700
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,858500,836200,640200,457200,570400,476200,1652600,1465800,1694600,1409700,491500,- -,- -,373900
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,426600,777400,1654500,1833100,28400,- -,- -,3696600,7570500,1064400,820700,146500,84000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,426600,777400,1654500,1833100,886900,836200,640200,4153800,8140900,1540600,2473300,1612300,1778600,1409700,491500,- -,- -,373900
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529500,383000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22900,15200,6800,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,1819900,1715100,1858100,2618800,3600900,4175300,3427200,3685000,3367500,7791000,12037800,5251700,6371300,5126700,5115400,4912600,2390000,2299800,1942500,1841600
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1700,1700,2200,4600,4700,4800,4700,4600,4600,8200,8300,9800,11200,14600,14700,14700,1000,1000,1900,1900
64,Retained Earnings,- -,- -,- -,- -,- -,-43201800,-45088400,-46515900,-51663100,-54698200,-54504700,-57131500,-58092400,-58928100,-60689200,-68865900,-72611900,-76205800,-80596900,-82449800,-81849200,-80488700,- -,- -,-78188500
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-52700,-51700,-50700,-266300,-260100,-991900,-1071400,-1158200,-1240700,-1292300,-1340700,-1521300,-345400,-462700,-473600,-325000,-155500,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,45982500,45985300,46930700,58342700,58805700,60390900,60733500,59971600,60142700,62690900,63766100,73218600,74946100,78652000,78985800,78850600,79453700,-410900,2914500,82155200
67,Total Stockholders Equity,- -,- -,- -,- -,- -,2729700,846900,366300,6417900,3852100,4899100,2535300,725600,-21500,717600,-6432200,-904800,-1593900,-2393000,-3922900,-3308900,-1189500,-409900,2916400,3968600
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,4549600,2562000,2224400,9036700,7453000,9074400,5962500,4410600,3346000,8508600,5605600,4346900,4777400,2733700,1192500,1603700,1200500,1889900,4858900,5810200
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,4549600,2562000,2224400,9036700,7453000,9074400,5962500,4410600,3346000,8508600,5605600,4346900,4777400,2733700,1192500,1603700,1200500,1889900,4858900,5810200
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021435/000149315220006399/0001493152-20-006399-index.htm,https://www.sec.gov/Archives/edgar/data/1021435/000149315221007517/0001493152-21-007517-index.htm,https://www.sec.gov/Archives/edgar/data/1021435/000149315222008556/0001493152-22-008556-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6637,-315991,-7000000,-9374700,-15478000,-8792500,-1886600,-1427500,-1147200,-3035100,193500,-2626800,-1820200,-835700,-1761100,-8176700,-3746000,-3593900,-4391100,-1852900,600600,-31400,554300,693700,1052200
74,Depreciation and Amortization,- -,- -,2600000,3204200,4109800,2085800,1248400,664700,1068500,1014600,958700,972100,559100,595000,234800,259700,330600,385000,334800,94600,51200,29700,400,- -,1600
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342400,143200,79400,263100,972400,798200,586600,745600,321700,13400,- -,- -,- -,- -
77,Change in Working Capital,96209,-7150,3575,- -,- -,668200,-813600,-67800,2706900,-757300,2111400,-1612500,-1327100,-644500,4220600,-3404500,-1505400,394100,-1131500,-1233600,448800,1231600,818000,3179800,1034900
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113600,130400,-177100,291600,-142700,46100,-1390200,1791700,89200,-71600,220200,-64100,-144700,-142400
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500,114300,-246100,- -,-9800,68600,- -,- -,- -,-323800,67000,-46800,-20900,9800
81,Other Working Capital,3575,-3575,- -,- -,- -,668200,-145400,-213200,2493700,1736400,3847800,2235300,908200,263700,4484300,1079800,-425600,-31500,-1163000,-2396600,-1947800,-716200,101800,3281600,4316500
82,Other Non-Cash Items,- -,315023,-1203575,4605200,4615500,1432500,741000,-32400,-1881000,2319500,-934100,1592100,1716200,131100,-3513100,7384200,-194700,-2270600,2222100,1423700,-958700,-1337300,-723500,-3520700,-1678100
83,Cash Provided by Operating Activities,102846,-8118,-5600000,-1565300,-6752700,-4606000,-710800,-863000,747200,-458300,2329500,-1332700,-728800,-674700,-555700,-2964900,-4317300,-4498800,-2220100,-1246500,155300,-107400,649200,352800,410600
84,CAPEX,- -,- -,-300000,-1262000,-596500,-82900,-1600,-33400,-70600,-85800,-73800,-106300,-29400,-299300,-233900,-361800,-617000,-50600,-19300,- -,- -,- -,- -,- -,-9800
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2000000,-7020400,-4779900,-768300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-290600
87,Sales/Maturities of Investments,- -,- -,- -,3481000,7338900,3776300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6198488,-291219,-300000,-6267400,417100,-296900,-224100,-402100,-2500,2600,-100,-106500,-32500,-292600,-233900,-361800,-617000,-50600,-19300,23300,320900,- -,- -,- -,269800
89,Cash Used for Investing Activites,-6198488,-291219,-2600000,-11068800,2379600,2628200,-225700,-435500,-772100,-83200,-73900,-106500,-32500,-292600,-233900,-361800,-617000,-50600,-19300,23300,320900,- -,- -,- -,-30600
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,-9400,-9400,-7000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,15400000,12263000,189900,6400,2800,1165900,3345000,8500,- -,8300,1700,400,6125500,- -,- -,3390000,2550500,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-467300,- -,- -,-87700,-129700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6361612,33000,-500000,90300,-63700,-26600,- -,-218600,- -,-58000,68100,- -,- -,5000,10600,49800,3404400,287800,-81500,1500,- -,-15500,200,2480600,- -
95,Cash Used/Provided by Financing Activities,6361612,33000,14900000,12353300,126200,-20200,2800,947300,2877700,-49500,68100,-79400,-128000,5400,6136100,49800,3404400,3675800,2459600,-7900,-7000,-15500,200,2480600,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,-600,-600,3600,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,265970,-266337,6700000,-281400,-4247500,-1994400,-932700,-350200,2852800,-591000,2323700,-1518600,-889300,-961900,5346500,-3276900,-1529900,-873600,220200,-1231100,469200,-122900,649400,2833400,380000
98,Cash at the End of Period,266533,196,8500000,8200100,3952600,1958200,1025500,675300,3528100,2937100,5260800,3742200,2852900,1891000,7237500,3960600,2430700,1557100,1777300,546200,1015400,892500,1541900,4375300,4755300
99,Cash at the Beginning of Period,563,266533,1800000,8481500,8200100,3952600,1958200,1025500,675300,3528100,2937100,5260800,3742200,2852900,1891000,7237500,3960600,2430700,1557100,1777300,546200,1015400,892500,1541900,4375300
100,Free Cash Flow,102846,-8118,-5900000,-2827300,-7349200,-4688900,-712400,-896400,676600,-544100,2255700,-1439000,-758200,-974000,-789600,-3326700,-4934300,-4549400,-2239400,-1246500,155300,-107400,649200,352800,400800
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021435/000149315220006399/0001493152-20-006399-index.htm,https://www.sec.gov/Archives/edgar/data/1021435/000149315221007517/0001493152-21-007517-index.htm,https://www.sec.gov/Archives/edgar/data/1021435/000149315222008556/0001493152-22-008556-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
