,https://roic.ai/company/CGLO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,COGS and Expenses,- -,120000,430000,540000,1180000,790000,30000,454114,3560000,4050000,1990000,2160000,1400000,2570000,11020000,970000,650000,1100000,450000,1320000,3420000,4833168,5354
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1460,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,-20000,-40000,40000,-40000,16603,-90000,-160000,-40000,-20000,-1230000,10166,-430000,2360000,950000,-70000,-10000,-40000,606527,17211,165
14,Depreciation and Amortization,- -,- -,- -,- -,10000,50000,- -,29479,28554,22518,20240,19975,29911,10086,29731,6361,1752,88597,- -,5614,249,1993,2031
15,EBITDA,- -,-30000,-370000,-470000,-1080000,-180000,-170000,-417115,-3671446,-4297482,-1999760,-2160025,-3690089,-1539748,-11800269,3796361,1291752,-1141403,-430000,-1354386,-3413224,-4727893,-3322
16,EBITDA ratio,- -,-0.3333,-7.4000,-4.7000,-6.3529,-0.3673,-Infinity,-56.3440,-91.7862,-85.9496,-39.9952,-216.0025,-28.3853,-3.0795,-295.0067,94.9090,16.1469,-22.8281,-14.3333,-33.8597,-341.3224,-Infinity,-7986.5409
17,Operating Income,- -,-30000,-370000,-440000,-1010000,-300000,-30000,-446711,-3522418,-4000067,-1939234,-2145092,-1262511,-2079374,-10975794,-929790,-577175,-1059665,-415787,-1273306,-3411352,-4833168,-5353401
18,Operating Income ratio,- -,-0.3333,-7.4000,-4.4000,-5.9412,-0.6122,-Infinity,-60.3419,-88.0605,-80.0013,-38.7847,-214.5092,-9.7116,-4.1587,-274.3949,-23.2447,-7.2147,-21.1933,-13.8596,-31.8327,-341.1352,-Infinity,-12868752.4038
19,Total Other Income Expenses (Gains),- -,- -,- -,-10000,-40000,30000,10000,-16486,-87582,-159933,-40766,-14908,-1227489,519374,-424206,2359790,917175,-100335,-4213,-46694,-608648,-17211,5347883
20,Income Before Tax,- -,-30000,-370000,-450000,-1050000,-270000,-20000,-463197,-3610000,-4160000,-1980000,-2160000,-2490000,-1560000,-11400000,1430000,340000,-1160000,-420000,-1320000,-4020000,-4850379,-5518
21,Income Before Tax Ratio,- -,-0.3333,-7.4000,-4.5000,-6.1765,-0.5510,-Infinity,-62.5688,-90.2500,-83.2000,-39.6000,-216.0000,-19.1538,-3.1200,-285.0000,35.7500,4.2500,-23.2000,-14.0000,-33.0000,-402.0000,-Infinity,-13265.3870
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-30000,-370000,-450000,-1050000,-270000,-130000,-463197,-3610000,-4160000,-1980000,-2160000,-2490000,-1560000,-11400000,1430000,340000,-1160000,-420000,-1320000,-4020000,-4850379,-5518
24,Net Income ratio,- -,-0.3333,-7.4000,-4.5000,-6.1765,-0.5510,-Infinity,-62.5688,-90.2500,-83.2000,-39.6000,-216.0000,-19.1538,-3.1200,-285.0000,35.7500,4.2500,-23.2000,-14.0000,-33.0000,-402.0000,-Infinity,-13265.3870
25,EPS,- -,-0.00,-0.01,-0.02,-0.04,-0.01,-0.01,-300.00,-2000.00,-2300.00,-197715.80,-29652.59,-14490.17,-10555.20,-5880.00,280.00,16.95,-8.00,-2.00,-8.70,-0.26,-0.21,-0.22
26,EPS Diluted,- -,-0.00,-0.01,-0.02,-0.04,-0.01,-0.01,-300.00,-2000.00,-2300.00,-197715.80,-29652.59,-14490.17,-10555.20,-5880.00,280.00,16.95,-8.00,-2.00,-8.70,-0.26,-0.21,-0.22
27,Weighted Average Shares Outstanding,- -,25459090,25459090,25459090,25459090,25459090,25459090,1534,1787,1787,10,73,172,197,1945,5308,20156,133967,143780,151277,15650460,23088483,24662982
28,Weighted Average Shares Outstanding Diluted,- -,25459090,25459090,25459090,25459090,25459090,25459090,1534,1787,1787,10,73,172,197,1945,5308,20156,133967,143780,151277,15650460,23088483,24662982
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842013/000101376208000633/0001013762-08-000633-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1450015/000107878212000894/0001078782-12-000894-index.html,- -,https://www.sec.gov/Archives/edgar/data/842013/000101376214000356/0001013762-14-000356-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000101376215000309/0001013762-15-000309-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/842013/000121390018005872/0001213900-18-005872-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390019006167/0001213900-19-006167-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390020009083/0001213900-20-009083-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390021019290/0001213900-21-019290-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,10000,20000,20000,- -,270506,98955,1367415,7844,1513,499652,198173,234356,266843,36170,38371,13118,730,223576,470800,583825
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,10000,20000,20000,- -,270506,99675,1367415,7844,1513,499652,198173,234356,266843,36170,38371,13118,730,223576,470800,583825
34,Net Receivables,- -,- -,20000,30000,30000,20000,- -,- -,- -,2808,- -,- -,2468,617,391,2914,5425,4965,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,140000,90000,30000,- -,- -,- -,- -,- -,- -,22184,53925,55458,54507,23412,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,10000,-10000,10000,- -,- -,- -,10000,26082,17810,- -,6173,63585,65317,15875,8648,2938,2938,2938,- -,6718,393756
37,Total Current Assets,- -,- -,30000,170000,150000,70000,- -,270506,109675,1396305,25654,1513,530477,316300,355522,340139,73655,46274,16056,3668,223576,477518,977581
38,PP&E,- -,- -,- -,30000,270000,360000,- -,72802,49481,63352,54514,34539,67574,10278,1529,413,- -,- -,- -,- -,9715,7722,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,50000,50000,50000,- -,- -,1100,1339,1339,1339,1339,27566,168584,262679,265792,- -,- -,1979,- -,- -,- -
41,Intangible Assets,- -,- -,- -,50000,50000,50000,- -,- -,1100,1339,1339,1339,1339,27566,168584,262679,265792,- -,- -,1979,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10000,- -,- -,- -,- -,2785,2785,14990,14475,55620,- -,- -,- -,- -,- -,- -,- -,- -,1979,1979,- -
45,Total Non-Current Assets,- -,- -,- -,80000,320000,410000,- -,75587,53366,79681,70328,91498,68913,37844,170113,263092,265792,- -,- -,1979,11694,9701,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10183
47,Total Assets,- -,- -,30000,250000,470000,480000,- -,346093,163041,1475986,95982,93011,599390,354144,525635,603231,339447,46274,16056,5647,235270,487219,987764
48,Accounts Payable,- -,- -,90000,40000,210000,460000,10000,28000,51092,184814,79069,- -,- -,180244,138211,52915,47697,14857,78865,235589,223067,153551,534223
49,Short-Term Debt,- -,- -,80000,320000,340000,380000,- -,- -,701200,1102104,169908,544177,- -,- -,- -,9177,122538,15681,352104,674037,185829,180382,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4895,33868,6343,5942,1362,9575,9855,4313,2075,684,439,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,10000,10000,80000,210000,80000,560000,- -,6762,50000,- -,147418,317253,- -,5618819,1062141,51,19067,12567,19406,300995,- -,151528
53,Total Current Liabilities,- -,10000,180000,440000,760000,920000,570000,32895,792922,1343261,254919,692957,326828,190099,5761343,1126308,170970,50044,443536,929032,709891,333933,685751
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,833103,1115379,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,833103,1115379,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,10000,180000,440000,760000,920000,570000,865998,1908301,1343261,254919,692957,326828,190099,5761343,1126308,170970,50044,443536,929032,709891,333933,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -
63,Common Stock,- -,- -,10000,- -,10000,10000,10000,17873,17873,17873,21849,146302,345002,395826,1141,4070,22583,2875,2875,15,2285,2337,2511
64,Retained Earnings,- -,-60000,-430000,-820000,-1870000,-2140000,-2270000,-1758788,-5367958,-9528804,-11505607,-13670246,-16162556,-18241930,-29123348,-27696097,-27354543,-28511399,-28935109,-30251465,-34275432,-39125811,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-10000,-60000,- -,- -,354,3750354,-153390,-173365,-203276,-197626,-206375,-207491,-207904,-207904,-207904,- -,- -,-2242,- -
66,Other Total Stockholders Equity,- -,50000,270000,630000,1580000,1750000,1690000,- -,3604471,5893302,11478211,13097363,16293392,18207775,24092874,27376441,27708341,28712658,28712658,29328064,33798526,39279002,299502
67,Total Stockholders Equity,- -,-10000,-150000,-190000,-290000,-440000,-570000,-519905,-1745260,132725,-158937,-599946,272562,164045,-5235708,-523077,168477,-3770,-427480,-923385,-474621,153286,302013
68,Total Liabilities And Stockholders Equity,- -,- -,30000,250000,470000,480000,- -,346093,163041,1475986,95982,93011,599390,354144,525635,603231,339447,46274,16056,5647,235270,487219,987764
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,30000,250000,470000,480000,- -,346093,163041,1475986,95982,93011,599390,354144,525635,603231,339447,46274,16056,5647,235270,487219,987764
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842013/000101376208000633/0001013762-08-000633-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1450015/000107878212000894/0001078782-12-000894-index.html,- -,https://www.sec.gov/Archives/edgar/data/842013/000101376214000356/0001013762-14-000356-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000101376215000309/0001013762-15-000309-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/842013/000121390018005872/0001213900-18-005872-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390019006167/0001213900-19-006167-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390020009083/0001213900-20-009083-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390021019290/0001213900-21-019290-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-30000,-370000,-450000,-1050000,-270000,-130000,-463197,-3610000,-4160000,-1980000,-2160000,-2490000,-1560000,-11400000,1430000,340000,-1160000,-420000,-1320000,-4020000,-4850379,-5518
74,Depreciation and Amortization,- -,- -,- -,- -,10000,50000,- -,29479,28554,22518,20240,19975,29911,10086,29731,6361,1752,88597,- -,5614,249,1993,2031
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214919,9894859,- -,- -,250000,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-140000,-120000,-340000,-240000,280000,13297,48106,119060,-144551,41579,161698,-108031,-50613,-39664,70727,-22588,82957,197712,226294,-67183,296884
78,Accounts Receivable,- -,- -,-20000,-10000,- -,10000,20000,- -,- -,- -,- -,- -,-2468,1851,226,-2523,-2511,461,4965,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,50000,60000,30000,- -,- -,- -,- -,- -,-22184,-31741,-1533,951,61095,1184,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-90000,50000,-170000,-250000,450000,- -,- -,- -,- -,- -,- -,- -,-42032,-85296,-5218,-32840,64008,159924,200281,-67183,380672
81,Other Working Capital,- -,-10000,-150000,-270000,-610000,-850000,-570000,- -,- -,- -,515,- -,14475,280,-5542,-2238,-1391,-245,-439,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,440000,290000,1260000,460000,-150000,97063,2399822,2449489,486234,1778538,1477671,-120453,424206,-2359790,-988700,301192,-10210,841186,2140037,2720573,-3531555
83,Cash Provided by Operating Activities,- -,-30000,-70000,-280000,-120000,- -,- -,-323358,-1133518,-1568933,-1618077,-319908,-820720,-1563479,-1101817,-963093,-576221,-542799,-347253,-275488,-1653420,-2194996,-3238158
84,CAPEX,- -,- -,- -,-30000,-240000,-50000,- -,- -,-6331,-36628,-11402,- -,-21801,- -,-162000,-99340,-4452,-5000,- -,-17845,-9964,- -,-2513
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,-41145,-21801,- -,-162000,-99340,-4452,-5000,- -,-17845,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-30000,-230000,-50000,- -,1712,-6331,-36628,-11402,-41145,-21801,- -,-162000,-99340,-4452,-5000,- -,-17845,-9964,- -,-2513
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67487,- -,- -,- -,- -,- -,-70000,- -,-4330,-103512,-67780,-180382
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1650000,600000,- -,999818,1262000,1300000,915000,350000,620000,- -,- -,1866667,2410000,3685000
92,Common Stock Repurchased,- -,- -,- -,250000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,30000,70000,70000,350000,40000,- -,509575,968298,1224021,-330092,422209,340842,- -,- -,179920,- -,- -,322000,285275,123075,100000,800
95,Cash Used/Provided by Financing Activities,- -,30000,70000,320000,370000,40000,- -,509575,968298,2874021,269908,354722,1340660,1262000,1300000,1094920,350000,550000,322000,280945,1886230,2442220,3505418
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,10000,20000,- -,- -,187929,-171551,1268460,-1359571,-6331,498139,-301479,36183,32487,-230673,2201,-25253,-12388,222846,247224,264747
98,Cash at the End of Period,- -,- -,- -,10000,30000,20000,20000,270506,98955,1367415,7844,1513,499652,198173,234356,266843,36170,38371,13118,730,223576,470800,735547
99,Cash at the Beginning of Period,- -,- -,- -,- -,10000,20000,20000,82577,270506,98955,1367415,7844,1513,499652,198173,234356,266843,36170,38371,13118,730,223576,470800
100,Free Cash Flow,- -,-30000,-70000,-310000,-360000,-50000,- -,-323358,-1139849,-1605561,-1629479,-319908,-842521,-1563479,-1263817,-1062433,-580673,-547799,-347253,-293333,-1663384,-2194996,-3240671
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842013/000101376208000633/0001013762-08-000633-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1450015/000107878212000894/0001078782-12-000894-index.html,- -,https://www.sec.gov/Archives/edgar/data/842013/000101376214000356/0001013762-14-000356-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000101376215000309/0001013762-15-000309-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/842013/000121390018005872/0001213900-18-005872-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390019006167/0001213900-19-006167-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390020009083/0001213900-20-009083-index.htm,https://www.sec.gov/Archives/edgar/data/842013/000121390021019290/0001213900-21-019290-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
