,https://roic.ai/company/RRTS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
34,Net Receivables,45506000,53080000,73222000,102358000,122947000,171165000,284379000,272176000,313690000,336378000,278753000,219250000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9135000,10018000,16781000,25872000,30261000,36857000,55265000,66977000,31284000,36306000,61106000,40474000
37,Total Current Assets,55137000,63765000,90999000,131545000,165116000,213460000,350989000,347817000,374487000,398386000,351038000,264501000
38,PP&E,4951000,5292000,6894000,28447000,68576000,96558000,146850000,197744000,171857000,159547000,188706000,277560000
39,Goodwill,185115000,210834000,246888000,364347000,442143000,518743000,669652000,691118000,312541000,264826000,264826000,97265000
40,Intangible Assets,- -,- -,- -,10381000,12710000,31363000,79878000,76694000,65549000,49648000,42526000,25983000
41,Intangible Assets,185115000,210834000,246888000,374728000,454853000,550106000,749530000,767812000,378090000,314474000,307352000,123248000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10678000,10944000,3516000,8633000,12263000,11756000,10451000,12752000,9120000,3636000,6361000,5088000
45,Total Non-Current Assets,200744000,227070000,257298000,411808000,535692000,658420000,906831000,978308000,559067000,477657000,502419000,405896000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,255881000,290835000,348297000,543353000,700808000,871880000,1257820000,1326125000,933554000,876043000,853457000,670397000
48,Accounts Payable,24018000,26914000,37241000,50245000,54887000,67141000,118743000,104357000,149067000,171905000,160242000,129724000
49,Short-Term Debt,- -,- -,- -,14000000,17000000,10938000,10000000,15000000,445589000,9950000,13171000,11525000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,17652000,17398000,11375000,24480000,29132000,33271000,42352000,48657000,89381000,105409000,124172000,132887000
53,Total Current Liabilities,41670000,44312000,48616000,88725000,101019000,111350000,171095000,168014000,684037000,287264000,297585000,274136000
54,Long-Term Debt,93354000,120660000,20500000,122500000,144500000,181702000,420000000,424399000,- -,189460000,155596000,193235000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,44174000,14282000,3953000,940000
57,Other Non-Current Liabilities,8133000,8662000,13492000,36175000,63210000,78463000,107950000,120405000,7875000,274190000,448478000,146254000
58,Total Non-Current Liabilities,101487000,129322000,33992000,158675000,207710000,260165000,527950000,544804000,52049000,477932000,608027000,340429000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50966000,198907000
61,Total Liabilities,143157000,173634000,82608000,247400000,308729000,371515000,699045000,712818000,736086000,765196000,905612000,614565000
62,Preferred Stock,12000000,13950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,150000,150000,301000,307000,344000,376000,379000,383000,383000,384000,389000,379000
64,Retained Earnings,-764000,-597000,3300000,29171000,66701000,115697000,167671000,215671000,-201517000,-292703000,-457414000,-798351000
65,Other Comprehensive Income/Loss,-4431000,-6296000,-9365000,-13303000,-20108000,- -,-47629000,-68517000,-88453000,-107037000,-130077000,-142854000
66,Other Total Stockholders Equity,105769000,109994000,271453000,279778000,345142000,- -,438354000,465770000,487055000,510203000,534947000,996658000
67,Total Stockholders Equity,112724000,117201000,265689000,295953000,392079000,500365000,558775000,613307000,197468000,110847000,-52155000,55832000
68,Total Liabilities And Stockholders Equity,255881000,290835000,348297000,543353000,700808000,871880000,1257820000,1326125000,933554000,876043000,853457000,670397000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,255881000,290835000,348297000,543353000,700808000,871880000,1257820000,1326125000,933554000,876043000,853457000,670397000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1440024/000095012311030972/c63770e10vk.htm,https://www.sec.gov/Archives/edgar/data/1440024/000119312512117386/0001193125-12-117386-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002413000008/0001440024-13-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1440024/000144002415000008/rrts-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1440024/000144002416000049/0001440024-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002418000010/rrts-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1440024/000144002418000010/0001440024-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002419000007/0001440024-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002420000011/0001440024-20-000011-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-3834000,167000,3591000,25871000,37530000,48996000,51974000,48000000,-360320000,-91186000,-165597000,-340937000
74,Depreciation and Amortization,2439000,3086000,3817000,5628000,11108000,18490000,27145000,34608000,40720000,38880000,43547000,59754000
75,Deferred Income Tax,-1721000,-113000,-1777000,14491000,10145000,8280000,7512000,10534000,-43441000,-27066000,-10624000,-3014000
76,Stock Based Compensation,698000,510000,482000,524000,659000,1503000,2255000,2500000,2232000,2233000,1786000,12676000
77,Change in Working Capital,-211000,529000,-9686000,-14174000,-22848000,-38440000,-51208000,-23691000,14605000,4649000,20681000,-3520000
78,Accounts Receivable,6273000,-4671000,-15967000,-14656000,-6276000,-28891000,-44520000,13984000,-18020000,-70171000,43902000,35629000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-6314000,-330000,5659000,8356000,-5587000,-380000,10877000,-15658000,32901000,28960000,-12291000,-28703000
81,Other Working Capital,-824000,8686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,2513000,-4235000,5683000,824000,129000,-2706000,2952000,1411000,375605000,26938000,115801000,177966000
83,Cash Provided by Operating Activities,-116000,-56000,2110000,33164000,36723000,36123000,40630000,73362000,29401000,-45552000,5594000,-97075000
84,CAPEX,-1597000,-2246000,-2500000,-10105000,-15140000,-31546000,-44977000,-54859000,-17573000,-14517000,-25495000,-27745000
85,Acquisitions Net,- -,- -,-3000000,-131000000,-89000000,-100648000,-231000000,-33000000,1000000,89000000,- -,85000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6035000,-25418000,1920000,-9530000,-14607000,-26425000,-37844000,-48544000,-10593000,-11369000,-22715000,-24095000
89,Cash Used for Investing Activites,-6534000,-25418000,-1080000,-140530000,-103607000,-127073000,-268844000,-81544000,-9593000,77631000,-22715000,60905000
90,Debt Repayment,-141775000,-70715000,-211425000,-148529000,-156772000,-121369000,-179556000,-286268000,-286173000,-572564000,-732788000,-689820000
91,Common Stock Issued,- -,- -,- -,869000,57119000,53059000,2740000,2857000,- -,- -,- -,450000000
92,Common Stock Repurchased,-34000,- -,- -,- -,-5000000,- -,- -,- -,-303000,-293239000,-81000,-404651000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,148155000,96360000,209215000,257345000,180130000,152790000,410937000,288912000,288251000,829913000,735467000,674239000
95,Cash Used/Provided by Financing Activities,6346000,25645000,-2210000,109685000,75477000,84480000,234121000,5501000,1775000,-35890000,2598000,29768000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-304000,171000,-1180000,2319000,8593000,-6470000,5907000,-2681000,21583000,-3811000,-14523000,-6402000
98,Cash at the End of Period,496000,667000,996000,3315000,11908000,5438000,11345000,8664000,29513000,25702000,11179000,4777000
99,Cash at the Beginning of Period,800000,496000,2176000,996000,3315000,11908000,5438000,11345000,7930000,29513000,25702000,11179000
100,Free Cash Flow,-1713000,-2302000,-390000,23059000,21583000,4577000,-4347000,18503000,11828000,-60069000,-19901000,-124820000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1440024/000095012311030972/c63770e10vk.htm,https://www.sec.gov/Archives/edgar/data/1440024/000119312512117386/0001193125-12-117386-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002413000008/0001440024-13-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1440024/000144002415000008/rrts-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1440024/000144002416000049/0001440024-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002418000010/rrts-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1440024/000144002418000010/0001440024-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002419000007/0001440024-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002420000011/0001440024-20-000011-index.html
102,false,,,,,,,,,,,,
