,https://roic.ai/company/GIB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,33900000,42000000,42800000,72200000,154100000,744912012,866471019,- -,- -,- -,2997856564,4316455840,3986658536,3692031966,3475808407,3683972748,3899910000,4607191000,4685543000,10453442000,10879272000,11234052000,11787270000,11693332000,11396212000,11919066000,12621746000,15550358000,15021021000
48,Accounts Payable,6200000,6700000,6200000,17300000,33000000,213925019,204402054,- -,- -,- -,316165586,433414388,378691057,367127529,329380900,339764743,306826000,304376000,321745000,1156737000,1125916000,1060380000,1113636000,1107863000,1004307000,1134802000,1108895000,1025963000,891374000
49,Short-Term Debt,9400000,16100000,17000000,9700000,18300000,5508799,5135730,- -,- -,- -,20555105,14529419,14898955,8241869,9815164,100916542,17702000,114577000,478072000,52347000,534173000,80367000,230906000,192036000,122467000,348580000,113511000,489484000,560546000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88002000,86877000,53841000,177030000,156358000,156283000,159562000,159410000,174102000,194681000,176243000,136928000,160651000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70299838,123212801,127950058,111759249,152668190,133688525,136135000,145793000,154813000,443596000,508267000,457056000,416329000,390367000,409332000,399549000,397370000,426393000,445740000
52,Other Current Liabilities,1100000,1100000,800000,1700000,5200000,45447590,37123991,- -,- -,- -,192882226,218513292,186132404,180421370,264857400,232597403,304233000,553481000,508859000,1075420000,1313644000,1180416000,1346914000,1088398000,1165444000,1236736000,1264347000,1713985000,1905812000
53,Total Current Liabilities,16700000,23900000,24000000,28700000,56500000,264881408,246661775,- -,- -,- -,599902755,789669900,707672474,667550017,756721654,806967213,764896000,1118227000,1463489000,2728100000,3482000000,2778219000,3107785000,2778664000,2701550000,3119667000,2884123000,3655825000,3803472000
54,Long-Term Debt,3400000,2800000,2100000,1400000,24900000,5661821,54585473,- -,- -,- -,247431118,475290412,234801394,805017324,463375733,290173515,265428000,1039299000,603147000,3196061000,2332377000,2599336000,1896181000,1718939000,1739536000,1452313000,2217696000,3973981000,3618050000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349507000,225482000,151989000,167576000,151292000,112244000,86272000,70522000,38466000,59349000
56,Deferred Tax Liabilities,- -,- -,200000,1200000,- -,- -,2201027,- -,- -,- -,140571313,287433539,238982578,213511792,202717877,184685970,171697000,170683000,146889000,171130000,155329000,155972000,170987000,183579000,213515000,173009000,178265000,158341000,132038000
57,Other Non-Current Liabilities,- -,- -,- -,100000,-100000,153022,- -,- -,- -,- -,29742031,301393474,310512195,257933385,234725231,402803917,416293000,119899000,125662000,586310000,628387000,559811000,362572000,396250000,426741000,402998000,387037000,459585000,421880000
58,Total Non-Current Liabilities,3400000,2800000,2300000,2700000,24800000,5814843,56786500,- -,- -,- -,417744462,1064117425,784296167,1276462501,900818841,877663402,853418000,1329881000,875698000,4303008000,3341575000,3467108000,2597316000,2450060000,2492036000,2114592000,2853520000,4630373000,4231317000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,113573001,- -,- -,- -,835488925,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332359000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,876370000,776940000
61,Total Liabilities,20100000,26700000,26300000,31400000,81300000,270696251,303448276,- -,- -,- -,1017647218,1853787325,1491968641,1944012518,1657540495,1684630615,1618314000,2448108000,2339187000,7031108000,6823575000,6245327000,5705101000,5228724000,5193586000,5234259000,5737643000,8286198000,8034789000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2201694000,2240494000,2246197000,2254245000,2194731000,2054725000,2018592000,1903977000,1761873000,1632705000
64,Retained Earnings,8000000,9200000,10300000,12700000,20400000,55241010,139104916,- -,- -,- -,555310643,769420436,895267131,587201297,752847063,923721524,1182237000,1196386000,1405365000,1113225000,1551956000,2356008000,3057578000,3778848000,3794439000,4251424000,4557855000,4703642000,4732229000
65,Other Comprehensive Income/Loss,-7100000,-7000000,-8000000,-8900000,-11900000,-20504973,-28319883,- -,- -,- -,-55730686,-126982487,-163549361,-289223203,-386072742,-321424313,-285990000,-321746000,-321570000,-275000,121855000,228624000,598226000,304128000,159391000,201596000,176694000,545710000,331580000
66,Other Total Stockholders Equity,12900000,13100000,14200000,37000000,64300000,439479724,452237711,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107690000,141392000,157896000,172120000,186901000,194071000,213195000,245577000,252935000,289718000
67,Total Stockholders Equity,13800000,15300000,16500000,40800000,72800000,474215761,563022744,- -,- -,- -,1980209346,2462668515,2494689895,1748019448,1818267912,1999342133,2275254000,2152631000,2346356000,3422334000,4055697000,4988725000,6082169000,6464608000,6202626000,6684807000,6884103000,7264160000,6986232000
68,Total Liabilities And Stockholders Equity,33900000,42000000,42800000,72200000,154100000,744912012,866471020,- -,- -,- -,2997856564,4316455840,3986658536,3692031966,3475808407,3683972748,3893568000,4600739000,4685543000,10453442000,10879272000,11234052000,11787270000,11693332000,11396212000,11919066000,12621746000,15550358000,15021021000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,6342000,6452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33900000,42000000,42800000,72200000,154100000,744912012,866471019,- -,- -,- -,2997856564,4316455840,3986658536,3692031966,3475808407,3683972748,3899910000,4607191000,4685543000,10453442000,10879272000,11234052000,11787270000,11693332000,11396212000,11919066000,12621746000,15550358000,15021021000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,400000,1300000,1100000,2700000,7800000,34889059,83785767,55665765,62788386,135798413,177366288,219600605,216487805,146532916,236401669,292763466,316466000,362766000,434809000,131529000,455820000,859443000,977556000,1068716000,1035195000,1141402000,1263207000,1117862000,1369072000
74,Depreciation and Amortization,1600000,1700000,1700000,2400000,9700000,38714614,64856933,67530809,94582610,100563492,149650189,194185461,230932636,199759696,200953990,186891633,218087000,219740000,229925000,231398000,435944000,444232000,424044000,400060000,377204000,392675000,392301000,565692000,510570000
75,Deferred Income Tax,-1100000,200000,800000,2300000,3900000,2601377,12325752,2213706,32589553,35601587,47961912,52963336,35650407,-34224880,10053662,-22839046,29300000,-21417000,-15886000,-22306000,34714000,54360000,61718000,96490000,60897000,-41238000,-8297000,6170000,-25934000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8617000,15517000,15421000,12520000,31273000,31716000,30414000,38299000,34443000,38457000,39440000,37358000,45592000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-85399853,-58752630,-20162537,-45736508,-114995948,-210423334,-10574913,-7371186,85817351,-113886523,57620000,-22942000,-92360000,175958000,-281556000,-232667000,-201741000,-267873000,-146085000,-38237000,-56251000,218164000,214864000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31749000,125928000,-93995000,-61373000,280146000,205945000,23335000,-35829000,-164452000,-106072000,205549000,225441000,-42336000
79,Inventory,- -,- -,- -,- -,- -,- -,-56493030,31725278,-12277103,-17673016,-1662615,-24520600,-1149826,14658545,-5396999,-43785395,-22450000,-59579000,-39790000,-15815000,-169035000,161270000,23553000,-102354000,-8056000,8290000,-161031000,79809000,-12354000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,1,- -,- -,-1,- -,-31357249,41168000,14029000,-3571000,201005000,-70002000,-458830000,-194380000,-111182000,107619000,-61689000,-39515000,-49341000,251069000
82,Other Non-Cash Items,-3800000,-7200000,-1900000,-5500000,-13000000,75439939,880411,892696,4203882,-48779365,-25002700,-24510521,7939605,4864201,16942264,11912923,318000,-1297000,-694000,84163000,-4938000,17751000,-2681000,-2618000,-3102000,349000,3519000,-6690000,1764000
83,Cash Provided by Operating Activities,-2900000,-4000000,1700000,1900000,8400000,151644989,76449010,67550346,174001894,177447619,234979741,231815547,480435540,309560747,550168936,354842453,630408000,552367000,571215000,613262000,671257000,1174835000,1289310000,1333074000,1358552000,1493408000,1633919000,1938556000,2115928000
84,CAPEX,-1200000,-1600000,-1200000,-12600000,-49100000,-343228768,-151724138,-18089871,-23992425,-57198413,-60842788,-54616354,-25313589,-115673410,-119574680,-109027039,-131579000,-117406000,-121238000,-108213000,-213412000,-259197000,-193849000,-266479000,-218934000,-238701000,-268037000,-242590000,-235740000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-18394950,-86392615,-19866667,-233037547,-589677460,-66228804,-25619761,-17298022,29237811,3569000,-895464000,3486000,-2711358000,-5140000,- -,- -,-38442000,-283061000,-244637000,-620014000,-266938000,-98926000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12940000,-14204000,-6179000,-10518000,-15059000,-14995000,-14701000,-5150000,-16238000,-10412000,-10594000,-6957000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,- -,- -,- -,- -,- -,- -,- -,- -,1984000,26000000,18245000,6953000,10259000,29629000,7248000,9578000,7845000,20514000,9077000
88,Other Investing Activites,-900000,-700000,-800000,-2800000,-8700000,-20504973,-56639765,-13845807,-47366262,-112538095,-168398163,-54247196,-13702671,1935845,-19767465,-10119224,-62370000,-68826000,-55983000,-92942000,-94477000,-131576000,-129899000,-193701000,-198626000,-182871000,-166167000,-186957000,-178935000
89,Cash Used for Investing Activites,-2100000,-2300000,-2000000,-15400000,-57800000,-363733741,-208363903,-50330628,-157751302,-215603175,-462278498,-698541010,-105245064,-139357326,-156640167,-89908452,-128013000,-1024914000,-129972000,-2849034000,-233855000,-321153000,-257127000,-382731000,-592256000,-577418000,-950809000,-572453000,-397547000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-275257000,-724551000,-129741000,-1112789000,-535084000,-1330310000,-964072000,-223159000,-208960000,-150380000,-357547000,-644467000,-2058451000
91,Common Stock Issued,- -,300000,100000,21900000,23700000,367100230,4988995,10930268,54205460,131736508,6450567,330996598,4550523,57962446,42743715,32422823,16141000,53039000,52091000,1048414000,39312000,66528000,53686000,89485000,53717000,77725000,63602000,57302000,61133000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109456446,-926145077,-128541191,-216208218,-101698000,- -,-307594000,-117097000,-30532000,-134484000,-334168000,-549081000,-1246664000,-818865000,-1160995000,-1121927000,-1534228000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500000,-500000,-500000,-1500000,19600000,-18821730,48422597,-22107004,-70026827,-38842857,199219341,252655916,-224282230,574103051,-330995727,-120291675,163012000,938823000,-106364000,2466952000,80333000,984202000,-59109000,16451000,218921000,12476000,825831000,1803264000,1878270000
95,Cash Used/Provided by Financing Activities,500000,-200000,-400000,20400000,43300000,348278500,53411592,-11176736,-15821367,92893651,205669908,583652514,-329188153,-294079580,-416793203,-304077070,-197802000,267311000,-491608000,2285480000,-445971000,-414064000,-1303663000,-666304000,-1182986000,-879044000,-629109000,94172000,-1653276000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-733676,1068530,-3763611,3474603,917072,186468,-6167247,-853918,-3586406,398126,-11300000,-10367000,4764000,2722000,1665000,-10102000,41027000,7228000,-13967000,-18727000,-24261000,33879000,-73884000
97,Net Change In Cash,-4400000,-6600000,-700000,7000000,-6100000,348278500,-79090242,7113014,-3332807,58212698,-20711778,117113519,39836237,-124730077,-26849846,-38744944,293293000,-215603000,-45601000,52430000,-6904000,429516000,-230453000,291267000,-430657000,18219000,29740000,1494154000,-8779000
98,Cash at the End of Period,-8400000,-15000000,-15700000,-8700000,-14800000,- -,42259721,49341749,46007575,104220635,83508914,200622401,240458769,115729295,88879062,50134128,343427000,127824000,82223000,113103000,106199000,535715000,305262000,596529000,165872000,184091000,213831000,1707985000,1699206000
99,Cash at the Beginning of Period,-4000000,-8400000,-15000000,-15700000,-8700000,-14843152,121349963,42228735,49340382,46007937,104220692,83508882,200622532,240459372,115728908,88879072,50134000,343427000,127824000,60673000,113103000,106199000,535715000,305262000,596529000,165872000,184091000,213831000,1707985000
100,Free Cash Flow,-4100000,-5600000,500000,-10700000,-40700000,-191583779,-75275128,49460475,150009469,120249206,174136953,177199193,455121951,193887337,430594256,245815414,498829000,434961000,449977000,505049000,457845000,915638000,1095461000,1066595000,1139618000,1254707000,1365882000,1695966000,1880188000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.7494,0.7449,0.7452,0.7343,0.7237,0.6533,0.6815,0.6652,0.6331,0.6301,0.7389,0.7923,0.8596,0.8942,1.0086,0.9402,0.9352,0.9715,0.9522,1.017,0.9698,0.8927,0.7509,0.7616,0.8018,0.7747,0.7551,0.7508,0.7885
