,https://roic.ai/company/BMMJ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.1094,-0.4814,-Infinity,0.0887
17,Operating Income,-1800,-104831,-163716,-471949,-959490,- -,- -,- -,- -,- -,- -,- -,- -,587327
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,0.0229
19,Total Other Income Expenses (Gains),- -,-78,- -,47748,-315384,-75325,46582,-113253,585403,-4784,-716436,-910148,- -,-397079
20,Income Before Tax,-1800,-104909,- -,- -,-1274874,-434889,-266968,-267519,456091,-357068,-2685782,-3752751,-4464221,190248
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-1.1130,-0.8137,-Infinity,0.0074
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-904722,- -,-134168,2166709
23,Net Income,-84283,-104909,-163716,-424174,-1274874,-434889,-266968,-267519,456091,-357068,-1781060,-3752751,-4598389,-2260902
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.7381,-0.8137,-Infinity,-0.0880
25,EPS,-4.50,-0.12,-0.15,-0.30,-1.53,-0.57,-0.36,-0.18,0.21,-0.05,-0.05,-0.05,-0.04,-0.02
26,EPS Diluted,-4.50,-0.12,-0.15,-0.30,-1.53,-0.57,-0.36,-0.18,0.21,-0.05,-0.05,-0.05,-0.04,-0.02
27,Weighted Average Shares Outstanding,18713,857180,1208701,1397145,830002,744314,764683,1542471,2185988,6628958,38934166,69548041,102644757,108463019
28,Weighted Average Shares Outstanding Diluted,18713,857180,1208701,1397145,830002,744314,764683,1542471,2185988,6628958,38934166,69548041,102644757,108463019
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1715611/000164033418002142/0001640334-18-002142-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033419002386/0001640334-19-002386-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033420003083/0001640334-20-003083-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033421002905/0001640334-21-002905-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16,912,1991,38484,2682,1913,525,- -,- -,366584,324837,9004716,1352130,7374194
32,Short-Term Investments,- -,- -,1,1,1,1,1,1,1,1,- -,- -,3161240,- -
33,Cash and Short-Term Investments,16,912,1992,38485,2683,1914,526,1,1,366585,324837,9004716,4513370,7374194
34,Net Receivables,- -,- -,- -,1004,31680,11108,6321,5782,7355,45825,632477,966909,- -,3583607
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,953417,1390419,1769837,2936156
36,Other Current Assets,- -,239,1618,3156,3156,- -,- -,- -,- -,- -,99014,227843,-682256,413246
37,Total Current Assets,16,1151,3610,42645,37519,13022,6847,5783,7356,412410,2009745,11589887,5600951,14307203
38,PP&E,- -,- -,22795,63519,94508,69666,36362,11177,5099,- -,2615898,2694500,6733019,7432813
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2635721,2635721,2635721,5168902
40,Intangible Assets,- -,- -,30000,39683,- -,37687,36976,- -,- -,- -,8172000,8172000,- -,19855068
41,Intangible Assets,- -,- -,30000,39683,30000,37687,36976,- -,- -,- -,10807721,10807721,2635721,25023970
42,Investments,740,114,- -,- -,- -,- -,- -,- -,- -,103495,77600,11094918,12072094,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52225,-12072094,1361825
45,Total Non-Current Assets,740,114,52795,103202,124508,107353,73338,11177,5099,103495,13501219,24649364,9368740,33818608
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,756,1265,56405,145847,162027,120375,80185,16960,12455,515905,15510964,36239251,14969691,48125811
48,Accounts Payable,205205,136429,- -,- -,133159,164754,262146,231860,242109,188677,447703,979384,753846,1686376
49,Short-Term Debt,- -,10064,52076,- -,- -,- -,78358,69092,76048,- -,2175000,- -,362688,778289
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239358,239358,1609479,3832078
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2224,4045,41593,110158,177769,459984,555071,593240,41714,4805,385920,347544,1693128,3989690
53,Total Current Liabilities,207429,150538,93669,110158,310928,624738,895575,894192,359871,193482,3008623,1326928,2809662,6454355
54,Long-Term Debt,- -,- -,- -,58497,51781,91100,- -,- -,- -,- -,- -,- -,- -,7122396
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1716120,1716120,- -,198339
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,58497,51781,91100,- -,- -,- -,- -,1716120,1716120,- -,7320735
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2685157,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2168900,3084940
61,Total Liabilities,207429,150538,93669,168655,362709,715838,895575,894192,359871,193482,4724743,3043048,5494819,13775090
62,Preferred Stock,- -,- -,- -,- -,- -,2900,290,248,248,- -,- -,- -,- -,- -
63,Common Stock,56,3600,4063,4462,- -,1103,119,544,544,5632,4778,9728,- -,10907
64,Retained Earnings,-1455568,-1560477,-1723726,-2147900,-3431953,-3894643,-4161611,-4429130,-3973039,-4330107,-6772311,-10525062,- -,-17126510
65,Other Comprehensive Income/Loss,3514,1818,-9179,-51146,-49571,14946,-13213,192464,266749,356828,532405,827314,731768,1127713
66,Other Total Stockholders Equity,1245325,1405786,1691578,2171776,3276237,3280231,3359025,3358642,3358082,4290070,17021349,42884223,33304449,- -
67,Total Stockholders Equity,-206673,-149273,-37264,-22808,-200682,-595463,-815390,-877232,-347416,322423,10786221,33196203,33562292,34324123
68,Total Liabilities And Stockholders Equity,756,1265,56405,145847,162027,120375,80185,16960,12455,515905,15510964,36239251,39057111,48099213
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24087420,26598
70,Total Liabilities & Equity,756,1265,56405,145847,162027,120375,80185,16960,12455,515905,15510964,36239251,14969691,48125811
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1715611/000164033418002142/0001640334-18-002142-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033419002386/0001640334-19-002386-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033420003083/0001640334-20-003083-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033421002905/0001640334-21-002905-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-84283,-104909,-163716,-424174,-1274874,-434889,-266968,-267519,456091,-357068,-1781060,-3752751,-4598389,-2260902
74,Depreciation and Amortization,- -,- -,2666,13745,28540,39908,35495,27049,6553,1590,8811,289560,78025,2319699
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1144080,- -,-1303670,-214110
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789679,880595,1278282,975555
77,Change in Working Capital,82895,58026,59328,22546,-205896,-338307,-277012,319,535894,571443,-1217806,11261837,-7471670,5061559
78,Accounts Receivable,- -,- -,- -,- -,-30676,20572,4787,539,-1573,-39309,-361854,-373241,1008,-528364
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-454737,-437002,208096,-809491
80,Accounts Payable,82895,92984,- -,- -,- -,132747,-3760,-30286,9689,-33765,-371586,531434,-290060,-194328
81,Other Working Capital,-207413,-149387,-90059,-67513,-273409,-611716,-888728,-888409,-352515,218928,-998878,10262959,2791289,7852848
82,Other Non-Cash Items,- -,36285,49538,185828,1124927,679989,479022,33984,-1072823,-746770,1205129,-11235051,13369552,-5586836
83,Cash Provided by Operating Activities,-1388,-10598,-52184,-202055,-327303,-53299,-29463,-206167,-74285,-530805,-2139327,-2555810,1352130,294965
84,CAPEX,- -,- -,-25461,-63045,-53095,-24571,-4986,-35,- -,- -,-564305,-368162,-871720,-402459
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2048158,-1854883,-2893609,-70985
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95622,-77600,-6906621,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-13743,- -,-7687,- -,- -,- -,- -,- -,-52225,-1572386,-358553
89,Cash Used for Investing Activites,- -,- -,-25461,-63045,-53095,-24571,-4986,-35,- -,-95622,-2690063,-9181891,-5337715,-831997
90,Debt Repayment,- -,- -,-7275,- -,- -,- -,- -,- -,- -,-53799,- -,-1438897,- -,- -
91,Common Stock Issued,- -,2500,34322,263000,349640,25439,50200,- -,- -,936828,4806025,21561568,- -,313415
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10064,62120,80560,2560,36993,11020,- -,- -,19903,- -,- -,90839,5852311
95,Cash Used/Provided by Financing Activities,- -,12564,89167,343560,352200,62432,61220,- -,- -,902932,4806025,20122671,90839,6165726
96,Effect of Forex Changes on Cash,1254,-1070,-10443,-41967,-7604,14669,-28159,205677,74285,90079,-18382,294909,-95546,393370
97,Net Change In Cash,-134,896,1079,36493,-35802,-769,-1388,- -,- -,- -,-41747,8679879,-7652586,6022064
98,Cash at the End of Period,16,912,1991,38484,2682,1913,525,- -,- -,366584,324837,9004716,1352130,7374194
99,Cash at the Beginning of Period,150,16,912,1991,38484,2682,1913,525,- -,- -,366584,324837,9004716,1352130
100,Free Cash Flow,-1388,-10598,-77645,-265100,-380398,-77870,-34449,-206202,-74285,-530805,-2703632,-2923972,480410,-107494
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1715611/000164033418002142/0001640334-18-002142-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033419002386/0001640334-19-002386-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033420003083/0001640334-20-003083-index.htm,https://www.sec.gov/Archives/edgar/data/1715611/000164033421002905/0001640334-21-002905-index.htm
102,false,,,,,,,,,,,,,,
