,https://roic.ai/company/KRMD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,0.1637,-0.0093,-0.1709,-0.1123,-0.1286,-0.2036,-0.0795,-0.1120,0.0280,0.2489,0.2052,0.2632,0.2217,0.1619,0.1435,0.1209,0.1157,0.0982,0.0856,0.0448,-0.0321,-0.0978
17,Operating Income,- -,-237337,-102351,-374260,-252555,-245638,-359353,-176803,-22136,193509,779011,721519,1194829,1289158,1062404,1007671,1147391,1181384,1140952,1164536,585679,-1254785,-7029535
18,Operating Income ratio,- -,-0.1149,-0.0491,-0.2128,-0.1525,-0.1607,-0.2303,-0.1013,-0.0128,0.0824,0.2265,0.1911,0.2428,0.2017,0.1368,0.1158,0.1020,0.0965,0.0739,0.0671,0.0253,-0.0519,-0.2993
19,Total Other Income Expenses (Gains),- -,396800,-2106,-11243,-14835,-31529,-40138,-41012,-232585,- -,-54156,-59059,-1710,-7974,-24294,2782,-72855,-38814,69394,12414,110739,60522,4268330
20,Income Before Tax,- -,- -,-104457,-385503,-267390,-277167,-399491,-217815,-254721,- -,724855,662460,1193119,1281184,1038110,1010453,1074536,1142570,1210346,1176950,696418,-1194263,-2761205
21,Income Before Tax Ratio,- -,- -,-0.0501,-0.2192,-0.1614,-0.1813,-0.2560,-0.1248,-0.1468,- -,0.2108,0.1755,0.2425,0.2005,0.1337,0.1162,0.0956,0.0933,0.0784,0.0678,0.0301,-0.0494,-0.1175
22,Income Tax expense (Gain),- -,- -,- -,572,800,831,1401,- -,- -,- -,-306000,-226984,489034,465291,312347,307024,321419,359706,390799,266380,132069,-17800,1801618
23,Net Income,- -,250300,-104457,-386075,-268190,-277998,-400892,-217815,-254721,-2499,1030855,889444,704085,815893,725763,703429,753117,782864,819547,910570,564349,-1176463,-4562823
24,Net Income ratio,- -,0.1212,-0.0501,-0.2195,-0.1619,-0.1819,-0.2569,-0.1248,-0.1468,-0.0011,0.2997,0.2356,0.1431,0.1277,0.0935,0.0809,0.0670,0.0639,0.0531,0.0525,0.0244,-0.0487,-0.1942
25,EPS,- -,0.01,-0.00,-0.02,-0.10,-0.01,-0.02,-0.01,-0.01,-0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,-0.03,-0.10
26,EPS Diluted,- -,0.01,-0.00,-0.02,-0.10,-0.01,-0.02,-0.01,-0.01,-0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,-0.03,-0.10
27,Weighted Average Shares Outstanding,- -,20629000,23354000,23504000,23504000,23537000,22697808,26467786,29872541,32677223,34829286,35377437,36244542,34250560,36011448,36661667,37634064,37988954,37873755,38128260,38778074,41929736,44385032
28,Weighted Average Shares Outstanding Diluted,- -,23123117,23354000,23504000,23504000,23537000,22697808,26467786,29872541,32677223,34829286,35377437,36244542,35102446,36036362,36661667,37634064,37988954,38393836,38921622,39061310,41929736,44385032
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704440/000116169712000406/0001161697-12-000406-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169713000351/0001161697-13-000351-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169714000223/0001161697-14-000223-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169715000213/0001161697-15-000213-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169716000829/0001161697-16-000829-index.html,- -,https://www.sec.gov/Archives/edgar/data/704440/000116169719000090/0001161697-19-000090-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169720000108/0001161697-20-000108-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169721000169/0001161697-21-000169-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169722000133/0001161697-22-000133-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,35466,25670,16738,219682,37330,26753,99421,95561,519209,813383,1474649,1757223,1930321,2227398,2557235,4201949,3313265,3738803,5870929,27315286,25334889
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257009,258590,259789,261118,262314,1517927,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,35466,25670,16738,219682,37330,26753,99421,95561,519209,813383,1474649,1757223,2187330,2485988,2817024,4463067,3575579,5256730,5870929,27315286,25334889
34,Net Receivables,- -,- -,207588,190938,184103,130334,125078,147579,214446,297206,488742,654960,713906,884727,1114847,1744813,1623695,1350180,1674487,1425854,3234521,2572954,4311106
35,Inventory,- -,- -,586866,600635,381623,378982,371569,347392,489738,551032,621849,634584,668200,1167456,1150129,818723,1226636,1040277,1353703,2103879,2388477,6829772,6106338
36,Other Current Assets,- -,- -,91587,12907,11470,25775,36531,28182,10310,44392,379197,375861,158578,444130,180651,245767,240688,265123,175955,246591,387396,807780,1568821
37,Total Current Assets,- -,- -,921507,830150,593934,754773,570508,549906,813915,988191,2008997,2478788,3015333,4253536,4632957,5295291,5908043,7118647,6779724,9033054,11881323,37525792,37321154
38,PP&E,- -,- -,471895,467985,415755,357735,337708,268096,220515,235677,228312,221043,361360,498940,875986,839059,1161432,996822,932092,858781,985580,1167623,1201998
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,8969,8609,8609,8609,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,45334,48027,44408,35214,40588,44354,36335,34958,29839,24513,22913,43305,180558,247691,426943,632156,807135,843587,808813
41,Intangible Assets,- -,- -,- -,- -,45334,48027,44408,44183,49197,52963,44944,34958,29839,24513,22913,43305,180558,247691,426943,632156,807135,843587,808813
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224734,- -,- -,- -,- -,- -,- -,- -,1466,188241,- -,1941254
44,Other Non-Current Assets,- -,- -,50076,101064,55603,27652,27652,27652,54802,28156,28156,- -,28156,28156,60369,31053,31140,31140,31490,19582,19582,- -,19812
45,Total Non-Current Assets,- -,- -,521971,569049,516692,433414,409768,339931,324514,316796,301412,508891,419355,551609,959268,913417,1373130,1275653,1390525,1511985,2000538,2011210,3971877
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1443478,1399199,1110626,1188187,980276,889837,1138429,1304987,2310409,2987679,3434688,4805145,5592225,6208708,7281173,8394300,8170249,10545039,13881861,39537002,41293031
48,Accounts Payable,- -,- -,102137,189111,267634,325723,348316,284095,443440,342433,219477,80717,158108,199527,110358,246622,243217,307764,772428,453498,572656,624920,1227533
49,Short-Term Debt,- -,- -,81109,290646,309953,224660,224637,214824,71891,419293,122260,66227,40939,2077,45445,- -,- -,- -,- -,- -,142184,143939,191106
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,127090,166358,- -,129497,- -,16608,204572,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22481,22481,22481,- -,22481,22481,22481,22481,22481,3763,- -,125274,90000
52,Other Current Liabilities,- -,- -,157686,167273,89024,99205,149760,137865,144152,277219,356046,325766,92525,357249,347075,502799,425958,777669,594375,1126971,1691449,2772269,3283337
53,Total Current Liabilities,- -,- -,340932,647030,666611,649588,722713,636784,659483,1038945,720264,495191,314053,558853,525359,771902,691656,1107914,1389284,1584232,2406289,3666402,4791976
54,Long-Term Debt,- -,- -,- -,- -,- -,350000,450000,530000,855000,426250,682722,623739,482800,1474,393861,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202335,179855,157375,- -,112414,89936,67454,44976,22496,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121363,204000,155000,248607,123111,82422,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,408095,414793,382829,362061,325117,292872,269776,224815,- -,- -,- -,572727,- -,- -,- -,- -,- -,- -,239492,- -,- -
58,Total Non-Current Liabilities,- -,- -,408095,414793,382829,712061,775117,822872,1124776,651065,885057,803594,640175,695564,710275,244936,316061,168087,104918,- -,239492,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95553,- -
60,Capital Lease Obligations,- -,- -,- -,- -,45614,24846,10381,616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381676,239492,- -
61,Total Liabilities,- -,- -,749027,1061823,1049440,1361649,1497830,1459656,1784259,1690010,1605321,1298785,954228,1254417,1235634,1016838,1007717,1276001,1494202,1584232,2645781,3761955,4791976
62,Preferred Stock,- -,- -,- -,- -,100,100,100,100,100,100,100,100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,235040,235040,235040,245310,260270,290123,310333,348293,348293,355843,365777,374717,389367,389367,403473,404875,405584,409329,422398,466801,480441
64,Retained Earnings,- -,- -,-1569320,-1967395,-2243585,-2529583,-2938475,-3164290,-3427011,-3437510,-2414655,-1533211,-761126,54767,780530,1483959,2237076,3019940,2484941,4300468,4864817,3652754,-910069
65,Other Comprehensive Income/Loss,- -,- -,-629195,-708317,-784017,-858417,-933616,-1005830,-1066329,-1126612,-1197359,-1256617,-1316822,-1415477,-1601998,-1827375,-915494,-1113182,- -,-1704715,-1819239,- -,- -
66,Other Total Stockholders Equity,- -,- -,2657926,2778048,2853648,2969128,3094167,3310078,3537077,3830706,3968709,4122779,4192631,4536721,4788692,5145919,4548401,4806666,- -,5955725,7768104,32037424,36930683
67,Total Stockholders Equity,- -,- -,694451,337376,61186,-173462,-517554,-569819,-645830,-385023,705088,1688894,2480460,3550728,4356591,5191870,6273456,7118299,6676047,8960807,11236080,36156979,36501055
68,Total Liabilities And Stockholders Equity,- -,- -,1443478,1399199,1110626,1188187,980276,889837,1138429,1304987,2310409,2987679,3434688,4805145,5592225,6208708,7281173,8394300,8170249,10545039,13881861,39918934,41293031
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-381932,- -
70,Total Liabilities & Equity,- -,- -,1443478,1399199,1110626,1188187,980276,889837,1138429,1304987,2310409,2987679,3434688,4805145,5592225,6208708,7281173,8394300,8170249,10545039,13881861,39537002,41293031
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704440/000116169712000406/0001161697-12-000406-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169713000351/0001161697-13-000351-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169714000223/0001161697-14-000223-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169715000213/0001161697-15-000213-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169716000829/0001161697-16-000829-index.html,- -,https://www.sec.gov/Archives/edgar/data/704440/000116169719000090/0001161697-19-000090-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169720000108/0001161697-20-000108-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169721000169/0001161697-21-000169-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169722000133/0001161697-22-000133-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,250300,-104457,-386075,-268190,-277998,-400892,-217815,-254721,-2499,1030855,889444,704085,815893,725763,703429,753117,782864,-534999,910570,564349,-1176463,-4562823
74,Depreciation and Amortization,- -,87795,84971,84839,81435,80547,81818,79089,60426,68198,79355,64804,65774,103981,190971,232959,283875,271566,300611,309263,340229,418595,463130
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226984,487343,167004,82637,-49000,93607,-125496,-40689,-23141,-186775,62967,-1815980
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15972,19312,19481,- -,- -,- -,- -,114556,205486,366081,1204844,1618732,2707554
77,Change in Working Capital,- -,69487,580575,-397455,-255797,177862,-257390,65327,241310,-205186,1339487,694864,717683,993403,412915,415791,692998,794346,-620293,2058382,2026212,24384356,-1330212
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191536,-166218,-58946,-170821,-230120,-629966,113752,286427,-132490,475662,-1803812,669743,-1019932
79,Inventory,- -,17678,-30984,-13769,219012,2641,7413,24177,-142346,-61294,-70817,-12735,-33616,-499256,17327,331406,-407913,186359,-313426,-445198,-284598,-4441295,723434
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122956,-138760,77391,41419,-89169,136264,-3405,64547,464664,-900,119158,52264,602613
81,Other Working Capital,- -,- -,580575,183120,-72677,105185,-152205,-86878,154432,-50754,1288733,1983597,2701280,3694683,4107598,4523389,5216387,6010733,5390440,7448822,9475034,33859390,32529178
82,Other Non-Cash Items,- -,-311363,-697649,651822,460874,-15336,384770,-65349,-132606,257101,-1937489,-1059142,-965901,-1519680,-627496,-348791,-997498,76977,358268,-2141493,-3628239,-26051510,218821
83,Cash Provided by Operating Activities,- -,96219,-136560,-46869,18322,-34925,-191694,-138748,-85591,117614,528180,382298,1028465,560601,784790,954388,826099,1914813,-331616,1479662,320620,-743323,-4319510
84,CAPEX,- -,-177481,-73060,-80927,-23470,-16380,-55172,-9251,-15192,-46239,-63972,-56158,-200972,-236235,-566417,-216424,-743782,-201743,-415133,-481166,-425539,-1061152,-346178
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152399,-102829,-1781,-1581,-1199,-1329,-1196,-1500000,- -,- -,- -
87,Sales/Maturities of Investments,- -,81352,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245342,1517927,- -,- -
88,Other Investing Activites,- -,14072,- -,- -,-5609,18310,-3000,- -,- -,- -,-589,-4169,-450,- -,-2850,-27738,-152369,-66411,-212008,-475166,-207718,-115548,-19991
89,Cash Used for Investing Activites,- -,-82057,-73060,-80927,-29079,1930,-58172,-9251,-15192,-46239,-63972,-56158,-353371,-339064,-568198,-218005,-744981,-189522,-416329,-1729824,1310209,-1036152,-366169
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-419223,-39663,-166227,-1929,-43494,-439306,- -,- -,- -,- -,-4783,-4981804,-415806
91,Common Stock Issued,- -,7620,12000,- -,- -,- -,- -,85000,- -,- -,- -,- -,- -,121500,- -,- -,- -,- -,- -,51250,508900,26728486,938094
92,Common Stock Repurchased,- -,-140,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24281,-80577,-140739,-36821,-2820,-3499358,- -
93,Dividends Paid,- -,-8000,-4000,-12000,-8000,-8000,-8000,-8000,-8000,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-529878,70000,130000,9825,243939,75514,60422,181451,-67235,378663,7697,- -,93865,- -,- -,273000,- -,- -,- -,- -,4976508,2182994
95,Cash Used/Provided by Financing Activities,- -,-530398,78000,118000,1825,235939,67514,137422,173451,-75235,-40560,-31966,-166227,213436,-43494,-439306,248719,-80577,-140739,14429,501297,23223832,2705282
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-516236,-131619,-9796,-8932,202944,-182352,-10577,72668,-3860,423648,294174,508867,434973,173098,297077,329837,1644714,-888684,-235733,2132126,21444357,-1980397
98,Cash at the End of Period,- -,167085,35466,25670,16738,219682,37330,26753,99421,95561,519209,813383,1322250,1757223,1930321,2227398,2557235,4201949,3313265,3738803,5870929,27315286,25334889
99,Cash at the Beginning of Period,- -,683321,167085,35466,25670,16738,219682,37330,26753,99421,95561,519209,813383,1322250,1757223,1930321,2227398,2557235,4201949,3974536,3738803,5870929,27315286
100,Free Cash Flow,- -,-81262,-209620,-127796,-5148,-51305,-246866,-147999,-100783,71375,464208,326140,827493,324366,218373,737964,82317,1713070,-746749,998496,-104919,-1804475,-4665688
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704440/000116169712000406/0001161697-12-000406-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169713000351/0001161697-13-000351-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169714000223/0001161697-14-000223-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169715000213/0001161697-15-000213-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169716000829/0001161697-16-000829-index.html,- -,https://www.sec.gov/Archives/edgar/data/704440/000116169719000090/0001161697-19-000090-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169720000108/0001161697-20-000108-index.html,https://www.sec.gov/Archives/edgar/data/704440/000116169721000169/0001161697-21-000169-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169722000133/0001161697-22-000133-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
