,https://roic.ai/company/PW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,835000,832000,832000,837000,830000,820883,798596,804966,780237,789196,780081,770335,750446,764010,637223,-321739,-481477,-1556489,-450755,247183,718473,838811,946894,2171874,5144490
24,Net Income ratio,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.9126,0.9093,0.9093,0.9148,0.9071,0.8971,0.8728,0.8797,0.8527,0.8625,0.8525,0.8419,0.8202,0.8350,0.6964,-0.3516,-0.4612,-0.8929,-0.2288,0.1251,0.3625,0.4248,0.4342,0.5083,0.6082
25,EPS,0.54,0.54,0.54,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.50,0.50,0.50,0.49,0.48,0.49,0.39,-0.19,-0.28,-0.99,-0.25,0.13,0.23,0.29,0.35,0.99,- -
26,EPS Diluted,0.54,0.53,0.54,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.50,0.50,0.50,0.49,0.48,0.49,0.39,-0.19,-0.28,-0.99,-0.25,0.13,0.23,0.29,0.35,0.96,- -
27,Weighted Average Shares Outstanding,1483019,1483019,1483019,1509983,1483019,1509983,1509983,1509983,1509983,1509983,1509983,1537945,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1555154,1660958,1685116,1732142,1767373,1801249,1837738,1878644,1919199,1942884,1910898,- -
28,Weighted Average Shares Outstanding Diluted,1483019,1509983,1483019,1509983,1483019,1509983,1509983,1509983,1509983,1509983,1509983,1537945,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1567550,1555154,1660958,1694757,1732142,1767373,1801249,1837738,1878644,1919199,1942884,1973383,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1532619/000153261912000013/0001532619-12-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1532619/000135448815001502/0001354488-15-001502-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315216008395/0001493152-16-008395-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315217003026/0001493152-17-003026-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315218003837/0001493152-18-003837-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315219003857/0001493152-19-003857-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315220004953/0001493152-20-004953-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315221006671/0001493152-21-006671-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315222008519/0001493152-22-008519-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40144,40440,59306,54343,49389,44270,44505,39951,48961,981875,365944,78113,654381,435870,717104,1146730,1771011,15842504,5601826,3171301
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40144,40440,59306,54343,49389,44270,44505,39951,48961,981875,365944,78113,654381,435870,717104,1146730,1771011,15842504,5601826,3171301
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9150000,9150000,9150000,- -,- -,- -,- -,- -,- -,- -,11054,6164,1054,6142,- -,- -,- -,546187,1602655,2094292
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2711,5788,7576,13576,55356,31371,13903,16795,14626,89345,493196
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44505,39951,48961,984586,382786,91853,669011,497368,748475,1160633,1787806,16403317,7293826,5758789
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1055553,2368082,6788067,6788067,6788067,6788067,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233001,4775161,4538020,4300879,4063737,- -,- -,3352313,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233001,4775161,4538020,4300879,4063737,3826595,3589453,3352313,3760556
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,9150000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48844,203265,957231,775031,227510,297442,16280735,17715031,29893080,75798845
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9150000,9150000,9150000,9150000,10254397,11954348,21670459,21251118,20466456,20299246,20107330,21304484,33245393,79559401
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9190144,9190440,9209306,9204343,9199389,9194270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9190144,9190440,9209306,9204343,9199389,9194270,9194505,9189951,9198961,10134586,10637183,12046201,22339470,21748486,21214931,21459879,21895136,37707801,40539219,85318190
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9995,340842,406758,1214219,97795,84757,22382,26202,54993,83562,79371
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11978,29636,198709,322874,344114,366520,389996,564682,605272,641238
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14140,5648,25582,18513,48188,42775,32851,29342,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13811,49583,21291,55730,46168,48754,54995,169349,80579,76600
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9995,353149,491625,1459801,494912,523227,480431,504044,818366,769413,797209
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915489,2476819,9169413,10623088,9868402,9527068,9167336,23797191,23192871,22698611
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14140,5648,25582,18513,48188,42775,32851,29342,229297,899077
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528040,- -,- -,- -,- -,- -,1137481,2612206
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,929629,2482467,9723035,10641601,9916590,9569843,9200187,23826533,24559649,26209894
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22950,24950,8950,8950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142700
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22950,24950,8950,8950,- -,- -,- -,- -,- -,9995,1282778,2974092,11182836,11136513,10439817,10050274,9704231,24644899,25329062,27007103
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3492149,3492149,3492149,3492149,3492149,3492149,3492149,8489952
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9145359,9145359,9145359,9145359,9145359,9145359,- -,- -,- -,10071741,10113270,1677,1732,1743,1785,1827,1870,1873,1916,3367
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21835,20131,54997,50034,54030,48911,49146,44592,53602,52850,-758865,-1405666,-3153136,-3883762,-3916449,-3477847,-2919268,-2252606,-360962,4130694
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9145359,9145359,9145359,- -,- -,- -,10815889,11001843,11197629,11393476,11616154,11821486,12077054,45687074
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9167194,9165490,9200356,9195393,9199389,9194270,9194505,9189951,9198961,10124591,9354405,9072109,11156634,10611973,10775114,11409605,12190905,13062902,15210157,58311087
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9190144,9190440,9209306,9204343,- -,- -,- -,- -,- -,10134586,10637183,12046201,22339470,21748486,21214931,21459879,21895136,37707801,40539219,85318190
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9199389,9194270,9194505,9189951,9198961,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9190144,9190440,9209306,9204343,9199389,9194270,9194505,9189951,9198961,10134586,10637183,12046201,22339470,21748486,21214931,21459879,21895136,37707801,40539219,85318190
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1532619/000153261912000013/0001532619-12-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1532619/000135448815001502/0001354488-15-001502-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315216008395/0001493152-16-008395-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315217003026/0001493152-17-003026-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315218003837/0001493152-18-003837-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315219003857/0001493152-19-003857-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315220004953/0001493152-20-004953-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315221006671/0001493152-21-006671-index.htm,https://www.sec.gov/Archives/edgar/data/1532619/000149315222008519/0001493152-22-008519-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,800000,800000,800000,800000,800000,800000,835000,832000,832000,837000,830000,820883,798596,804966,780237,789196,780081,770335,750446,764010,637223,-321739,-481477,-1556489,-450755,247183,718473,838811,946894,2171874,5144490
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8268,171388,237141,237141,237142,237142,275899,378860,1266764
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41529,145200,180646,185965,195828,195889,222721,205335,255611,382328
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44505,-4554,9010,925630,-974591,282341,-42790,-391018,793246,222792,454954,603560,14301189,-9060538,1207822
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,3000,17000,7000,-1000,-10000,2000,-16000,- -,-8950,- -,- -,- -,- -,9995,330847,65916,421290,-936705,6962,-62375,3820,28791,- -,-4191
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44505,39951,48961,974591,- -,14140,-8492,-790790,2456,225248,680202,1283762,15584951,6524413,246313
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,3000,17000,7000,-1000,- -,2000,-16000,- -,-8950,-44505,4554,-9010,-925630,981875,- -,- -,1487858,-990600,-18774,-552846,-636274,-14357050,9186244,-845
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,800000,800000,800000,800000,800000,800000,854000,835000,849000,844000,829000,820883,800596,788966,780237,780246,780081,770335,750446,764010,644507,2131,-370799,-107615,-225003,884170,1053612,1265960,1372267,2932051,8000559
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-928086,-1550000,-2242104,- -,- -,- -,- -,- -,-10232408,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237471,- -,- -,- -,- -,- -,-1799021,-2087086,-42097290
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-928086,-1550000,-2242104,- -,- -,- -,- -,-1799021,-12319494,-42097290
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-821012,-29762,-1922702,-323066,-344115,-361447,-409309,-597840,-635103
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219305,- -,- -,- -,- -,- -,- -,- -,36494866
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-800000,-800000,-800000,-800000,-800000,-800000,-835000,-832000,-832000,-837000,-830000,-830500,-800300,-770100,-785200,-785200,-785200,-770100,-755000,-755000,-637975,-489975,-165325,-190981,-279871,-279870,-279871,-280232,-280232,-280230,-652834
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,926382,800000,2400000,3146730,2209065,- -,- -,- -,15187788,- -,-3540723
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-800000,-800000,-800000,-800000,-800000,-800000,-835000,-832000,-832000,-837000,-830000,-830500,-800300,-770100,-785200,-785200,-785200,-770100,-755000,-755000,288407,310025,1632968,2925987,6492,-602936,-623986,-641679,14498247,-878070,31666206
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-800000,-800000,-800000,-800000,-800000,-800000,19000,3000,17000,7000,-1000,-9617,296,18866,-4963,-4954,-5119,235,-4554,9010,932914,-615930,-287831,576268,-218511,281234,429626,624281,14071493,-10240678,-2430525
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,42000,59000,51000,50000,40144,40440,59306,54343,49389,44270,44505,39951,48961,981875,365945,78113,654381,435870,717104,1146730,1771011,15842504,5601826,3171301
