,https://roic.ai/company/KC,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,1124790000,1882082000,2384496000,8665224000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,5859199000,6031821000,11929214000,21078040000
48,Accounts Payable,- -,720805000,1254589000,2057355000,2938632000
49,Short-Term Debt,- -,80786000,100000000,429308000,1456756000
50,Tax Payable,- -,14279000,22538000,277168000,60217000
51,Deferred Revenue,- -,39044000,79608000,191357000,- -
52,Other Current Liabilities,- -,596252000,985794000,787579000,3120492000
53,Total Current Liabilities,- -,1436887000,2419991000,3465599000,7515880000
54,Long-Term Debt,- -,174352000,74351000,182958000,158289000
55,Deferred Revenue,- -,- -,- -,7020000,- -
56,Deferred Tax Liabilities,- -,383000,206000,29000,205889000
57,Other Non-Current Liabilities,- -,7490688000,7734532000,33558000,1705559000
58,Total Non-Current Liabilities,- -,7665423000,7809089000,223565000,2069737000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,259427000,266879000
61,Total Liabilities,- -,9102310000,10229080000,3689164000,9585617000
62,Preferred Stock,- -,123186000,123186000,- -,- -
63,Common Stock,- -,4851000,5558000,22801000,24782000
64,Retained Earnings,- -,-3790898000,-4902097000,-5864356000,-7458752000
65,Other Comprehensive Income/Loss,- -,419750000,484348000,-68440000,-207882000
66,Other Total Stockholders Equity,- -,- -,91746000,14149984000,18245801000
67,Total Stockholders Equity,- -,-3243111000,-4197259000,8239989000,10603949000
68,Total Liabilities And Stockholders Equity,- -,5859199000,6031821000,11929153000,20189566000
69,Minority Interest,- -,- -,- -,61000,888474000
70,Total Liabilities & Equity,- -,5859199000,6031821000,11929214000,21078040000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-714250000,-1006442000,-1111199000,-962259000,-1588712000
74,Depreciation and Amortization,297647000,412352000,604581000,758038000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,91009000,46941000,121279000,330114000,- -
77,Change in Working Capital,219704000,68419000,-113325000,-299542000,- -
78,Accounts Receivable,-221640000,-46721000,-823033000,-1024113000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,285704000,260090000,533771000,804198000,- -
81,Other Working Capital,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-28637000,95620000,59532000,-116784000,879843000
83,Cash Provided by Operating Activities,-134527000,-383110000,-439132000,-290433000,-708869000
84,CAPEX,-350981000,-1096192000,-999653000,-1591643000,- -
85,Acquisitions Net,-5900000,-5000000,-94376000,-14650000,- -
86,Purchases of Investments,-1901895000,-2866795000,-1111968000,-5607690000,- -
87,Sales/Maturities of Investments,398580000,2784428000,3107623000,2891597000,- -
88,Other Investing Activites,34662000,8448000,-18494000,-23314000,-421623000
89,Cash Used for Investing Activites,-1820636000,-1173559000,883247000,-4314003000,-421623000
90,Debt Repayment,-75652000,-416051000,-305787000,-100000000,- -
91,Common Stock Issued,- -,- -,- -,5809709000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1936829000,2851883000,370294000,414444000,2212487000
95,Cash Used/Provided by Financing Activities,1861177000,2435832000,64507000,6124153000,2212487000
96,Effect of Forex Changes on Cash,-38589000,54471000,7570000,-118306000,-50048000
97,Net Change In Cash,-132575000,933634000,516192000,1401411000,1031947000
98,Cash at the End of Period,573437000,1507071000,2023263000,3424674000,4456621000
99,Cash at the Beginning of Period,706012000,573437000,1507071000,2023263000,3424674000
100,Free Cash Flow,-485508000,-1479302000,-1438785000,-1882076000,-708869000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
