,https://roic.ai/company/KN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587523/000158752315000006/knowles20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752316000029/0001587523-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752317000007/0001587523-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752318000006/0001587523-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752319000004/0001587523-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752320000006/0001587523-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752321000012/0001587523-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752322000005/0001587523-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10302000,105588000,55200000,63300000,66200000,111700000,73500000,78400000,147800000,68900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10302000,105588000,55200000,63300000,66200000,111700000,73500000,78400000,147800000,68900000
34,Net Receivables,- -,217458000,224556000,236300000,192400000,145100000,137700000,140300000,159600000,131400000,146600000
35,Inventory,- -,133554000,149168000,162000000,152000000,108200000,125600000,140100000,141800000,130100000,153100000
36,Other Current Assets,- -,15966000,22511000,20500000,11600000,10600000,19900000,11100000,8600000,10300000,11700000
37,Total Current Assets,- -,377280000,501823000,474000000,419300000,330100000,394900000,365000000,388400000,419600000,380300000
38,PP&E,- -,362372000,360997000,315900000,224800000,186200000,183000000,211700000,240100000,214800000,218200000
39,Goodwill,- -,946131000,961916000,914700000,925800000,894600000,884900000,887900000,909900000,910000000,941300000
40,Intangible Assets,- -,344793000,318310000,270300000,97000000,77400000,53500000,56700000,91700000,78700000,97300000
41,Intangible Assets,- -,1290924000,1280226000,1185000000,1022800000,972000000,938400000,944600000,1001600000,988700000,1038600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20516000,27070000,23600000,30800000,26800000,33500000,26600000,24500000,31800000,94500000
45,Total Non-Current Assets,- -,1673812000,1668293000,1524500000,1278400000,1185000000,1154900000,1182900000,1266200000,1235300000,1351300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2051092000,2170116000,1998500000,1697700000,1515100000,1549800000,1547900000,1654600000,1654900000,1731600000
48,Accounts Payable,- -,171401000,143812000,172100000,116500000,71800000,85600000,77200000,87700000,70300000,90900000
49,Short-Term Debt,- -,- -,- -,16200000,33300000,12100000,2500000,2400000,11700000,177900000,14100000
50,Tax Payable,- -,3288000,3760000,14000000,1500000,6800000,9000000,6400000,7900000,6400000,5900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,62021000,66163000,100300000,77100000,65100000,63500000,62200000,52100000,49100000,61200000
53,Total Current Liabilities,- -,233422000,209975000,288600000,226900000,149000000,151600000,141800000,151500000,297300000,166200000
54,Long-Term Debt,- -,528812000,- -,385000000,400000000,288500000,192600000,158100000,156800000,24200000,88300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,68405000,45891000,49200000,18400000,21700000,- -,2100000,2200000,2000000,600000
57,Other Non-Current Liabilities,- -,32346000,27123000,39500000,45600000,47400000,73500000,34300000,55600000,27900000,17000000
58,Total Non-Current Liabilities,- -,629563000,73014000,473700000,464000000,357600000,266100000,194500000,214600000,54100000,105900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,7000000,18700000,15600000,14800000,12500000,43700000,37000000,32400000
61,Total Liabilities,- -,862985000,282989000,762300000,690900000,506600000,417700000,336300000,366100000,351400000,272100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,900000,900000,900000,900000,900000,900000,900000,1000000
64,Retained Earnings,- -,- -,- -,-84000000,-317800000,-360100000,-291900000,-224200000,-175100000,-168500000,-18100000
65,Other Comprehensive Income/Loss,- -,3765000,36525000,-53300000,-126200000,-132100000,-100000000,-111000000,-112000000,-100500000,-100400000
66,Other Total Stockholders Equity,- -,1544369000,1850127000,1372600000,1449900000,1499800000,1523100000,1545900000,1574700000,1571600000,1577000000
67,Total Stockholders Equity,- -,1188107000,1887127000,1236200000,1006800000,1008500000,1132100000,1211600000,1288500000,1303500000,1459500000
68,Total Liabilities And Stockholders Equity,- -,2051092000,2170116000,1998500000,1697700000,1515100000,1549800000,1547900000,1654600000,1654900000,1731600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2051092000,2170116000,1998500000,1697700000,1515100000,1549800000,1547900000,1654600000,1654900000,1731600000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1587523/000158752315000006/knowles20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752316000029/0001587523-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752317000007/0001587523-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752318000006/0001587523-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752319000004/0001587523-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752320000006/0001587523-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752321000012/0001587523-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752322000005/0001587523-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,98457000,79100000,105814000,-87000000,-233800000,-42300000,68300000,67700000,49100000,6600000,150400000
74,Depreciation and Amortization,84773000,114900000,130912000,151600000,135700000,73700000,57300000,52400000,54400000,60600000,62500000
75,Deferred Income Tax,-12452000,-16700000,-30039000,1200000,-25000000,4000000,-30100000,8700000,-700000,-2600000,-61200000
76,Stock Based Compensation,1882000,1900000,2031000,9000000,16500000,21500000,25100000,27000000,25200000,17300000,32100000
77,Change in Working Capital,-26618000,147990000,-106448000,7000000,-11300000,62200000,-20100000,13700000,-114600000,-300000,-13700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-14129000,-15500000,-14136000,-18200000,11700000,21900000,-34000000,-15700000,-300000,16700000,-20700000
80,Accounts Payable,36159000,21800000,-16053000,38000000,-42700000,-26600000,4900000,-6300000,12100000,-17500000,17200000
81,Other Working Capital,143858000,291848000,185400000,192400000,181100000,243300000,223200000,236900000,122300000,122000000,4300000
82,Other Non-Cash Items,29040000,-152090000,72024000,33700000,196300000,-11600000,-7600000,-71000000,110500000,46500000,12000000
83,Cash Provided by Operating Activities,175082000,175100000,174294000,115500000,78400000,107500000,92900000,98500000,123900000,128100000,182100000
84,CAPEX,-88470000,-145200000,-113837000,-99900000,-64600000,-38700000,-51600000,-80100000,-41200000,-31900000,-48600000
85,Acquisitions Net,-824286000,45000000,- -,- -,-35100000,40600000,120600000,-8000000,-69300000,- -,-78500000
86,Purchases of Investments,- -,-5000000,- -,-8000000,- -,- -,- -,- -,- -,-3500000,-3500000
87,Sales/Maturities of Investments,- -,- -,- -,14500000,4000000,2000000,- -,- -,- -,- -,400000
88,Other Investing Activites,3567000,-9100000,-3392000,-15700000,-1000000,2000000,500000,100000,- -,300000,-48000000
89,Cash Used for Investing Activites,-909189000,-101200000,-108675000,-93100000,-95200000,5900000,69500000,-88000000,-110500000,-35100000,-129600000
90,Debt Repayment,- -,-886800000,-574072000,- -,-101400000,-300800000,-305100000,-49400000,-20700000,-102000000,-174800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16200000,-44500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,759693000,796800000,603399000,-71400000,127500000,190900000,187200000,800000,12200000,94300000,87900000
95,Cash Used/Provided by Financing Activities,759693000,-90000000,29327000,-71400000,26100000,-109900000,-117900000,-48600000,-8500000,-23900000,-131400000
96,Effect of Forex Changes on Cash,-173000,100000,340000,-1400000,-1200000,-600000,1000000,-100000,- -,300000,- -
97,Net Change In Cash,25413000,-16000000,95286000,-50400000,8100000,2900000,48300000,-38200000,4900000,69400000,-78900000
98,Cash at the End of Period,26293000,10300000,105588000,55200000,63300000,66200000,111700000,73500000,78400000,147800000,68900000
99,Cash at the Beginning of Period,880000,26300000,10302000,105600000,55200000,63300000,63400000,111700000,73500000,78400000,147800000
100,Free Cash Flow,86612000,29900000,60457000,15600000,13800000,68800000,41300000,18400000,82700000,96200000,133500000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587523/000158752315000006/knowles20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752316000029/0001587523-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752317000007/0001587523-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752318000006/0001587523-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752319000004/0001587523-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752320000006/0001587523-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1587523/000158752321000012/0001587523-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752322000005/0001587523-22-000005-index.htm
102,false,,,,,,,,,,,
