,https://roic.ai/company/NEX,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688476/000168847617000007/0001688476-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1688476/000168847618000011/0001688476-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847619000005/0001688476-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847620000017/0001688476-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847621000039/0001688476-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1688476/000168847622000061/0001688476-22-000061-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,52207000,53422000,48920000,96120000,80206000,255015000,275990000,110695000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,52207000,53422000,48920000,96120000,80206000,255015000,275990000,110695000
34,Net Receivables,53299000,15640000,66277000,238018000,210428000,350765000,122584000,301740000
35,Inventory,16564000,4668000,15891000,33437000,35669000,61641000,30068000,38094000
36,Other Current Assets,1942000,1868000,14618000,8519000,5960000,20633000,58137000,57180000
37,Total Current Assets,124012000,75598000,145706000,376094000,332263000,688054000,486779000,507709000
38,PP&E,189900000,153625000,294209000,468000000,531319000,773418000,509000000,684169000
39,Goodwill,49013000,48882000,50478000,134967000,132524000,137458000,104198000,192780000
40,Intangible Assets,54168000,45616000,44015000,57280000,51904000,55021000,51182000,64961000
41,Intangible Assets,103181000,94498000,94493000,192247000,184428000,192479000,155380000,257741000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1762000,1074000,2532000,6775000,6569000,10956000,6729000,7962000
45,Total Non-Current Assets,294843000,249197000,391234000,667022000,722316000,976853000,671109000,949872000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,418855000,324795000,536940000,1043116000,1054579000,1664907000,1157888000,1457581000
48,Accounts Payable,22242000,12562000,48484000,92348000,106702000,115251000,61259000,190963000
49,Short-Term Debt,- -,- -,- -,1339000,2776000,2311000,2252000,32742000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,5000000,60000,- -,266000,23729000
52,Other Current Liabilities,36257000,19784000,51208000,143467000,111042000,268632000,156380000,224269000
53,Total Current Liabilities,58499000,32346000,99692000,242154000,220580000,386194000,220157000,471703000
54,Long-Term Debt,205552000,204149000,267238000,273715000,337954000,335312000,333288000,408820000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8164000,8140000,7758000,14155000,8864000,56629000,47155000,30041000
58,Total Non-Current Liabilities,213716000,212289000,274996000,287870000,346818000,391941000,380443000,438861000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,9767000,8107000,8075000,7893000,10509000,68034000,43893000,66677000
61,Total Liabilities,272215000,244635000,374688000,530024000,567398000,778135000,600600000,910564000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,186420000,186510000,- -,1118000,1038000,2124000,2144000,2420000
64,Retained Earnings,-37042000,-101684000,-288771000,-27372000,31494000,-73333000,-421741000,-541164000
65,Other Comprehensive Income/Loss,-106305000,-167980000,-261292000,-2000000,-1000000,-9000000,-13000000,-8259000
66,Other Total Stockholders Equity,103567000,163314000,712315000,541346000,455649000,966981000,989885000,- -
67,Total Stockholders Equity,146640000,80160000,162252000,513092000,487181000,886772000,557288000,547017000
68,Total Liabilities And Stockholders Equity,418855000,324795000,536940000,1043116000,1054579000,1664907000,1157888000,1457581000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,418855000,324795000,536940000,1043116000,1054579000,1664907000,1157888000,1457581000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688476/000168847617000007/0001688476-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1688476/000168847618000011/0001688476-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847619000005/0001688476-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847620000017/0001688476-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847621000039/0001688476-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1688476/000168847622000061/0001688476-22-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-45586000,-64642000,-187087000,-36141000,59331000,-106157000,-346883000,-119423000
74,Depreciation and Amortization,68254000,69547000,100979000,159280000,259145000,292150000,302051000,184164000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2417000,312000,1985000,10578000,17166000,28977000,25826000,24677000
77,Change in Working Capital,-19442000,-22261000,2762000,87926000,-22257000,190177000,-35238000,-106466000
78,Accounts Receivable,-36091000,36933000,-13027000,-113047000,- -,- -,183083000,- -
79,Inventory,-12952000,11841000,8485000,-15475000,-2725000,17181000,19167000,-9978000
80,Accounts Payable,12803000,-12650000,14214000,-141000,11304000,-17799000,-61658000,18693000
81,Other Working Capital,65513000,43252000,46014000,133940000,111683000,301860000,266622000,-6537000
82,Other Non-Cash Items,13089000,54565000,27307000,-141952000,36926000,-99684000,123129000,-33739000
83,Cash Provided by Operating Activities,18732000,37521000,-54054000,79691000,350311000,305463000,68885000,-50787000
84,CAPEX,-141523000,-27315000,-23999000,-165280000,-284256000,-212244000,-124227000,-188478000
85,Acquisitions Net,- -,- -,- -,-117000000,-35000000,69000000,54000000,-95082000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,34350000
88,Other Investing Activites,2523000,1208000,-203615000,30817000,20867000,24736000,23570000,82988000
89,Cash Used for Investing Activites,-138870000,-26038000,-227161000,-250776000,-297506000,-114100000,-37844000,-163201000
90,Debt Repayment,-140226000,-6661000,-8315000,-308580000,-289071000,-9535000,-182252000,-9826000
91,Common Stock Issued,-337000,- -,200000000,255494000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-222000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,277861000,-3635000,84948000,271208000,220517000,-7211000,172427000,58112000
95,Cash Used/Provided by Financing Activities,137298000,-10518000,276633000,218122000,-68554000,-16746000,-9825000,48286000
96,Effect of Forex Changes on Cash,-400000,250000,80000,163000,-165000,192000,-241000,407000
97,Net Change In Cash,16760000,1215000,-4502000,47200000,-15914000,174809000,20975000,-165295000
98,Cash at the End of Period,52207000,53422000,48920000,96120000,80206000,255015000,275990000,110695000
99,Cash at the Beginning of Period,35447000,52207000,53422000,48920000,96120000,80206000,255015000,275990000
100,Free Cash Flow,-122791000,10206000,-78053000,-85589000,66055000,93219000,-55342000,-239265000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688476/000168847617000007/0001688476-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1688476/000168847618000011/0001688476-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847619000005/0001688476-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847620000017/0001688476-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1688476/000168847621000039/0001688476-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1688476/000168847622000061/0001688476-22-000061-index.htm
102,false,,,,,,,,
