,https://roic.ai/company/GSIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-620000,- -,-155000,171000,4251000,2505000,3598000,2195000,4985000,425000,38000,713000,-675000,-641000,66000,453000,105000,247000,335000
23,Net Income,-7438000,-670000,4780000,4249000,7434000,6773000,9289000,10383000,18876000,6756000,3846000,-6189000,-4978000,-2170000,-115000,-4515000,163000,-10337000,-21505000
24,Net Income ratio,-0.3545,-0.0189,0.1045,0.0985,0.1278,0.1274,0.1496,0.1537,0.1931,0.0819,0.0583,-0.1057,-0.0931,-0.0411,-0.0024,-0.1059,0.0032,-0.2385,-0.7755
25,EPS,-1.39,-0.12,0.63,0.54,1.04,0.25,0.33,0.38,0.67,0.24,0.14,-0.23,-0.20,-0.10,-0.01,-0.21,0.01,-0.45,-0.91
26,EPS Diluted,-1.39,-0.12,0.21,0.19,0.32,0.24,0.33,0.38,0.64,0.23,0.14,-0.23,-0.20,-0.10,-0.01,-0.21,0.01,-0.45,-0.91
27,Weighted Average Shares Outstanding,5334000,5664000,6112000,6148000,6253000,27537000,27735000,27105000,28013000,28497000,27124000,27505000,25029000,22593000,20652000,21085000,21889000,22968000,23671000
28,Weighted Average Shares Outstanding Diluted,5334000,5664000,22562000,22586000,22837000,28624000,28386000,27688000,29685000,29496000,28077000,27505000,25029000,22593000,20652000,21085000,23349000,22968000,23671000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126741/000104746908007524/0001047469-08-007524-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000104746909006262/0001047469-09-006262-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000104746910005768/0001047469-10-005768-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000112674111000004/0001126741-11-000004-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000112674112000006/gsit331201210k.htm,https://www.sec.gov/Archives/edgar/data/1126741/000110262413000684/0001102624-13-000684-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837014000054/0001558370-14-000054-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837015001072/0001558370-15-001072-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837016006362/0001558370-16-006362-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837017004663/0001558370-17-004663-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837018005106/0001558370-18-005106-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837019005677/0001558370-19-005677-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837020007308/0001558370-20-007308-index.htm,https://www.sec.gov/Archives/edgar/data/1126741/000155837021008016/0001558370-21-008016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6150000,3488000,8522000,11505000,4275000,15899000,12597000,24658000,25952000,31634000,41120000,41520000,36776000,31963000,33736000,40241000,42495000,51506000,44234000
32,Short-Term Investments,- -,- -,3000000,4000000,4000000,23666000,34740000,22120000,26033000,27044000,26139000,39412000,22201000,23149000,16199000,18124000,19346000,15061000,9717000
33,Cash and Short-Term Investments,6150000,3488000,11522000,15505000,8275000,39565000,47337000,46778000,51985000,58678000,67259000,80932000,58977000,55112000,49935000,58365000,61841000,66567000,53951000
34,Net Receivables,4730000,7372000,4947000,4295000,6397000,7476000,5622000,9241000,15042000,10579000,10798000,8834000,8607000,7708000,6565000,5649000,7660000,6541000,3956000
35,Inventory,7581000,14825000,12039000,12600000,24209000,15704000,10995000,15436000,21380000,16725000,13809000,8185000,8412000,7174000,9211000,5547000,5685000,4282000,4343000
36,Other Current Assets,2333000,2740000,2945000,3632000,5289000,3134000,3417000,5163000,7304000,9205000,5612000,4556000,1947000,1968000,2561000,1710000,2179000,1723000,1196000
37,Total Current Assets,20794000,28425000,31453000,36032000,44170000,65879000,67371000,76618000,95711000,95187000,97478000,102507000,77943000,71962000,68272000,71271000,77365000,79113000,63446000
38,PP&E,2939000,2403000,1710000,2206000,4745000,5840000,5126000,12344000,13545000,12806000,10774000,9683000,8708000,8653000,7689000,8172000,9001000,8736000,8005000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8030000,7978000,7978000,7978000,7978000,7978000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1105000,925000,744000,564000,393000,3651000,3302000,2989000,2722000,2489000,2256000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1105000,925000,744000,564000,393000,11681000,11280000,10967000,10700000,10467000,10234000
42,Investments,- -,- -,- -,- -,- -,16000000,19428000,22565000,30938000,33497000,35495000,28819000,21740000,11148000,12898000,7923000,8997000,4117000,5792000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,535000,619000,1272000,24000,27000,- -,22000,75000,35000,- -,- -
44,Other Non-Current Assets,70000,71000,361000,1306000,995000,596000,748000,1601000,83000,83000,82000,80000,78000,3086000,2434000,1132000,125000,128000,135000
45,Total Non-Current Assets,3009000,2474000,2071000,3512000,5740000,22436000,25302000,36510000,46206000,47930000,48367000,39170000,30946000,34568000,34323000,28269000,28858000,23448000,24166000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23803000,30899000,33524000,39544000,49910000,88315000,92673000,113128000,141917000,143117000,145845000,141677000,108889000,106530000,102595000,99540000,106223000,102561000,87612000
48,Accounts Payable,957000,4597000,2234000,5195000,4864000,4282000,2908000,6686000,5638000,5490000,3804000,4870000,2961000,2514000,1627000,1841000,1864000,1184000,1567000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498000,375000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,- -,- -,- -,- -,- -,- -,- -,- -,198000
51,Deferred Revenue,1443000,3009000,3026000,3104000,3704000,4943000,2736000,3316000,5248000,2670000,3077000,2523000,2815000,2330000,1796000,121000,- -,- -,- -
52,Other Current Liabilities,700000,2667000,2689000,1280000,2603000,1584000,1973000,3569000,4790000,4343000,3978000,4444000,5937000,4398000,7051000,5442000,6869000,6578000,5520000
53,Total Current Liabilities,3100000,10273000,7949000,9579000,11171000,10809000,7617000,13571000,15676000,12503000,10859000,11837000,11713000,9242000,10474000,7404000,8733000,8260000,7462000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,351000,838000,1561000,1835000,- -,- -,- -,811000,15000,- -,- -,- -,- -
57,Other Non-Current Liabilities,9007000,9007000,9007000,9007000,9007000,366000,- -,- -,- -,- -,2803000,1462000,780000,6608000,5662000,5321000,4335000,4660000,4234000
58,Total Non-Current Liabilities,9007000,9007000,9007000,9007000,9007000,366000,351000,838000,1561000,1835000,2803000,1462000,780000,7419000,5677000,5321000,4335000,4660000,4558000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,640000,699000
61,Total Liabilities,12107000,19280000,16956000,18586000,20178000,11175000,7968000,14409000,17237000,14338000,13662000,13299000,12493000,16661000,16151000,12725000,13068000,12920000,12020000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6000,6000,6000,6000,6000,28000,27000,28000,29000,28000,27000,28000,23000,22000,21000,21000,22000,23000,24000
64,Retained Earnings,6391000,5721000,10501000,14750000,22184000,28957000,38246000,48629000,67505000,74261000,78107000,71918000,66940000,64770000,64655000,59545000,59708000,49371000,27866000
65,Other Comprehensive Income/Loss,-531000,-352000,-261000,-166000,-6200000,16000,230000,190000,83000,88000,45000,33000,26000,27000,-62000,-142000,-37000,71000,-20000
66,Other Total Stockholders Equity,5830000,6244000,6322000,6368000,13742000,48139000,46202000,49872000,57063000,54402000,54004000,56399000,29407000,25050000,21830000,27391000,33462000,40176000,47722000
67,Total Stockholders Equity,11696000,11619000,16568000,20958000,29732000,77140000,84705000,98719000,124680000,128779000,132183000,128378000,96396000,89869000,86444000,86815000,93155000,89641000,75592000
68,Total Liabilities And Stockholders Equity,23803000,30899000,33524000,39544000,49910000,88315000,92673000,113128000,141917000,143117000,145845000,141677000,108889000,106530000,102595000,99540000,106223000,102561000,87612000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23803000,30899000,33524000,39544000,49910000,88315000,92673000,113128000,141917000,143117000,145845000,141677000,108889000,106530000,102595000,99540000,106223000,102561000,87612000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126741/000104746908007524/0001047469-08-007524-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000104746909006262/0001047469-09-006262-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000104746910005768/0001047469-10-005768-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000112674111000004/0001126741-11-000004-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000112674112000006/gsit331201210k.htm,https://www.sec.gov/Archives/edgar/data/1126741/000110262413000684/0001102624-13-000684-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837014000054/0001558370-14-000054-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837015001072/0001558370-15-001072-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837016006362/0001558370-16-006362-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837017004663/0001558370-17-004663-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837018005106/0001558370-18-005106-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837019005677/0001558370-19-005677-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837020007308/0001558370-20-007308-index.htm,https://www.sec.gov/Archives/edgar/data/1126741/000155837021008016/0001558370-21-008016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-7438000,-670000,4780000,4249000,7434000,6773000,9289000,10383000,18876000,6756000,3846000,-6189000,-4978000,-2170000,-115000,-4515000,163000,-10337000,-21505000
74,Depreciation and Amortization,2075000,1009000,926000,893000,836000,1527000,1362000,2196000,2794000,2611000,2375000,1981000,1633000,1459000,1532000,1255000,1454000,1434000,1214000
75,Deferred Income Tax,2490000,- -,-1291000,-734000,40000,-211000,591000,-299000,-1337000,557000,-127000,1224000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1328000,1479000,1712000,2096000,2278000,2228000,2077000,1850000,1877000,2070000,2266000,2566000,2854000
77,Change in Working Capital,1776000,458000,5352000,2949000,6546000,22071000,4684000,3293000,16988000,2649000,3935000,4051000,-24440000,-3510000,-4922000,6069000,4765000,2221000,-14869000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,1847000,-3597000,-5805000,4468000,322000,2008000,-11000,782000,1125000,1111000,-2099000,1026000,2630000
79,Inventory,5184000,-8090000,2738000,-1672000,-11997000,7792000,3767000,-1133000,-7076000,3959000,2139000,3545000,-1294000,66000,-2625000,2103000,-1333000,1060000,-527000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1322000,3404000,-760000,-17000,-1607000,1066000,-1915000,-441000,-887000,189000,48000,-680000,383000
81,Other Working Capital,17694000,18152000,23504000,26453000,32999000,55070000,59754000,63047000,80035000,82684000,86619000,90670000,66230000,62720000,57798000,63867000,68632000,70853000,55984000
82,Other Non-Cash Items,-211000,-3043000,-1542000,-2190000,-19597000,-11334000,-1057000,-3351000,-25686000,2289000,2404000,5152000,26829000,2831000,3681000,-3814000,-5642000,-565000,17054000
83,Cash Provided by Operating Activities,-1308000,-2246000,8225000,5167000,-4741000,18826000,16197000,13701000,13347000,16958000,14711000,8447000,1121000,460000,2053000,1065000,3006000,-4681000,-15252000
84,CAPEX,-1952000,-473000,-233000,-1389000,-2033000,-3339000,-674000,-6022000,-4300000,-1679000,-385000,-761000,-481000,-1158000,-219000,-1320000,-2090000,-331000,-203000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-6327000,- -,- -,- -,- -,- -,-4359000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-3000000,-1000000,-9500000,-75822000,-49713000,-28669000,-48988000,-38166000,-35609000,-35866000,-16009000,-14149000,-18563000,-13243000,-20307000,-18116000,-17510000
87,Sales/Maturities of Investments,- -,- -,- -,- -,9500000,40227000,34154000,37186000,35755000,33327000,33446000,28412000,39699000,23585000,23600000,16140000,18173000,27418000,21000000
88,Other Investing Activites,- -,-8000,-8000,159000,- -,1000000,- -,- -,- -,- -,- -,- -,- -,-2984000,- -,1234000,750000,1000000,- -
89,Cash Used for Investing Activites,-1952000,-481000,-3241000,-2230000,-2033000,-37934000,-16233000,-3832000,-17533000,-6518000,-2548000,-8215000,23209000,935000,4818000,2811000,-3474000,9971000,3287000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,76000,65000,50000,46000,124000,97000,544000,1638000,4598000,1504000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-4090000,-58000,- -,-6337000,-3626000,-2880000,-30026000,-7026000,-7112000,- -,-103000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-580000,30635000,280000,612000,882000,75000,949000,3048000,952000,818000,2014000,2629000,2825000,3721000,4693000
95,Cash Used/Provided by Financing Activities,76000,65000,50000,46000,-456000,30732000,-3266000,2192000,5480000,-4758000,-2677000,168000,-29074000,-6208000,-5098000,2629000,2722000,3721000,4693000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3184000,-2662000,5034000,2983000,-7230000,11624000,-3302000,12061000,1294000,5682000,9486000,400000,-4744000,-4813000,1773000,6505000,2254000,9011000,-7272000
98,Cash at the End of Period,6150000,3488000,8522000,11505000,4275000,15899000,12597000,24658000,25952000,31634000,41120000,41520000,36776000,31963000,33736000,40241000,42495000,51506000,44234000
99,Cash at the Beginning of Period,9334000,6150000,3488000,8522000,11505000,4275000,15899000,12597000,24658000,25952000,31634000,41120000,41520000,36776000,31963000,33736000,40241000,42495000,51506000
100,Free Cash Flow,-3260000,-2719000,7992000,3778000,-6774000,15487000,15523000,7679000,9047000,15279000,14326000,7686000,640000,-698000,1834000,-255000,916000,-5012000,-15455000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126741/000104746908007524/0001047469-08-007524-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000104746909006262/0001047469-09-006262-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000104746910005768/0001047469-10-005768-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000112674111000004/0001126741-11-000004-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000112674112000006/gsit331201210k.htm,https://www.sec.gov/Archives/edgar/data/1126741/000110262413000684/0001102624-13-000684-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837014000054/0001558370-14-000054-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837015001072/0001558370-15-001072-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837016006362/0001558370-16-006362-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837017004663/0001558370-17-004663-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837018005106/0001558370-18-005106-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837019005677/0001558370-19-005677-index.html,https://www.sec.gov/Archives/edgar/data/1126741/000155837020007308/0001558370-20-007308-index.htm,https://www.sec.gov/Archives/edgar/data/1126741/000155837021008016/0001558370-21-008016-index.htm
102,false,,,,,,,,,,,,,,,,,,,
