,https://roic.ai/company/TDNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2425000,472880,393580,400000,400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617000,- -,10,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2425000,1129930,425240,404420,400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,50000,20000,10000,10000,- -,- -,1400,389250,4304230,5714770,6094700,3949590,1926537
48,Accounts Payable,- -,- -,- -,- -,- -,- -,10000,134760,184680,106610,1388390,1289830,443250,429009
49,Short-Term Debt,- -,- -,- -,- -,20000,- -,49483,353820,2632770,191188,- -,- -,11965012,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,10000,517,82760,181020,431182,1454770,3886460,9430648,7480846
53,Total Current Liabilities,- -,- -,- -,- -,20000,10000,60000,571340,2998470,728980,2843160,5176290,21838910,7909855
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5114160,8845410,13617810,6647110,22435165
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-14640,-65780,-124650,-171010,-288600,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-14640,5048380,8720760,13446800,6358510,22435165
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,20000,10000,60000,571340,2983830,5777360,11563920,18623090,28197420,30345020
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,10000,10000,10000,10000,30000,28000,28000,31000,32310,32310,32310,32312
64,Retained Earnings,- -,-30000,-50000,-70000,-80000,-80000,-140000,-644940,-3800120,-6936100,-13751420,-22125440,-34225630,-39522278
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,10000,66425,63837,69036,62269,64703,49262,47003,1177542,5431974,7869964,9564738,9945490,11458630
67,Total Stockholders Equity,14310,46425,23837,9036,-7731,-5297,-60738,-569937,-2594578,-1473126,-5849146,-12528392,-24247830,-28031336
68,Total Liabilities And Stockholders Equity,10000,50000,20000,10000,12269,4703,-738,1403,389252,4304234,5714774,6094698,3949590,2313684
69,Minority Interest,- -,- -,- -,- -,-2269,-4703,738,-3,-2,-4,-4,2,- -,-387147
70,Total Liabilities & Equity,10000,50000,20000,10000,10000,- -,- -,1400,389250,4304230,5714770,6094700,3949590,1926537
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1421907/000116552709000127/0001165527-09-000127-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552710000132/0001165527-10-000132-index.html,- -,https://www.sec.gov/Archives/edgar/data/1421907/000116552712000170/0001165527-12-000170-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552713000261/0001165527-13-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552714000139/0001165527-14-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552715000097/0001165527-15-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552716000688/0001165527-16-000688-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552717000047/0001165527-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552718000037/0001165527-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552719000022/0001165527-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000147793220001361/0001477932-20-001361-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000147793221001463/0001477932-21-001463-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,-30000,-20000,-10000,-20000,- -,-60000,-509200,-3155180,-3135980,-6815320,-8374020,-12100190,-5296648
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000,313989,40716,8381,4413
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,482653,111994,6964,1194775,380751,- -
77,Change in Working Capital,- -,4250,-5150,900,-8672,13472,6585,205084,-52132,21846,1204581,195704,-231210,4433764
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53053,-1018523,714084,77145,117356
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-145480,-85741,98270,-1922112,-27763,667995
80,Accounts Payable,- -,4250,-4250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,500,- -,- -,- -,- -,-1049,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-690,2115,-2588,-4801,3233,2434,4560,1,520263,246878,2872860,2274820,4147138,-1138529
83,Cash Provided by Operating Activities,-690,-23635,-27738,-13901,-25439,15906,-48855,-304115,-2204396,-2480262,-2416926,-4668005,-7795130,-1997000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166910,-243260,-6420,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125000,-243260,12449,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166910,-243260,12449,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-20000,- -,- -,-263070,-730000,-200000,- -,- -,- -
91,Common Stock Issued,3000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12000,56000,- -,- -,20000,5000,44483,304337,2655000,4550000,4400000,4900780,5663052,1071333
95,Cash Used/Provided by Financing Activities,15000,60000,- -,- -,20000,-15000,44483,304337,2391930,3820000,4200000,4900780,5663052,1071333
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,15000,36365,-27738,-13901,-5439,906,-4372,222,187534,1339738,1616164,-10485,-2119629,-925667
98,Cash at the End of Period,14310,50675,22937,9036,3597,4503,131,353,187886,1527624,3143788,3133303,1013674,88007
99,Cash at the Beginning of Period,- -,14310,50675,22937,9036,3597,4503,131,352,187886,1527624,3143788,3133303,1013674
100,Free Cash Flow,-690,-23635,-27738,-13901,-25439,15906,-48855,-304115,-2204396,-2480262,-2583836,-4911265,-7801550,-1997000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1421907/000116552709000127/0001165527-09-000127-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552710000132/0001165527-10-000132-index.html,- -,https://www.sec.gov/Archives/edgar/data/1421907/000116552712000170/0001165527-12-000170-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552713000261/0001165527-13-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552714000139/0001165527-14-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552715000097/0001165527-15-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552716000688/0001165527-16-000688-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552717000047/0001165527-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552718000037/0001165527-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552719000022/0001165527-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000147793220001361/0001477932-20-001361-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000147793221001463/0001477932-21-001463-index.htm
102,false,,,,,,,,,,,,,,
