,https://roic.ai/company/VRNS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,606000,1430000,1528000,2962000,2622000,3650000,7130000,16952000,13047000,27357000,34417000
37,Total Current Assets,- -,29870000,36278000,43773000,152526000,156402000,171319000,219283000,259090000,208557000,419848000,959207000
38,PP&E,- -,855000,1298000,1856000,3989000,8265000,9910000,11896000,17323000,91395000,85087000,102047000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23135000,23135000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5846000,4313000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28981000,27448000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,162000,118000,1625000,332000,477000,609000,973000,8565000,18360000,21566000,19835000
45,Total Non-Current Assets,- -,1017000,1416000,3481000,4321000,8742000,10519000,12869000,25888000,109755000,135634000,149330000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,30887000,37694000,47254000,156847000,165144000,181838000,232152000,284978000,318312000,555482000,1108537000
48,Accounts Payable,- -,780000,1896000,2163000,2703000,2612000,1288000,635000,2620000,997000,850000,5324000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,14149000,19024000,26591000,33753000,45675000,58478000,73891000,87729000,95975000,98588000,104221000
52,Other Current Liabilities,- -,5696000,7427000,11643000,16754000,23029000,28479000,42453000,55991000,62607000,83198000,102226000
53,Total Current Liabilities,- -,20625000,28347000,40397000,53210000,71316000,88245000,116979000,146340000,159579000,182636000,211771000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,57040000,273000000,294024000
55,Deferred Revenue,- -,3068000,2249000,2109000,3464000,3096000,3562000,7034000,6487000,5460000,2778000,2566000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,41047000,44546000,1115000,5147000,7145000,7292000,6561000,6781000,2701000,2997000,3583000
58,Total Non-Current Liabilities,- -,44115000,46795000,3224000,8611000,10241000,10854000,13595000,13268000,65201000,278775000,300173000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,57040000,54540000,68694000
61,Total Liabilities,- -,64740000,75142000,43621000,61821000,81557000,99099000,130574000,159608000,224780000,461411000,511944000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000,4000,19000,25000,26000,27000,28000,30000,31000,32000,108000
64,Retained Earnings,- -,-35432000,-40278000,-47753000,-67151000,-88434000,-106144000,-122454000,-137968000,-216732000,-310742000,-427603000
65,Other Comprehensive Income/Loss,- -,-1421000,-1886000,-2661000,-326000,-331000,-479000,136000,-3633000,-449000,9371000,6083000
66,Other Total Stockholders Equity,- -,2996000,4712000,54028000,162478000,172326000,189335000,223868000,266941000,310682000,395410000,- -
67,Total Stockholders Equity,- -,-33853000,-37448000,3633000,95026000,83587000,82739000,101578000,125370000,93532000,94071000,596593000
68,Total Liabilities And Stockholders Equity,- -,30887000,37694000,47254000,156847000,165144000,181838000,232152000,284978000,318312000,555482000,1108537000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,30887000,37694000,47254000,156847000,165144000,181838000,232152000,284978000,318312000,555482000,1108537000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361113/000119312515054287/0001193125-15-054287-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184316007861/0001171843-16-007861-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184317000799/0001171843-17-000799-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184318001113/0001171843-18-001113-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828019001223/0001628280-19-001223-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828020001362/0001628280-20-001362-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828021001677/0001628280-21-001677-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828022002017/0001628280-22-002017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-2761000,-3798000,-4846000,-7475000,-19398000,-21283000,-17710000,-13694000,-28578000,-78764000,-94010000,-116861000
74,Depreciation and Amortization,291000,453000,465000,796000,1285000,1615000,2180000,3328000,4156000,15344000,9903000,10888000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,511000,235000,848000,1788000,4664000,7794000,12938000,19835000,34961000,46139000,68585000,109779000
77,Change in Working Capital,1798000,3701000,-1314000,-4555000,95940000,-14230000,-2012000,19230000,10446000,-7077000,-16259000,-25877000
78,Accounts Receivable,-4656000,-3217000,-4370000,-8233000,-9601000,-9567000,-6425000,-21735000,-7627000,8173000,-19075000,-22950000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,185000,171000,1116000,267000,540000,-91000,-1324000,-653000,1985000,-1623000,-328000,4474000
81,Other Working Capital,5544000,9245000,7931000,3376000,99316000,85086000,83074000,102304000,112750000,-11913000,-19300000,-15730000
82,Other Non-Cash Items,1664000,688000,6579000,9500000,-89601000,23375000,11951000,-12348000,2560000,13675000,25939000,29249000
83,Cash Provided by Operating Activities,1503000,1279000,1732000,54000,-7110000,-2729000,7347000,16351000,23545000,-10683000,-5842000,7178000
84,CAPEX,-633000,-561000,-920000,-1349000,-2333000,-4536000,-3825000,-5314000,-9583000,-25392000,-10116000,-10490000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29369000,- -
86,Purchases of Investments,- -,- -,- -,- -,-30758000,-22001000,-8390000,-14402000,-30319000,-1761000,- -,-50000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,60466000,- -,114869000
88,Other Investing Activites,-373000,-445000,278000,-4367000,269000,-141000,-130000,-285000,-286000,-10000,-15263000,- -
89,Cash Used for Investing Activites,-1006000,-1006000,-642000,-5716000,-32822000,-26678000,-12345000,-20001000,-40188000,33303000,-54748000,54379000
90,Debt Repayment,-1750000,-458000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,48000,1000000,- -,108447000,- -,- -,- -,- -,- -,- -,500034000
92,Common Stock Repurchased,- -,-1904000,-766000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,105000,2876000,169000,825000,-1555000,2055000,4072000,12083000,8114000,-2398000,225753000,10078000
95,Cash Used/Provided by Financing Activities,-1645000,562000,403000,825000,106892000,2055000,4072000,12083000,8114000,-2398000,225753000,510112000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1148000,835000,1493000,-4837000,66960000,-27352000,-926000,8433000,-8529000,20222000,165163000,571669000
98,Cash at the End of Period,12142000,12977000,14470000,9633000,76593000,49241000,48315000,57236000,48707000,68929000,234092000,805761000
99,Cash at the Beginning of Period,13290000,12142000,12977000,14470000,9633000,76593000,49241000,48803000,57236000,48707000,68929000,234092000
100,Free Cash Flow,870000,718000,812000,-1295000,-9443000,-7265000,3522000,11037000,13962000,-36075000,-15958000,-3312000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361113/000119312515054287/0001193125-15-054287-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184316007861/0001171843-16-007861-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184317000799/0001171843-17-000799-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184318001113/0001171843-18-001113-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828019001223/0001628280-19-001223-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828020001362/0001628280-20-001362-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828021001677/0001628280-21-001677-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828022002017/0001628280-22-002017-index.htm
102,false,,,,,,,,,,,,
