,https://roic.ai/company/ZD,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-4.6000,-2.0395,-1.0929,0.0560,0.3724,0.4409,0.4868,0.5674,0.4499,0.4785,0.4775,0.4598,0.4904,0.4756,0.5009,0.3912,0.4162,0.4059,0.4288,0.3845,0.3500,0.3808,0.3892,0.5763
17,Operating Income,-11000000,-13100000,-24570000,-8721592,13805847,27250000,46036000,61421000,66037000,86426000,97934000,104461000,103923000,135950000,162162000,175423000,186206000,199382000,242566000,245708000,244280000,277080000,334611000,167340000
18,Operating Income ratio,-3.1429,-1.7237,-1.7634,-0.2623,0.2863,0.3805,0.4329,0.4267,0.3647,0.3916,0.4055,0.4254,0.4069,0.4118,0.4366,0.3368,0.3108,0.2766,0.2775,0.2198,0.2023,0.2019,0.2246,0.1181
19,Total Other Income Expenses (Gains),-4900000,-100000,2355000,890786,437906,419000,1183000,13148000,7195000,9035000,4219000,-6682000,6714000,1166000,-7240000,-32726000,-31039000,-42463000,-31127000,-45742000,-66693000,-77482000,-104212000,168418000
20,Income Before Tax,- -,- -,-22215000,-7830806,14243753,27669000,47219000,74569000,73232000,95461000,102153000,97779000,110637000,137116000,154922000,142697000,155167000,156919000,211439000,199966000,177587000,199598000,230399000,335758000
21,Income Before Tax Ratio,- -,- -,-1.5944,-0.2355,0.2954,0.3863,0.4440,0.5181,0.4044,0.4325,0.4230,0.3982,0.4332,0.4153,0.4171,0.2740,0.2590,0.2177,0.2419,0.1789,0.1471,0.1455,0.1547,0.2370
22,Income Tax expense (Gain),- -,- -,4000,4000,151355,-8137000,15612000,23311000,20101000,27000000,29591000,30952000,27590000,22350000,33259000,35175000,29840000,23283000,59000000,60541000,44760000,-19376000,68393000,-15944000
23,Net Income,-17200000,-17400000,-22219000,-7834806,14317116,35806000,31607000,51258000,53131000,68461000,72562000,66827000,83047000,114766000,121580000,107522000,125327000,133636000,152439000,139425000,128687000,218806000,150668000,495097000
24,Net Income ratio,-4.9143,-2.2895,-1.5947,-0.2356,0.2970,0.4999,0.2972,0.3561,0.2934,0.3102,0.3004,0.2721,0.3252,0.3476,0.3274,0.2065,0.2092,0.1854,0.1744,0.1247,0.1066,0.1595,0.1011,0.3495
25,EPS,-0.80,-0.68,-0.61,-0.17,0.33,0.79,0.68,1.06,1.08,1.40,1.63,1.52,1.86,2.46,2.63,2.31,2.60,2.76,3.15,2.89,2.64,4.39,3.24,10.81
26,EPS Diluted,-0.80,-0.68,-0.61,-0.17,0.30,0.71,0.64,1.00,1.04,1.35,1.58,1.48,1.81,2.43,2.61,2.28,2.58,2.73,3.13,2.83,2.59,4.39,3.18,10.37
27,Weighted Average Shares Outstanding,22125000,28098994,36484944,45118588,43296520,45463788,46625488,48224818,49209129,48953483,44609174,43936194,44578036,45799615,45459712,45548767,46778015,47627853,47668357,47586242,47950746,47647397,46308825,45893928
28,Weighted Average Shares Outstanding Diluted,22125000,28098994,36484944,45118588,47587080,50366176,49675714,51152770,51048995,50762007,45937506,45138001,45941843,46384848,45781658,46140019,47106538,48087760,47963226,48669027,48927791,49025684,47122511,47862745
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084048/000108404821000012/0001084048-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1084048/000108404822000015/0001084048-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,32776841,46882000,18814000,36301000,95605000,154220000,150780000,197411000,64752000,139359000,218680000,207801000,433663000,255530000,123950000,350945000,209474000,575615000,242652000,694842000
32,Short-Term Investments,- -,- -,- -,- -,- -,8539000,47225000,76525000,83498000,54297000,14000,31381000,14035000,38513000,105054000,90789000,96206000,79655000,60000,- -,- -,- -,663000,229200000
33,Cash and Short-Term Investments,- -,- -,- -,- -,32776841,55421000,66039000,112826000,179103000,208517000,150794000,228792000,78787000,177872000,323734000,298590000,529869000,335185000,124010000,350945000,209474000,575615000,243315000,924042000
34,Net Receivables,- -,- -,- -,- -,5082137,5877000,8227000,10211000,11989000,15365000,14083000,11928000,17423000,19071000,37285000,67245000,91699000,114680000,199871000,234195000,221615000,261928000,325619000,311728000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,1408445,12575000,5393000,4441000,7422000,6785000,9641000,15733000,19292000,15954000,16480000,23190000,24615000,32940000,24118000,35287000,29242000,49347000,53909000,64916000
37,Total Current Assets,- -,- -,- -,- -,39267423,73873000,79659000,127478000,198514000,230667000,174518000,256453000,115502000,212897000,377499000,389025000,646183000,482805000,347999000,620427000,460331000,886890000,622843000,1300686000
38,PP&E,- -,- -,- -,- -,6500464,6594000,12386000,17248000,18951000,23511000,18938000,13366000,13567000,14438000,19599000,31200000,38217000,57442000,68094000,79773000,98813000,253639000,262422000,216826000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,30954000,39452000,72783000,81258000,281848000,279016000,407825000,457422000,635675000,807661000,1122810000,1196611000,1380376000,1633033000,1867430000,1524429000
40,Intangible Assets,- -,- -,- -,- -,17323676,17936000,31429000,40980000,21400000,29220000,36791000,39091000,99954000,98067000,165316000,223533000,311800000,352641000,511691000,485751000,526468000,556553000,741569000,572724000
41,Intangible Assets,- -,- -,- -,- -,17323676,17936000,31429000,40980000,52354000,68672000,109574000,120349000,381802000,377083000,573141000,680955000,947475000,1160302000,1634501000,1682362000,1906844000,2189586000,2608999000,2097153000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14887000,8175000,43077000,19841000,47351000,60508000,78563000,- -,57722000,83828000,100079000,97495000,122593000
43,Tax Assets,- -,- -,- -,- -,- -,5716000,1520000,4559000,5406000,6113000,7787000,8717000,12967000,3160000,1852000,1845000,- -,- -,5289000,- -,- -,59976000,56545000,5917000
44,Other Non-Current Assets,- -,- -,- -,- -,1001643,8737000,27923000,31980000,12935000,21446000,11223000,229000,610000,516000,3238000,3413000,12819000,13756000,6445000,12809000,11014000,15676000,17027000,20090000
45,Total Non-Current Assets,- -,- -,- -,- -,24825783,38983000,73258000,94767000,89646000,119742000,147522000,157548000,417121000,438274000,617671000,764764000,1059019000,1310063000,1714329000,1832666000,2100499000,2618956000,3042488000,2462579000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,64093206,112856000,152917000,222245000,288160000,350409000,322040000,414001000,532623000,651171000,995170000,1153789000,1705202000,1792868000,2062328000,2453093000,2560830000,3505846000,3665331000,3763265000
48,Accounts Payable,- -,- -,- -,- -,3895879,4010000,5516000,7611000,17117000,17516000,16915000,15941000,25112000,24070000,39874000,69570000,95310000,114384000,178071000,169837000,166521000,238059000,230651000,226621000
49,Short-Term Debt,- -,- -,- -,- -,595911,1022000,1196000,593000,149000,- -,- -,- -,- -,- -,- -,- -,258000,214000,178881000,- -,- -,412459000,429012000,81765000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1563000,1798000,1494000,3037000,1569000,- -,5589000,16753000,- -,12915000,17758000,31753000,3143000
51,Deferred Revenue,- -,- -,- -,- -,2615048,4698000,5378000,7201000,11530000,14708000,13680000,11411000,16938000,26695000,30493000,36326000,63457000,76104000,80384000,95255000,127568000,162855000,190644000,185571000
52,Other Current Liabilities,- -,- -,- -,- -,52000,- -,- -,2809000,4511000,4649000,1800000,1563000,15842000,7033000,8560000,8996000,342000,5952000,16753000,10000,13233000,19731000,32250000,3273000
53,Total Current Liabilities,- -,- -,- -,- -,7158838,9730000,12090000,18214000,33307000,36873000,32395000,28915000,57892000,57798000,78927000,114892000,159367000,196654000,454089000,265102000,307322000,833104000,882557000,497230000
54,Long-Term Debt,- -,- -,- -,- -,251112,221000,866000,149000,- -,- -,- -,- -,- -,- -,245194000,245670000,593491000,601334000,601746000,1001944000,1013129000,1166999000,1281397000,1089726000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11189000,10182000,6538000,1588000,47000,13200000,12744000,14440000,14839000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15293000,12102000,32393000,35833000,61960000,43989000,40357000,38264000,69048000,107453000,162700000,108982000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,112000,30922000,39665000,48914000,27693000,26896000,44061000,39787000,59967000,54145000,50012000,127431000,122387000,74354000,113219000,91782000
58,Total Non-Current Liabilities,- -,- -,- -,- -,251112,221000,866000,149000,112000,30922000,39665000,48914000,42986000,38998000,321648000,332479000,725600000,706006000,693703000,1167686000,1217764000,1361550000,1571756000,1305329000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,140523,115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399000,362000,64000,- -,- -,130997000,131388000,80864000
61,Total Liabilities,- -,- -,- -,- -,7409950,9951000,12956000,18363000,33419000,67795000,72060000,77829000,100878000,96796000,400575000,447371000,884967000,902660000,1147792000,1432788000,1525086000,2194654000,2454313000,1802559000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,119629,249000,254000,266000,535000,543000,523000,529000,537000,554000,451000,461000,474000,479000,474000,479000,481000,476000,443000,474000
64,Retained Earnings,- -,- -,- -,- -,-55981537,-20175000,11432000,62690000,112735000,162281000,234843000,301670000,381145000,472595000,424790000,484850000,553584000,626789000,660382000,723062000,769575000,891526000,809107000,1530015000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-9230,-9000,591000,-6893000,1183000,2949000,-3900000,-975000,-2035000,-3477000,-88000,4235000,-7127000,-29124000,-54649000,-29090000,-45979000,-46462000,-54806000,-76188000
66,Other Total Stockholders Equity,- -,- -,- -,- -,112554394,122840000,127684000,147819000,140288000,116841000,18514000,34948000,52098000,84703000,169542000,216872000,273304000,292064000,308329000,325854000,311667000,465652000,456274000,506405000
67,Total Stockholders Equity,- -,- -,- -,- -,56683256,102905000,139961000,203882000,254741000,282614000,249980000,336172000,431745000,554375000,594695000,706418000,820235000,890208000,914536000,1020305000,1035744000,1311192000,1211018000,1960706000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,64093206,112856000,152917000,222245000,288160000,350409000,322040000,414001000,532623000,651171000,995270000,1153789000,1705202000,1792868000,2062328000,2453093000,2560830000,3505846000,3665331000,3763265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,64093206,112856000,152917000,222245000,288160000,350409000,322040000,414001000,532623000,651171000,995170000,1153789000,1705202000,1792868000,2062328000,2453093000,2560830000,3505846000,3665331000,3763265000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084048/000108404821000012/0001084048-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1084048/000108404822000015/0001084048-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-17200000,-17400000,-22219000,-7834806,14317116,35806000,31607000,51258000,53131000,68461000,72562000,66827000,83047000,114766000,121580000,107522000,125327000,133636000,152439000,139425000,128687000,218806000,150668000,495097000
74,Depreciation and Amortization,1100000,1900000,6987000,9694139,3488432,3910000,4549000,7109000,8228000,10134000,13177000,14707000,14510000,19756000,22164000,39788000,62953000,93213000,122091000,162041000,187174000,253451000,228737000,258303000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-15720000,11680000,2153000,-1961000,212000,-2908000,-629000,-541000,6822000,1150000,250000,-10033000,-17083000,-13779000,-21432000,25050000,-63444000,5840000,-9442000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11018000,10937000,8968000,9132000,9720000,8908000,11793000,13650000,22737000,28093000,23922000,24006000,25247000
77,Change in Working Capital,100000,- -,- -,- -,32108585,32034415,3426000,41695000,55943000,28587000,-51671000,85415000,-169928000,97489000,143473000,-24439000,212683000,-200665000,-392241000,461415000,-202316000,-99223000,-313500000,-60150000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,-246000,-9509000,-5417000,-9588000,-11078000,-18508000,-30687000,-37546000,4034000,-30680000,-31611000,-18050000
79,Inventory,- -,- -,284000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5138000,9126000,-5447000,8757000,6363000,-34116000,-35220000,-770000,2184000,13662000
81,Other Working Capital,- -,- -,- -,- -,32108585,64143000,67569000,109264000,165207000,193794000,142123000,227538000,57610000,155099000,298572000,274133000,486816000,286151000,-106090000,355325000,153009000,53786000,-259714000,14282000
82,Other Non-Cash Items,6000000,3400000,3301000,-179736,-33557763,-23401415,59000,-37870000,-42336000,-13187000,59556000,-75505000,158360000,-97053000,-127588000,60483000,-222607000,208167000,400227000,-499767000,234637000,79027000,384328000,-193484000
83,Cash Provided by Operating Activities,-10000000,-12100000,-11931000,1679597,16356370,32629000,51321000,64345000,73005000,94207000,90716000,101833000,96385000,150748000,169911000,193324000,177231000,229061000,282387000,264419000,401325000,412539000,480079000,515571000
84,CAPEX,-500000,-2500000,-3036000,-2717404,-2828971,-3566000,-6981000,-8928000,-10716000,-16353000,-6325000,-8723000,-10154000,-11156000,-11356000,-32827000,-17165000,-18752000,-29067000,-41835000,-57048000,-70634000,-95670000,-113818000
85,Acquisitions Net,- -,- -,-4854000,- -,- -,-757000,-8607000,-10863000,-7351000,-11165000,-42825000,-12500000,-248568000,-3926000,-198341000,-126341000,-245278000,-302809000,-580691000,-116651000,-349065000,-444927000,-489811000,-115519000
86,Purchases of Investments,- -,-36400000,- -,- -,- -,-16947000,-43946000,-149339000,-181508000,-337501000,- -,-12900000,-52921000,-82879000,-151989000,-168901000,-138452000,-135832000,-80918000,-4000,-500000,- -,-1246000,-999000
87,Sales/Maturities of Investments,- -,- -,32312000,4282797,169506,- -,- -,9169000,194611000,358042000,64051000,2706000,80496000,29777000,146709000,182741000,124883000,121752000,241817000,- -,- -,- -,- -,14993000
88,Other Investing Activites,- -,-500000,-1000,-920477,-228634,413000,-5877000,110896000,10000,- -,25000,-35504000,-8299000,-12308000,-40812000,-36270000,-4793000,-1517000,-4321000,-2240000,-669000,10242000,-2611000,274353000
89,Cash Used for Investing Activites,-500000,-39400000,24421000,644916,-2888099,-20857000,-65411000,-49065000,-4954000,-6977000,14926000,-61449000,-231134000,-76180000,-249494000,-167398000,-275469000,-335703000,-448859000,-158490000,-406613000,-505273000,-586220000,59088000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-480000000,-2204000,-190100000,-650400000,-510197000
91,Common Stock Issued,12500000,73900000,103000,5812,1722615,3356000,1900000,4094000,1400000,7966000,2012000,120000,109000,142000,- -,13865000,6886000,5218000,3824000,1367000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-6800000,- -,-5586116,-98000,- -,- -,- -,-11612000,-42427000,-108492000,-470000,-4221000,-1281000,-60282000,-4587000,-5663000,-3674000,-56496000,-9850000,-47102000,-20803000,-275654000,-78328000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19174000,-40263000,-45134000,-52269000,-58826000,-65835000,-73469000,-81679000,-43533000,- -,- -
94,Other Financing Activites,5300000,-10600000,-1025000,-1481558,-1403098,-1023000,-1972000,-1325000,859000,4578000,1565000,5771000,6783000,20651000,258937000,163000,378576000,-10081000,159657000,673775000,-377000,711131000,691421000,474935000
95,Cash Used/Provided by Financing Activities,17800000,56500000,-922000,-7061862,221517,2333000,-72000,2769000,-9353000,-29883000,-104915000,5421000,2671000,338000,158392000,-35693000,327530000,-67363000,41150000,111823000,-131362000,456695000,-234633000,-113590000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,94000,-562000,606000,1268000,-4167000,826000,-581000,-299000,512000,-1112000,-3430000,-4128000,-6258000,9243000,-4821000,2180000,7811000,-8879000
97,Net Change In Cash,17800000,5000000,11568000,-4737349,13689788,14105000,-14068000,17487000,59304000,58615000,-3440000,46631000,-132659000,74607000,79321000,-10879000,225862000,-178133000,-131580000,226995000,-141471000,366141000,-332963000,452190000
98,Cash at the End of Period,- -,12300000,23824000,19087053,32776841,46882000,18814000,36301000,95605000,154220000,150780000,197411000,64752000,139359000,218680000,207801000,433663000,255530000,123950000,350945000,209474000,575615000,242652000,694842000
99,Cash at the Beginning of Period,- -,7300000,12256000,23824402,19087053,32777000,32882000,18814000,36301000,95605000,154220000,150780000,197411000,64752000,139359000,218680000,207801000,433663000,255530000,123950000,350945000,209474000,575615000,242652000
100,Free Cash Flow,-10500000,-14600000,-14967000,-1037807,13527399,29063000,44340000,55417000,62289000,77854000,84391000,93110000,86231000,139592000,158555000,160497000,160066000,210309000,253320000,222584000,344277000,341905000,384409000,401753000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084048/000108404821000012/0001084048-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1084048/000108404822000015/0001084048-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
