,https://roic.ai/company/ICLR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,- -,49300000,72619000,105100000,138300000,200800000,262500000,- -,407800000,561500000,765700000,780200000,807900000,916300000,1047000000,1214900000,1300966000,1293442000,1354793000,1420101000,2222420000,2372433000,2387699000,4872929000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2881000,752000,1761000,1194000,1151000,986000,1151000,1306000,1484000,2346000,4759000,6859000,2724000,574000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4105000,3530000,1132000,1642000,1947000,1288000,785000,3992000,13006000,12627000,13502000,13276000,13019000,182423000
14,Depreciation and Amortization,- -,- -,2000000,3227000,4963000,5974000,7269000,10602000,- -,14835000,18891000,27728000,32659000,33873000,38682000,42823000,46514000,52542000,57677000,59575000,61297000,65916000,61550000,66126000,314987000
15,EBITDA,- -,3900000,11100000,12417000,18563000,25274000,32569000,45202000,- -,66035000,90691000,129933000,140889000,127805000,69324000,111970000,168702000,256043000,340519000,372753000,393781000,444032000,499945000,459351000,691929000
16,EBITDA ratio,- -,0.0926,0.1989,0.1537,0.1598,0.1614,0.1443,0.1522,- -,0.1449,0.1438,0.1502,0.1587,0.1420,0.0733,0.1004,0.1263,0.1703,0.2162,0.2237,0.2239,0.1711,0.1782,0.1642,0.1262
17,Operating Income,- -,42100000,6500000,8148000,11076000,18213000,24929000,34383000,- -,47816000,69242000,99504000,107452000,92095000,29443000,68017000,121167000,202350000,281536000,311694000,338338000,373357000,433406000,391500000,378529000
18,Operating Income ratio,- -,1.0000,0.1165,0.1009,0.0953,0.1163,0.1105,0.1158,- -,0.1050,0.1098,0.1150,0.1211,0.1023,0.0311,0.0610,0.0907,0.1346,0.1788,0.1870,0.1924,0.1438,0.1545,0.1400,0.0691
19,Total Other Income Expenses (Gains),- -,- -,2600000,1042000,2524000,1087000,371000,317000,- -,3684000,2758000,-1204000,-2752000,605000,-443000,-817000,-267000,366000,-2686000,-11522000,-10281000,-8743000,-6417000,-10295000,-181849000
20,Income Before Tax,- -,- -,9100000,9190000,13600000,19300000,25300000,34700000,- -,51500000,72000000,98300000,104700000,92700000,29000000,67200000,120900000,202716000,278850000,300172000,328057000,364614000,426989000,381205000,196680000
21,Income Before Tax Ratio,- -,- -,0.1631,0.1138,0.1170,0.1232,0.1121,0.1169,- -,0.1130,0.1142,0.1136,0.1180,0.1030,0.0307,0.0603,0.0905,0.1348,0.1771,0.1801,0.1866,0.1405,0.1522,0.1363,0.0359
22,Income Tax expense (Gain),- -,- -,1600000,3122000,2600000,5100000,7000000,8900000,- -,12900000,15800000,20000000,10400000,5700000,6100000,11800000,18100000,30248000,39311000,37993000,38369000,41958000,51133000,47875000,41334000
23,Net Income,- -,3900000,7500000,6068000,11000000,14200000,18300000,25700000,- -,38300000,56000000,78100000,94300000,87100000,22900000,55400000,102800000,172468000,239539000,262179000,281488000,322656000,373986000,332331000,153185000
24,Net Income ratio,- -,0.0926,0.1344,0.0751,0.0947,0.0907,0.0811,0.0866,- -,0.0841,0.0888,0.0903,0.1062,0.0968,0.0242,0.0497,0.0769,0.1147,0.1521,0.1573,0.1601,0.1243,0.1333,0.1188,0.0279
25,EPS,- -,0.28,0.38,0.55,0.97,1.22,1.55,1.94,- -,1.35,1.95,1.34,1.61,1.46,0.38,0.97,1.69,2.80,4.08,4.75,5.04,5.96,6.85,6.27,2.28
26,EPS Diluted,- -,0.24,0.34,0.51,0.92,1.16,1.50,1.88,- -,1.33,1.88,1.30,1.57,1.44,0.37,0.96,1.65,2.73,3.97,4.65,4.98,5.90,6.79,6.22,2.25
27,Weighted Average Shares Outstanding,- -,13928571,20000000,11050556,11292610,11656153,11813788,13267531,13860203,28314985,28705272,58245240,58636878,59718934,60379338,59968174,60907274,61496115,58746935,55248900,54129439,54118764,53859537,52859911,67110186
28,Weighted Average Shares Outstanding Diluted,- -,15918367,22058824,11824359,11943849,12241820,12181094,13703163,13860203,28863334,29747964,60221587,59900504,60637103,61070686,60684532,62253251,63131417,60290033,56407136,54869497,54739338,54333461,53264748,68068311
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1060955/000115752313001249/0001157523-13-001249-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1060955/000115752316004979/0001157523-16-004979-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000115752317000663/0001157523-17-000663-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095518000006/0001060955-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095519000004/0001060955-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095520000004/0001060955-20-000004-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,11200000,36300000,18300000,55700000,59509000,63000000,76900000,58400000,144800000,255700000,119200000,114000000,182500000,118900000,103911000,192541000,282859000,395851000,520309000,840305000,752213000
32,Short-Term Investments,- -,- -,- -,- -,35900000,18600000,- -,23100000,22809000,39800000,41800000,42700000,49200000,- -,54900000,76200000,138300000,97100000,85990000,68046000,77589000,59910000,49628000,1729000,1712000
33,Cash and Short-Term Investments,- -,- -,- -,- -,47100000,54900000,18300000,78800000,82318000,102800000,118700000,101100000,194000000,255700000,174100000,190200000,320800000,216000000,189901000,260587000,360448000,455761000,569937000,842034000,753925000
34,Net Receivables,- -,- -,- -,- -,52800000,69800000,123800000,138200000,77885000,205700000,283100000,369200000,311600000,297800000,350200000,429800000,479300000,550326000,636710000,662201000,706193000,837621000,1013526000,1207467000,2072950000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,2800000,5500000,8400000,11200000,74913000,20400000,21300000,30000000,29800000,26200000,36100000,43700000,53300000,53181000,36128000,35170000,34377000,36801000,41517000,53477000,114323000
37,Total Current Assets,- -,- -,- -,- -,102700000,130200000,150500000,228200000,235116000,328900000,423100000,500300000,535400000,579700000,560400000,663700000,853400000,819507000,862739000,957958000,1101018000,1330183000,1624980000,2102978000,2941198000
38,PP&E,- -,- -,- -,- -,19700000,25500000,39500000,42900000,47652000,68200000,133400000,171700000,179000000,170900000,168500000,168400000,160800000,148185000,150218000,148967000,163051000,158669000,270064000,258904000,534567000
39,Goodwill,- -,- -,- -,- -,6600000,10100000,45000000,64200000,- -,78700000,123900000,169300000,173600000,175900000,253400000,315400000,357500000,463324000,588434000,616088000,769058000,756260000,883170000,936257000,9037931000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,65847000,- -,1800000,10600000,10000000,8300000,28300000,34400000,31400000,49719000,66127000,56610000,71628000,54055000,67894000,66460000,4710843000
41,Intangible Assets,- -,- -,- -,- -,6600000,10100000,45000000,64200000,65847000,78700000,125700000,179900000,183600000,184200000,281700000,349800000,388900000,513043000,654561000,672698000,840686000,810315000,951064000,1002717000,13748774000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6963000,10053000,20299000,24965000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,2600000,452000,2600000,6000000,12200000,12700000,13900000,20400000,12700000,12900000,13601000,4644000,4631000,7716000,8213000,9476000,12705000,48392000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,-2600000,- -,-2100000,4900000,3200000,-2300000,800000,4500000,7500000,26500000,34514000,45047000,41589000,34147000,39912000,41875000,38003000,89194000
45,Total Non-Current Assets,- -,- -,- -,- -,26300000,35600000,84500000,107100000,113951000,147400000,270000000,367000000,373000000,369800000,475100000,538400000,589100000,709343000,854470000,867885000,1045600000,1024072000,1282532000,1332628000,14445892000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,129000000,165800000,235000000,335300000,349067000,476300000,693100000,867300000,908400000,949500000,1035500000,1202100000,1442500000,1528850000,1717209000,1825843000,2146618000,2354255000,2907512000,3435606000,17387090000
48,Accounts Payable,- -,- -,- -,- -,3500000,5800000,11100000,12800000,7575000,9700000,13500000,17500000,12100000,12300000,5300000,8100000,4600000,2793000,7021000,8696000,18590000,13288000,24050000,51113000,90764000
49,Short-Term Debt,- -,- -,- -,- -,11265000,11745000,7126000,- -,4856000,5000000,43767000,40520000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377960000,24334000,55150000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3110000,1782000,2634000,3630000,4570000,4416000,4149000,14203000,22226000,14973000,5724000,12031000,12178000,59433000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660883000,1323961000
52,Other Current Liabilities,- -,- -,- -,- -,26735000,39755000,78474000,101500000,90373000,153900000,172633000,256280000,287400000,238000000,301600000,405300000,496600000,535566000,564779000,485710000,547468000,597335000,729242000,387613000,1009062000
53,Total Current Liabilities,- -,- -,- -,- -,41500000,57300000,96700000,114300000,102804000,168600000,229900000,314300000,299500000,250300000,306900000,413400000,501200000,538359000,571800000,494406000,566058000,610623000,1131252000,1123943000,2478937000
54,Long-Term Debt,- -,- -,- -,- -,300000,- -,300000,200000,152000,200000,51100000,65700000,- -,- -,- -,- -,- -,- -,348306000,348511000,348888000,349264000,- -,348477000,5540645000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,735000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2499000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10406000,1085976000
57,Other Non-Current Liabilities,- -,- -,- -,- -,600000,900000,1100000,4100000,1160000,4800000,23700000,30900000,36700000,29200000,47000000,34100000,30700000,40285000,34007000,37752000,40672000,40087000,158205000,102544000,213970000
58,Total Non-Current Liabilities,- -,- -,- -,- -,900000,900000,1400000,4300000,3811000,5000000,74800000,96600000,36700000,29200000,47000000,34100000,30700000,40285000,382313000,386263000,389560000,389351000,158205000,461427000,6841326000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,797000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104913000,85135000,159483000
61,Total Liabilities,- -,- -,- -,- -,42400000,58200000,98100000,118600000,106615000,173600000,304700000,410900000,336200000,279500000,353900000,447500000,531900000,578644000,954113000,880669000,955618000,999974000,1289457000,1585370000,9320263000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,800000,800000,800000,1000000,993000,2100000,2100000,4900000,5000000,5100000,5100000,5100000,5200000,5037000,4679000,4611000,4664000,4658000,4635000,4580000,6640000
64,Retained Earnings,- -,- -,- -,- -,34600000,48800000,67100000,92900000,113776000,152100000,208100000,286200000,380500000,467600000,481400000,521100000,623900000,655490000,436658000,588656000,743712000,889309000,1111278000,1262895000,1416080000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-10800000,-5000000,7834000,10031000,3456000,14515000,31828000,3178000,12584000,396000,-16446000,-8776000,1960000,-37555000,-61636000,-86300000,-38713000,-69328000,-75819000,-35477000,-90937000
66,Other Total Stockholders Equity,- -,- -,- -,- -,61980000,62961000,61176000,112829000,- -,134023000,146372000,162088000,174162000,196903000,211490000,237151000,279519000,327234000,383395000,438207000,481337000,529642000,577961000,618238000,6735044000
67,Total Stockholders Equity,- -,- -,- -,- -,86580000,107561000,136910000,216760000,241558000,302738000,388400000,456366000,572246000,669999000,681544000,754575000,910579000,950206000,763096000,945174000,1191000000,1354281000,1618055000,1850236000,8066827000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,128980000,165761000,235010000,335360000,348173000,476338000,693100000,867266000,908446000,949499000,1035444000,1202075000,1442479000,1528850000,1717209000,1825843000,2146618000,2354255000,2907512000,3435606000,17387090000
69,Minority Interest,- -,- -,- -,- -,20000,39000,-10000,-60000,894000,-38000,- -,34000,-46000,1000,56000,25000,21000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,129000000,165800000,235000000,335300000,349067000,476300000,693100000,867300000,908400000,949500000,1035500000,1202100000,1442500000,1528850000,1717209000,1825843000,2146618000,2354255000,2907512000,3435606000,17387090000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1060955/000115752313001249/0001157523-13-001249-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1060955/000115752316004979/0001157523-16-004979-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000115752317000663/0001157523-17-000663-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095518000006/0001060955-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095519000004/0001060955-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095520000004/0001060955-20-000004-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,7500000,6068000,11000000,14200000,18300000,25700000,13545000,38300000,56000000,78100000,94300000,87100000,22900000,55400000,102800000,172468000,239539000,262179000,281488000,322656000,373986000,332331000,153185000
74,Depreciation and Amortization,- -,- -,2000000,3227000,4963000,5974000,7269000,10602000,13132000,14835000,18891000,27728000,32659000,33873000,38682000,42823000,46514000,52542000,57677000,59575000,61297000,65916000,61550000,66126000,314987000
75,Deferred Income Tax,- -,- -,400000,487000,-38000,19000,376000,985000,-532000,-1887000,-1177000,2909000,-3399000,2334000,-6121000,-10430000,-10583000,-7900000,3157000,1545000,10729000,1652000,-1537000,927000,-60616000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6058000,7353000,7408000,9355000,11521000,14220000,22742000,33317000,40343000,30573000,31594000,26819000,26271000,133844000
77,Change in Working Capital,- -,- -,-8200000,-1485000,-17562000,-2970000,-4443000,6091000,-12466000,-5280000,-37042000,-33854000,124043000,-43174000,-44626000,14018000,67951000,-69939000,-54226000,-103315000,378000,-150906000,-82744000,108847000,134995000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83816000,25804000,18267000,-32081000,-79155000,-37538000,-7032000,-18671000,2526000,57747000,-37557000,-101545000,-175040000,113513000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000,- -,- -,- -,- -,- -,-38000,- -,-1626000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29554000,37833000,-28544000,-8652000,1038000,-2057000,-11006000,3124000,1175000,7014000,-5067000,3440000,26488000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,10699000,13657000,-22000,358000,-272000,8648000,67982000,75819000,-48529000,40967000,-44903000,-12408000,-6431000,85060000,288875000,-69121000
82,Other Non-Cash Items,- -,- -,-200000,105000,67000,46000,-17000,264000,11530000,4484000,6294000,341000,114000,-113000,1000,99000,325000,35000,67000,-1123000,-1383000,-2273000,34467000,33533000,152747000
83,Cash Provided by Operating Activities,- -,- -,1500000,8402000,-1570000,17269000,21485000,43642000,25209000,50452000,42966000,81282000,255070000,87428000,20191000,113431000,221227000,169948000,279531000,259204000,383082000,268639000,412541000,568035000,829142000
84,CAPEX,- -,- -,-9400000,-7510000,-6689000,-10425000,-52661000,-13097000,-15595000,-31516000,-75391000,-67882000,-33792000,-30952000,-35284000,-30791000,-29488000,-32779000,-49730000,-42601000,-44717000,-48397000,-50645000,-51055000,-93750000
85,Acquisitions Net,- -,- -,- -,- -,-1903000,- -,- -,-11258000,-10052000,-6772000,-41150000,-48991000,-25900000,-3693000,-61536000,-69936000,-92514000,-120774000,-166098000,-51041000,-124482000,-1645000,-119575000,-40211000,-5916925000
86,Purchases of Investments,- -,- -,-35900000,-21413000,-18991000,-12478000,- -,-23085000,-10971000,-20021000,-16753000,-15000000,-24045000,-30260000,-56000000,-102575000,-172168000,-61328000,-14194000,-22030000,-41701000,-87119000,-13493000,-3212000,-4057000
87,Sales/Maturities of Investments,- -,- -,- -,35936000,4455000,29868000,18551000,- -,12022000,3008000,14824000,14026000,17544000,79487000,438000,82193000,109795000,102565000,25250000,40858000,33086000,99865000,21686000,47902000,497000
88,Other Investing Activites,- -,- -,- -,648000,555000,-2151000,-1168000,103000,-1106000,- -,- -,400000,501000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000
89,Cash Used for Investing Activites,- -,- -,-45300000,7661000,-22573000,4814000,-35278000,-47337000,-25702000,-55301000,-118470000,-117447000,-65692000,14582000,-152382000,-121109000,-184375000,-112316000,-204772000,-74814000,-177814000,-37296000,-162027000,-46576000,-6024235000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49026000,-127280000,-166000,- -,-20000000,- -,- -,-501500000,-73000000,- -,- -,- -,-350000000,-877780000
91,Common Stock Issued,- -,- -,100000,8000,489000,2674000,693000,51063000,1407000,6679000,5298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-197000,- -,- -,-138000,- -,-51000,-9118000,-15605000,- -,-140030000,-457892000,-110000000,-133106000,-128960000,-146931000,-175000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,2100000,-1436000,9074000,44000,-5319000,-8538000,-272000,1023000,88660000,71501000,22222000,15513000,5270000,34365000,28799000,23626000,878006000,89290000,13829000,15937000,21525000,316667000,5992508000
95,Cash Used/Provided by Financing Activities,- -,- -,2200000,-1428000,9563000,2718000,-4626000,42525000,938000,7702000,93958000,22337000,-105058000,15296000,-3848000,-1240000,28799000,-116404000,-81386000,-93710000,-119277000,-113023000,-125406000,-208333000,5114728000
96,Effect of Forex Changes on Cash,- -,- -,-400000,-436000,-793000,311000,439000,-1463000,218000,677000,-4612000,-4675000,2103000,-6401000,-430000,3728000,2821000,-4847000,-8362000,-2050000,4327000,-5328000,-650000,6870000,-7727000
97,Net Change In Cash,- -,- -,-42000000,14199000,-15373000,25112000,-17980000,37367000,663000,3530000,13842000,-18503000,86423000,110905000,-136469000,-5190000,68472000,-63619000,-14989000,88630000,90318000,112992000,124458000,319996000,-88092000
98,Cash at the End of Period,- -,- -,12000000,26552000,11179000,36291000,18311000,55678000,56341000,63039000,76881000,58378000,144801000,255706000,119237000,114047000,182519000,118900000,103911000,192541000,282859000,395851000,520309000,840305000,752213000
99,Cash at the Beginning of Period,- -,- -,54000000,12353000,26552000,11179000,36291000,18311000,55678000,59509000,63039000,76881000,58378000,144801000,255706000,119237000,114047000,182519000,118900000,103911000,192541000,282859000,395851000,520309000,840305000
100,Free Cash Flow,- -,- -,-7900000,892000,-8259000,6844000,-31176000,30545000,9614000,18936000,-32425000,13400000,221278000,56476000,-15093000,82640000,191739000,137169000,229801000,216603000,338365000,220242000,361896000,516980000,735392000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1060955/000115752313001249/0001157523-13-001249-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1060955/000115752316004979/0001157523-16-004979-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000115752317000663/0001157523-17-000663-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095518000006/0001060955-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095519000004/0001060955-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1060955/000106095520000004/0001060955-20-000004-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
