,https://roic.ai/company/INLX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,-2104,-18690,-18088,-10124,-5905,-4823,-6262,-10149,-1957073,-2113239,-1624329,-3909802,-1359292,-737655,-1465740,-1103581,-1048656,2859652
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7156,-1.3597,-1.0932,-1.6730,-0.5225,-0.2812,-0.6155,-0.4352,-0.1271,0.2495
17,Operating Income,- -,-2104,-9345,-9044,-10124,-5905,-4823,-6262,-10149,-1671076,-1971074,-1397885,-1555810,-1369979,-1168576,-1474779,-1152592,-2038244,964988
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6110,-1.2682,-0.9408,-0.6657,-0.5266,-0.4454,-0.6193,-0.4545,-0.2470,0.0842
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-5663,-314417,-168630,-250756,-2365618,-206332,-190761,-865501,-980689,-350257,392963
20,Income Before Tax,- -,- -,-9345,-9044,-10124,-5905,-4823,-6262,-15812,-1985493,-2139704,-1648641,-3921428,-1576311,-1359337,-2340280,-2133281,-2388501,1357951
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7260,-1.3767,-1.1095,-1.6780,-0.6059,-0.5182,-0.9827,-0.8412,-0.2894,0.1185
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-188300,- -
23,Net Income,- -,-2104,-9345,-9044,-10124,-5905,-4823,-6262,-15812,-1985493,-2139704,-1648641,-3921428,-1576311,-1359337,-2340280,-2133281,-2200201,1357951
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7260,-1.3767,-1.1095,-1.6780,-0.6059,-0.5182,-0.9827,-0.8412,-0.2666,0.1185
25,EPS,- -,-0.11,-0.44,-0.44,-0.88,-0.88,-0.37,-0.88,-1.21,-21.00,-17.50,-12.00,-13.15,-4.50,-4.00,-6.50,-5.76,-0.91,0.56
26,EPS Diluted,- -,-0.11,-0.44,-0.44,-0.88,-0.88,-0.37,-0.88,-1.21,-21.00,-17.50,-12.00,-13.15,-4.50,-4.00,-6.50,-5.76,-0.91,0.56
27,Weighted Average Shares Outstanding,18331,18331,18331,18331,13699,13017,13017,13017,13017,93905,129398,137138,298168,333001,347451,354538,370279,2406830,2406830
28,Weighted Average Shares Outstanding Diluted,18331,18331,18331,18331,13699,13017,13017,13017,13017,93905,129398,137138,298168,333001,347451,354538,370279,2406830,2406830
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1081745/000149315220005034/0001493152-20-005034-index.htm,https://www.sec.gov/Archives/edgar/data/1081745/000149315221007156/0001493152-21-007156-index.htm,https://www.sec.gov/Archives/edgar/data/1081745/000149315222007657/0001493152-22-007657-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3081,3201,2757,2633,128,305,1318,68,46236,260560,184081,1117118,689946,1125921,1088630,404165,1907882,1752630
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3081,3201,2757,2633,128,305,1318,68,46236,260560,184081,1117118,689946,1125921,1088630,404165,1907882,1752630
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,332413,144071,99061,217028,259497,295815,135739,329571,1315902,1699397
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79784,76691
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,40026,39242,45668,46521,150620,162450,162495,138396,162166,155550
37,Total Current Assets,- -,3081,3201,2757,2633,128,305,1318,68,418675,443873,328810,1380667,1100063,1584186,1386864,872132,3465734,3684268
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,58129,53226,28671,22603,18783,14760,9131,104158,3339757,4933392
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2322887,2322887
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184971,968496
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3507858,3291383
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,37239,28925,27809,14540,10285,10284,10284,10284,31284,53089
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,95368,82151,56480,37143,29068,25044,19415,114442,6878899,8277864
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3081,3201,2757,2633,128,305,1318,68,514043,526024,385290,1417810,1129131,1609230,1406279,986574,10344633,11962132
48,Accounts Payable,26345,5000,40995,49595,51595,54995,59995,31270,4174,1143265,- -,615305,- -,- -,- -,- -,371017,141823,181521
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,71995,670527,711266,756614,494378,398803,1291969,46807,4854760,1099169,616070
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,571268,482428,563998,638193,665460,703971,723619,754073,996131,1194649
52,Other Current Liabilities,- -,26530,- -,- -,- -,- -,- -,36000,5663,110470,502646,1764977,1041876,982209,684366,473287,1329664,1387865,1565084
53,Total Current Liabilities,26345,31530,40995,49595,51595,54995,59995,67270,81832,2495530,1696340,3700894,2174447,2046472,2680306,1243713,7309514,3624988,3557324
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1509265,1337309,543615,913870,885229,1534064,4190863,53318,3999135,5071209
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,792628,333568,394490,148930,159187,29997,502295,- -,1566478,671863
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2301893,1670877,938105,1062800,1044416,1564061,4693158,53318,5565613,5743072
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100715,2715482,3932752
61,Total Liabilities,26345,31530,40995,49595,51595,54995,59995,67270,81832,4797423,3367217,4638999,3237247,3090888,4244367,5936871,7362832,9190601,9300396
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,802,802,802,802,570,1139,1139,1139,4556,36492,54363,14124,21909,26816,30431,30733,31528,2811,2823
64,Retained Earnings,-54689,-56793,-66138,-75182,-85306,-91211,-96034,-102296,-118108,-5668666,-7808370,-9457011,-13378439,-14954750,-16314087,-18662785,-20796066,-22996267,-21638316
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-532205,-558670,-578559,-590185,-600872,-541903,-549061,- -,- -,- -
66,Other Total Stockholders Equity,27542,27542,27542,27542,35774,35205,35205,35205,31788,1880999,5471484,5767737,12127278,13567049,14190422,14650521,14388280,24147488,- -
67,Total Stockholders Equity,-26345,-28449,-37794,-46838,-48962,-54867,-59690,-65952,-81764,-4283380,-2841193,-4253709,-1819437,-1961757,-2635137,-4530592,-6376258,1154032,2661736
68,Total Liabilities And Stockholders Equity,- -,3081,3201,2757,2633,128,305,1318,68,514043,526024,385290,1417810,1129131,1609230,1406279,986574,10344633,11962132
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3081,3201,2757,2633,128,305,1318,68,514043,526024,385290,1417810,1129131,1609230,1406279,986574,10344633,11962132
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1081745/000149315220005034/0001493152-20-005034-index.htm,https://www.sec.gov/Archives/edgar/data/1081745/000149315221007156/0001493152-21-007156-index.htm,https://www.sec.gov/Archives/edgar/data/1081745/000149315222007657/0001493152-22-007657-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2104,-9345,-9044,-10124,-5905,-4823,-6262,-15812,-1985493,-2139704,-1648641,-3921428,-1576311,-1359337,-2340280,-2133281,-2200201,1357951
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,28420,26465,24312,11626,10687,11831,9039,49011,702162,1049581
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,- -,- -,430000,137878,153420,249025,200115,58770,92253
77,Change in Working Capital,- -,-2104,-9345,-9044,-2124,-5905,-4823,-6262,-15812,-1995091,824388,-2119617,2578304,-152629,-149711,1239271,519679,934420,-671868
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6274,166854,1494,-144738,-65713,-40539,167299,-222139,605094,-372492
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,796,-5907
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,275,3899,- -,- -,- -,- -,- -,-31427,-97034,62896,-645596,141562
81,Other Working Capital,-26345,-28449,-37794,-46838,-48962,-54867,-59690,-65952,-81764,-2076855,-1252467,-3372084,-793780,-946409,-1096120,143151,692657,27061,198518
82,Other Non-Cash Items,- -,2289,18810,17644,12124,9305,9823,6537,25374,2629673,-1171559,2703715,281515,319694,221353,-314462,382307,629837,-437951
83,Cash Provided by Operating Activities,- -,-1919,120,-444,-124,-2505,177,-5987,-6250,-1147491,-2460410,-1040231,-619983,-1260681,-1122444,-1157407,-982169,124988,1389966
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53779,-21562,-4583,-5558,-6867,-12624,-3410,-5489,-76854,-590485
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4019098,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600,- -,9060,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48179,-21562,4477,-5558,-6867,-12624,-3410,-5489,-4095952,-590485
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-251421,-354725,-265725,-233055,-359379,-821430,-45633,-46807,-217728,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,2731021,- -,1209633,559285,- -,- -,- -,3167500,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5000,- -,- -,- -,- -,- -,7000,5000,1293056,320000,1225000,582000,640470,2392473,1169159,350000,2524909,-954733
95,Cash Used/Provided by Financing Activities,- -,5000,- -,- -,- -,- -,- -,7000,5000,1101635,2696296,959275,1558578,840376,1571043,1123526,303193,5474681,-954733
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,120,-444,-124,-2505,177,1013,-1250,-94035,214324,-76479,933037,-427172,435975,-37291,-684465,1503717,-155252
98,Cash at the End of Period,- -,3081,3201,2757,2633,128,305,1318,68,46236,260560,184081,1117118,689946,1125921,1088630,404165,1907882,1752630
99,Cash at the Beginning of Period,- -,- -,3081,3201,2757,2633,128,305,1318,140271,46236,260560,184081,1117118,689946,1125921,1088630,404165,1907882
100,Free Cash Flow,- -,-1919,120,-444,-124,-2505,177,-5987,-6250,-1201270,-2481972,-1044814,-625541,-1267548,-1135068,-1160817,-987658,48134,799481
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1081745/000149315220005034/0001493152-20-005034-index.htm,https://www.sec.gov/Archives/edgar/data/1081745/000149315221007156/0001493152-21-007156-index.htm,https://www.sec.gov/Archives/edgar/data/1081745/000149315222007657/0001493152-22-007657-index.htm
102,false,,,,,,,,,,,,,,,,,,,
