,https://roic.ai/company/AHH,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1569187/000119312514123859/0001193125-14-123859-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000119312515093904/0001193125-15-093904-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000155837016003756/0001558370-16-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918717000008/0001569187-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918718000007/0001569187-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918719000006/0001569187-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918720000006/0001569187-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918721000013/0001569187-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918722000008/0001569187-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13449000,9400000,18882000,25883000,26989000,21942000,19959000,21254000,39232000,40998000,35247000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13449000,9400000,18882000,25883000,26989000,21942000,19959000,21254000,39232000,40998000,35247000
34,Net Receivables,- -,33759000,34838000,32083000,40252000,66430000,114141000,122927000,175211000,219451000,202426000,174113000
35,Inventory,- -,473000,- -,- -,8538000,40232000,- -,- -,929000,1460000,1165000,- -
36,Other Current Assets,- -,7821000,7032000,7455000,9615000,8828000,13382000,12294000,11012000,16539000,21112000,85947000
37,Total Current Assets,- -,55502000,51270000,58420000,84288000,142479000,149465000,155180000,208406000,276682000,265701000,295307000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,57218000,56304000,70482000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,4369000,5247000,18418000,38853000,29881000,29182000,68702000,58154000,- -
41,Intangible Assets,- -,- -,- -,4369000,5247000,18418000,38853000,29881000,29182000,68702000,58154000,62038000
42,Investments,- -,- -,- -,- -,- -,- -,10235000,11411000,22203000,- -,1078000,12685000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,284632000,280543000,372493000,501371000,528650000,783915000,846651000,1005591000,1402295000,1535734000,1497551000
45,Total Non-Current Assets,- -,284632000,280543000,376862000,506618000,547068000,833003000,887943000,1056976000,1528215000,1651270000,1642756000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,340134000,331813000,435282000,590906000,689547000,982468000,1043123000,1265382000,1804897000,1916971000,1938063000
48,Accounts Payable,- -,23569000,19847000,34602000,50757000,58539000,61934000,62625000,66013000,71185000,73721000,60755000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20004000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4881000
52,Other Current Liabilities,- -,6863000,9708000,11630000,13158000,15105000,17929000,20619000,22814000,17477000,11753000,41364000
53,Total Current Liabilities,- -,30432000,29555000,46232000,63915000,73644000,79863000,83244000,88827000,88662000,105478000,107000000
54,Long-Term Debt,- -,340137000,335577000,278024000,359229000,377593000,522180000,517272000,694239000,950537000,943841000,995364000
55,Deferred Revenue,- -,4746000,6065000,3103000,2975000,4369000,13394000,6762000,9346000,13910000,15156000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2218000,1957000,2402000,2881000,8221000,18053000,15562000,17080000,96341000,95694000,55876000
58,Total Non-Current Liabilities,- -,347101000,343599000,283529000,365085000,390183000,553627000,539596000,720665000,1060788000,1054691000,1051240000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1638000,1867000,5872000,15545000,13829000,12678000,59377000,59613000,77808000
61,Total Liabilities,- -,377533000,373154000,329761000,429000000,463827000,633490000,622840000,809492000,1149450000,1160169000,1158240000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,63250000,171085000,- -
63,Common Stock,- -,- -,- -,192000,250000,300000,374000,449000,500000,563000,591000,- -
64,Retained Earnings,- -,- -,- -,-47934000,-54413000,-53010000,-49345000,-61166000,-82699000,-106676000,-112356000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-648000,- -,- -,-1283000,-4240000,-8868000,-33000
66,Other Total Stockholders Equity,- -,- -,- -,1247000,51472000,102906000,197114000,287407000,357353000,455680000,472747000,- -
67,Total Stockholders Equity,- -,-37399000,-41341000,-46495000,-2691000,49548000,148143000,226690000,273871000,408577000,523199000,779823000
68,Total Liabilities And Stockholders Equity,- -,340134000,331813000,283266000,426309000,513375000,781633000,849530000,1083363000,1558027000,1683368000,1938063000
69,Minority Interest,- -,- -,- -,152016000,164597000,176172000,200835000,193593000,182019000,246870000,233603000,- -
70,Total Liabilities & Equity,- -,340134000,331813000,435282000,590906000,689547000,982468000,1043123000,1265382000,1804897000,1916971000,1938063000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1569187/000119312514123859/0001193125-14-123859-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000119312515093904/0001193125-15-093904-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000155837016003756/0001558370-16-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918717000008/0001569187-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918718000007/0001569187-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918719000006/0001569187-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918720000006/0001569187-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918721000013/0001569187-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918722000008/0001569187-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,3744000,2266000,8897000,9356000,7691000,19642000,28074000,21047000,17203000,24053000,29152000,25460000
74,Depreciation and Amortization,10978000,11708000,11601000,12806000,14984000,18678000,23453000,25974000,30395000,38216000,44257000,52571000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1249000,917000,931000,1082000,1323000,1281000,1613000,2378000,2230000
77,Change in Working Capital,-8543000,31160000,-3355000,-9527000,8185000,48462000,767000,2334000,47643000,68441000,-27797000,438668000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15908000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-6090000,25070000,21715000,12188000,20373000,68835000,69602000,71936000,119579000,188020000,160223000,598891000
82,Other Non-Cash Items,-89000,-21951000,5183000,8291000,-415000,-54627000,6394000,7340000,-40435000,-64594000,43189000,-427745000
83,Cash Provided by Operating Activities,6090000,23183000,22326000,22175000,31362000,33086000,59770000,58018000,56087000,67729000,91179000,91184000
84,CAPEX,-12483000,-7377000,-4972000,-47324000,-100196000,-46755000,-163098000,-75451000,-168385000,-258602000,- -,- -
85,Acquisitions Net,227000,580000,405000,430000,- -,- -,-8824000,-1176000,-10420000,-535000,-1078000,-73595000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2930000,-1662000,-632000,-1053000,-5110000,-9626000,-54539000,-25799000,-61758000,-35926000,-12895000,15966000
89,Cash Used for Investing Activites,-15186000,-8459000,-5199000,-47947000,-105306000,-56381000,-226461000,-102426000,-240563000,-295063000,-26227000,-57629000
90,Debt Repayment,-14918000,-63698000,-35093000,-197478000,-63306000,-206889000,-186533000,-160661000,-173855000,-270851000,-299318000,-187758000
91,Common Stock Issued,- -,- -,- -,203245000,49566000,46462000,68475000,96044000,66457000,96845000,19650000,51677000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-7733000,-22096000,-27024000,-33843000,-43616000,-50897000,-61504000,-47603000,-58713000
94,Other Financing Activites,20484000,51527000,13420000,37220000,116781000,211852000,313545000,150364000,343906000,482372000,269170000,151252000
95,Cash Used/Provided by Financing Activities,5566000,-12171000,-21673000,35254000,80945000,24401000,161644000,42131000,185611000,246862000,-58101000,-43542000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3059000,5014000,-4049000,9482000,7001000,1106000,-5047000,-2277000,1135000,19528000,6851000,-9987000
98,Cash at the End of Period,8435000,13449000,9400000,18882000,25883000,26989000,21942000,22916000,24051000,43579000,50430000,40443000
99,Cash at the Beginning of Period,11494000,8435000,13449000,9400000,18882000,25883000,26989000,25193000,22916000,24051000,43579000,50430000
100,Free Cash Flow,6090000,23183000,22326000,22175000,31362000,33086000,59770000,58018000,56087000,67729000,91179000,91184000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1569187/000119312514123859/0001193125-14-123859-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000119312515093904/0001193125-15-093904-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000155837016003756/0001558370-16-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918717000008/0001569187-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918718000007/0001569187-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918719000006/0001569187-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918720000006/0001569187-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918721000013/0001569187-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1569187/000156918722000008/0001569187-22-000008-index.htm
102,false,,,,,,,,,,,,
