,https://roic.ai/company/SMTS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,-174646.0470,-57621.0332,-208710.0966,-440182.1275,-320724.8820,-Infinity,-Infinity,-38.1155,-Infinity,-2.6386,-17.6710,-1.0673,-0.0665,-0.0830,-0.1823,-0.1596,-0.2367,0.0539,-0.2484,-0.0857,-0.0226,0.0810,0.0193,0.0949,-0.1006
25,EPS,- -,-0.36,-0.10,-0.28,-0.43,-0.22,-0.87,-0.33,-0.27,-0.24,-0.12,-0.56,-1.14,-0.03,-0.03,-0.16,-0.19,-0.22,0.06,-0.21,-0.08,-0.03,0.12,0.03,0.14,- -
26,EPS Diluted,- -,-0.36,-0.10,-0.28,-0.43,-0.22,-0.87,-0.33,-0.27,-0.24,-0.12,-0.56,-1.14,-0.03,-0.03,-0.16,-0.19,-0.22,0.06,-0.21,-0.08,-0.03,0.12,0.03,0.14,- -
27,Weighted Average Shares Outstanding,- -,351295,352013,495260,897704,999428,1016182,1394168,3109889,8387396,12878541,15880568,16417311,36287641,63825400,116311000,150803000,157836000,159302000,161013000,161908000,162554000,163296000,163075000,162638000,- -
28,Weighted Average Shares Outstanding Diluted,- -,351295,352013,495260,897704,999428,1016182,1394168,3109889,8387396,12878541,15880568,16417311,36287641,63825400,116311000,150803000,157836000,159303000,161013000,161908000,162554000,164676000,164705000,164047000,- -
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705259/000127956918000516/0001279569-18-000516-index.html,https://www.sec.gov/Archives/edgar/data/1705259/000127956919000747/0001279569-19-000747-index.html,https://www.sec.gov/Archives/edgar/data/1705259/000110465920040494/0001104659-20-040494-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,65914,3589856,3049734,16905102,6765643,901864,2694372,14954876,19741430,80249892,44930000,41273000,25102000,42145000,23878000,21832000,42980000,71473000,34929000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2669270,12952,291695,168636,48028,140292,- -,- -,767970,486000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,65914,6259126,3062686,17196797,6934279,949892,2834664,14954876,19741430,81017862,45416000,41273000,25102000,42145000,23878000,21832000,42980000,71473000,34929000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,23448,85859,1174550,6287639,2354863,1285606,3426150,5158499,20140059,28707417,31443000,29586000,19780000,18135000,28096000,26149000,33363000,39132000,41979000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,122472,404925,614849,1816438,2895970,3211630,15952008,17540685,18706000,21490000,16435000,21309000,20799000,21986000,26053000,23476000,26677000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,2725,20505,80978,667956,12965,330214,271090,712898,52413320,-0,- -,631000,1082000,873000,1130000,1531000,1904000,1968000,2538000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,92087,6365490,4440685,24557318,9916955,4382150,9427874,24037903,108246817,127265965,95565000,92980000,62399000,82462000,73903000,71498000,104300000,136049000,106123000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,19076,2451202,17145517,20699143,235282,13306319,20345367,31957513,82600392,380123237,343822000,330319000,301826000,281828000,266240000,283513000,305115000,301786000,289615000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348426053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348426053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368000,906000,4066000,288000,458000,1430000,2032000,1757000,1086000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,266927,301360,- -,37198532,- -,- -,- -,- -,299549,274000,248000,234000,234000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,19076,2718129,17446878,20699143,37433814,13306319,20345367,31957513,431026445,380422786,345464000,331473000,306126000,282350000,266698000,284943000,307147000,303543000,290701000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,111164,9083619,21887563,45256461,47350769,17688469,29773241,55995416,539273262,507688751,441029000,424453000,368525000,364812000,340601000,356441000,411447000,439592000,396824000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,70122,157544,664081,712919,3657767,3244775,1521803,3030087,13961802,11244132,14342000,13418000,14619000,18428000,19004000,24662000,30422000,16949000,28436000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,42479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28977000,27718000,- -,- -,25843000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7444000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15767,13744,- -,- -,- -,- -,- -,- -,4904000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,38746,49266,61955,7267332,5173201,466865,68981391,54371099,40226000,56376000,34199000,49554000,32706000,27407000,23956000,48215000,34523000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,70122,157544,745307,762185,3719722,10527873,6708748,3496952,82943193,65615231,54568000,69794000,48818000,72886000,80687000,79787000,54378000,65164000,88802000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,135981,- -,- -,950951,- -,2239099,79365328,56159344,68389000,51645000,58570000,49304000,35883000,28535000,99814000,80903000,57595000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40730,33595,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,342345,624369,- -,- -,- -,- -,102943193,89536906,73604000,55553000,50147000,43569000,30341000,32167000,27653000,29903000,26824000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5808419,4374632,-0,99952,316606,8153771,11414010,13726000,12968000,13416000,13091000,13012000,12347000,17583000,23414000,18971000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,478326,6432788,4374632,991680,133547,2555705,190462292,157110260,155719000,120166000,122133000,105964000,79236000,73049000,145050000,134220000,103390000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267094,- -,- -,314220520,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,135981,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000,1076000,2634000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,70122,157544,1223633,7194973,8094354,11519554,6842295,6052658,273405485,222725491,210287000,189960000,170951000,178850000,159923000,152836000,199428000,199384000,192192000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310838033,222766000,225963000,227969000,228326000,230283000,231792000,230456000,230980000,232915000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-2404597,-4408674,-9131434,-11777130,-22732124,-46079918,-54638569,-58856508,-63744368,-88879507,-41488000,-35209000,-68511000,-80775000,-88121000,-69307000,-65239000,-41820000,-74086000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,6615065,-16299,-84045,-130824,-224748,- -,-21525955,-154689746,-255775000,-308122000,-371858000,-417242000,-474319000,-505224000,-531040000,-569180000,10420000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,2445639,13334749,- -,49854917,62072584,52379657,77794264,108799266,351138100,171041283,270638000,322317000,383329000,429959000,486728000,516094000,542606000,581020000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,41042,8926075,20663931,38061488,39256415,6168915,22930946,49942758,211419197,238310063,196141000,204949000,170929000,160268000,154571000,173355000,176783000,201000000,169249000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,111164,9083619,21887563,45256461,47350769,17688469,29773241,55995416,484824682,461035554,406428000,394909000,341880000,339118000,314494000,326191000,376211000,400384000,361441000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-0,0,-0,-0,- -,0,- -,-0,54448580,46653197,34601000,29544000,26645000,25694000,26107000,30250000,35236000,39208000,35383000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,111164,9083619,21887563,45256461,47350769,17688469,29773241,55995416,539273262,507688751,441029000,424453000,368525000,364812000,340601000,356441000,411447000,439592000,396824000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705259/000127956918000516/0001279569-18-000516-index.html,https://www.sec.gov/Archives/edgar/data/1705259/000127956919000747/0001279569-19-000747-index.html,https://www.sec.gov/Archives/edgar/data/1705259/000110465920040494/0001104659-20-040494-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-126564,-40592,-138312,-303043,-203506,-901220,-467021,-897410,-1804861,-1641229,-9273653,-18686261,-1081832,-1653614,-17969638,-28826031,-33973000,9300000,-33302000,-12265000,-4645000,18814000,4431000,23419000,-22108000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,33899,- -,48714,2688499,2689253,2124927,52222331,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,342345,-367396,30937,- -,-263679,- -,- -,10360564,-3125000,2723000,-2823000,5757000,10348000,26340000,12528000,22586000,25103000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258351,- -,2384917,2520029,1892000,1766000,1317000,819000,1198000,1542000,1174000,668000,1059000
77,Change in Working Capital,- -,- -,- -,- -,29425,-92016,74402,3271,1984,-607800,-2650754,1887870,1963755,-6372291,-4252751,18314398,5266226,-6856000,3189000,10417000,-1523000,-7899000,2447000,-3680000,-18239000,11671000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1259829,-705291,- -,- -,-2737000,-1564000,14383000,-3134000,-10092000,1869000,-5885000,-6802000,1572000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,67471,-282895,-138245,333551,-738493,-179745,-1486778,2250636,-1955000,-1136000,5055000,-4874000,-1624000,-2917000,-3849000,670000,-5492000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3139230,-210000,5337000,-116000,4164000,5116000,4201000,6752000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-745001,- -,- -,46358,2951028,-1395213,-5043000,972000,-4603000,1386000,-1021000,- -,- -,- -,- -
82,Other Non-Cash Items,- -,45749,8726,71735,201735,97442,820483,382968,223837,743775,1014594,5243873,7615379,-386869,925005,-14289912,69128394,68811000,43089000,55698000,50852000,55467000,12760000,25134000,38547000,56520000
83,Cash Provided by Operating Activities,- -,-80815,-31866,-66577,-71883,-198080,-6335,-80782,-671588,-1292642,-3644785,-2062260,-6418629,-5157067,-2856433,40662096,58449182,26749000,60067000,31307000,43640000,54469000,61903000,39587000,66981000,72245000
84,CAPEX,- -,- -,- -,- -,- -,-288069,-62995,-144672,-2216173,-7908133,-27106294,-36959425,-1542549,-1601467,-13353534,-23216454,-27638893,-44017000,-39866000,-37601000,-25352000,-51607000,-49315000,-54621000,-35972000,-71772000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5796970,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2669270,- -,-514756,-343330,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,219141,354188,503786,- -,- -,484854,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-305457,-8434,-127214,-810362,130037,- -,37063,-266927,4525171,27962177,24225883,-675173,-1875770,-13238427,-243439765,26021531,- -,- -,-37601000,-25352000,-51607000,-49315000,-54621000,-34249000,-71772000
89,Cash Used for Investing Activites,- -,-305457,-8434,-127214,-810362,-158031,-62995,-107609,-5152370,-3163821,695316,-12573087,-1517811,-1875770,-12753572,-266656219,-7414332,-44017000,-39866000,-37601000,-25352000,-51607000,-49315000,-54621000,-34249000,-71772000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42001146,-22430000,-26190000,-23864000,-20545000,-44516000,-33810000,-56193000,- -,-19696000
91,Common Stock Issued,- -,472143,1374,251030,1041933,241244,117876,204390,9759198,5011571,17870568,1503396,1679540,11859426,27121563,134609207,44673964,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1269,-873,-10305,-419168,- -,-871273,- -,- -,-136276,- -,- -,- -,-1318000,- -,- -,- -,- -,- -,-2844000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8710088,-5726607,-7338000,-1497000,- -,- -,- -,- -,- -,- -,-4903000
94,Other Financing Activites,- -,-45170,- -,-4662,-80421,-0,- -,- -,- -,-44234,-196338,- -,1653410,-3044139,622493,105411361,11670336,14116000,4342000,14690000,19581000,23425000,19351000,95199000,-4066000,-12289000
95,Cash Used/Provided by Financing Activities,- -,426973,1374,246368,961513,239975,117003,194086,9340030,4967338,16802957,1503396,3332950,8679011,27744056,231310480,8616548,-16970000,-23345000,-9174000,-964000,-21091000,-14459000,36162000,-4066000,-36888000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5372,- -,- -,- -,- -,- -,- -,337746,-1076000,-513000,-703000,-281000,-38000,-175000,20000,-173000,-129000
97,Net Change In Cash,- -,426973,-38926,52577,79268,-116136,47673,5695,3516072,505503,13853488,-13131951,-4603490,1646173,12134051,5316357,59989144,-35314000,-3657000,-16171000,17043000,-18267000,-2046000,21148000,28493000,-36544000
98,Cash at the End of Period,- -,40701,639,53178,134513,7839,55419,65914,3589856,3049734,16905102,6765643,901864,2694372,14954876,19965720,80249892,44930000,41273000,25102000,42145000,23878000,21832000,42980000,71473000,34929000
99,Cash at the Beginning of Period,- -,- -,39565,601,55245,123975,7746,60219,73784,2544231,3051614,19897594,5505354,1048199,2820826,14649363,20260748,80244000,44930000,41273000,25102000,42145000,23878000,21832000,42980000,71473000
100,Free Cash Flow,- -,-80815,-31866,-66577,-71883,-486148,-69330,-225453,-2887761,-9200775,-30751078,-39021685,-7961177,-6758534,-16209967,17445642,30810289,-17268000,20201000,-6294000,18288000,2862000,12588000,-15034000,31009000,473000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705259/000127956918000516/0001279569-18-000516-index.html,https://www.sec.gov/Archives/edgar/data/1705259/000127956919000747/0001279569-19-000747-index.html,https://www.sec.gov/Archives/edgar/data/1705259/000110465920040494/0001104659-20-040494-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
