,https://roic.ai/company/SFDL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,3231161,4263163,3505495,3812851,4126553,4279599,2453373,1604801,1842913,1795375,3791162,5810740,6115927,5924656,5918340,7207221,7794487,7050000,12774000
24,Net Income ratio,0.1851,0.2287,0.2090,0.1978,0.1874,0.1741,0.0907,0.0480,0.0535,0.0543,0.1272,0.1948,0.1991,0.1895,0.1796,0.2042,0.2066,0.1681,0.2781
25,EPS,1.29,1.70,1.39,1.51,1.59,1.66,0.87,0.26,0.43,0.46,1.14,1.82,1.93,2.09,2.01,2.44,2.64,2.19,3.92
26,EPS Diluted,1.26,1.66,1.37,1.48,1.58,1.65,0.87,0.25,0.42,0.46,1.14,1.75,1.84,1.99,1.91,2.32,2.50,2.19,3.92
27,Weighted Average Shares Outstanding,2508774,2513319,2524123,2532999,2594525,2583568,2501596,2460855,2684130,2944001,2939474,2951099,2940933,2948325,2944279,2953689,2952273,3219178,3260638
28,Weighted Average Shares Outstanding Diluted,2558607,2560710,2561437,2575061,2608552,2586703,2519470,2527584,2762824,2944001,2939474,3069143,3084783,3096482,3098429,3106466,3117600,3219178,3260638
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818677/000093905710000181/0000939057-10-000181-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905711000179/0000939057-11-000179-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/818677/000093905715000141/0000939057-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905716000719/0000939057-16-000719-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905717000115/0000939057-17-000115-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905718000111/0000939057-18-000111-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905719000112/0000939057-19-000112-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905720000112/0000939057-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905721000114/0000939057-21-000114-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905722000085/0000939057-22-000085-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8238690,6749211,7916488,14351208,13438129,10539054,6562394,8804645,7936070,11058582,9730166,12287702,11826956,11819554,12269634,13905920,13486316,18506000,27623000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,431003452,429700540,375513870,362059429,384973906,386255837,414644840,- -,- -
33,Cash and Short-Term Investments,8238690,6749211,7916488,14351208,13438129,10539054,6562394,8804645,7936070,11058582,440733618,441988242,387340826,373878983,397243540,400161757,428131156,18506000,27623000
34,Net Receivables,2085769,2230855,2179549,2550066,3191514,3539991,3514585,3455190,3576245,3499818,3157003,3063078,3025093,3051841,3356618,3727376,3398537,479167000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,454105017,538454117,637036239,-3454835,-3676315,468421611,-44101128,-431792049,24289968,21125554,22841999,19968310,467757128,-138079000,- -
37,Total Current Assets,- -,- -,- -,- -,470734660,552533162,647113218,8805000,7836000,482980011,399789493,13259271,414655887,398056378,423442157,423857443,899286821,359594000,- -
38,PP&E,5219947,6562734,7914043,11662976,15895192,21544380,21675434,20720484,19800616,18726299,17243390,18233226,20116918,21197684,22797844,24174707,29938559,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,1421754,1199754,1199754,1199754,1199754,1199754,1199754,1199754,1199754,1199754,1199754,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,352500,249500,159500,99477,11970,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1730454,1640454,1774254,1449254,1359254,1299231,1211724,1199754,1199754,1199754,1199754,1199754,1199754,- -,- -
42,Investments,182116795,245715326,241075723,238432871,249749885,264312490,314098601,311046419,372417915,421631067,431003452,429700540,405386968,387643385,412054876,409893850,433891775,607578795,706356000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,613980501,532130264,- -,- -,362971035,-41631897,4584368,9317968,53488505,-401089368,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,267375531,287497324,337548289,947196658,925708049,441656597,449458566,812104555,385071743,414625191,445370442,488756816,63940720,- -,- -
46,Other Assets,444903985,528005053,585978473,658677815,1005485722,1127527810,1322209796,- -,- -,1366293205,1298706625,- -,- -,- -,- -,- -,- -,812116000,1301214000
47,Total Assets,444903985,528005053,585978473,658677815,738110191,840030486,984661507,956001658,933544049,924636608,849248059,825363826,799727630,812681569,868812599,912614259,963227541,1171710000,1301214000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135843000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45229,45890,121965,48360,49995,219213,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45229,45890,121965,48360,49995,219213,135843000,- -
54,Long-Term Debt,48072000,83000000,117632157,138652773,167709778,196173101,250630861,187630684,160952300,143110188,106981797,72662348,52290977,81972148,82706161,58309929,90916819,35155000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15948905,-14469286,-32316944,-29399506,-23653287,-50612981,- -,- -
58,Total Non-Current Liabilities,48072000,83000000,117632157,138652773,167709778,196173101,250630861,187630684,160952300,143110188,106981797,56713443,37821691,49655204,53306655,34656642,40303838,35155000000,- -
59,Other Liabilities,462936032,577533138,668499565,759728829,863126761,988707174,1168200070,1075771723,1018484144,986974910,878239776,794596655,746536009,791102534,844147440,866702473,911554161,- -,1185691000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2733531,2380269,- -
61,Total Liabilities,414864032,494533138,550867408,621076056,695416983,792534073,917569209,888141039,857531844,843864722,771257979,737928441,708760208,741569295,790889145,832095826,871469536,1059804000,1185691000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,18020065,17692609,22000000,22000000,22000000,22000000,22000000,- -,- -,- -,- -,- -,- -
63,Common Stock,25298,25333,25438,25582,25814,25925,26040,26055,30884,31449,31449,31449,31464,31464,31539,31548,31578,- -,- -
64,Retained Earnings,25019525,29080125,32306633,35712735,39215901,42772311,44267736,44112443,44097983,44511331,47838800,52267460,57000835,62220050,67077661,72610165,79281433,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-11055779,5000000,4000000,6533573,472406,5000000,4000000,1000000,3000000,-19109715,4000000,- -,- -
66,Other Total Stockholders Equity,4995130,4366457,2778994,1863442,3451493,4698177,15834236,1029512,5883338,7695533,7647425,8136476,7935123,7860760,7814254,26986435,8444994,111906000,- -
67,Total Stockholders Equity,30039953,33471915,35111065,37601759,42693208,47496413,67092298,67860619,76012205,80771886,77990080,87435385,90967422,71112274,77923454,80518433,91758005,111905746,115523000
68,Total Liabilities And Stockholders Equity,444903985,528005053,585978473,658677815,738110191,840030486,984661507,956001658,933544049,924636608,849248059,825363826,799727630,812681569,868812599,912614259,963227541,1171709746,1301214000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254,- -
70,Total Liabilities & Equity,444903985,528005053,585978473,658677815,738110191,840030486,984661507,956001658,933544049,924636608,849248059,825363826,799727630,812681569,868812599,912614259,963227541,1171710000,1301214000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818677/000093905710000181/0000939057-10-000181-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905711000179/0000939057-11-000179-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/818677/000093905715000141/0000939057-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905716000719/0000939057-16-000719-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905717000115/0000939057-17-000115-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905718000111/0000939057-18-000111-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905719000112/0000939057-19-000112-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905720000112/0000939057-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905721000114/0000939057-21-000114-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905722000085/0000939057-22-000085-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,3231161,4263163,3505495,3812851,4126553,4279599,2453373,1604801,1842913,1795375,3791162,5810740,6115927,5924656,5918340,7207221,7794487,7050000,12773891
74,Depreciation and Amortization,1128362,656704,1868387,795217,796211,1188711,2146798,1667968,1639477,1551051,1293843,1226882,1242378,1383393,1467402,1487734,1961507,2255295,2339206
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,32691,33124,34424,33123,-2580,12676,12676,7912,25358,- -,- -,- -,- -
77,Change in Working Capital,129589,- -,- -,470734660,81798502,94580056,-638308218,-969000,475144011,-83190518,-386575451,401395955,-16675584,25459384,413651,475260160,-675316608,-223751000,-1165197
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,74649,117754,93925,37985,-26748,-304777,-370758,328839,-99012,-254941
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,470734660,552533162,647113218,8805000,7836000,482980011,399789493,13214042,414609997,397934413,423393797,423807448,899067608,223751000,- -,-872656
82,Other Non-Cash Items,-525113,4145363,-1404594,-468174893,-81611113,-94778416,636841076,6172090,-464585199,96837310,401854968,-396245472,18291278,-21413770,5742658,-469454769,677826855,227402979,4750975
83,Cash Provided by Operating Activities,3963999,9065230,3969288,7167835,5110153,5269950,3165720,8508983,14075626,17026341,20361942,12200781,8986675,11361575,13567409,14500346,12266241,12957274,14158306
84,CAPEX,-1187871,-2419827,-2211117,-4746502,-5244344,-6758805,-1624687,-623964,-629609,-416712,-567582,-2204748,-3164108,-2464159,-3065662,-2864597,-4634847,-1243654,-2148932
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,460767,1177276,10804585,3974160,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-168384137,-202840694,-82686700,-60333220,-64472817,-144043483,-155779356,-150156861,-224742480,-216752377,-157025852,-119266824,-93303499,-98695591,-166422192,-114756842,-190808883,-256606812,-217633106
87,Sales/Maturities of Investments,107277332,135246537,82053190,59368398,53849225,133447305,104672414,153830525,160892975,167345990,139955757,123888286,112201167,106910417,139824381,106916115,168174931,91026707,101803296
88,Other Investing Activites,-10137680,-33812970,-58406540,-69472991,-66950100,-91926333,-95466608,21541228,62013105,43317041,34907148,22228573,3241556,-25102107,-30811661,-41361472,-20634355,-33012095,1768300
89,Cash Used for Investing Activites,-71244485,-101407127,-59040050,-70437813,-77573692,-102522511,-147737470,25768204,8338576,-2531898,17269471,24645287,18975116,-19351440,-60475134,-52066796,-47903154,-199835854,-130964686
90,Debt Repayment,-102536000,-179861000,-133036000,-243330000,-258287178,-327265265,-292315573,-369875367,-175152540,-123962008,-169631629,-288470058,-305175371,-317746000,-228671000,-229319232,-340477500,-451755000,-357965000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,4829060,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1561266,- -,-18000000,- -,- -,- -,- -,-21340000,- -,- -,- -,- -,- -
93,Dividends Paid,-151677,-202563,-278988,-406749,-623387,-723189,-937883,-1687550,-1584406,-1382027,-1382082,-1382080,-1382552,-1365441,-1060729,-1063626,-1123219,-1301254,-1431269
94,Other Financing Activites,166678442,270915981,189553027,313441447,330461025,422341940,435409812,339527981,166524677,112345326,133108119,255569001,276785381,349433904,277584529,270335594,377068033,645423932,- -
95,Cash Used/Provided by Financing Activities,63990765,90852418,56238039,69704698,71550460,94353486,140595090,-32034936,-23383209,-12998709,-37905592,-34283137,-29772542,8982463,47852800,39952736,35467314,192367678,126403822
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3289721,-1489479,1167278,6434720,-913079,-2899075,-3976660,2242251,-969007,1495734,-274179,2562931,-1810751,992598,945075,2386286,-169599,5489098,126403822
98,Cash at the End of Period,8238690,6749211,7916489,14351208,13438129,10539054,6562394,8804645,7835638,9331372,7629771,10192702,8381951,9374549,10319624,12705910,12536311,18025409,27622851
99,Cash at the Beginning of Period,11528411,8238690,6749211,7916488,14351208,13438129,10539054,6562394,8804645,7835638,7903950,7629771,10192702,8381951,9374549,10319624,12705910,12536311,18025409
100,Free Cash Flow,2776128,6645403,1758171,2421333,-134191,-1488855,1541033,7885019,13446017,16609629,19794360,9996033,5822567,8897416,10501747,11635749,7631394,11713620,12009374
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818677/000093905710000181/0000939057-10-000181-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905711000179/0000939057-11-000179-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/818677/000093905715000141/0000939057-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905716000719/0000939057-16-000719-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905717000115/0000939057-17-000115-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905718000111/0000939057-18-000111-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905719000112/0000939057-19-000112-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905720000112/0000939057-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/818677/000093905721000114/0000939057-21-000114-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,
