,https://roic.ai/company/INQD,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,33262,20342,12823,4493,- -,- -,- -
59,Other Liabilities,- -,14060,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,6181,21245,110147,450908,1132644,2583468,4331080,44752523,144
62,Preferred Stock,- -,- -,- -,2500,7500,7500,7500,7500,- -
63,Common Stock,6505,9251,11204,15213,25502,34888,201038,2401396,2576
64,Retained Earnings,-211797,- -,-1921772,-3996772,-8408822,-11720740,-14891885,-61172660,-23695
65,Other Comprehensive Income/Loss,-7888,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,367022,634310,2233663,3829528,7376196,9299988,10377256,14014324,21211
67,Total Stockholders Equity,153842,643561,323095,-149531,-999624,-2378364,-4306091,-44749440,91
68,Total Liabilities And Stockholders Equity,160023,664806,433242,301377,133020,205104,24989,3083,236
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,160023,664806,433242,301377,133020,205104,24989,3083,236
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1572565/000164033417000737/0001640334-17-000737-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000138713118001621/0001387131-18-001621-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315219008562/0001493152-19-008562-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315220018652/0001493152-20-018652-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315221021478/0001493152-21-021478-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315222008379/0001493152-22-008379-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-186913,-186913,-443282,-1266693,-4412050,-3311918,-3096821,-46280775,37477226
74,Depreciation and Amortization,6115,16715,46444,532016,51507,12063,11147,7305,25000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,5728701
77,Change in Working Capital,6181,288648,-312565,-399730,-722105,-1362407,-1921073,-40436044,44749531
78,Accounts Receivable,- -,- -,-59200,17024,34853,- -,- -,- -,- -
79,Inventory,- -,- -,-7001,4641,2360,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,33236,180802,- -,- -,- -
81,Other Working Capital,115836,404484,91919,-307811,-1029916,-2392323,-4313396,-44749440,91
82,Other Non-Cash Items,82552,-529785,5173,472237,4062919,3981509,4565145,86692062,-88320615
83,Cash Provided by Operating Activities,-92065,-411335,-704230,-662170,-1019729,-680753,-441602,-17452,-340157
84,CAPEX,-22356,-151163,-77045,-12294,-550,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-250000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-12600,9250,10000,10800,- -,- -,- -,- -
89,Cash Used for Investing Activites,-22356,-163763,-67795,-2294,-239750,- -,- -,- -,- -
90,Debt Repayment,- -,- -,-2838,-208223,-407287,-7518,-9131,-3694,- -
91,Common Stock Issued,237038,874750,418000,50000,824000,- -,- -,- -,610000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-600,-10000,46100,800000,800000,808500,307404,10000,-38200
95,Cash Used/Provided by Financing Activities,236438,864750,461262,641777,1216713,800982,298273,6306,571800
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,236438,289652,-310763,-22687,-42766,120229,-143329,-11146,231643
98,Cash at the End of Period,122017,411669,100906,78219,35453,155682,12353,1207,232850
99,Cash at the Beginning of Period,- -,122017,411669,100906,78219,35453,155682,12353,1207
100,Free Cash Flow,-114421,-562498,-781275,-674464,-1020279,-680753,-441602,-17452,-340157
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1572565/000164033417000737/0001640334-17-000737-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000138713118001621/0001387131-18-001621-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315219008562/0001493152-19-008562-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315220018652/0001493152-20-018652-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315221021478/0001493152-21-021478-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315222008379/0001493152-22-008379-index.htm
102,false,,,,,,,,,
