,https://roic.ai/company/AUOTY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-17.90,11.97,28.71,48.59,24.41,11.88,63.42,24.27,-30.40,7.00,-69.40,-61.90,4.50,18.30,5.10,8.10,33.60,10.60,-19.60,3.50,64.44
27,Weighted Average Shares Outstanding,392481852,482740294,539026930,574657597,641783707,710479881,845213321,876015000,879700000,882704500,882704600,882700000,934900000,962400000,962400000,962400000,962400000,962400000,959726800,949924500,949924500
28,Weighted Average Shares Outstanding Diluted,392481852,504135927,544998488,574657597,641783707,764698528,889567409,876015000,879700000,956093857,882704600,882700000,934900000,962400000,962400000,962400000,962400000,962400000,959726800,951735200,951735200
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,26002331410,17944042129,17772804467,26331315465,43918772020,89894398941,83434697000,85443311000,89498491000,90836668000,77425691000,76312272000,81965333000,78880700000,80191248000,105020616000,69163296000,80449772000,90274687000,79944686000
32,Short-Term Investments,- -,3237460991,2284210702,1584278868,1590614565,1848480178,1347214064,- -,1095304000,427265000,85621000,1639131000,6848947000,3157485000,11948446000,625615000,588695000,3169294000,3823789000,1232280000,12345952000
33,Cash and Short-Term Investments,- -,29239792401,20228252831,19357083336,27921930030,45767252198,91241613005,83434697000,86538615000,89925756000,90922289000,79064822000,83161219000,85122818000,90829146000,80816863000,105609311000,72332590000,84273561000,91506967000,92290638000
34,Net Receivables,- -,10078956900,16943940184,20689095969,42725836250,57822061850,75914961178,23899077000,62345500000,59915933000,51723030000,42639714000,43775028000,59664012000,34868994000,48291746000,40672797000,47484335000,32171016000,- -,- -
35,Inventory,- -,8524382928,9946112820,15862820380,19217171875,42309367767,35432929862,23610687000,39229916000,44568106000,47881948000,42585982000,37597994000,36420148000,31795525000,27679335000,24854323000,26309104000,23460072000,26753401000,34489088000
36,Other Current Assets,- -,2073530513,3513141187,3754928557,6224341260,6820392656,15300414557,15348629000,8346765000,10575800000,12146662000,11445521000,5069816000,4407556000,4498475000,6558298000,9039110000,2941598000,3295562000,50057305000,65246672000
37,Total Current Assets,- -,49916662741,50631447023,59663928241,96089279415,152719074471,217889918603,146293090000,196460796000,204985595000,202673929000,175736039000,169604057000,185614534000,161992140000,163346242000,180175541000,149067627000,143200211000,168317673000,192026398000
38,PP&E,- -,71168837451,100451518770,159520279838,221699883720,381491762187,363854497726,389348259000,392547228000,383867746000,358478963000,313992766000,270269007000,231814724000,208785609000,222741832000,224933089000,221586475000,207375066000,196757469000,181860418000
39,Goodwill,- -,- -,- -,- -,- -,14285804792,14021696307,11280595000,11464947000,11454512000,11456176000,11280595000,- -,- -,- -,- -,- -,600324000,600324000,- -,- -
40,Intangible Assets,- -,2989634895,2235687778,1061267793,2489756235,5853857276,4967146472,4267554000,2828307000,2607455000,3971926000,3652303000,4432542000,3885755000,3294684000,2322239000,1890297000,1496344000,12523222000,- -,- -
41,Intangible Assets,- -,2989634895,2235687778,1061267793,2489756235,20139662068,18988842778,15548149000,14293254000,14061967000,15428102000,14932898000,4432542000,3885755000,3294684000,2322239000,1890297000,2096668000,13123546000,12801358000,11756955000
42,Investments,- -,- -,- -,- -,- -,- -,- -,7247351000,12206677000,16914646000,17842079000,15388690000,14054591000,14873794000,14549866000,8208615000,9945421000,13265790000,13544650000,18854622000,14409338000
43,Tax Assets,- -,1851408765,- -,506751171,222730105,2432826445,285593814,2005382000,3053319000,3379370000,11064101000,12341891000,1078630000,1190087000,1987853000,1736854000,7069014000,6632668000,5181617000,6005346000,6466588000
44,Other Non-Current Assets,- -,3469495782,4593412917,9620348326,10149330435,21253416343,16473340504,6493407000,4051484000,6106445000,7290970000,7410229000,5397108000,4965426000,8626979000,7504983000,6157327000,5901952000,3931906000,4533827000,18291349000
45,Total Non-Current Assets,- -,79479376894,107280619466,170708647128,234561700495,425317667043,399602274823,420642548000,426151962000,424330174000,410104215000,364066474000,295231878000,256729786000,237244991000,242514523000,249995148000,249483553000,243156785000,238952622000,232784648000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,129396039635,157912066489,230372575369,330650979910,578036741514,617492193426,566935638000,622612758000,629315769000,612778144000,539802513000,464835935000,442344320000,399237131000,405860765000,430170689000,398551180000,386356996000,407270295000,424811046000
48,Accounts Payable,- -,11150922157,22127268257,27091948366,48792428165,69484809142,88990332035,45929222000,92530000000,- -,- -,65695688000,63410426000,63359887000,52087584000,59971120000,46888691000,50459587000,44307437000,54811725000,63335958000
49,Short-Term Debt,- -,771791333,300509361,6174389647,9858199530,45612245496,35723647890,35349132000,41570980000,31276254000,54300988000,54110639000,66220198000,56998412000,40701452000,18601350000,11579610000,30142403000,11943167000,17524561000,17477173000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,990983000,2629063000,2980258000,1715309000,4684818000,3520469000,1531588000,1325068000,2607235000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,13325426587,17321868906,20259682354,31440329065,52193985832,49816239959,71206298000,68624383000,158102329000,149878879000,71787995000,51708034000,53784841000,49078709000,39459124000,51796392000,48762197000,34285194000,26001893000,42941371000
53,Total Current Liabilities,- -,25248140077,39749646524,53526020367,90090956760,167291040470,174530219884,152484652000,202725363000,189378583000,204179867000,191594322000,181338658000,174143140000,141867745000,118031594000,110264693000,129364187000,90535798000,98338179000,123754502000
54,Long-Term Debt,- -,26072905326,25281020622,40277779930,84157845060,179360936963,142023118544,114341542000,134701415000,146633581000,177137280000,169015906000,118487971000,85689365000,68537430000,106187993000,102452776000,56709387000,112841904000,109567680000,47011802000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,10365760000,6617500000,5338926000,- -,- -,- -,- -,- -,- -,- -,- -,8739846000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820130000,2459839000,2268256000,1830264000,1638227000,1632164000,1050671000,3213326000,4224720000
57,Other Non-Current Liabilities,- -,111582613,319966069,6185356367,178894400,344097283,102938311,850708000,10266988000,613288000,3566559000,10617877000,11198956000,6065044000,5902627000,2974601000,2997142000,3060136000,3026749000,2360745000,3113705000
58,Total Non-Current Liabilities,- -,26184487938,25600986691,46463136297,84336739460,179705034246,142126056855,115192250000,144968403000,157612629000,187321339000,184972709000,130507057000,94214248000,76708313000,110992858000,107088145000,61401687000,116919324000,115141751000,63090073000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1098277000,499526000,17523000,- -,- -,- -,- -,- -,- -,- -,11091077000,10297272000,9725241000
61,Total Liabilities,- -,51432628016,65350633215,99989156664,174427696220,346996074716,316656276739,267676902000,347693766000,346991212000,391501206000,376567031000,311845715000,268357388000,218576058000,229024452000,217352838000,190765874000,207455122000,213479930000,186844575000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,40312940642,43478645114,49511250298,58456573310,75722321855,78181225607,85057196000,88270455000,88270455000,88270455000,88270455000,96242451000,96242451000,96242451000,96242451000,96242451000,96242451000,96242451000,96242451000,96242451000
64,Retained Earnings,- -,6033148052,17163668554,36222249165,39776183290,43984854339,96535152407,89991998000,56069157000,62322149000,-2472483000,-54614704000,-21897673000,-6656523000,-4493166000,1450618000,38712332000,37353842000,13829640000,30258282000,80669998000
65,Other Comprehensive Income/Loss,- -,27200001,4414262,-201521388,59357425,332985808,2788966621,1398695000,2775377000,1620524000,1881681000,1101768000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,31590122924,31914705344,44851440630,57813572905,110658558120,114289189498,113611082000,114972148000,115947805000,117709063000,114393336000,64608922000,65071750000,66263184000,60755040000,60794567000,59772454000,57524876000,56303958000,54874591000
67,Total Stockholders Equity,- -,77963411619,92561433273,130383418705,156105686930,230698720123,291794534134,290058971000,262087137000,268160933000,205388716000,149150855000,138953700000,154657678000,158012469000,158448109000,195749350000,193368747000,167596967000,182804691000,231787040000
68,Total Liabilities And Stockholders Equity,- -,129396039635,157912066489,230372575369,330533383150,577694794839,608450810873,557735873000,609780903000,615152145000,596889922000,525717886000,450799415000,423015066000,376588527000,387472561000,413102188000,384134621000,375052089000,396284621000,418631615000
69,Minority Interest,- -,0,-0,0,117596760,341946675,9041382553,9199765000,12831855000,14163624000,15888222000,14084627000,14036520000,19329254000,22648604000,18388204000,17068501000,14416559000,11304907000,10985674000,6179431000
70,Total Liabilities & Equity,- -,129396039635,157912066489,230372575369,330650979910,578036741514,617492193426,566935638000,622612758000,629315769000,612778144000,539802513000,464835935000,442344320000,399237131000,405860765000,430170689000,398551180000,386356996000,407270295000,424811046000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6703532434,6033148052,15644211731,27923834233,15667499205,9081919914,56420767183,21641845000,-26769335000,6692657000,-61263814000,-54614704000,3804142000,16366629000,7242170000,9965129000,42609500000,13071646000,-18767191000,3376324000,61330628000
74,Depreciation and Amortization,8871469809,8895756855,16278235549,25273976954,34582589470,52202490509,81334822169,81188432000,90107611000,89135702000,88752433000,75586656000,63637747000,56902728000,47745849000,39693240000,36429836000,34227530000,36257719000,35397530000,33664600000
75,Deferred Income Tax,-36748257,-36869567,-86587443,-294009499,-1051004600,-159568598,-2435914809,- -,- -,- -,- -,- -,-12393000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831251000
77,Change in Working Capital,-971608532,-974260906,4754295782,-4254548191,-2018974575,1764150276,20237431952,20973171000,-5799742000,-2391933000,-12023240000,12970144000,-23622309000,-17697462000,-5330588000,-14425841000,4905432000,-8072279000,-616189000,-12220891000,7545662000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,51485303000,-39564516000,6936041000,- -,9242263000,-3019995000,-13817621000,22073800000,-13023581000,4643577000,-3702504000,13685703000,- -,- -
79,Inventory,-2122063243,-2127860949,-1768964483,-6508208970,-3905685680,-13972858741,7043004214,6823368000,-12708862000,-6197038000,-3301713000,5221982000,-718448000,-3266062000,-1498601000,112708000,-1149146000,-6825812000,-2391389000,-3403782000,-7754868000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-39799729000,32455076000,4113881000,- -,622167000,-3837107000,-4357288000,-10266543000,-601488000,-2489088000,2776504000,-5014990000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-1943207535,-87783909,-1951125309,- -,- -,671170000,-5307815000,-1619676000,-17927607000,-1440234000,-4002220000,-3162348000,-1038570000,503563000,-759948000,- -,- -
82,Other Non-Cash Items,53111896,-12699896128,414125669,675404097,950310730,5627163639,1378186366,8254062000,-497515000,-2700839000,-950259000,1771144000,5835257000,7820837000,12345957000,1463318000,418563000,973797000,3856300000,-806005000,1349095000
83,Cash Provided by Operating Activities,1212692482,1217878307,37004281287,49324657594,48130420230,68516155739,156935292861,132057510000,57041019000,90735587000,14515120000,35713240000,49642444000,63392732000,62003388000,36695846000,84363331000,40200694000,20730639000,25746958000,104721236000
84,CAPEX,-13973323690,-14011617917,-39261089611,- -,-83647371205,-89734738749,-67169810047,-99857273000,-62167919000,-86035423000,-59339248000,-43857215000,-27112077000,-17262298000,-33743442000,-46407149000,-44078441000,-34770263000,-29548353000,-15600564000,-17075742000
85,Acquisitions Net,- -,- -,- -,-81754450469,- -,- -,- -,- -,- -,-1883482000,- -,283749000,1468580000,648642000,-51700000,3461372000,-120551000,-982657000,904050000,-2515877000,-3590984000
86,Purchases of Investments,-785699414,-787860899,-816197007,-5377971291,-266763120,-8382027343,-1209087326,-2889016000,-6677692000,-1240465000,-2497442000,- -,-209478000,-1681000,-33593000,-104194000,-245903000,-5966885000,-3659412000,-3088771000,-21677875000
87,Sales/Maturities of Investments,- -,- -,973039124,938193312,341773805,60347364,500810775,270000000,1993388000,1809281000,4090903000,356790000,1881551000,1491029000,328334000,9917000,32000000,983588000,3970809000,3390632000,10551841000
88,Other Investing Activites,-525174901,-526608715,-1194601111,-694548312,902463055,14768681463,1751443147,-283214000,-885466000,-1282722000,-2502904000,-766766000,-906686000,1726134000,1462460000,585707000,548635000,6238391000,218839000,106434000,1404452000
89,Cash Used for Investing Activites,-15284198005,-15326087531,-40298848604,-86888776761,-82669897465,-83287737264,-66126643452,-101257411000,-66616661000,-87218339000,-57829034000,-43230391000,-23223792000,-13106837000,-31734659000,-42267327000,-43667479000,-34497826000,-28112356000,-17708146000,-30350308000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-57993509000,-54199260000,-65549678000,- -,-50716629000,-56688464000,-76436873000,-66213463000,-45650997000,-47443813000,-34080503000,-55462022000,-18824040000,-77641184000
91,Common Stock Issued,7892099039,7913739427,- -,15944912295,15944358020,278503739,562755379,27000000,2445262000,4338348000,3252346000,2452704000,10280650000,- -,- -,- -,- -,- -,- -,- -,572472000
92,Common Stock Repurchased,- -,- -,-68047543,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1013423000,- -,- -
93,Dividends Paid,- -,- -,-2004889798,-5201014086,-5950639405,-1748900510,-1514886108,-19670577000,-3165092000,-685129000,-3428951000,- -,- -,-1443637000,-4812123000,-3368486000,-5389577000,-14436368000,-4812122000,- -,-2850967000
94,Other Financing Activites,8872448830,8894922073,-2594940777,26818826346,33215329825,34016199637,-43866833681,40201477000,66844430000,62774675000,46012545000,42299394000,19622378000,32839059000,36748594000,59740702000,39423038000,6670211000,82029634000,21527630000,-3550799000
95,Cash Used/Provided by Financing Activities,16764547869,16808661500,-4667878118,37562724555,43209048440,32545802866,-44818964410,-37435609000,11925340000,878216000,45835940000,-5964531000,-26785436000,-45041451000,-34276992000,10721219000,-13410352000,-41846660000,20742067000,2703590000,-83470478000
96,Effect of Forex Changes on Cash,5209791,5217392,-24617999,-162820914,-182051360,-114666509,-23156255,180600000,-341084000,-340284000,-1183849000,70705000,23381000,408617000,923630000,-3839190000,-2456132000,286472000,-2073874000,-917487000,-1230451000
97,Net Change In Cash,2698252137,2705669667,-7987063433,-164215525,8487519845,17659554831,45966528744,-6454910000,2008614000,4055180000,1338177000,-13410977000,-343403000,5653061000,-3084633000,1310548000,24829368000,-35857320000,11286476000,9824915000,-10330001000
98,Cash at the End of Period,6489791144,6507582853,17944042129,17772804467,26331315465,43918772020,89894398941,83434697000,85443311000,89498491000,90836668000,77425691000,76312272000,81965333000,78880700000,80191248000,105020616000,69163296000,80449772000,90274687000,79944686000
99,Cash at the Beginning of Period,3791539008,3801913186,25931105562,17937019992,17843795620,26259217189,43927870197,89889607000,83434697000,85443311000,89498491000,90836668000,76655675000,76312272000,81965333000,78880700000,80191248000,105020616000,69163296000,80449772000,90274687000
100,Free Cash Flow,-12760631208,-12793739610,-2256808323,49324657594,-35516950975,-21218583010,89765482814,32200237000,-5126900000,4700164000,-44824128000,-8143975000,22530367000,46130434000,28259946000,-9711303000,40284890000,5430431000,-8817714000,10146394000,87645494000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,0.0304,0.0307,0.0308,0.0305,0.0313,0.03428,0.033,0.03439,0.03351,0.0316,0.03044,0.0308,0.0337,0.03269,0.03342,0.03558,0.03607
