,https://roic.ai/company/OMF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,14206624000,3382575000,1725000000,1245000000,1579000000,1260000000,- -,- -,- -
82,Other Non-Cash Items,1557440000,1062317000,-522455000,270633000,425609000,-13484073000,10659186000,2621575000,1145000000,663000000,1475000000,1155000000,1361000000,616000000
83,Cash Provided by Operating Activities,767512000,666228000,269491000,171296000,215898000,675251000,400295000,731000000,1326000000,1555000000,2046000000,2362000000,2212000000,2247000000
84,CAPEX,- -,- -,- -,- -,- -,108718000,58783000,14000000,8000000,4000000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3520000000,26000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2035443000,-1418070000,-559870000,-1053055000,-3528427000,-3329392000,-5909000000,-763000000,-671000000,-691000000,-736000000,-994000000,-1225000000
87,Sales/Maturities of Investments,- -,6702244000,3240243000,730798000,1216934000,854997000,978458000,4322000000,1001000000,757000000,599000000,605000000,1020000000,1105000000
88,Other Investing Activites,-757471000,-1348709000,1494202000,1343562000,1270085000,550288000,4171362000,2469000000,-266000000,-2278000000,-2305000000,-3298000000,-777000000,-2023000000
89,Cash Used for Investing Activites,-757471000,3318092000,3316375000,1514490000,1433964000,-2123142000,1820428000,-2638000000,-2000000,-2192000000,-2397000000,-3429000000,-751000000,-2143000000
90,Debt Repayment,-3816378000,-4947668000,-4511572000,-4723615000,-3063569000,-6434786000,-4691886000,-1960000000,-8320000000,-4447000000,-5471000000,-3961000000,-6792000000,-3921000000
91,Common Stock Issued,690432000,529607000,6842000,- -,- -,230788000,- -,976000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000000,-368000000
93,Dividends Paid,- -,- -,- -,- -,- -,-204516000,-637729000,-78000000,-18000000,- -,- -,-408000000,-806000000,-1274000000
94,Other Financing Activites,1788011000,951488000,963968000,2328741000,2275520000,6734142000,3557405000,3030000000,6653000000,5422000000,5515000000,5890000000,7273000000,3753000000
95,Cash Used/Provided by Financing Activities,-1337935000,-3466573000,-3540762000,-2394874000,-788049000,325628000,-1772210000,1968000000,-1685000000,975000000,44000000,1521000000,-370000000,-1810000000
96,Effect of Forex Changes on Cash,- -,- -,- -,1111000,2949000,-676000,-1096000,-1000000,1000000,- -,- -,- -,- -,- -
97,Net Change In Cash,-1327894000,517747000,45104000,-707977000,864762000,-1122939000,447417000,60000000,-360000000,338000000,-307000000,454000000,1091000000,-1706000000
98,Cash at the End of Period,727607000,1245354000,1290458000,689586000,1554348000,431409000,878826000,939000000,579000000,1485000000,1178000000,1632000000,2723000000,1017000000
99,Cash at the Beginning of Period,2055501000,727607000,1245354000,1397563000,689586000,1554348000,431409000,879000000,939000000,1147000000,1485000000,1178000000,1632000000,2723000000
100,Free Cash Flow,767512000,666228000,269491000,171296000,215898000,675251000,400295000,731000000,1326000000,1555000000,2046000000,2362000000,2212000000,2247000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584207/000110465914027655/a14-3050_110k.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420715000013/shi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420716000065/0001584207-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420717000008/0001584207-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420718000009/0001584207-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420719000005/0001584207-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/25598/000158420720000011/0001584207-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420721000006/0001584207-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420722000005/0001584207-22-000005-index.htm
102,false,,,,,,,,,,,,,,
