,https://roic.ai/company/YRIV,2010,2011,2012,2013,2014,2015,2016,2017,2018
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,3166511,7929422,7850402,396442261,370934342,396271901,- -
43,Tax Assets,- -,26295,3817260,4676410,5227015,3614419,4472581,5855625,6604801
44,Other Non-Current Assets,- -,190721077,207238853,200485317,216735439,157499,89742,62713,375148108
45,Total Non-Current Assets,- -,191003250,214222624,213091149,229812856,400214179,375496665,402190239,381752909
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,224117809,280809080,330478864,362921682,406986613,379711509,406697070,386047090
48,Accounts Payable,- -,36987211,44286071,72393257,98461378,5526610,5159212,5499177,5201293
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,9150412,9980556,11507629,10668195,26297,60495,33813,25649
51,Deferred Revenue,- -,27707267,6422699,4963651,9927574,- -,- -,- -,158465
52,Other Current Liabilities,- -,17084313,18242365,17471421,21500383,57894045,65903422,82739971,91865458
53,Total Current Liabilities,- -,81778791,68951135,94828329,129889335,63420655,71062634,88239148,97225216
54,Long-Term Debt,- -,50434427,68871614,89466798,92313136,119502981,116456074,119221399,117409630
55,Deferred Revenue,- -,- -,87184895,87713585,83522070,- -,- -,- -,19029380
56,Deferred Tax Liabilities,- -,7724474,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-19029380
58,Total Non-Current Liabilities,- -,58158901,156056509,177180383,175835206,119502981,116456074,119221399,117409630
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,139937692,225007644,272008712,305724541,182923636,187518708,207460547,214634846
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2056,2060,2060,2060,17225,27227,17234,17253
64,Retained Earnings,- -,40982927,10890595,10553505,9857778,-4575912,-28989090,-41238467,-54954952
65,Other Comprehensive Income/Loss,- -,6496684,7759151,9918014,9517435,-2314185,-21541781,-3156422,-18721216
66,Other Total Stockholders Equity,- -,36698450,37149630,37149630,37149630,230935849,242696445,243614178,245071159
67,Total Stockholders Equity,- -,84180117,55801436,57623209,56526903,224062977,192192801,199236523,171412244
68,Total Liabilities And Stockholders Equity,- -,224117809,280809080,329631921,362251444,406986613,379711509,406697070,386047090
69,Minority Interest,- -,- -,- -,846943,670238,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,224117809,280809080,330478864,362921682,406986613,379711509,406697070,386047090
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1487843/000121390013001887/0001213900-13-001887-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390014002480/0001213900-14-002480-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390015002736/0001213900-15-002736-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390016010526/0001213900-16-010526-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390017002140/0001213900-17-002140-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390018002769/0001213900-18-002769-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390019003416/0001213900-19-003416-index.html
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,10151135,-29446361,-4740,-695727,5305236,-12726080,-12249377,-13716485
74,Depreciation and Amortization,- -,79580,100982,693705,294261,79064,62536,31357,8241
75,Deferred Income Tax,- -,2151391,-11567824,-723015,-581123,-1378700,-1143595,-1040874,-1108025
76,Stock Based Compensation,- -,402000,406384,- -,- -,1808867,2014664,1785480,-348793
77,Change in Working Capital,- -,-36982251,55109488,17381728,3717612,1134407,9657270,9418063,8852755
78,Accounts Receivable,- -,309677,-441321,1633238,172057,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,35072030,13404285,23437934,26657279,- -,-7553,-7500,- -
81,Other Working Capital,- -,-88901002,54461980,16448949,-14236708,-1091140,-367826,-307384,-323320
82,Other Non-Cash Items,- -,- -,44800,-223057,-136758,-11684016,- -,- -,12811
83,Cash Provided by Operating Activities,- -,-24198145,14647469,17124621,2598265,-4735142,-2135205,-2055351,-6299496
84,CAPEX,- -,-95759,-279112,-4404885,-4214382,-11733,-1851,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-3164637,-4604935,-487947,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,32824,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-15823185,-28704496,-2590561,505912,- -,- -,9064
89,Cash Used for Investing Activites,- -,-95759,-19266934,-37714316,-7260066,494179,-1851,- -,9064
90,Debt Repayment,- -,-5466903,-42880832,-12584360,-45665506,-176599,-150532,-29590,-6712553
91,Common Stock Issued,- -,2331656,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,31513043,60919264,31777592,49049137,4874761,1839301,2078097,13067662
95,Cash Used/Provided by Financing Activities,- -,28377796,18038432,19193232,3383631,4698162,1688769,2048507,6355109
96,Effect of Forex Changes on Cash,- -,284972,77556,705326,-124902,-996,-1190,2166,-2295
97,Net Change In Cash,- -,4368864,13496523,-691137,-1403072,456203,-449477,-4678,62382
98,Cash at the End of Period,- -,10602165,24098688,23407551,22004479,512569,63092,58414,120796
99,Cash at the Beginning of Period,- -,6233301,10602165,24098688,23407551,56366,512569,63092,58414
100,Free Cash Flow,- -,-24293904,14368357,12719736,-1616117,-4746875,-2137056,-2055351,-6299496
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1487843/000121390013001887/0001213900-13-001887-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390014002480/0001213900-14-002480-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390015002736/0001213900-15-002736-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390016010526/0001213900-16-010526-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390017002140/0001213900-17-002140-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390018002769/0001213900-18-002769-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390019003416/0001213900-19-003416-index.html
102,false,,,,,,,,,
