,https://roic.ai/company/CDR-PC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45957000,49785000,49702000,41870000,39359000,34766000,32301000,28272000,26529000,22199000,22146000,-23509000,21974000,18636000
14,Depreciation and Amortization,- -,300000,400000,400000,400000,400000,439943,440406,466353,483161,496992,621509,991334,2546000,5023000,10247000,16477000,34883000,42160000,35393000,41657000,37310000,42082000,44674000,45663000,38700000,38594000,40787000,40115000,40053000,45861000,48412000,39454000
15,EBITDA,600000,800000,700000,800000,900000,1100000,1209564,1002022,966539,663109,561462,609426,843619,2078000,-16328000,18107000,29690000,50218000,64129000,99725000,74775000,45723000,-19609000,113739000,94877000,99982000,89012000,76259000,81457000,66088000,23428000,69314000,12991000
16,EBITDA ratio,0.2609,0.3810,0.3889,0.3636,0.3913,0.4583,0.4863,0.4520,0.3917,0.2585,0.2232,0.1895,0.1655,0.1600,-0.6160,0.3540,0.3761,0.3970,0.4194,0.5716,0.4115,0.2909,-0.1448,0.8091,0.6834,0.6747,0.5966,0.5047,0.5579,0.4347,0.1626,0.5114,0.1019
17,Operating Income,- -,- -,- -,- -,- -,- -,629525,423407,364049,139701,252260,906514,1790944,-925000,-21929000,19545000,30940000,50303000,61197000,65726000,33830000,47296000,21728000,34148000,39296000,50737000,49993000,37916000,42062000,31333000,25075000,21454000,-26367000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.2531,0.1910,0.1475,0.0545,0.1003,0.2819,0.3513,-0.0712,-0.8273,0.3822,0.3919,0.3977,0.4002,0.3767,0.1862,0.3009,0.1605,0.2429,0.2831,0.3424,0.3351,0.2510,0.2881,0.2061,0.1740,0.1583,-0.2067
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1638416,-49000,- -,- -,- -,- -,- -,956000,-26384000,-51732000,-47681000,-8771000,-34259000,-33126000,-28377000,-29152000,-22409000,-26975000,-23509000,-21974000,-18636000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4436000,-25953000,25377000,5037000,17611000,21616000,8764000,19653000,4358000,1566000,-520000,-45003000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0282,-0.1917,0.1805,0.0363,0.1188,0.1449,0.0580,0.1346,0.0287,0.0109,-0.0038,-0.3528
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,600000,500000,300000,400000,500000,700000,769621,561616,500186,179948,64470,-12083,-147715,-468000,-21351000,7860000,13213000,15335000,21969000,18375000,-16667000,-41289000,-103561000,29706000,14448000,28981000,22146000,8943000,19143000,3889000,1076000,-1072000,-45099000
24,Net Income ratio,0.2609,0.2381,0.1667,0.1818,0.2174,0.2917,0.3094,0.2533,0.2027,0.0702,0.0256,-0.0038,-0.0290,-0.0360,-0.8055,0.1537,0.1674,0.1212,0.1437,0.1053,-0.0917,-0.2627,-0.7648,0.2113,0.1041,0.1956,0.1484,0.0592,0.1311,0.0256,0.0075,-0.0079,-0.3536
25,EPS,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,-0.00,-0.00,-0.01,-0.25,0.09,0.15,0.18,0.25,0.21,-0.19,-0.48,-1.20,0.34,0.17,0.34,0.26,0.10,0.22,0.04,0.01,-0.01,-0.00
26,EPS Diluted,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,-0.00,-0.00,-0.01,-0.25,0.09,0.15,0.18,0.25,0.21,-0.19,-0.48,-1.20,0.34,0.17,0.34,0.26,0.10,0.22,0.04,0.01,-0.01,-0.00
27,Weighted Average Shares Outstanding,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000
28,Weighted Average Shares Outstanding Diluted,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000,86469000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/761648/000156459020004590/0001564590-20-004590-index.htm,https://www.sec.gov/Archives/edgar/data/761648/000156459021005533/0001564590-21-005533-index.htm,https://www.sec.gov/Archives/edgar/data/761648/000156459022009649/0001564590-22-009649-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3827000,6154000,8457000,8601000,17885000,20307000,6334000,17164000,14166000,12070000,7522000,3973000,3499000,2083000,2882000,3702000,1977000,2747000,1637000,3039000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3644000,3757000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3827000,6154000,8457000,8601000,21529000,24064000,6334000,17164000,14166000,12070000,7522000,3973000,3499000,2083000,2882000,3702000,1977000,2747000,1637000,3039000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000,3269000,4483000,9093000,12182000,18882000,20140000,24347000,31321000,26264000,18289000,18492000,18405000,17912000,14894000,17193000,21977000,22164000,21952000,21868000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38291000,14075000,14545000,14707000,96893000,98507000,31056000,26098000,7752000,8894000,17382000,19278000,16404000,80736000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84905000,55586000,60032000,53041000,122704000,120972000,52960000,46093000,25528000,29789000,41336000,44189000,39993000,105643000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123634000,318624000,505325000,946457000,1177139000,1494561000,1634981000,1662049000,1401849000,1171513000,1161000,1020000,761000,532000,431000,393000,359000,13838000,13913000,9911000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3644000,3757000,4976000,14113000,52466000,44743000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4654000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2266000,45682000,108140000,242866000,1246038000,1209934000,1233058000,1274957000,1207562000,1222236000,1181206000,1147598000,1123345000,896686000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642223000,1721844000,1562455000,1459122000,1247199000,1210954000,1233819000,1275489000,1207993000,1222629000,1181565000,1161436000,1137258000,911251000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133138000,341307000,537160000,996256000,1251719000,1594984000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133138000,341307000,537160000,996256000,1251719000,1594984000,1727128000,1777430000,1622487000,1512163000,1369903000,1331926000,1286779000,1321582000,1233521000,1252418000,1222901000,1205625000,1177251000,1016894000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7464000,14000000,68200000,147480000,68470000,190440000,304490000,257685000,132597000,166317000,- -,- -,72000000,78000000,72000000,55000000,100000000,106000000,175000000,66000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46548000,46902000,29026000,32404000,56429000,49618000,22364000,23831000,23463000,24519000,26142000,50502000,56580000,42099000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7464000,14000000,68200000,147480000,68470000,190440000,351038000,304587000,161623000,198721000,56429000,49618000,94364000,101831000,95463000,79519000,126142000,156502000,231580000,108099000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7464000,17000000,180430000,380311000,499603000,661074000,708983000,794762000,707516000,711631000,761216000,719792000,593388000,599022000,535745000,525125000,519447000,519211000,443934000,461038000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61384000,63594000,54877000,46039000,31131000,27282000,24172000,23187000,20316000,17663000,18596000,15837000,14279000,7789000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7464000,17000000,180430000,380311000,499603000,661074000,770367000,858356000,762393000,757670000,792347000,747074000,617560000,622209000,556061000,542788000,538043000,535048000,458213000,468827000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119655000,180724000,401641000,825613000,1095770000,1445062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46643000,- -,- -,30508000,26868000,23776000,23187000,20316000,17663000,5387000,5364000,5340000,5314000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119655000,177724000,289411000,592782000,664637000,974428000,1121405000,1162943000,924016000,956391000,848776000,796692000,711924000,724040000,651524000,622307000,664185000,691550000,689793000,576926000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58750000,88750000,88750000,88750000,88750000,88750000,158575000,158575000,163669000,190661000,190661000,190661000,190661000,207508000,159541000,159541000,159541000,159541000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,987000,1161000,1777000,2626000,2654000,2668000,3128000,3991000,4076000,4309000,4332000,4753000,5103000,5119000,5479000,5426000,5341000,812000,820000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35139000,-49956000,-71831000,-97514000,-127043000,-161328000,-231275000,-373741000,-378254000,-393819000,-395087000,-404350000,-426864000,-446944000,-475726000,-503725000,-522696000,-582464000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000,47000,-165000,138000,146000,64000,-7256000,-2992000,-3406000,-3513000,-2560000,-1303000,-3146000,-4059000,427000,5694000,7191000,-7009000,-18816000,-8258000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3303000,150114000,211147000,350426000,558259000,564200000,566908000,611611000,702181000,708446000,726492000,727806000,772371000,808695000,811397000,856599000,858993000,856413000,864657000,867743000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3245000,151148000,235754000,391135000,577950000,558154000,524027000,539169000,630066000,493843000,513656000,527677000,569552000,596050000,580740000,628336000,555425000,510561000,483498000,437382000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122900000,328872000,525165000,983917000,1242587000,1532582000,1645432000,1702112000,1554082000,1450234000,1362432000,1324369000,1281476000,1320090000,1232264000,1250643000,1219610000,1202111000,1173291000,1014308000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10238000,12435000,11995000,12339000,9132000,62402000,81696000,75318000,68405000,61929000,7471000,7557000,5303000,1492000,1257000,1775000,3291000,3514000,3960000,2586000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133138000,341307000,537160000,996256000,1251719000,1594984000,1727128000,1777430000,1622487000,1512163000,1369903000,1331926000,1286779000,1321582000,1233521000,1252418000,1222901000,1205625000,1177251000,1016894000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/761648/000156459020004590/0001564590-20-004590-index.htm,https://www.sec.gov/Archives/edgar/data/761648/000156459021005533/0001564590-21-005533-index.htm,https://www.sec.gov/Archives/edgar/data/761648/000156459022009649/0001564590-22-009649-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,500000,300000,400000,500000,700000,769621,561616,500186,179948,64470,-12083,-147715,-468000,-21351000,7860000,13213000,15335000,21969000,18375000,-16667000,-41289000,-103561000,29706000,14448000,28981000,22146000,8943000,19143000,3889000,1076000,-1072000,-45099000
74,Depreciation and Amortization,- -,300000,400000,400000,400000,400000,439943,440406,466353,483161,496992,621509,991334,2546000,5023000,10247000,16477000,34883000,42160000,35393000,41657000,37310000,42082000,44674000,45663000,38700000,38594000,40787000,40115000,40053000,45861000,48412000,39454000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3913000,3701000,3531000,3168000,2930000,3552000,3763000,4117000,3723000,3043000
77,Change in Working Capital,- -,200000,- -,- -,- -,- -,- -,- -,- -,26027,-217442,191415,- -,- -,- -,- -,- -,- -,- -,-266133000,17132000,147410000,-44089000,211955000,5079000,-112758000,-14334000,-14197000,20205000,-35076000,-27507000,-79274000,-3755000
78,Accounts Receivable,- -,100000,- -,- -,100000,- -,- -,-100000,-100000,- -,22638,-164273,-836787,-437000,-3039000,-1251000,-6594000,-2137000,-3484000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,193432,157857,531247,1199000,3046000,3220000,7467000,916000,6048000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,26027,-191415,- -,- -,- -,- -,- -,- -,- -,- -,-266133000,-249001000,-101591000,-145680000,66275000,71354000,-41404000,-55738000,-69935000,-49730000,-84806000,-112313000,-191587000,- -
82,Other Non-Cash Items,- -,-100000,-200000,- -,100000,- -,26197,-56779,-31231,81959,761322,194405,-56323,-919000,11447000,1227000,245000,-12291000,-12625000,271735000,9820000,-101729000,144814000,-239660000,-19215000,92431000,9562000,19062000,-25489000,45271000,30128000,70791000,51319000
83,Cash Provided by Operating Activities,- -,900000,500000,800000,1000000,1100000,1235761,945243,935308,771095,1105342,995246,787296,1159000,-4881000,19334000,29935000,37927000,51504000,59370000,51942000,41702000,39246000,50588000,49676000,50885000,59136000,57525000,57526000,57900000,53675000,42580000,44962000
84,CAPEX,- -,- -,-600000,-300000,- -,- -,- -,-136319,-599985,-240880,-282255,-2066268,-6054658,-44240000,-188111000,-168893000,-325858000,-184362000,-187497000,-131411000,-108300000,-30155000,-92152000,-31497000,-20288000,-16254000,-12698000,-15484000,-25561000,-30377000,-22342000,- -,-28309000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8510761,- -,- -,- -,- -,- -,- -,-18551000,-350000,-51441000,-4300000,41551000,- -,- -,- -,- -,- -,- -,- -,- -,-4654000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1949000,-8000,-17454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32089000,31013000,3545000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,700000,400000,- -,- -,6807,-127755,22999,523557,- -,-6331421,12358416,2860000,-11787000,830000,-1968000,-1435000,-4927000,16489000,6535000,20749000,28666000,8563000,-15254000,49116000,-47876000,51064000,-46437000,-14938000,- -,- -,76188000
89,Cash Used for Investing Activites,- -,- -,100000,100000,- -,- -,6807,-127755,-277001,423557,-282255,-8397689,-2207003,-41380000,-199898000,-168063000,-327826000,-187746000,-192432000,-150927000,-70026000,-29834000,-64241000,50114000,-15254000,49116000,-47876000,51064000,-46437000,-14938000,-22342000,-18369000,71534000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1346750,-111306,-617000,-37737000,-19601000,-8896000,-49773000,-19364000,-93317000,-74981000,-20944000,-17404000,-89954000,-152069000,-408594000,-301228000,-415757000,-195924000,-203830000,-22027000,-180067000,-289110000
91,Common Stock Issued,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,1800000,- -,- -,- -,174508000,94899000,168477000,207928000,3910000,- -,40890000,- -,4305000,- -,- -,- -,- -,- -,- -,9000,22000,13000,- -
92,Common Stock Repurchased,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,-1148000,- -,- -,-12000000,- -,- -,- -,- -,-122000,- -,-3443000,- -,-124937000,-34992000,- -,- -,- -,-112510000,-52345000,-6844000,- -,- -
93,Dividends Paid,- -,-1200000,-1000000,-900000,-900000,-900000,-898164,-898164,-898164,-898164,-938671,-778970,- -,- -,- -,-16345000,-28864000,-1525000,-1788000,-51086000,-4842000,-31902000,-38905000,-29184000,-28863000,-30249000,-31409000,-31457000,-31337000,-29577000,-28560000,-17899000,-14669000
94,Other Financing Activites,- -,- -,- -,200000,- -,- -,-19275,-21162,-23233,-25508,-64278,9258940,3562191,42420000,82335000,92079000,167318000,2473000,160592000,222109000,65950000,41423000,74903000,138825000,177953000,338368000,319961000,339424000,329502000,237539000,26846000,172632000,188915000
95,Cash Used/Provided by Financing Activities,- -,-1200000,-1300000,-800000,-900000,-900000,-917439,-919326,-921397,-923672,797051,5985220,3450885,41803000,207106000,151032000,298035000,159103000,143350000,77584000,27017000,-14866000,22899000,-105250000,-37971000,-100475000,-12676000,-107790000,-10269000,-48204000,-30563000,-25321000,-114864000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1200000,-1300000,-800000,-900000,-900000,325129,-101838,-263090,270980,1620138,-1457223,2031178,1582000,2327000,2303000,144000,9284000,2422000,-13973000,8933000,-2998000,-2096000,-4548000,-3549000,-474000,-1416000,799000,820000,-5242000,770000,-1110000,1632000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,772144,670306,407216,678196,2298334,841111,2872289,3827000,6154000,8457000,8601000,17885000,20307000,6334000,17164000,14166000,12070000,7522000,3973000,3499000,2083000,2882000,3702000,1977000,2747000,1637000,3269000
99,Cash at the Beginning of Period,- -,1100000,800000,100000,100000,200000,447015,772144,670306,407216,678196,2298334,841111,2245000,3827000,6154000,8457000,8601000,17885000,20307000,8231000,17164000,14166000,12070000,7522000,3973000,3499000,2083000,2882000,7219000,1977000,2747000,1637000
100,Free Cash Flow,- -,900000,-100000,500000,1000000,1100000,1235761,808924,335323,530215,823087,-1071022,-5267362,-43081000,-192992000,-149559000,-295923000,-146435000,-135993000,-72041000,-56358000,11547000,-52906000,19091000,29388000,34631000,46438000,42041000,31965000,27523000,53675000,42580000,16653000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/761648/000156459020004590/0001564590-20-004590-index.htm,https://www.sec.gov/Archives/edgar/data/761648/000156459021005533/0001564590-21-005533-index.htm,https://www.sec.gov/Archives/edgar/data/761648/000156459022009649/0001564590-22-009649-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
