,https://roic.ai/company/NCLH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-8708000,19156000,-130899000,-226962000,-211803000,67233000,22617000,125577000,168556000,101714000,338352000,427137000,633085000,759872000,954843000,930228000,-4012514000,-4506587000
24,Net Income ratio,-0.0065,0.0119,-0.0662,-0.1045,-0.1006,0.0362,0.0112,0.0566,0.0740,0.0396,0.1082,0.0983,0.1299,0.1408,0.1577,0.1439,-3.1350,-6.9548
25,EPS,-0.04,0.10,-0.65,-1.13,-1.06,0.34,0.11,0.63,0.84,0.50,1.64,1.89,2.79,3.33,4.28,4.33,-15.75,-12.33
26,EPS Diluted,-0.04,0.09,-0.65,-1.13,-1.06,0.33,0.11,0.62,0.84,0.49,1.62,1.86,2.78,3.31,4.25,4.30,-15.75,-12.33
27,Weighted Average Shares Outstanding,200468080,200468080,200468080,200468080,200468080,200468080,200468080,200468080,200468080,202993839,206524968,226591437,227121875,228040825,223001739,214929977,254728932,365449967
28,Weighted Average Shares Outstanding Diluted,203325892,203325892,203325892,203325892,203325892,203325892,203325892,203325892,200468080,209239484,212017784,230040132,227850286,229418326,224419205,216475076,254728932,365449967
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1513761/000119312514062855/0001193125-14-062855-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104915001498/0001571049-15-001498-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104916012414/0001571049-16-012414-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104917001650/0001571049-17-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420418011097/0001144204-18-011097-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420419010508/0001144204-19-010508-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837020001661/0001558370-20-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837021001998/0001558370-21-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837022002516/0001558370-22-002516-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,172424000,60416000,63530000,40291000,185717000,50152000,55047000,58926000,45500000,56467000,84824000,115937000,128347000,176190000,163851000,252876000,3300482000,1506647000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000000
33,Cash and Short-Term Investments,172424000,60416000,63530000,40291000,185717000,50152000,55047000,58926000,45500000,56467000,84824000,115937000,128347000,176190000,163851000,252876000,3300482000,1746647000
34,Net Receivables,10806000,11691000,10244000,8408000,6047000,7868000,7879000,8159000,15062000,18260000,32432000,44996000,63215000,43961000,55249000,75109000,20578000,1167473000
35,Inventory,18356000,29133000,- -,41997000,29494000,28865000,32763000,36234000,39681000,43715000,56555000,58173000,66255000,82121000,90202000,95427000,82381000,118205000
36,Other Current Assets,75025000,102153000,63862000,28728000,28464000,64677000,33694000,48824000,64686000,64482000,109924000,121305000,153276000,216065000,241011000,306733000,154103000,269243000
37,Total Current Assets,276611000,203393000,137636000,119424000,249722000,151562000,129383000,152143000,164929000,182924000,283735000,340411000,411093000,518337000,550313000,730145000,3557544000,3301568000
38,PP&E,2515104000,3096456000,3816292000,4243872000,4119222000,3836127000,4639281000,4640093000,4960142000,5647670000,8623773000,9458805000,10117689000,11040488000,12119253000,13371941000,13620263000,13528806000
39,Goodwill,392600000,400254000,400254000,400254000,- -,- -,- -,- -,- -,- -,1388931000,1388931000,1388931000,1388931000,1388931000,1388931000,98134000,98134000
40,Intangible Assets,218538000,218538000,- -,202538000,- -,- -,- -,- -,- -,- -,994997000,929585000,908085000,872426000,846263000,827775000,500869000,500525000
41,Intangible Assets,611138000,618792000,400254000,602792000,602792000,602792000,602792000,602792000,611330000,611330000,2383928000,2318516000,2297016000,2261357000,2235194000,2216706000,599003000,598659000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,82133000,89450000,275442000,67610000,75405000,220867000,192057000,167383000,202026000,209054000,281641000,147025000,148113000,274687000,301210000,365807000,622507000,1300804000
45,Total Non-Current Assets,3208375000,3804698000,4491988000,4914274000,4797419000,4659786000,5434130000,5410268000,5773498000,6468054000,11289342000,11924346000,12562818000,13576532000,14655657000,15954454000,14841773000,15428269000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3484986000,4008091000,4629624000,5033698000,5047141000,4811348000,5563513000,5562411000,5938427000,6650978000,11573077000,12264757000,12973911000,14094869000,15205970000,16684599000,18399317000,18729837000
48,Accounts Payable,69875000,73003000,116947000,88715000,70412000,28376000,64399000,80327000,79126000,86788000,101983000,51369000,38002000,53433000,159564000,100777000,83136000,233172000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,286575000,576947000,629840000,560193000,619373000,681218000,746358000,124885000,876890000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,325472000,353793000,411829000,817207000,1023973000,1172870000,1303498000,1593219000,1954980000,1109826000,1561336000
52,Other Current Liabilities,431538000,563318000,650509000,726768000,921396000,465662000,588918000,411647000,512170000,290296000,590462000,661337000,541753000,513717000,716499000,782275000,596056000,1059034000
53,Total Current Liabilities,501413000,636321000,767456000,815483000,991808000,494038000,653317000,817446000,945089000,1075488000,2086599000,2366519000,2312818000,2490021000,3150500000,3584390000,1913903000,3730432000
54,Long-Term Debt,1604331000,1965983000,2405357000,2977888000,2474014000,2554105000,3125848000,2837499000,2764120000,2841214000,5607157000,5767697000,5838494000,5688392000,5810873000,6055335000,11681234000,11569700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5734000,2631000,1744000,4801000,31520000,58654000,52680000,63003000,210434000,103010000,360508000,349661000,284873000,166690000,281596000,529295000,450075000,997055000
58,Total Non-Current Liabilities,1610065000,1968614000,2407101000,2982689000,2505534000,2612759000,3178528000,2900502000,2974554000,2944224000,5967665000,6117358000,6123367000,5855082000,6092469000,6584630000,12131309000,12566755000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2111478000,2604935000,3174557000,3798172000,3497342000,3106797000,3831845000,3717948000,3919643000,4019712000,8054264000,8483877000,8436185000,8345103000,9242969000,10169020000,14045212000,16297187000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12000,12000,12000,12000,24000,25000,25000,25000,25000,205000,230000,232000,232000,233000,235000,237000,316000,417000
64,Retained Earnings,-117348000,-98192000,-254543000,-481505000,-693308000,-626075000,-603458000,-467741000,-299185000,-197471000,140881000,568018000,1201103000,1963128000,2898840000,3829068000,-295449000,-4796406000
65,Other Comprehensive Income/Loss,-162685000,-243104000,-400323000,-540117000,-694966000,-721836000,-894627000,-1062993000,-1251484000,-17000000,-243000000,-413000000,-314000000,27000000,-162000000,-295000000,-240117,-285086000
66,Other Total Stockholders Equity,1653529000,1744440000,2109921000,2257136000,2938049000,3052437000,3229728000,3375172000,3569428000,2823174000,3620702000,3625630000,3650391000,3759405000,3225926000,2981274000,4649478117,- -
67,Total Stockholders Equity,1373508000,1403156000,1455067000,1235526000,1549799000,1704551000,1731668000,1844463000,2018784000,2608908000,3518813000,3780880000,4537726000,5749766000,5963001000,6515579000,4354105000,2432650000
68,Total Liabilities And Stockholders Equity,3484986000,4008091000,4629624000,5033698000,5047141000,4811348000,5563513000,5562411000,5938427000,6628620000,11573077000,12264757000,12973911000,14094869000,15205970000,16684599000,18399317000,18729837000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,22358000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3484986000,4008091000,4629624000,5033698000,5047141000,4811348000,5563513000,5562411000,5938427000,6650978000,11573077000,12264757000,12973911000,14094869000,15205970000,16684599000,18399317000,18729837000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1513761/000119312514062855/0001193125-14-062855-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104915001498/0001571049-15-001498-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104916012414/0001571049-16-012414-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104917001650/0001571049-17-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420418011097/0001144204-18-011097-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420419010508/0001144204-19-010508-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837020001661/0001558370-20-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837021001998/0001558370-21-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837022002516/0001558370-22-002516-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-8708000,19156000,-130899000,-226962000,-211803000,67233000,22617000,125577000,168556000,101714000,338352000,427137000,633085000,759872000,954843000,930228000,-4012514000,-4506587000
74,Depreciation and Amortization,87397000,104181000,119097000,148003000,162565000,169701000,191913000,211049000,216137000,245111000,304877000,450335000,445635000,521484000,566972000,647102000,739619000,758604000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2844000,6187000,1269000,-2448000,9153000,1508000,-26134000,12765000,78000
76,Stock Based Compensation,- -,- -,- -,- -,865000,4075000,2520000,1211000,5160000,23075000,14617000,42209000,66414000,87039000,115983000,95055000,111297000,124077000
77,Change in Working Capital,43155000,-208126000,-196892000,-66239000,-46027000,399610000,-181458000,-141369000,-114857000,-112404000,-910300000,-223244000,124383000,-69959000,-628503000,-254058000,4497886000,-204088000
78,Accounts Receivable,-7559000,-885000,1447000,2071000,2126000,-532000,-11000,-280000,-4592000,-3198000,-7256000,-14803000,-20983000,15050000,-15886000,-14104000,30797000,-1159998000
79,Inventory,23000,-10777000,-3932000,-8605000,12503000,629000,-3898000,-3471000,-3447000,-4034000,-261000,-4408000,-9184000,-17129000,-9052000,-6155000,10555000,-37481000
80,Accounts Payable,-1640000,3128000,43944000,-28232000,-18303000,-42036000,36023000,15928000,-1228000,7662000,315000,-50730000,-5755000,14047000,106387000,-58635000,-21419000,152026000
81,Other Working Capital,-224802000,-432928000,-629820000,-696059000,-742086000,-342476000,-523934000,-665303000,-780160000,-892564000,-1802864000,-2026108000,-1901725000,-1971684000,-2600187000,-2854245000,1643641000,521910000
82,Other Non-Cash Items,24485000,219479000,356198000,181529000,71103000,-589893000,383354000,160522000,123598000,214941000,881868000,343472000,-27403000,278152000,1064368000,430412000,-3905296000,1359907000
83,Cash Provided by Operating Activities,146329000,134690000,147504000,36331000,-23297000,50726000,418946000,356990000,398594000,475281000,635601000,1041178000,1239666000,1585741000,2075171000,1822605000,-2556243000,-2468009000
84,CAPEX,-740838000,-656657000,-809403000,-582837000,-163607000,-161838000,-977466000,-184797000,-303840000,-894851000,-1051974000,-1122734000,-1092091000,-1372214000,-1566796000,-1637170000,-946545000,-752843000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-827000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83519000,-36823000,-35694000,-1719000,-47085000,-31520000,-1033496000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2346000,64796000,289000,- -,770000000
88,Other Investing Activites,-743281000,-676171000,-756245000,-581578000,-2629000,-4735000,8526000,- -,- -,- -,314000,-750000,- -,664000,1011000,3774000,2703000,12295000
89,Cash Used for Investing Activites,-743281000,-676171000,-756245000,-581578000,-166236000,-166573000,-968940000,-184797000,-303840000,-894851000,-1878660000,-1206253000,-1128914000,-1404898000,-1502708000,-1680192000,-975362000,-1004044000
90,Debt Repayment,-505029000,-280440000,-809740000,-323464000,-1524095000,-1249064000,-955780000,-439959000,-859422000,-2393613000,-1688720000,-1569313000,-3744029000,-1916885000,-1721398000,-3813561000,-893857000,-2113063000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,473914000,- -,858000,2431000,- -,- -,- -,1541708000,2665843000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000000,-107256000,-49999000,-6342000,-678666000,-370799000,-15407000,-16687000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1075264000,709913000,1421595000,845472000,1859054000,1229346000,1510669000,271645000,751242000,2350236000,3042136000,1871899000,3693255000,1790227000,1815262000,4130972000,5946767000,1142125000
95,Cash Used/Provided by Financing Activities,570235000,429473000,611855000,522008000,334959000,-19718000,554889000,-168314000,-108180000,430537000,1271416000,196188000,-98342000,-133000000,-584802000,-53388000,6579211000,1678218000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-26717000,-112008000,3114000,-23239000,145426000,-135565000,4895000,3879000,-13426000,10967000,28357000,31113000,12410000,47843000,-12339000,89025000,3047606000,-1793835000
98,Cash at the End of Period,172424000,60416000,63530000,40291000,185717000,50152000,55047000,58926000,45500000,56467000,84824000,115937000,128347000,176190000,163851000,252876000,3300482000,1506647000
99,Cash at the Beginning of Period,199141000,172424000,60416000,63530000,40291000,185717000,50152000,55047000,58926000,45500000,56467000,84824000,115937000,128347000,176190000,163851000,252876000,3300482000
100,Free Cash Flow,-594509000,-521967000,-661899000,-546506000,-186904000,-111112000,-558520000,172193000,94754000,-419570000,-416373000,-81556000,147575000,213527000,508375000,185435000,-3502788000,-3220852000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1513761/000119312514062855/0001193125-14-062855-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104915001498/0001571049-15-001498-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104916012414/0001571049-16-012414-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000157104917001650/0001571049-17-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420418011097/0001144204-18-011097-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000114420419010508/0001144204-19-010508-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837020001661/0001558370-20-001661-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837021001998/0001558370-21-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1513761/000155837022002516/0001558370-22-002516-index.htm
102,false,,,,,,,,,,,,,,,,,,
