,https://roic.ai/company/CNTY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,7100000,6100000,13900000,12600000,11300000,9900000,9414000,7709000,7899000,8088000,11002000,10507000,21603000,25997000,4014000,4697000,4942000,4833000,4941000,20644000,17486000,14855000,27085000,32086000,30351000,99997000,63659000,59277000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2372000,2806000,2756000,3346000,- -,1000000,1000000,1000000,1000000,1659000,1000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1050000,666000,207000,380000,3906000,4289000,- -,- -,1219000,2054000,2145000,3634000,3476000,4834000,1705000,1522000,1545000,2447000,861000,555000
44,Other Non-Current Assets,1400000,3100000,1000000,800000,1100000,1000000,2552000,3383000,2431000,2960000,1191000,2941000,6546000,14811000,11744000,373000,336000,193000,843000,1347000,715000,272000,1337000,3169000,3279000,3117000,-5975000,-6261000
45,Total Non-Current Assets,12400000,14100000,27500000,28000000,30700000,30400000,45234000,40430000,45345000,48510000,61029000,83430000,156693000,176974000,104316000,95683000,113259000,109441000,110801000,158264000,157304000,152543000,171890000,190555000,223851000,647534000,586138000,562678000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13700000,17500000,32800000,32800000,34700000,34000000,56122000,44819000,51143000,54817000,71204000,123563000,197860000,198083000,150006000,135310000,136726000,136727000,137336000,190624000,187467000,187083000,217838000,274876000,278825000,726900000,680760000,703358000
48,Accounts Payable,700000,1000000,2100000,2200000,2500000,2200000,4489000,3512000,2309000,1979000,3548000,5504000,10625000,2292000,1076000,4920000,5151000,1237000,1305000,2460000,3441000,2692000,1864000,4765000,3304000,5200000,12857000,12651000
49,Short-Term Debt,300000,600000,- -,500000,800000,200000,7314000,1554000,1664000,2136000,2534000,1789000,20669000,8745000,8862000,1738000,4203000,9100000,372000,4195000,5272000,4123000,5583000,5697000,17482000,7553000,15176000,7911000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2651000,2277000,3100000,3413000,4803000,4799000,4371000,4661000,4815000,5570000,8575000,10766000,15089000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979000,533000,621000,1002000,2716000,376000,861000,- -
52,Other Current Liabilities,- -,- -,2000000,- -,- -,- -,- -,- -,1845000,2356000,2185000,2346000,4697000,12866000,22167000,4326000,4703000,11022000,11394000,20146000,18436000,15952000,20540000,22974000,26518000,43441000,31269000,39871000
53,Total Current Liabilities,1000000,1600000,4100000,2700000,3300000,2400000,11803000,5066000,5818000,6471000,8267000,9639000,35991000,23903000,32105000,10984000,14057000,21359000,13071000,26801000,28128000,23300000,28608000,34438000,50020000,56570000,60163000,60433000
54,Long-Term Debt,1300000,1800000,8200000,10100000,12200000,10500000,20314000,15991000,16531000,14913000,17970000,17934000,56036000,55919000,28501000,14739000,9305000,- -,3192000,29864000,32977000,32397000,50026000,51016000,42041000,436399000,437459000,486699000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000,215000,- -,- -,427000,1298000,1866000,2625000,2680000,3908000,3419000,3481000,- -,- -,- -,1013000,2874000,2915000
57,Other Non-Current Liabilities,-100000,-100000,- -,- -,100000,- -,- -,979000,788000,371000,- -,- -,- -,463000,303000,- -,- -,203000,237000,601000,517000,630000,620000,2104000,3381000,60843000,53281000,2954000
58,Total Non-Current Liabilities,1200000,1700000,8200000,10100000,12300000,10500000,20314000,16970000,17319000,15284000,18204000,18149000,56036000,56382000,29231000,16037000,11171000,2828000,6109000,34373000,36913000,36508000,50646000,53120000,45422000,498255000,493614000,492568000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62567000,52131000,31225000
61,Total Liabilities,2200000,3300000,12300000,12800000,15600000,12900000,32117000,22036000,23137000,21755000,26471000,27788000,92027000,80285000,61336000,27021000,25228000,24187000,19180000,61174000,65041000,59808000,79254000,87558000,95442000,554825000,553777000,553001000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,145000,145000,145000,145000,145000,226000,232000,237000,239000,239000,240000,240000,243000,244000,244000,244000,245000,294000,294000,295000,296000,296000
64,Retained Earnings,-3800000,-3200000,-4500000,-5000000,-3100000,-900000,2392000,4847000,7926000,11172000,15910000,20391000,28020000,32820000,19347000,30230000,31628000,34147000,38238000,44419000,45651000,57558000,66386000,72662000,76056000,56669000,8667000,29289000
65,Other Comprehensive Income/Loss,-300000,-700000,-1400000,-3000000,-4400000,-6300000,-8580000,-10667000,-1052000,2034000,4597000,2568000,2768000,7735000,-5147000,3570000,4982000,3291000,4569000,2008000,-3636000,-12704000,-12609000,-6127000,-14243000,-9442000,-6379000,-6430000
66,Other Total Stockholders Equity,15600000,18100000,26400000,28000000,26600000,28100000,30048000,28458000,20084000,19697000,19727000,- -,- -,- -,- -,74250000,74648000,74862000,75106000,75138000,76169000,77318000,78174000,113068000,114214000,115784000,115570000,- -
67,Total Stockholders Equity,11500000,14200000,20500000,20000000,19100000,21100000,24005000,22783000,27103000,33048000,40379000,91331000,100427000,111989000,87773000,108289000,111498000,112540000,118156000,121809000,118428000,122416000,132196000,179897000,176321000,163306000,118154000,141624000
68,Total Liabilities And Stockholders Equity,13700000,17500000,32800000,32800000,34700000,34000000,56122000,44819000,50240000,54803000,66850000,119119000,192454000,192274000,149109000,135310000,136726000,136727000,137336000,182983000,183469000,182224000,211450000,267455000,271763000,718131000,671931000,694625000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,903000,14000,4354000,4444000,5406000,5809000,897000,- -,- -,- -,- -,7641000,3998000,4859000,6388000,7421000,7062000,8769000,8829000,8733000
70,Total Liabilities & Equity,13700000,17500000,32800000,32800000,34700000,34000000,56122000,44819000,51143000,54817000,71204000,123563000,197860000,198083000,150006000,135310000,136726000,136727000,137336000,190624000,187467000,187083000,217838000,274876000,278825000,726900000,680760000,703358000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911147/000091114712000003/0000911147-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114713000004/0000911147-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114714000005/0000911147-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114715000008/0000911147-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114716000101/0000911147-16-000101-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114717000006/0000911147-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114718000007/0000911147-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114719000008/0000911147-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114720000011/0000911147-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114721000010/0000911147-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114722000008/0000911147-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3100000,600000,-1300000,-600000,1900000,2200000,3253000,2455000,3079000,3246000,4738000,4481000,7767000,5327000,-13473000,10883000,1022000,3021000,4091000,6181000,1232000,11907000,9215000,6259000,3394000,-19155000,-48002000,21778000
74,Depreciation and Amortization,900000,1300000,2000000,2900000,3100000,3500000,3841000,4645000,2398000,2781000,3068000,3797000,5320000,9989000,9082000,6138000,6125000,6144000,4757000,6599000,7835000,7999000,8349000,8945000,9399000,16747000,30195000,26762000
75,Deferred Income Tax,- -,300000,- -,- -,-500000,-100000,-446000,-207000,78000,199000,554000,-147000,-2303000,-1583000,-186000,980000,186000,-81000,-48000,-348000,-411000,-1305000,-196000,183000,-22000,110000,3448000,345000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000,-4000,33000,1028000,1641000,759000,669000,868000,1303000,-214000,2652000
77,Change in Working Capital,-500000,1500000,-600000,900000,-1400000,500000,-2115000,238000,657000,-144000,2072000,28586000,-25318000,-7970000,16379000,15058000,-19233000,-3483000,7537000,-7905000,-3524000,9205000,6100000,32543000,-44929000,17842000,11663000,2098000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,182000,-177000,-1798000,-1417000,-1449000,836000,-1462000,1614000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,23000,-35000,-72000,-211000,14000,-1000,-127000,-202000,-80000,349000,192000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303000,-360000,-961000,-396000,-196000,-531000,1533000,-4319000,4640000,-4939000
81,Other Working Capital,300000,1800000,1200000,2100000,700000,1200000,-915000,-677000,-20000,-164000,1908000,30494000,5176000,-2794000,13585000,28643000,9410000,5927000,13464000,5559000,2035000,11240000,17340000,49883000,4954000,22796000,34459000,- -
82,Other Non-Cash Items,- -,-5000000,2500000,-200000,1100000,-2300000,2529000,-693000,1184000,-261000,-1960000,-27217000,24028000,7773000,526000,-26314000,18716000,4896000,-7133000,2883000,1162000,-9773000,-1970000,-29153000,53619000,1933000,11915000,5555000
83,Cash Provided by Operating Activities,-2700000,-1300000,2600000,3000000,4200000,3800000,7062000,6438000,7396000,5821000,8472000,9500000,9494000,13536000,12328000,6745000,6816000,10696000,9200000,7443000,7322000,19674000,22257000,19446000,22329000,18780000,9005000,59190000
84,CAPEX,-500000,-600000,-2900000,-3400000,-5900000,-2600000,-12863000,-2994000,-4482000,-2585000,-4508000,-23152000,-57295000,-9440000,-2883000,-1798000,-9186000,-2835000,-3784000,-4746000,-16097000,-18875000,-7104000,-11525000,-56774000,-24038000,-10705000,-10012000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1858000,- -,- -,- -,- -,- -,-5135000,-2008000,- -,48479000,-9301000,- -,- -,-5743000,-1000000,- -,-19735000,-1494000,-977000,-96673000,5418000,-24000
86,Purchases of Investments,- -,-700000,-100000,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,-7112000,-74000,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,700000,- -,- -,1000000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1900000,-3000000,500000,600000,700000,772000,-268000,27000,-887000,-2542000,-489000,-4775000,358000,498000,160000,64000,21000,-366000,-428000,1591000,698000,10000,-375000,19000,25000,- -,44000
89,Cash Used for Investing Activites,-500000,600000,-5300000,-2900000,-6300000,-900000,-13941000,-3262000,-4455000,-3472000,-7050000,-23641000,-67205000,-18202000,-2459000,46841000,-18423000,-2814000,-4150000,-10917000,-16506000,-18177000,-26829000,-12996000,-57732000,-120686000,-5287000,-9992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24643000,-3723000,-4223000,-9248000,-6863000,-4717000,-7205000,-5165000,-5686000,-8339000,-61546000,-13188000,-4152000
91,Common Stock Issued,3300000,2100000,5900000,- -,- -,- -,- -,- -,- -,850000,31000,48500000,513000,707000,672000,- -,- -,- -,- -,- -,- -,- -,- -,34259000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1200000,-200000,-818000,-606000,-366000,-1237000,- -,- -,- -,- -,- -,-1769000,-141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-300000,-700000,-400000,-200000,-2400000,14374000,-7830000,-1134000,-2209000,1875000,-4589000,53307000,-11988000,-13176000,115000,58000,178000,3576000,13181000,12053000,11625000,20722000,669000,15492000,175415000,16317000,-561000
95,Cash Used/Provided by Financing Activities,3100000,1800000,5200000,-400000,- -,-2600000,13556000,-8436000,-1500000,-2596000,1906000,43911000,53820000,-11281000,-12504000,-26297000,-3806000,-4045000,-5672000,6318000,7336000,4420000,15557000,29242000,7153000,113869000,3129000,-4713000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-108000,-452000,267000,394000,354000,-1014000,1693000,-1172000,-1272000,404000,-118000,-106000,177000,-243000,-759000,-1292000,-1514000,1732000,-1910000,-2607000,1190000,-121000
97,Net Change In Cash,- -,- -,- -,- -,- -,300000,6569000,-5712000,1708000,147000,3682000,28756000,-2198000,-17119000,-3907000,29157000,-15531000,3731000,-445000,2601000,-2607000,4625000,9471000,37424000,-30160000,9356000,8037000,44364000
98,Cash at the End of Period,- -,- -,- -,- -,- -,2500000,9077000,3365000,5073000,4729000,8411000,37167000,34969000,17850000,7835000,36992000,21461000,25192000,24747000,27348000,24741000,29366000,38837000,76444000,46284000,55640000,63677000,108041000
99,Cash at the Beginning of Period,1000000,1000000,2000000,4600000,4200000,2200000,2508000,9077000,3365000,4582000,4729000,8411000,37167000,34969000,11742000,7835000,36992000,21461000,25192000,24747000,27348000,24741000,29366000,39020000,76444000,46284000,55640000,63677000
100,Free Cash Flow,-3200000,-1900000,-300000,-400000,-1700000,1200000,-5801000,3444000,2914000,3236000,3964000,-13652000,-47801000,4096000,9445000,4947000,-2370000,7861000,5416000,2697000,-8775000,799000,15153000,7921000,-34445000,-5258000,-1700000,49178000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911147/000091114712000003/0000911147-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114713000004/0000911147-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114714000005/0000911147-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114715000008/0000911147-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114716000101/0000911147-16-000101-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114717000006/0000911147-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114718000007/0000911147-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114719000008/0000911147-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114720000011/0000911147-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114721000010/0000911147-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114722000008/0000911147-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
