,https://roic.ai/company/CRON,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,-619475,-4150534,155053,-1307991,2217893,-13741254,1165937000,-73273000,-397135000
21,Income Before Tax Ratio,- -,3.1669,-Infinity,Infinity,-3.1723,0.6832,-1.1919,49.0921,-1.5684,-4.4380
22,Income Tax expense (Gain),- -,- -,- -,-123226,-422588,236978,359023,- -,1347000,-431000
23,Net Income,- -,-619475,-4150534,278280,-885404,1980915,-13927740,1166506000,-73137000,-397204000
24,Net Income ratio,- -,3.1669,-Infinity,Infinity,-2.1474,0.6102,-1.2080,49.1160,-1.5655,-4.4387
25,EPS,- -,-0.02,-0.13,0.01,-0.01,0.02,-0.08,3.76,-0.21,-1.07
26,EPS Diluted,- -,-0.02,-0.13,0.01,-0.01,0.01,-0.08,3.33,-0.21,-1.07
27,Weighted Average Shares Outstanding,- -,32236211,32236211,36411626,78248192,134803542,172269170,310067179,351576848,370390965
28,Weighted Average Shares Outstanding Diluted,- -,32236211,32236211,43694412,78248192,176789161,172269170,342811992,351576848,370390965
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1656472/000165647220000033/0001656472-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1656472/000165647221000009/0001656472-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1656472/000165647222000034/0001656472-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7288,685294,812386,2577344,7322465,23959825,1199693000,1078023000,886973000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,306347000,211766000,117684000
33,Cash and Short-Term Investments,- -,7288,685294,812386,2577344,7322465,23959825,1506040000,1289789000,1004657000
34,Net Receivables,- -,- -,617032,- -,309500,3632604,5797229,16534000,26044000,27832000
35,Inventory,- -,- -,17229,- -,2755171,9652485,15167067,38043000,44002000,32802000
36,Other Current Assets,- -,30000,39827,70437,374343,628231,2845752,12643000,12337000,14427000
37,Total Current Assets,- -,37288,1359382,882823,6016359,21235785,47769873,1573260000,1372172000,1079718000
38,PP&E,- -,- -,1123087,1945597,10506873,44669583,126202066,166494000,197375000,82952000
39,Goodwill,- -,- -,- -,282484,1333234,1425050,1315683,214492000,179522000,1098000
40,Intangible Assets,- -,- -,1387959,1161085,8337958,8912127,8247983,71235000,69720000,18079000
41,Intangible Assets,- -,- -,1387959,1443569,9671193,10337177,9563666,285727000,249242000,19177000
42,Investments,- -,1250249,4679664,6338339,5723287,4098608,3081430,557000,19235000,16764000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,21536,- -,-0,- -,5096070,64404000,87658000,199127000
45,Total Non-Current Assets,- -,1250249,7212246,9727505,25901353,59105368,143943232,517182000,553510000,318020000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1287537,8571628,10610328,31917711,80341153,191713105,2090442000,1925682000,1397738000
48,Accounts Payable,- -,202124,507981,765294,874637,6264811,11403567,35301000,42102000,11218000
49,Short-Term Debt,- -,- -,99064,767462,2975969,- -,15382187,427000,1322000,2711000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,180000,-0,144124,1927213,- -,6615126,297160000,163410000,40444000
53,Total Current Liabilities,- -,382124,607046,1676881,5777819,6264811,33400880,332888000,206834000,54373000
54,Long-Term Debt,- -,- -,- -,360311,- -,4267992,- -,6680000,8492000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000
56,Deferred Tax Liabilities,- -,- -,- -,140521,1083997,1126044,1358267,- -,- -,81000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-0,1568247,1844000,2188000,8927000
58,Total Non-Current Liabilities,- -,- -,- -,500832,1083997,5394036,2926514,8524000,10680000,9089000
59,Other Liabilities,- -,- -,- -,1001665,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,7107000,9814000,- -
61,Total Liabilities,- -,382124,607046,2177713,6861816,11658847,36327394,341412000,217514000,63462000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,11703503,10665077,24990941,66448509,165561698,561165000,569260000,- -
64,Retained Earnings,- -,-619475,-4684169,-3621485,-4624335,-2961431,-16677313,1137646000,1064509000,659416000
65,Other Comprehensive Income/Loss,- -,- -,728650,598650,1178848,699801,682804,27838000,42999000,49865000
66,Other Total Stockholders Equity,- -,- -,216597,790372,3510441,4495427,5718670,23234000,34596000,624995000
67,Total Stockholders Equity,- -,905413,7964582,8432615,25055895,68682306,155285860,1749883000,1711364000,1334276000
68,Total Liabilities And Stockholders Equity,- -,1287537,8571628,10610328,31917711,80341153,191613254,2091295000,1928878000,1397738000
69,Minority Interest,- -,- -,0,0,-0,0,99851,-853000,-3196000,- -
70,Total Liabilities & Equity,- -,1287537,8571628,10610328,31917711,80341153,191713105,2090442000,1925682000,1397738000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1656472/000165647220000033/0001656472-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1656472/000165647221000009/0001656472-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1656472/000165647222000034/0001656472-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-619475,-4150534,278280,-885404,1980915,-13927740,1166506000,-73137000,-397204000
74,Depreciation and Amortization,- -,- -,28108,81662,284760,792048,1842838,3913000,7045000,- -
75,Deferred Income Tax,- -,- -,- -,-123226,-422588,236978,359023,- -,1347000,- -
76,Stock Based Compensation,- -,- -,724377,- -,228269,1480716,3111532,11619000,15361000,- -
77,Change in Working Capital,- -,172124,534111,-1546394,1032597,14732435,-601981,1226003007,-33943000,-139993000
78,Accounts Receivable,- -,- -,- -,- -,-42050,-821471,-2219481,-702000,-4724000,- -
79,Inventory,- -,- -,918,- -,-1222578,-6707753,-3891985,-51888000,-28094000,- -
80,Accounts Payable,- -,- -,219193,340347,-2043347,5329622,5491068,13476000,4175000,- -
81,Other Working Capital,- -,218225,752336,-794058,238540,14970974,14368993,1240372000,- -,1025345000
82,Other Non-Cash Items,- -,328061,1431502,317034,-5055439,-23635019,2065972,-2538315007,-59130000,537197000
83,Cash Provided by Operating Activities,- -,-119290,-1432435,-992645,-4817803,-4411928,-7150356,-130274000,-142457000,- -
84,CAPEX,- -,- -,-959551,-1087750,-1133259,-33957058,-84261727,-38953000,-35391000,- -
85,Acquisitions Net,- -,- -,-2608625,- -,-4566699,-1663618,-455937,-225953000,- -,- -
86,Purchases of Investments,- -,-1407111,-2153653,- -,- -,-1803579,-82964,-299923000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,8651292,709970,19614000,100193000,- -
88,Other Investing Activites,- -,- -,-615707,36031,-258024,-2059642,-5360381,-58346000,-48631000,- -
89,Cash Used for Investing Activites,- -,-1407111,-6337536,-1051719,-5957982,-30832604,-89186729,-603272000,20150000,- -
90,Debt Repayment,- -,- -,- -,- -,-2372545,-3180915,- -,-65199000,-2414000,-13458000
91,Common Stock Issued,- -,1407656,9908172,1607727,13368007,49594000,107216434,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-105525,-216187,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,126033,-1353659,891933,1518935,-6600759,6319978,1922140000,-3051000,16000
95,Cash Used/Provided by Financing Activities,- -,1533689,8448987,2283474,12514396,39812326,113536413,1856941000,-5465000,-13442000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,52371000,6102000,- -
97,Net Change In Cash,- -,- -,679016,239110,1738612,4567793,17199327,1175766000,-121670000,-191050000
98,Cash at the End of Period,- -,7288,685294,812386,2577344,7322465,23959825,1199693000,1078023000,886973000
99,Cash at the Beginning of Period,- -,- -,6278,573276,838732,2754672,6760497,23927000,1199693000,1078023000
100,Free Cash Flow,- -,-119290,-2391986,-2080395,-5951062,-38368986,-91412083,-169227000,-177848000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1656472/000165647220000033/0001656472-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1656472/000165647221000009/0001656472-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1656472/000165647222000034/0001656472-22-000034-index.htm
102,false,,,,,,,,,,
