,https://roic.ai/company/IAA,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1278000000,- -,- -
94,Other Financing Activites,-59400000,-36300000,-138900000,-179200000,1136400000,-38000000,- -
95,Cash Used/Provided by Financing Activities,-70700000,-50100000,-155800000,-195100000,-182800000,-56300000,- -
96,Effect of Forex Changes on Cash,-600000,-1400000,900000,-1800000,-4700000,1000000,- -
97,Net Change In Cash,5200000,17400000,-8700000,26900000,-1200000,185700000,- -
98,Cash at the End of Period,24400000,41800000,33100000,60000000,47100000,232800000,- -
99,Cash at the Beginning of Period,19200000,24400000,41800000,33100000,48300000,47100000,- -
100,Free Cash Flow,99000000,70200000,146400000,223200000,202700000,240200000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1745041/000174504120000003/0001745041-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1745041/000174504121000004/0001745041-21-000004-index.htm,undefined
102,false,,,,,,,
