,https://roic.ai/company/ODII,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,621600,345459
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,621600,345459
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,251586,530383,1122951,577540
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,532,1116,1143,1272
64,Retained Earnings,184877,-1473292,- -,-6658153
65,Other Comprehensive Income/Loss,-4568,-9909,- -,- -
66,Other Total Stockholders Equity,4036,3027849,529970,9873345
67,Total Stockholders Equity,184877,1545764,531113,3216464
68,Total Liabilities And Stockholders Equity,436463,2076147,1654064,3794004
69,Minority Interest,- -,- -,-103149,- -
70,Total Liabilities & Equity,436463,2076147,1550915,3794004
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1781405/000173112220000606/0001731122-20-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1781405/000173112221000549/0001731122-21-000549-index.htm,https://www.sec.gov/Archives/edgar/data/1781405/000173112222000641/0001731122-22-000641-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,119012,-1458169,-2043108,-3141753
74,Depreciation and Amortization,3400,5341,111311,166535
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,- -,580178,623457,1159611
77,Change in Working Capital,-69245,864099,-907638,2542275
78,Accounts Receivable,-2170,690,-9397,4707
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-30959,- -
81,Other Working Capital,106696,970795,63157,2605432
82,Other Non-Cash Items,- -,-1052618,1439899,-3183623
83,Cash Provided by Operating Activities,53167,-1061169,-776079,-2456955
84,CAPEX,-25000,-367005,-686915,-32506
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,9250,2483,- -,- -
89,Cash Used for Investing Activites,-15750,-364522,-686915,-32506
90,Debt Repayment,- -,- -,- -,-46097
91,Common Stock Issued,- -,2445603,- -,4599055
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-20000,-200000,- -,- -
94,Other Financing Activites,- -,-46641,1040566,262063
95,Cash Used/Provided by Financing Activities,-20000,2198962,1040566,4815021
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,17417,773271,-422428,2325560
98,Cash at the End of Period,25011,798282,375854,2701414
99,Cash at the Beginning of Period,7594,25011,798282,375854
100,Free Cash Flow,28167,-1428174,-1462994,-2489461
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1781405/000173112220000606/0001731122-20-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1781405/000173112221000549/0001731122-21-000549-index.htm,https://www.sec.gov/Archives/edgar/data/1781405/000173112222000641/0001731122-22-000641-index.htm
102,false,,,,
