,https://roic.ai/company/AXU,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-9.5204,-6.2680,-1.3812,-1.0343,-1.9355,-1.4667,0.0679,0.0111,-1.0462,-2.3301,-0.4447,-0.5811,-0.8074,-0.4387,-0.4475,-7.7924,-0.9032
19,Total Other Income Expenses (Gains),- -,418260,1114000,984000,228000,178000,245000,7040000,101000,10000,-96000,2635000,2489000,1727000,4975000,-21754000,13579000
20,Income Before Tax,- -,- -,-4484000,-4949000,-11033000,-6629000,3309000,7979000,-62079000,-35608000,-6616000,-3967000,-6176000,-6994000,-8095000,-44087000,-5842000
21,Income Before Tax Ratio,- -,- -,-1.1063,-0.8628,-1.8964,-1.4284,0.0734,0.0942,-1.0445,-2.3295,-0.4512,-0.3492,-0.5755,-0.3518,-0.2772,-15.3828,-0.2717
22,Income Tax expense (Gain),- -,- -,-1996000,-981000,-1460000,-1410000,212000,4559000,-11629000,-2836000,-1107000,392000,1472000,1507000,820000,-5517000,-2696000
23,Net Income,-711486,-2685432,-2488000,-3968000,-9573000,-5219000,3097000,3420000,-50450000,-32772000,-5509000,-4359000,-7648000,-8501000,-8915000,-31234000,-3146000
24,Net Income ratio,-8.3483,-4.9992,-0.6139,-0.6918,-1.6454,-1.1245,0.0687,0.0404,-0.8489,-2.1439,-0.3757,-0.3837,-0.7126,-0.4276,-0.3052,-10.8981,-0.1463
25,EPS,-0.10,-0.15,-0.08,-0.11,-0.24,-0.11,0.05,0.06,-0.81,-0.50,-0.08,-0.05,-0.08,-0.08,-0.08,-0.24,-0.02
26,EPS Diluted,-0.10,-0.15,-0.08,-0.11,-0.24,-0.11,0.05,0.06,-0.81,-0.50,-0.08,-0.05,-0.08,-0.08,-0.08,-0.24,-0.02
27,Weighted Average Shares Outstanding,7197606,18122961,31193000,35086000,39404000,47331000,56675000,60256688,61968376,65100203,70092259,86475882,98486437,105034345,114158813,129551797,146773021
28,Weighted Average Shares Outstanding Diluted,7197606,18122961,31193000,35086000,39404000,47331000,58232000,61056862,61968376,65100203,70092259,86475882,98486437,105034345,114158813,129551797,146773021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364128/000106299308004288/0001062993-08-004288-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299309003464/0001062993-09-003464-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299310003077/0001062993-10-003077-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299311003781/0001062993-11-003781-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1364128/000106299315002155/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1364128/000127956917000639/0001279569-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000127956918000440/0001279569-18-000440-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000127956919000575/0001279569-19-000575-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000110465920032015/0001104659-20-032015-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2902314,11760752,21631000,13005000,10045000,24383000,50443000,23088000,8610000,8639000,8163000,20382000,17906000,8576000,6841000,23742000,9933000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1691000,728000,351000,405000,- -,- -
33,Cash and Short-Term Investments,2902314,11760752,21631000,13005000,10045000,24383000,50443000,23088000,8610000,8639000,8163000,22073000,18634000,8927000,7246000,23742000,9933000
34,Net Receivables,71993,1170228,1705000,1988000,2338000,2354000,6287000,9797000,4929000,3951000,2488000,2938000,2086000,6811000,6534000,1883000,4323000
35,Inventory,- -,- -,- -,- -,- -,- -,9656000,8700000,5260000,971000,82000,151000,646000,818000,1285000,4243000,2076000
36,Other Current Assets,579156,683769,595000,478000,2677000,3952000,481000,542000,437000,1566000,4496000,401000,1037000,878000,652000,1114000,3923000
37,Total Current Assets,3553463,13614749,23931000,15471000,15060000,30689000,66867000,42127000,19236000,15127000,15229000,25563000,22403000,17434000,15717000,30982000,20255000
38,PP&E,3875591,16277854,29293000,45958000,68626000,99613000,139201000,158081000,101657000,75707000,76575000,79816000,88955000,97459000,105555000,119188000,167077000
39,Goodwill,- -,- -,917000,917000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1214834,1135717,3510000,2862000,1446000,929000,- -,- -,321000,343000,316000,195000,115000,- -,- -,- -,- -
41,Intangible Assets,1214834,1135717,4427000,3779000,1446000,929000,629000,459000,321000,343000,316000,195000,115000,621000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,2699000,539000,597000,386000,- -,1027000,409000,924000,4241000,24000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2268757,11665950,12149000,1260000,4475000,4379000,3896000,8934000,9460000,13421000,10036000,12058000,11336000,17095000,23157000,17256000,23006000
45,Total Non-Current Assets,7359182,29079521,45869000,50997000,74547000,104921000,143726000,170173000,111977000,90068000,87313000,92069000,101433000,115584000,129636000,140685000,190107000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10912645,42694270,69800000,66468000,89607000,135610000,210593000,212300000,131213000,105195000,102542000,117632000,123836000,133018000,145353000,171667000,210362000
48,Accounts Payable,156338,1493638,2632000,3179000,- -,- -,3367000,9958000,1134000,1287000,923000,814000,1468000,3567000,2450000,7666000,8556000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406000,2855000,3056000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,151000,21000,23000,- -,2000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,245000,172000,1338000,447000,167000,87000,109000,884000,- -,- -
52,Other Current Liabilities,- -,65014,168000,- -,4576000,10020000,10381000,6197000,2614000,1170000,1643000,1139000,2434000,4328000,2976000,4865000,5211000
53,Total Current Liabilities,156338,1558652,2800000,3179000,4576000,10020000,13748000,16400000,3920000,3795000,3013000,2120000,3989000,8004000,6716000,15386000,16823000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1040000,4407000,2475000
55,Deferred Revenue,- -,- -,- -,- -,18210000,452000,520000,1732000,1234000,479000,272000,170000,109000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,777560,2755000,4721000,5239000,7995000,7272000,14095000,2775000,1411000,784000,1440000,3004000,3098000,4725000,- -,- -
57,Other Non-Current Liabilities,1690913,9442960,10267000,814000,1819000,32253000,53616000,33528000,22105000,22473000,23440000,23229000,16674000,5286000,6202000,6542000,4962000
58,Total Non-Current Liabilities,1690913,10220520,13022000,5535000,25268000,40700000,61408000,49355000,26114000,24363000,24496000,24839000,19787000,8384000,11967000,10949000,7437000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1446000,7262000,5531000
61,Total Liabilities,1847251,11779172,15822000,8714000,29844000,50720000,75156000,65755000,30034000,28158000,27509000,26959000,23776000,16388000,18683000,26335000,24260000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9324240,- -,- -,- -,- -,- -,153670000,155042000,157983000,164708000,168585000,186952000,202389000,212903000,229112000,270431000,313138000
64,Retained Earnings,-711486,-3396918,-5885000,-9853000,-19426000,-24645000,-30098000,-24955000,-75405000,-108177000,-113686000,-118045000,-125693000,-121798000,-130713000,-161947000,-165093000
65,Other Comprehensive Income/Loss,- -,2627501,7662000,7998000,8077000,-2860000,-35000,-19000,-232000,-184000,-712000,-464000,-1131000,-1716000,-1282000,738000,800000
66,Other Total Stockholders Equity,452640,- -,- -,- -,- -,- -,11900000,- -,18833000,20690000,20846000,22230000,24495000,27241000,29553000,36110000,37257000
67,Total Stockholders Equity,9065394,30915098,53978000,57754000,59763000,84890000,135437000,146545000,101179000,77037000,75033000,90673000,100060000,116630000,126670000,145332000,186102000
68,Total Liabilities And Stockholders Equity,10912645,42694270,69800000,66468000,89607000,135610000,210593000,212300000,131213000,105195000,102542000,117632000,123836000,133018000,145353000,171667000,210362000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10912645,42694270,69800000,66468000,89607000,135610000,210593000,212300000,131213000,105195000,102542000,117632000,123836000,133018000,145353000,171667000,210362000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364128/000106299308004288/0001062993-08-004288-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299309003464/0001062993-09-003464-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299310003077/0001062993-10-003077-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299311003781/0001062993-11-003781-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1364128/000106299315002155/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1364128/000127956917000639/0001279569-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000127956918000440/0001279569-18-000440-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000127956919000575/0001279569-19-000575-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000110465920032015/0001104659-20-032015-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-711486,-2685432,-2488000,-3968000,-9573000,-5219000,3097000,3420000,-50450000,-32772000,-5509000,-4359000,-7648000,- -,-8915000,-31234000,-3146000
74,Depreciation and Amortization,-125441,381933,597000,1024000,914000,772000,1319000,2938000,3052000,2949000,2246000,2076000,1634000,- -,2250000,1566000,- -
75,Deferred Income Tax,- -,- -,-2208000,-794000,-1460000,-1410000,212000,4110000,-11854000,-2854000,-1083000,390000,1472000,- -,820000,-5517000,-2696000
76,Stock Based Compensation,- -,- -,- -,- -,561000,980000,2950000,2992000,2419000,1038000,645000,1095000,2359000,- -,4075000,3739000,3888000
77,Change in Working Capital,-115409,637648,-956000,-1226000,-155000,370000,3528000,-336000,-1444000,1094000,688000,-709000,1177000,- -,-848000,-2315000,296000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-2104000,-533000,908000,20000,-8000,-15000,-129000,- -,-51000,-1247000,1390000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,10035000,-811000,-7195000,161000,-199000,-252000,599000,- -,- -,- -,- -
81,Other Working Capital,-39783,- -,- -,-206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000,- -,-90000,- -
82,Other Non-Cash Items,516767,847309,2026000,852000,5034000,-258000,-84000,933000,61684000,29822000,307000,-3101000,-3048000,- -,-4601000,18058000,-7414000
83,Cash Provided by Operating Activities,-435569,-818542,-3029000,-4112000,-4679000,-4765000,11022000,14057000,3407000,-723000,-2706000,-4608000,-4054000,- -,-7219000,-15703000,-9072000
84,CAPEX,-50762,-2257123,-11882000,-14326000,-23989000,-24603000,-55169000,-33486000,-22109000,-6487000,-2077000,-5344000,-9137000,- -,-7720000,-16974000,-51702000
85,Acquisitions Net,- -,-980357,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-367000,12100000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407000,-28000,-238000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1778000,2003000,- -,- -,- -,- -
88,Other Investing Activites,-143380,-8833655,-43000,1044000,-5007000,-1346000,3717000,216000,-530000,60000,692000,1882000,-195000,- -,-12000,-256000,8848000
89,Cash Used for Investing Activites,-150805,-12071135,-11925000,-13282000,-28996000,-25949000,-51452000,-33270000,-22639000,-6427000,-1385000,-1684000,-7329000,- -,-8127000,-5368000,-42854000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-599000,-1224000,-3604000
91,Common Stock Issued,3646880,23141684,26127000,9379000,13000000,35225000,41000000,- -,7035000,8068000,3962000,13008000,9043000,- -,12135000,38640000,40452000
92,Common Stock Repurchased,- -,- -,- -,- -,-583000,-3047000,- -,- -,-1869000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-158192,-1393569,-1303000,-611000,18298000,12874000,25490000,560000,-412000,-889000,-347000,5503000,-136000,- -,2075000,219000,1269000
95,Cash Used/Provided by Financing Activities,3488688,21748115,24824000,8768000,30715000,45052000,66490000,560000,4754000,7179000,3615000,18511000,8907000,- -,13611000,37635000,38117000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3488688,8858438,9870000,-8626000,-2960000,14338000,26060000,-18653000,-14478000,29000,-476000,12219000,-2476000,- -,-1735000,16901000,-13809000
98,Cash at the End of Period,2902314,11760752,21631000,13005000,10045000,24383000,50443000,23088000,8610000,8639000,8163000,20382000,17906000,- -,6841000,23742000,9933000
99,Cash at the Beginning of Period,- -,2902314,11761000,21631000,13005000,10045000,24383000,41741000,23088000,8610000,8639000,8163000,20382000,- -,8576000,6841000,23742000
100,Free Cash Flow,-486331,-3075665,-14911000,-18438000,-28668000,-29368000,-44147000,-19429000,-18702000,-7210000,-4783000,-9952000,-13191000,- -,-14939000,-32677000,-60774000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364128/000106299308004288/0001062993-08-004288-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299309003464/0001062993-09-003464-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299310003077/0001062993-10-003077-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000106299311003781/0001062993-11-003781-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1364128/000106299315002155/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1364128/000127956917000639/0001279569-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1364128/000127956918000440/0001279569-18-000440-index.html,- -,https://www.sec.gov/Archives/edgar/data/1364128/000110465920032015/0001104659-20-032015-index.html,- -,- -
102,Forex Rate,0.8159,0.8951,0.9387,0.9793,0.86,0.9394,1.0379,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
