,https://roic.ai/company/EVBN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,9799815,11072851,11851787,12554843,15070769,15647175,15212415,15330163,17708000,22883000,26544000,28837000,29151000,30701000,31417000,32715000,33377000,32404000,34715000,35628000,39955000,47748000,57612000,64740000,68833000,77580000
13,Interest Expense (Gain),3912761,4588056,4946730,5043316,6490680,6537154,4816722,4483643,5111000,8569000,11697000,12162000,9883000,8107000,6922000,6727000,5597000,4057000,3616000,3824000,4707000,5731000,9505000,12685000,9051000,4795000
14,Depreciation and Amortization,344086,356663,381115,- -,- -,1316806,1062390,1246006,1670000,1901000,1814000,1718000,1693000,1712000,1856000,1470000,2015000,1848000,1573000,1513000,1554000,1762000,1825000,2049000,533000,1260000
15,EBITDA,6459489,7470994,8106196,7677586,10494916,11541287,10678417,11022996,12686000,17050000,20275000,18299000,18573000,9923000,15856000,16892000,19491000,15493000,14080000,16947000,16456000,23181000,29969000,36976000,22392000,37981000
16,EBITDA ratio,6.5182,7.3922,5.9161,0.8671,0.8583,0.8463,0.6729,0.5954,0.5993,0.6888,0.7914,0.7171,0.6002,0.2707,0.4271,0.4397,0.4800,0.3825,0.3403,0.3723,0.3708,0.4443,0.4885,0.5281,0.2940,0.4146
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,2202642,2526275,2778351,2634270,4004236,3687327,4799305,5293347,5905000,6580000,6764000,4419000,6997000,104000,7078000,8695000,11879000,9588000,8891000,11610000,10195000,15688000,18639000,22242000,12808000,31926000
21,Income Before Tax Ratio,2.2227,2.4996,2.0277,0.2975,0.3275,0.2704,0.3024,0.2859,0.2789,0.2658,0.2640,0.1732,0.2261,0.0028,0.1906,0.2263,0.2926,0.2367,0.2149,0.2550,0.2297,0.3007,0.3038,0.3176,0.1682,0.3485
22,Income Tax expense (Gain),588000,724000,735000,607000,781250,1108000,1193258,1224000,1396000,1761000,1843000,1051000,2089000,-603000,2238000,2583000,3747000,1731000,704000,3767000,1923000,5209000,2283000,5228000,1562000,7883000
23,Net Income,1614642,1802275,2043351,2027270,3222986,2579327,3606047,4069347,4509000,4819000,4921000,3368000,4908000,707000,4840000,6112000,8132000,7857000,8187000,7843000,8272000,10479000,16356000,17014000,11246000,24043000
24,Net Income ratio,1.6293,1.7833,1.4913,0.2290,0.2636,0.1891,0.2272,0.2198,0.2130,0.1947,0.1921,0.1320,0.1586,0.0193,0.1304,0.1591,0.2003,0.1940,0.1979,0.1723,0.1864,0.2008,0.2666,0.2430,0.1477,0.2624
25,EPS,0.78,0.87,0.99,0.98,1.51,0.96,1.34,1.51,1.66,1.77,1.81,1.23,1.78,0.25,1.34,1.49,1.95,1.87,1.95,1.84,1.92,2.19,3.37,3.47,2.08,4.44
26,EPS Diluted,0.78,0.87,0.99,0.98,1.51,0.96,1.34,1.51,1.66,1.77,1.80,1.23,1.78,0.25,1.34,1.49,1.95,1.85,1.92,1.82,1.90,2.16,3.32,3.42,2.08,4.44
27,Weighted Average Shares Outstanding,2065084,2065084,2064673,2064565,2135273,2674271,2691957,2701493,2725469,2722644,2725601,2743595,2754489,2793612,3613746,4102142,4171473,4201362,4203684,4257179,4300634,4782505,4852868,4929283,5411384,5482756
28,Weighted Average Shares Outstanding Diluted,2065084,2065084,2064673,2064565,2135273,2674271,2691957,2701706,2727363,2723960,2727331,2743595,2756278,2793612,3616551,4104533,4171473,4240144,4264406,4307368,4358517,4860828,4933743,4929283,5411384,5540924
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842518/000095015206002429/0000950152-06-002429-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015207002583/0000950152-07-002583-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015208002167/0000950152-08-002167-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015209002667/0000950152-09-002667-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095012310021590/0000950123-10-021590-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095012311022204/0000950123-11-022204-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000119312512098751/0001193125-12-098751-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000156276213000070/0001562762-13-000070-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251814000016/0000842518-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251815000019/0000842518-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251816000092/0000842518-16-000092-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251817000028/0000842518-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251818000031/0000842518-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251819000010/0000842518-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251820000010/0000842518-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251821000010/0000842518-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251822000009/0000842518-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7112231,10336532,7300780,8528778,8108912,7835530,20635957,8607038,9108000,15635000,12592000,12604000,9151000,12983000,13722000,14678000,90477000,41954000,10898000,22621000,13084000,21330000,39915000,38857000,97604000,244785000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92063000,99665000,95533000,97141000,95222000,143818000,132104000,127922000,162396000,305959000
33,Cash and Short-Term Investments,7112231,10336532,7300780,8528778,8108912,7835530,20635957,8607038,9108000,15635000,12592000,12604000,9151000,12983000,13722000,14678000,182540000,141619000,106431000,119762000,108306000,165148000,172019000,166779000,260000000,550744000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2395000,2458000,2417000,2682000,5360000,11739000,9450000,8686000,13746000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,258993881,315966417,-984000,- -,- -,-269000,-115000,-604000,-255000,-3192000,-172526000,-129379000,-100064000,-110631000,-101163000,-163136000,-167472000,-175464000,1562502000,1313828000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,279629838,324573455,8124000,15635000,12592000,12335000,9036000,12379000,13467000,11486000,12409000,14698000,8784000,11813000,12503000,13751000,13997000,1000,1836248000,1864572000
38,PP&E,3748663,3827672,3696658,3834496,3776869,4122733,5348994,5981616,7747000,8151000,8743000,8366000,9885000,9281000,10841000,10477000,11368000,11163000,10224000,11051000,11310000,10564000,10485000,17474000,24587000,22615000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8101000,8101000,8101000,8101000,8101000,8101000,8101000,8406000,8553000,12992000,12545000,12713000,12702000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2068000,1168000,678000,796000,617000,518000,557000,527000,586000,609000,555000,3155000,1627000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,3732028,4121865,12389000,12367000,12301000,12553000,12946000,10169000,9269000,8779000,8897000,8718000,8619000,8658000,8933000,9139000,13601000,13100000,15868000,14329000
42,Investments,- -,- -,- -,- -,- -,- -,106671914,120556200,169879000,159952000,137730000,72410000,75755000,79018000,93332000,103783000,95807000,102049000,97132000,98758000,97659000,150334000,135032000,131530000,167412000,309124000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-106671914,-120556200,-177626000,-168103000,-146473000,-80776000,-85640000,-88299000,-104173000,503204000,508669000,567491000,621986000,698196000,871258000,957760000,1054068000,-80009000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,9081022,10103481,12389000,12367000,12301000,12553000,12946000,10169000,9269000,626243000,624741000,689421000,737961000,816663000,989160000,1127797000,1213186000,82095000,207867000,346068000
46,Other Assets,140898057,158542163,174120230,198788383,224549143,249153412,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2251982000,2556708000
47,Total Assets,140898057,158542163,174120230,198788383,224549143,249153412,288710860,334676936,20513000,28002000,24893000,24888000,21982000,22548000,22736000,637729000,637150000,704119000,746745000,828476000,1001663000,1141548000,1227183000,82096000,2044115000,2210640000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2951000,4697000,5241000,2963000,3665000,3818000,5866000,5888000,6579000,- -
49,Short-Term Debt,- -,- -,2225000,- -,- -,- -,- -,- -,- -,- -,24753000,33980000,30695000,19090000,13669000,3000000,10000000,9000000,13700000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1657000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,301400000,382300000,387000000,373847000,340020000,422905000,515910000,561531000,638600000,701549000,727803000,730759000,833558000,988966000,1162143000,1239365000,1294559000,- -,- -
53,Total Current Liabilities,- -,- -,2225000,- -,- -,- -,- -,301400000,382300000,387000000,398600000,374000000,453600000,535000000,575200000,641600000,714500000,741500000,749700000,836521000,992631000,1165961000,1245231000,1300447000,- -,- -
54,Long-Term Debt,- -,- -,7000000,5000000,4409068,9660748,8110964,25387573,79364000,81798000,35806000,25431000,29510000,38510000,33330000,30330000,20330000,11330000,11330000,21330000,39530000,99580000,21330000,21330000,81264000,69063000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-68064000,-37098000,-6000,-31000,-10000,-10000,-30000,-30000,-30000,-30000,-30000,-10000000,-28200000,-88250000,-10000000,-10000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,7000000,5000000,4409068,9660748,8110964,25387573,11300000,44700000,35800000,25400000,29500000,38500000,33300000,30300000,20300000,11300000,11300000,11330000,11330000,11330000,11330000,11330000,81264000,69063000
59,Other Liabilities,125387974,141502863,160271817,185503445,203779139,231853391,265959823,- -,- -,- -,- -,50826000,- -,- -,- -,60614000,40648000,- -,22621000,- -,- -,- -,- -,- -,1956474000,2095811000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4154000,5694000,5210000
61,Total Liabilities,125387974,141502863,155496817,180503445,199370071,222192643,257848859,301353458,393568000,431670000,434351000,399426000,483055000,573485000,608459000,671914000,734848000,752786000,761021000,847851000,1003961000,1177291000,1256561000,1311777000,1875210000,2026748000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,849475,849475,849475,849475,879801,1103234,1167081,1229620,1307000,1373000,1373000,1378000,1386000,1407000,2041000,2063000,2087000,2106000,2123000,2132000,2153000,2394000,2429000,2467000,2708000,2744000
64,Retained Earnings,3692659,4985249,6400764,7629839,9953780,11464273,11179871,11145068,10808000,11087000,14196000,15612000,18374000,17381000,20836000,25304000,30611000,37370000,42822000,47616000,52630000,59921000,73345000,85267000,90522000,108024000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,1942295,1917894,563000,-1387000,-1917000,16000,-537000,-108000,-473000,346000,101000,-1263000,-1508000,-1810000,-2424000,-3417000,-5353000,-2583000,-719000,-5671000
66,Other Total Stockholders Equity,10967949,11204576,11373174,9805624,14345491,14393262,16572754,19030896,22796000,25803000,25891000,26297000,26696000,27279000,40660000,41275000,42029000,42499000,42351000,43318000,44389000,59444000,61225000,63302000,76394000,78795000
67,Total Stockholders Equity,15510083,17039300,18623413,18284938,25179072,26960769,30862001,33323478,35474000,36876000,39543000,43303000,45919000,45959000,63064000,68988000,74828000,80712000,85788000,91256000,96748000,118342000,131646000,148453000,168905000,183892000
68,Total Liabilities And Stockholders Equity,140898057,158542163,174120230,198788383,224549143,249153412,288710860,334676936,429042000,468546000,473894000,442729000,528974000,619444000,671523000,740902000,809676000,833498000,846809000,939107000,1100709000,1295633000,1388207000,1460230000,2044115000,2210640000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-408529000,-440544000,-449001000,-417841000,-506992000,-596896000,-648787000,-103173000,-172526000,-129379000,-100064000,-110631000,-99046000,-154085000,-161024000,-1378134000,- -,- -
70,Total Liabilities & Equity,140898057,158542163,174120230,198788383,224549143,249153412,288710860,334676936,20513000,28002000,24893000,24888000,21982000,22548000,22736000,637729000,637150000,704119000,746745000,828476000,1001663000,1141548000,1227183000,82096000,2044115000,2210640000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842518/000095015206002429/0000950152-06-002429-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015207002583/0000950152-07-002583-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015208002167/0000950152-08-002167-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015209002667/0000950152-09-002667-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095012310021590/0000950123-10-021590-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095012311022204/0000950123-11-022204-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000119312512098751/0001193125-12-098751-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000156276213000070/0001562762-13-000070-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251814000016/0000842518-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251815000019/0000842518-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251816000092/0000842518-16-000092-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251817000028/0000842518-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251818000031/0000842518-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251819000010/0000842518-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251820000010/0000842518-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251821000010/0000842518-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251822000009/0000842518-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1614642,1802275,2043351,2027270,3222986,2579327,3606047,4069347,4509000,4819000,4921000,3368000,4908000,707000,4840000,6112000,8132000,7857000,8187000,7843000,8272000,10479000,16356000,17014000,11246000,24043000
74,Depreciation and Amortization,344086,356663,381115,- -,- -,1316806,1062390,1246006,1670000,1901000,1814000,1718000,1693000,1712000,1856000,1470000,2015000,1848000,1573000,1513000,1554000,1762000,1825000,2049000,533000,1260000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-171000,-54000,-102000,-291000,-144000,-700000,-1357000,-1352000,-322000,539000,-372000,-1460000,980000,-71000,3150000,3600000,-686000,- -,1529000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305000,352000,465000,495000,553000,623000,791000,937000,- -,947000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,279629838,-256456383,-397349455,2811000,-14643000,24343000,-82899000,-78057000,-39112000,-68381000,-71977000,-24711000,-14114000,-83792000,-155420000,-172082000,-79024000,-69212000,1300446000,-5790000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,279629838,23173455,-374176000,-371365000,-386008000,-361665000,-444564000,-522621000,-561733000,-630114000,-702091000,-726802000,-740916000,-824708000,-980128000,-1152210000,-1231234000,-1300446000,- -,- -
82,Other Non-Cash Items,80064,-173702,-243738,170342,-1083977,1544741,-279878978,256464455,397285455,-331000,16378000,-19593000,87715000,87692000,43382000,71936000,75134000,29790000,16370000,81059000,156652000,169548000,81575000,70971000,-1304438000,-1477000
83,Cash Provided by Operating Activities,2038792,1985236,2180728,2197612,2139009,5440874,4419297,5152425,6061000,9098000,8179000,9692000,10717000,10697000,9614000,10815000,14148000,14764000,11021000,8098000,11540000,13480000,25123000,21073000,7787000,20512000
84,CAPEX,-1482935,-466472,-414541,-643470,-359547,-1119597,-1891860,-1004503,-2497000,-1238000,-1406000,-1261000,-2110000,-196000,-2767000,-726000,-2002000,-1448000,-580000,-1888000,-1452000,-483000,-1106000,-4640000,-5822000,-1033000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-62000,-254000,-12537000,-133000,-497000,-425000,-1433000,8419000,- -,- -,- -,- -,- -,- -,-325000,-275000,-5000000,- -,-6490000,-900000
86,Purchases of Investments,- -,- -,- -,-34111048,-30893486,-50170206,-74332460,-103648688,-101335000,-25217000,-15465000,-246163000,-83642000,-72010000,-89981000,-34102000,-35885000,-28221000,-17909000,-30698000,-28897000,-73336000,-52370000,-53624000,-96865000,-195596000
87,Sales/Maturities of Investments,22920780,27326418,34992525,18644071,23266720,39533118,65118097,89880520,48695000,32502000,37529000,312711000,80843000,69918000,75162000,23158000,43525000,18052000,21620000,27379000,25730000,14009000,67107000,57447000,84988000,42812000
88,Other Investing Activites,-36997316,-40930329,-52965077,-6768324,-12860669,-15545781,-20846196,-43765500,-30802000,-43532000,-31148000,-38194000,-89446000,-52727000,-37732000,-58765000,-4520000,-69578000,-47941000,-77258000,-167901000,-126438000,-91198000,-69065000,-189202000,132097000
89,Cash Used for Investing Activites,-15559471,-14070383,-18387093,-22235301,-20487435,-26182869,-30122559,-57787668,-95979000,-36380000,-9581000,27929000,-93678000,-46596000,-55318000,-70435000,1118000,-81195000,-44810000,-82465000,-172845000,-186523000,-82567000,-69882000,-213391000,-22620000
90,Debt Repayment,- -,- -,- -,-412234,-503340,- -,- -,- -,-3003000,-9601000,-2857000,-10666000,-127000,-11605000,-10921000,-9885000,- -,-8760000,- -,- -,- -,- -,- -,- -,- -,-675000
91,Common Stock Issued,- -,- -,113791,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,477000,13800000,360000,467000,270000,753000,659000,576000,15015000,1025000,1178000,717000,890000
92,Common Stock Repurchased,- -,- -,-174645,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000,- -,- -,- -,-124000,-1436000,-210000,-80000,-342000,- -,- -,- -,- -
93,Dividends Paid,-251173,-679580,-627836,-798196,-899045,-907711,-974759,-1344695,-1675000,-1764000,-1855000,-1952000,-2152000,-1700000,-1385000,-1644000,-2825000,-1098000,-2735000,-3049000,-3258000,-3819000,-4428000,-5092000,-5991000,-6541000
94,Other Financing Activites,14440828,15989028,13859303,25926117,17130945,22926324,35742661,42729916,94211000,46158000,3071000,-24991000,81787000,52586000,44949000,71745000,62891000,27620000,6151000,88690000,154530000,170435000,79432000,51665000,269625000,155615000
95,Cash Used/Provided by Financing Activities,14189655,15309448,13170613,24715687,15728560,22018613,34767902,41385221,89533000,34793000,-1641000,-37609000,79508000,39731000,46443000,60576000,60533000,17908000,2733000,86090000,151768000,181289000,76029000,47751000,264351000,149289000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,668976,3224301,-3035752,4677998,-2619866,1276618,9064640,-11250022,-385000,7511000,-3043000,12000,-3453000,3832000,739000,956000,75799000,-48523000,-31056000,11723000,-9537000,8246000,18585000,-1058000,58747000,147181000
98,Cash at the End of Period,7112231,10336532,7300780,11978778,9358912,10635530,19758727,8508705,8124000,15635000,12592000,12604000,9151000,12983000,13722000,14678000,90477000,41954000,10898000,22621000,13084000,21330000,39915000,38857000,97604000,244785000
99,Cash at the Beginning of Period,6443255,7112231,10336532,7300780,11978778,9358912,10694087,19758727,8509000,8124000,15635000,12592000,12604000,9151000,12983000,13722000,14678000,90477000,41954000,10898000,22621000,13084000,21330000,39915000,38857000,97604000
100,Free Cash Flow,555857,1518764,1766187,1554142,1779462,4321277,2527437,4147922,3564000,7860000,6773000,8431000,8607000,10501000,6847000,10089000,12146000,13316000,10441000,6210000,10088000,12997000,24017000,16433000,1965000,19479000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842518/000095015206002429/0000950152-06-002429-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015207002583/0000950152-07-002583-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015208002167/0000950152-08-002167-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095015209002667/0000950152-09-002667-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095012310021590/0000950123-10-021590-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000095012311022204/0000950123-11-022204-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000119312512098751/0001193125-12-098751-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000156276213000070/0001562762-13-000070-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251814000016/0000842518-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251815000019/0000842518-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251816000092/0000842518-16-000092-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251817000028/0000842518-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251818000031/0000842518-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251819000010/0000842518-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251820000010/0000842518-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251821000010/0000842518-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842518/000084251822000009/0000842518-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
