,https://roic.ai/company/MPC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),30000000,31000000,12000000,-26000000,-109000000,-179000000,-216000000,-318000000,-556000000,-625000000,-1003000000,-1247000000,-1365000000,-1483000000
20,Income Before Tax,1885000000,685000000,1023000000,3719000000,5238000000,3246000000,3835000000,4374000000,1822000000,3344000000,4568000000,4329000000,-13612000000,2817000000
21,Income Before Tax Ratio,0.0289,0.0150,0.0163,0.0472,0.0637,0.0324,0.0392,0.0607,0.0288,0.0447,0.0473,0.0349,-0.1951,0.0235
22,Income Tax expense (Gain),670000000,236000000,400000000,1330000000,1845000000,1113000000,1280000000,1506000000,609000000,-460000000,962000000,1074000000,-2430000000,264000000
23,Net Income,1215000000,449000000,623000000,2389000000,3389000000,2112000000,2524000000,2852000000,1174000000,3432000000,2780000000,2637000000,-9826000000,9738000000
24,Net Income ratio,0.0186,0.0098,0.0100,0.0304,0.0412,0.0211,0.0258,0.0396,0.0185,0.0459,0.0288,0.0213,-0.1408,0.0812
25,EPS,1.71,0.63,0.88,3.35,4.97,3.35,4.42,5.29,2.22,6.76,5.36,4.00,-15.28,15.34
26,EPS Diluted,1.70,0.63,0.87,3.33,4.95,3.32,4.39,5.26,2.21,6.70,5.28,3.97,-15.28,15.24
27,Weighted Average Shares Outstanding,712000000,712000000,712000000,712000000,680000000,630000000,570000000,538000000,528000000,507000000,518000000,659000000,649000000,605000000
28,Weighted Average Shares Outstanding Diluted,716000000,716000000,716000000,714000000,684000000,634000000,574000000,542000000,530000000,512000000,526000000,664000000,649000000,609000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1510295/000119312512088690/0001193125-12-088690-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000119312513084698/0001193125-13-084698-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029514000004/mpc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029515000007/mpc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029516000078/0001510295-16-000078-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029517000017/0001510295-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029518000024/0001510295-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029519000014/0001510295-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029520000006/0001510295-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029521000027/0001510295-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029522000011/0001510295-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,108000000,128000000,118000000,3079000000,4860000000,2292000000,1494000000,1127000000,887000000,3011000000,1687000000,1527000000,415000000,5291000000
32,Short-Term Investments,1024000000,864000000,2404000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5548000000
33,Cash and Short-Term Investments,1132000000,992000000,2522000000,3079000000,4860000000,2292000000,1494000000,1127000000,887000000,3011000000,1687000000,1527000000,415000000,10839000000
34,Net Receivables,2138000000,3543000000,4398000000,5461000000,4610000000,5559000000,4058000000,2927000000,3617000000,4695000000,5853000000,7872000000,5760000000,11034000000
35,Inventory,3302000000,3324000000,3071000000,3320000000,3449000000,4689000000,5642000000,5225000000,5656000000,5550000000,9837000000,10243000000,7999000000,8055000000
36,Other Current Assets,162000000,41000000,65000000,141000000,110000000,197000000,145000000,192000000,241000000,145000000,646000000,528000000,14113000000,568000000
37,Total Current Assets,6734000000,7900000000,10056000000,12001000000,13029000000,12737000000,11339000000,9471000000,10401000000,13401000000,18023000000,20170000000,28287000000,30496000000
38,PP&E,9959000000,11897000000,11724000000,12228000000,12643000000,13921000000,16261000000,25164000000,25765000000,26443000000,45058000000,48074000000,40556000000,38812000000
39,Goodwill,866000000,872000000,837000000,842000000,930000000,938000000,1566000000,4019000000,3587000000,3586000000,20184000000,20040000000,8256000000,8256000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3314000000,2928000000,2360000000,2135000000
41,Intangible Assets,866000000,872000000,837000000,842000000,930000000,938000000,1566000000,4019000000,3587000000,3586000000,23498000000,22968000000,10616000000,10391000000
42,Investments,382000000,365000000,312000000,302000000,321000000,463000000,865000000,3622000000,3827000000,4787000000,5898000000,6898000000,5422000000,5409000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,236000000,220000000,303000000,372000000,300000000,326000000,429000000,839000000,833000000,830000000,463000000,446000000,277000000,265000000
45,Total Non-Current Assets,11443000000,13354000000,13176000000,13744000000,14194000000,15648000000,19121000000,33644000000,34012000000,35646000000,74917000000,78386000000,56871000000,54877000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18177000000,21254000000,23232000000,25745000000,27223000000,28385000000,30460000000,43115000000,44413000000,49047000000,92940000000,98556000000,85158000000,85373000000
48,Accounts Payable,3345000000,5507000000,6453000000,8169000000,6785000000,8234000000,6661000000,4743000000,5593000000,8297000000,9366000000,11623000000,7803000000,13700000000
49,Short-Term Debt,- -,- -,- -,15000000,19000000,23000000,27000000,29000000,28000000,624000000,544000000,711000000,3351000000,1009000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1105000000,1231000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1422000000,1130000000,2167000000,1407000000,1399000000,1567000000,1891000000,1573000000,1525000000,1557000000,3306000000,3813000000,4509000000,3189000000
53,Total Current Liabilities,4767000000,6637000000,8620000000,9591000000,8203000000,9824000000,8579000000,6345000000,7146000000,10478000000,13216000000,16147000000,15663000000,17898000000
54,Long-Term Debt,2510000000,2601000000,3231000000,3292000000,3342000000,3373000000,6610000000,11896000000,10544000000,12322000000,26980000000,28127000000,29744000000,25895000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,703000000,1251000000,1367000000,1310000000,2050000000,2304000000,2014000000,3285000000,3861000000,2654000000,4864000000,6392000000,6203000000,5638000000
57,Other Non-Current Liabilities,1261000000,1593000000,1770000000,2047000000,1523000000,1552000000,1867000000,1914000000,2659000000,2765000000,3831000000,5751000000,4296000000,2361000000
58,Total Non-Current Liabilities,4474000000,5445000000,6368000000,6649000000,6915000000,7229000000,10491000000,17095000000,17064000000,17741000000,35675000000,40270000000,40243000000,33894000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2479000000,1511000000,1365000000
61,Total Liabilities,9241000000,12082000000,14988000000,16240000000,15118000000,17053000000,19070000000,23440000000,24210000000,28219000000,48891000000,56417000000,55906000000,51792000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4000000,4000000,4000000,4000000,7000000,7000000,7000000,10000000,10000000,10000000,10000000
64,Retained Earnings,- -,- -,- -,898000000,3880000000,5507000000,7515000000,9752000000,10206000000,12864000000,14755000000,15990000000,4650000000,12905000000
65,Other Comprehensive Income/Loss,-3899000000,-4448000000,-4900000000,-879000000,-464000000,-204000000,-313000000,-318000000,-234000000,-231000000,-144000000,-320000000,-512000000,-67000000
66,Other Total Stockholders Equity,12835000000,13620000000,13144000000,9482000000,8274000000,5613000000,3545000000,3796000000,3578000000,1393000000,20554000000,18014000000,18051000000,13358000000
67,Total Stockholders Equity,8936000000,9172000000,8244000000,9505000000,11694000000,10920000000,10751000000,13237000000,13557000000,14033000000,35175000000,33694000000,22199000000,26206000000
68,Total Liabilities And Stockholders Equity,18177000000,21254000000,23232000000,25745000000,26812000000,27973000000,29821000000,36677000000,37767000000,42252000000,84066000000,90111000000,78105000000,77998000000
69,Minority Interest,- -,- -,- -,- -,411000000,412000000,639000000,6438000000,6646000000,6795000000,8874000000,8445000000,7053000000,7375000000
70,Total Liabilities & Equity,18177000000,21254000000,23232000000,25745000000,27223000000,28385000000,30460000000,43115000000,44413000000,49047000000,92940000000,98556000000,85158000000,85373000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1510295/000119312512088690/0001193125-12-088690-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000119312513084698/0001193125-13-084698-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029514000004/mpc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029515000007/mpc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029516000078/0001510295-16-000078-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029517000017/0001510295-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029518000024/0001510295-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029519000014/0001510295-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029520000006/0001510295-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029521000027/0001510295-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029522000011/0001510295-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,1215000000,449000000,623000000,2389000000,3389000000,2112000000,2524000000,2852000000,1174000000,3432000000,2780000000,2637000000,-9826000000,9738000000
74,Depreciation and Amortization,606000000,670000000,941000000,891000000,995000000,1220000000,1326000000,1646000000,2001000000,2114000000,2490000000,3638000000,3375000000,3364000000
75,Deferred Income Tax,-123000000,225000000,308000000,123000000,492000000,23000000,-242000000,134000000,394000000,-1233000000,47000000,1023000000,-241000000,1920000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1211000000,-704000000,173000000,974000000,2416000000,-1913000000,-153000000,366000000,129000000,-332000000,1884000000,-784000000,8601000000,931000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1465000000,- -
79,Inventory,-198000000,-22000000,-76000000,-255000000,-115000000,-305000000,-786000000,80000000,-70000000,106000000,931000000,-366000000,1750000000,-33000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1967000000,1263000000,1436000000,2410000000,4826000000,2913000000,2760000000,3126000000,3255000000,2923000000,4807000000,4023000000,12624000000,3000000
82,Other Non-Cash Items,197000000,1815000000,172000000,-1068000000,-2800000000,1963000000,-345000000,-937000000,288000000,2628000000,-1043000000,2927000000,510000000,-11593000000
83,Cash Provided by Operating Activities,684000000,2455000000,2217000000,3309000000,4492000000,3405000000,3110000000,4061000000,3986000000,6609000000,6158000000,9441000000,2419000000,4360000000
84,CAPEX,-2787000000,-2891000000,-1217000000,-1185000000,-1369000000,-1206000000,-1480000000,-1998000000,-2892000000,-2732000000,-3578000000,-5374000000,-2787000000,-1464000000
85,Acquisitions Net,- -,- -,- -,-74000000,-190000000,-1515000000,-2821000000,-1218000000,- -,-249000000,-3822000000,-129000000,- -,- -
86,Purchases of Investments,-8636000000,-16778000000,-9754000000,-10382000000,- -,-151000000,-413000000,-331000000,-288000000,-805000000,-409000000,-1064000000,-485000000,-12708000000
87,Sales/Maturities of Investments,8148000000,16950000000,8063000000,12783000000,- -,77000000,9000000,4000000,26000000,65000000,16000000,98000000,137000000,6989000000
88,Other Investing Activites,668000000,75000000,763000000,153000000,107000000,39000000,162000000,102000000,213000000,327000000,123000000,208000000,-122000000,21980000000
89,Cash Used for Investing Activites,-2607000000,-2644000000,-2145000000,1295000000,-1452000000,-2756000000,-4543000000,-3441000000,-2941000000,-3394000000,-7670000000,-6261000000,-3257000000,14797000000
90,Debt Repayment,-15519000000,-13000000,-17556000000,-11378000000,-17000000,-21000000,-548000000,-2226000000,-3532000000,-942000000,-8032000000,-13073000000,-16411000000,-25837000000
91,Common Stock Issued,- -,- -,- -,1000000,515000000,48000000,247000000,33000000,787000000,519000000,24000000,10000000,11000000,106000000
92,Common Stock Repurchased,- -,- -,- -,- -,-1350000000,-2793000000,-2131000000,-965000000,-197000000,-2372000000,-3287000000,-1950000000,- -,-4654000000
93,Dividends Paid,- -,- -,- -,-160000000,-407000000,-484000000,-524000000,-613000000,-719000000,-773000000,-954000000,-1398000000,-1510000000,-1484000000
94,Other Financing Activites,17426000000,222000000,17474000000,9894000000,- -,33000000,3591000000,2784000000,2376000000,2477000000,12471000000,13035000000,17775000000,17450000000
95,Cash Used/Provided by Financing Activities,1907000000,209000000,-82000000,-1643000000,-1259000000,-3217000000,635000000,-987000000,-1285000000,-1091000000,222000000,-3376000000,-135000000,-14419000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16000000,20000000,-10000000,2961000000,1781000000,-2568000000,-798000000,-367000000,-240000000,2124000000,-1290000000,-196000000,-1113000000,4738000000
98,Cash at the End of Period,108000000,128000000,118000000,3079000000,4860000000,2292000000,1494000000,1127000000,887000000,3011000000,1725000000,1529000000,416000000,5294000000
99,Cash at the Beginning of Period,124000000,108000000,128000000,118000000,3079000000,4860000000,2292000000,1494000000,1127000000,887000000,3015000000,1725000000,1529000000,556000000
100,Free Cash Flow,-2103000000,-436000000,1000000000,2124000000,3123000000,2199000000,1630000000,2063000000,1094000000,3877000000,2580000000,4067000000,-368000000,2896000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1510295/000119312512088690/0001193125-12-088690-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000119312513084698/0001193125-13-084698-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029514000004/mpc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029515000007/mpc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029516000078/0001510295-16-000078-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029517000017/0001510295-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029518000024/0001510295-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029519000014/0001510295-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029520000006/0001510295-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1510295/000151029521000027/0001510295-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1510295/000151029522000011/0001510295-22-000011-index.htm
102,false,,,,,,,,,,,,,,
