,https://roic.ai/company/CM,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,141299000000,151033000000,179244000000,210232000000,237989015632,- -,- -,- -,- -,342207165109,351041804035,373195562058,371723934350,- -,432908901712,437634680134,417994000000,434128000000,441124000000,464394000000,476292000000,480582000000,544758000000,594393000000,668526000000,708593000000,782731000000,929466000000,1010013000000
47,Total Assets,- -,141299000000,151033000000,179244000000,210232000000,237989015632,281430004630,250331028395,267701797137,287473416918,273292834891,277147566926,278763716167,280369583186,1396000000,342177655851,353929773930,335944000000,352040000000,353699000000,393385000000,398389000000,414903000000,463309000000,501357000000,565264000000,597099000000,651604000000,769551000000,837683000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2985028554,2352949831,2602802315,2064751627,1437694704,1062903864,1308217508,1701499587,- -,1931699934,6552000000,6178000000,4066000000,3915000000,3284000000,3185000000,3148000000,3992000000,4141000000,4947000000,7267000000,8440000000,8656000000,8849000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1558882544,50022069,9137984,- -,- -,- -,- -,- -,- -,- -,- -,14313000000,17357000000,19712000000,23516000000,- -,- -,62653000000,70028000000,74119000000,69693000000,70826000000,64934000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338662378,49000000,130000000,29000000,45000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,130342000000,139157000000,166894000000,197602000000,222848000000,261036088902,232326028100,249303059701,269510248373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,130342000000,139157000000,166894000000,197602000000,222848000000,265580000000,234729000000,251915000000,271575000000,- -,- -,- -,- -,- -,- -,- -,20491000000,21423000000,23627000000,26800000000,- -,- -,66645000000,74169000000,79066000000,76960000000,79266000000,73590000000,- -
54,Long-Term Debt,- -,3003000000,3441000000,3671000000,3892000000,4893958597,3154962186,4494041489,4409077064,3999365180,3627725857,3196624027,3889295294,5701971898,- -,5526440261,6658249158,5157000000,4773000000,5138000000,57236000000,54030000000,43761000000,65076000000,62856000000,65286000000,77855000000,75404000000,79885000000,48131000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,- -,- -,- -,51000000,37000000,34000000,29000000,28000000,21000000,30000000,43000000,38000000,33000000,38000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,41403,1559037814,49958511,8922936,-365180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,3003000000,3441000000,3671000000,3892000000,4894000000,4714000000,4544000000,4418000000,3999000000,3627725857,3196624027,3889295294,5701971898,- -,5596440261,6672249158,5157000000,4773000000,5189000000,57273000000,54064000000,43790000000,65104000000,62877000000,65316000000,77898000000,75442000000,79918000000,48169000000
59,Other Liabilities,- -,- -,- -,- -,- -,9788148993,9428026856,- -,- -,- -,264588785047,266566002901,269429407462,274594403118,55318000000,334140570429,346585669072,306161000000,319432000000,317757000000,406820000000,434024000000,439910000000,440215000000,466392000000,520277000000,562921000000,609200000000,734544000000,840022000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1866000000,- -
61,Total Liabilities,- -,133345000000,142598000000,170565000000,201494000000,227742148993,270294026856,239272914521,256332622601,275572131408,260961059190,263369378874,265540112168,268892431220,55318000000,328544130168,339913419914,321495000000,336082000000,336195000000,376347000000,379960000000,396120000000,441756000000,477684000000,534027000000,561983000000,613024000000,728216000000,791853000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3087227414,3357510220,2826139966,2380446334,- -,2330905307,2631072631,3156000000,3156000000,2756000000,1706000000,1706000000,1031000000,1000000000,1000000000,1797000000,2250000000,2825000000,3575000000,4325000000
63,Common Stock,- -,3016000000,3200000000,3202000000,3055000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3133000000,6062000000,6240000000,6803000000,7376000000,7769000000,7753000000,7782000000,7813000000,8026000000,12548000000,13243000000,13591000000,13908000000,14351000000
64,Retained Earnings,- -,3060000000,3544000000,4122000000,4615000000,5623996620,6047075166,6090039723,6625038075,6773528011,6376947040,7420545958,7744452573,5666548589,7268000000,9017122316,5483405483,5156000000,6095000000,7605000000,7042000000,8402000000,9626000000,11433000000,13584000000,16101000000,18537000000,20972000000,22119000000,25793000000
65,Other Comprehensive Income/Loss,- -,-1098000000,- -,-1428000000,-1621000000,- -,- -,- -,- -,- -,- -,50112093,-375518166,-327075215,- -,-1092611863,-442520443,-369000000,-360000000,-487000000,264000000,309000000,105000000,1038000000,790000000,452000000,777000000,881000000,1435000000,1069000000
66,Other Total Stockholders Equity,- -,2976000000,1691000000,2783000000,2689000000,4622870019,5088902608,4968074151,4744136460,5127757499,- -,- -,- -,- -,48050000000,100374326,97211160,92000000,96000000,90000000,85000000,82000000,75000000,76000000,72000000,137000000,136000000,125000000,117000000,110000000
67,Total Stockholders Equity,- -,7954000000,8435000000,8679000000,8738000000,10246866639,11135977774,11058113874,11369174535,11901285510,12331775701,13778188052,13223603999,10730900933,55318000000,13488790086,13831168831,14275000000,15790000000,17340000000,16866000000,18252000000,18619000000,21360000000,23472000000,31035000000,34943000000,38394000000,41154000000,45648000000
68,Total Liabilities And Stockholders Equity,- -,141299000000,151033000000,179244000000,210232000000,237989015632,281430004630,250331028395,267701797136,287473416918,273292834891,277147566926,278763716167,279623332153,110636000000,342032920254,353744588745,335770000000,351872000000,353535000000,393213000000,398212000000,414739000000,463116000000,501156000000,565062000000,596926000000,651418000000,769370000000,837501000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,746251033,-109240000000,144735597,185185185,174000000,168000000,164000000,172000000,177000000,164000000,193000000,201000000,202000000,173000000,186000000,181000000,182000000
70,Total Liabilities & Equity,- -,141299000000,151033000000,179244000000,210232000000,237989015632,281430004630,250331028395,267701797137,287473416918,273292834891,277147566926,278763716167,280369583186,1396000000,342177655851,353929773930,335944000000,352040000000,353699000000,393385000000,398389000000,414903000000,463309000000,501357000000,565264000000,597099000000,651604000000,769551000000,837683000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045520/000120677403000020/0001206774-03-000020-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956703001453/0000909567-03-001453-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956704001738/0000909567-04-001738-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956705001967/t18394exv99wbw3xby.htm,https://www.sec.gov/Archives/edgar/data/1045520/000090956706002002/0000909567-06-002002-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000090956707001523/0000909567-07-001523-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956708001255/0000909567-08-001255-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000095012309068859/0000950123-09-068859-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000095012310111012/0000950123-10-111012-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312511328621/0001193125-11-328621-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312512493299/0001193125-12-493299-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312513462841/0001193125-13-462841-index.html,- -,https://www.sec.gov/Archives/edgar/data/1045520/000119312515393721/0001193125-15-393721-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1045520/000119312518337131/0001193125-18-337131-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312519306746/0001193125-19-306746-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312520308946/0001193125-20-308946-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312521345994/0001193125-21-345994-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,730000000,890000000,1015000000,1366000000,1551049148,1055872820,1028983375,2060615291,1685446754,652647975,2062508242,2199463545,-31880978,2646000000,3295809290,-2059884560,1174000000,2452000000,3079000000,3331000000,3403000000,3218000000,3576000000,4275000000,4699000000,5267000000,5096000000,3790000000,6429000000
74,Depreciation and Amortization,- -,218000000,234000000,241000000,256000000,230953387,294026856,367956451,359427353,358673226,364485981,295397600,280419410,225528398,206000000,252577807,245310245,403000000,375000000,356000000,357000000,354000000,813000000,435000000,462000000,542000000,657000000,838000000,1311000000,1017000000
75,Deferred Income Tax,- -,107000000,125000000,50000000,184000000,9012815,-96928538,2942475,-266524520,-539596889,-1141744548,308584993,138990490,251505491,- -,346230253,-1546416546,38000000,800000000,533000000,167000000,71000000,57000000,-61000000,-20000000,21000000,69000000,108000000,-228000000,-41000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,20000000,-21000000,12000000,11000000,7000000,7000000,5000000,7000000,5000000,5000000,7000000,31000000,16000000,14000000,19000000
77,Change in Working Capital,- -,328000000,735000000,874000000,-668000000,-9182931981,-367958018,501986170,19798964,-1199809554,213395639,-8587630226,-699829310,-167670327,-37000000,2156844196,8358585859,22229000000,-11741000000,-6061000000,-3351000000,785000000,-20763000000,15140000000,5255000000,-3197000000,3227000000,11536000000,53689000000,-11768000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203000000,-88000000,232000000,266000000,-108000000,96000000,-22000000,44000000,79000000,-112000000,-98000000,-34000000,-341000000,-122000000,97000000,46000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-311000000,-299000000,-339000000,42000000,-203000000,-95000000,-147000000,-32000000,-77000000,-72000000,90000000,205000000,138000000,-238000000,-419000000
81,Other Working Capital,- -,- -,- -,- -,- -,-9104914800,273035963,110931293,-82241852,-476114902,-545171339,-8880390347,2005608388,-341244539,222000000,3119856210,10138287639,20140000000,-12141000000,-6145000000,3955000000,9239000000,-1133000000,35429000000,28389000000,22636000000,18145000000,19306000000,60976000000,39170000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1098859315,-15241086588,4802118582,-8431312824,996667196,8811526479,4441513913,2904169715,-386114064,-2845000000,-1505195346,-4542492064,1079000000,127000000,634000000,1109000000,568000000,97000000,388000000,234000000,385000000,616000000,1041000000,1719000000,1012000000
83,Cash Provided by Operating Activities,- -,1383000000,1984000000,2180000000,1138000000,-6293057316,-14356073468,6703987053,-6257995736,1301380733,8900311526,-1479625478,4823213850,-108631480,- -,4566266200,434102934,24935000000,-7976000000,-1452000000,1620000000,5186000000,-16571000000,19483000000,10211000000,2457000000,9867000000,18635000000,60295000000,-3332000000
84,CAPEX,- -,-414000000,-286000000,-265000000,-200000000,-238980425,-797036580,-386935413,-377703320,-587208380,-235202492,-265066596,-235308461,-263313260,- -,-245955917,-149110149,-272000000,-220000000,-235000000,-309000000,-248000000,-251000000,-256000000,-170000000,- -,-255000000,-272000000,-309000000,-839000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307887637,-626168224,- -,- -,- -,-75000000,-1039636742,- -,- -,-297000000,54000000,-235000000,- -,-190000000,- -,- -,-2517000000,-315000000,-25000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,3619067737,- -,-11041047521,-9897959183,-27305189653,-33283489097,-27839905051,-12977322604,-8587790767,16108000000,-19625390219,-20423280423,-91663000000,-55392000000,-35674000000,-38537000000,-27451000000,-27974000000,-41145000000,-31625000000,-37864000000,-33011000000,-42304000000,-54075000000,-49896000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,14450995524,26204060615,6168138897,17527376607,45320872275,26660952130,16178980736,10031880978,- -,19189291458,23873256373,86577000000,82921000000,47519000000,41278000000,24693000000,47203000000,24900000000,24412000000,38215000000,25594000000,24712000000,34976000000,47229000000
88,Other Investing Activites,- -,-8690000000,-9682000000,-26304000000,-17144000000,-15674130404,-19448989042,-2352949831,-6920499543,-8787494048,-7207165110,-571014111,-6391124116,-3340417995,- -,-14334401949,-5808190957,-7445000000,-33767000000,-8227000000,- -,- -,- -,- -,- -,201000000,-255000000,-272000000,-309000000,-839000000
89,Cash Used for Investing Activites,- -,-9104000000,-9968000000,-26569000000,-17344000000,-12055062667,-4997993518,12810063263,-10650319829,-18873194731,4204049844,-1749967032,-3189465984,-1896327784,- -,-16057137452,-2507215007,-12803000000,-6755000000,3437000000,2197000000,-3006000000,18788000000,-16501000000,-7383000000,-1965000000,-7987000000,-17889000000,-19408000000,-3506000000
90,Debt Repayment,- -,- -,- -,- -,- -,-3943107,-1095076401,-262027365,-175144685,-231709252,-342679128,-483977318,-492562790,-510095643,103000000,-537319081,-339105340,-1419000000,-1395000000,-1099000000,-272000000,-561000000,-264000000,-1130000000,-1514000000,-55000000,-638000000,-1001000000,-340000000,-1313000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000000,2929000000,178000000,563000000,575000000,417000000,105000000,82000000,29000000,265000000,194000000,192000000,158000000,177000000,284000000
