,https://roic.ai/company/BYOC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4784513,-12857990,-11656030,- -,- -,-1351274,-1364622,-1170011,-1046819,-1009678,-1066574,-4296239,-5464520,- -,-9181054
24,Net Income ratio,-50.6378,-6.9758,-12.8959,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0832,- -,-2.1638
25,EPS,-0.02,-0.33,-0.25,- -,- -,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.02,-0.33,-0.25,- -,- -,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,24533552,38580296,46681672,- -,- -,511493910,818246107,998443368,998443368,998443368,999479701,1008065890,1251780336,2377723063,2377723063
28,Weighted Average Shares Outstanding Diluted,24533552,38580296,46681672,- -,- -,511493910,818246107,998443368,998443368,998443368,999479701,1008065890,1251780336,2377726063,2377726063
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1386049/000114420409018780/0001144204-09-018780-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000114420410021822/0001144204-10-021822-index.htm,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386049/000144586619000409/0001445866-19-000409-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000144586620000403/0001445866-20-000403-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000109690621000775/0001096906-21-000775-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000109690622000717/0001096906-22-000717-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,111247,100086,7205,- -,- -,196,- -,- -,- -,- -,- -,79890,680809,84262,570349
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,111247,100086,7205,- -,- -,196,- -,- -,- -,- -,- -,79890,680809,84262,570349
34,Net Receivables,26395,226091,10697,- -,- -,720,- -,- -,- -,- -,- -,- -,1365813,1169486,971095
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,152750,868950,590247,- -,- -,- -,- -,- -,- -,- -,- -,- -,24229,23123,65903
37,Total Current Assets,290392,1195127,608149,- -,- -,916,- -,- -,- -,- -,- -,79890,2070851,1276871,1607347
38,PP&E,611734,550814,533987,- -,- -,242182,142186,42190,- -,- -,- -,- -,1009757,39245,82997
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1299144,1299144,1299144
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5218342,- -,1987216
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6517486,1299144,3286360
42,Investments,- -,- -,- -,- -,- -,2163422,2163422,2163422,2163422,2163422,- -,1000000,- -,- -,250000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,22930,60067,62204,- -,- -,- -,- -,- -,- -,- -,- -,-428000,-358463,- -,- -
45,Total Non-Current Assets,634664,610881,596191,- -,- -,2405604,2305608,2205612,2163422,2163422,- -,572000,7168780,1338389,3619357
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,925056,1806008,1204340,- -,- -,2406520,2305608,2205612,2163422,2163422,- -,651890,9239631,2615260,5226704
48,Accounts Payable,725727,1510142,2278347,- -,- -,2553644,2556135,2559557,2563206,2571905,310169,79833,597777,892557,490654
49,Short-Term Debt,1004220,2400555,8186638,- -,- -,4090026,3703454,3703454,3703454,3703454,2150000,81136,2768762,3025308,1779159
50,Tax Payable,- -,- -,- -,- -,- -,1013336,1012935,1013438,1013438,1013438,1013438,1077163,- -,- -,- -
51,Deferred Revenue,- -,609987,756262,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,273237,2898185,2459216,- -,- -,6412573,7673792,8740386,9741366,10742346,7737807,14243324,4708306,3107676,3144959
53,Total Current Liabilities,2003184,7418869,13680463,- -,- -,13056243,13933381,15003397,16008026,17017705,10197976,14404293,8074845,7025541,5414772
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143478,3119785,66421,3077518
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1135980,- -,- -,- -,6020775,6020775,6020774,6020775,6020774,5758322,180,1048795,- -,- -
58,Total Non-Current Liabilities,- -,1135980,- -,- -,- -,6020775,6020775,6020774,6020775,6020774,5758322,143658,4168580,66421,3077518
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3285422,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107747,- -
61,Total Liabilities,2003184,8554849,13680463,- -,- -,19077018,19954156,21024171,22028801,23038479,15956298,14547951,12243425,10244542,8492290
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,250000,250000,- -,- -
63,Common Stock,36108,40936,58793,- -,- -,511244,998444,998444,998444,998444,1000000,1017450,1495004,3410355,13390287
64,Retained Earnings,-5028391,-17886381,-30279715,- -,- -,-40358436,-41723058,-42893069,-43939889,-44949567,-40293261,-42762860,-48227200,- -,-67808598
65,Other Comprehensive Income/Loss,- -,-320366,-517571,- -,- -,-1112438,-1212434,-1312430,-1354620,-1354620,- -,- -,-280901,- -,- -
66,Other Total Stockholders Equity,- -,11416970,18262370,- -,- -,24289132,24288500,24388496,24430686,24430686,23086963,27599349,43628053,-8382189,51152725
67,Total Stockholders Equity,-1078128,-6748841,-12476123,- -,- -,-16670498,-17648548,-18818559,-19865379,-20875057,-15956298,-13896061,-3135044,-4971834,-3265586
68,Total Liabilities And Stockholders Equity,925056,1806008,1204340,- -,- -,2406520,2305608,2205612,2163422,2163422,- -,651890,9108381,5272708,5226704
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131250,-2657448,- -
70,Total Liabilities & Equity,925056,1806008,1204340,- -,- -,2406520,2305608,2205612,2163422,2163422,- -,651890,9239631,2615260,5226704
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1386049/000114420409018780/0001144204-09-018780-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000114420410021822/0001144204-10-021822-index.htm,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386049/000144586619000409/0001445866-19-000409-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000144586620000403/0001445866-20-000403-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000109690621000775/0001096906-21-000775-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000109690622000717/0001096906-22-000717-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-4784513,-12857990,-11656030,- -,- -,-1351274,-1364622,-1170011,-1046819,-1009678,-1066574,-4296239,-5464520,- -,-9181
74,Depreciation and Amortization,417158,182802,198871,- -,- -,99996,99996,99996,42190,- -,- -,- -,646667,496199,106
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2255317,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1712792,-4510950,-6848572,- -,- -,16987,-878054,-1070016,-1004629,-1009679,6819729,-4126427,8320409,255324,1941245
78,Accounts Receivable,- -,-199697,21274,- -,- -,- -,- -,- -,- -,- -,- -,- -,-271285,178328,198
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,784415,355147,- -,- -,-2015,2491,3422,3650,8699,20732,147137,25635,295391,-402
81,Other Working Capital,-1712792,-6223742,-13072314,- -,- -,-13055327,-13933381,-15003397,-16008026,-17017705,-10197976,-14324403,-6003994,-5748670,-3807425
82,Other Non-Cash Items,3172313,12052643,9221570,- -,- -,1234487,2142484,2140031,2009258,2019357,-5753155,7802556,-3300138,-1640173,-1934018
83,Cash Provided by Operating Activities,-2907834,-5133495,-6828844,- -,- -,196,-196,- -,- -,- -,- -,-620110,202418,-888650,-1848
84,CAPEX,-149698,-122310,-96155,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2743201,-16230,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241702,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-509935,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250
89,Cash Used for Investing Activites,-149698,-122310,-606090,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-2501499,-16230,-250
90,Debt Repayment,- -,-661500,-1657947,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -
91,Common Stock Issued,2014470,721966,820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1225000,5791232,8180000,- -,- -,- -,- -,- -,- -,- -,- -,950000,2900000,403803,2584
95,Cash Used/Provided by Financing Activities,3114470,5851698,7342053,- -,- -,- -,- -,- -,- -,- -,- -,800000,2900000,403803,2584
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,56938,-11161,-92881,- -,- -,- -,- -,- -,- -,- -,- -,- -,600919,-501077,-83692
98,Cash at the End of Period,111247,100086,7205,- -,- -,196,- -,- -,- -,- -,- -,79890,680809,84262,570
99,Cash at the Beginning of Period,54309,111247,100086,- -,- -,- -,196,- -,- -,- -,- -,- -,79890,585339,84262
100,Free Cash Flow,-3057532,-5255805,-6924999,- -,- -,196,-196,- -,- -,- -,- -,-620110,-2540783,-904880,-1848
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1386049/000114420409018780/0001144204-09-018780-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000114420410021822/0001144204-10-021822-index.htm,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386049/000144586619000409/0001445866-19-000409-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000144586620000403/0001445866-20-000403-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000109690621000775/0001096906-21-000775-index.htm,https://www.sec.gov/Archives/edgar/data/1386049/000109690622000717/0001096906-22-000717-index.htm
102,false,,,,,,,,,,,,,,,
