,https://roic.ai/company/CPG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.2730,0.6411,0.4786,0.3786,0.3087,0.4466,0.3556,0.7060,0.4978,0.5418,0.5932,0.7743,0.6437,0.9074,0.7782,0.4873,0.6641,0.5763,0.5879,0.8183,1.4274
17,Operating Income,- -,- -,40102767,- -,77066000,83366000,- -,- -,- -,- -,- -,- -,360128000,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,0.5357,- -,0.3069,0.1950,- -,- -,- -,- -,- -,- -,0.1249,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-701814,-23046113,-58915000,-64424000,-22043000,-126167000,124173000,-51168000,-59244000,-60410000,38927000,-141646000,523414000,370100000,-271600000,18800000,-382300000,-330200000,405700000,2010000000
20,Income Before Tax,-275189,6285006,17056654,18645000,12642000,61323000,4400000,561441000,-14518000,55284000,258479000,208671000,218482000,812934000,-1444300000,-1313800000,-23600000,-3555400000,-1192300000,-3147500000,3163800000
21,Income Before Tax Ratio,-0.6644,0.3350,0.2279,0.1201,0.0504,0.1434,0.0067,0.4626,-0.0163,0.0373,0.1218,0.0937,0.0758,0.2350,-0.6109,-0.6014,-0.0083,-1.0707,-0.4144,-2.1153,1.1182
22,Income Tax expense (Gain),-92506,2985417,8036277,-12014000,-27800000,-16560000,21173000,77308000,16557000,7854000,57345000,18018000,73606000,304040000,-574100000,-381100000,100400000,-938500000,-159000000,-627600000,799700000
23,Net Income,-182683,3299589,9020377,30659000,38509000,68947000,-32167000,464102000,-31075000,20021000,201134000,190653000,144876000,508894000,-870200000,-932700000,-124000000,-2616900000,-1033300000,-2519900000,2364100000
24,Net Income ratio,-0.4411,0.1759,0.1205,0.1974,0.1534,0.1613,-0.0493,0.3824,-0.0349,0.0135,0.0948,0.0856,0.0503,0.1471,-0.3681,-0.4269,-0.0438,-0.7881,-0.3591,-1.6935,0.8355
25,EPS,-0.03,0.15,0.49,1.10,1.12,1.12,-0.32,3.74,-0.19,0.09,0.73,0.58,0.38,1.22,-1.82,-1.81,-0.23,-4.77,-1.89,-4.76,4.47
26,EPS Diluted,-0.03,0.14,0.49,1.09,1.12,1.05,-0.32,3.71,-0.19,0.08,0.72,0.57,0.37,1.21,-1.82,-1.81,-0.23,-4.77,-1.89,-4.76,4.47
27,Weighted Average Shares Outstanding,6975318,21848034,18396463,27763164,34383036,61559821,100521875,123993078,159799710,234850963,275375288,329410803,386253999,418688308,478259077,516336121,545162580,549109960,545674158,529339710,529339710
28,Weighted Average Shares Outstanding Diluted,7215418,22948570,18396463,28083610,34383036,65663810,100521875,125943757,162148589,238739058,278214171,331781233,387730738,421060244,478259077,516336121,545162580,549109960,545674158,529339710,529339710
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1545851/000110262415000363/exh99_2.htm,https://www.sec.gov/Archives/edgar/data/1545851/000110262416002276/0001102624-16-002276-index.html,- -,https://www.sec.gov/Archives/edgar/data/1545851/000162828018002571/0001628280-18-002571-index.html,https://www.sec.gov/Archives/edgar/data/1545851/000162828019002577/0001628280-19-002577-index.html,https://www.sec.gov/Archives/edgar/data/1545851/000162828020003011/0001628280-20-003011-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1359827,85158,81644,44000,317000,205000,- -,- -,- -,- -,- -,- -,15941000,3953000,24700000,13400000,62400000,15300000,56900000,8800000,13500000
32,Short-Term Investments,- -,- -,187645,- -,30191000,171000,1385000,538000,1092000,908000,646000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1359827,85158,269289,44000,30508000,376000,1385000,538000,1092000,908000,646000,- -,15941000,3953000,24700000,13400000,62400000,15300000,56900000,8800000,13500000
34,Net Receivables,856153,11382840,17505440,20645000,40733000,53279000,102800000,91994000,141887000,199977000,292811000,301770000,352519000,418688000,327000000,335700000,380200000,322600000,295900000,200500000,314300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,46421,98566,318064,339000,7098000,5095000,2669000,86201000,10536000,11785000,15058000,27941000,8658000,527120000,495600000,54400000,66700000,248700000,278700000,69400000,83100000
37,Total Current Assets,2262401,11566564,18092793,21028000,78339000,58750000,106854000,178733000,153515000,212670000,308515000,329711000,377118000,949761000,847300000,403500000,509300000,586600000,631500000,278700000,410900000
38,PP&E,11066775,62675376,165149032,317918000,635667000,1214155000,2429406000,2732467000,4939279000,7369201000,8038824000,11400625000,11947471000,14872571000,15494400000,14673000000,14697300000,10902800000,8210600000,4562100000,7827500000
39,Goodwill,- -,- -,- -,- -,68350000,68350000,68350000,68350000,100294000,204750000,207672000,251919000,251919000,251919000,251900000,251900000,251900000,244000000,230900000,223300000,211500000
40,Intangible Assets,- -,- -,21170610,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,21170610,58147000,68350000,68350000,68350000,68350000,100294000,204750000,207672000,251919000,251919000,251919000,251900000,251900000,251900000,244000000,230900000,223300000,211500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,233177000,62164000,151917000,95361000,100410000,97678000,79800000,58500000,91300000,27400000,22400000,2500000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388500000,422400000,192800000,602300000,745300000,1367900000,570100000
44,Other Non-Current Assets,- -,427500,1000000,225000,25941000,32211000,8822000,328138000,13165000,17317000,27518000,54018000,59875000,295156000,554100000,354300000,262700000,367300000,251100000,211400000,151200000
45,Total Non-Current Assets,11066775,63102876,187319642,376290000,729958000,1314716000,2506578000,3128955000,5285915000,7653432000,8425931000,11801923000,12359675000,15517324000,16768700000,15760100000,15496000000,12143800000,9460300000,6367200000,8760300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13329176,74669440,205412435,397318000,808297000,1373466000,2613432000,3307688000,5439430000,7866102000,8734446000,12131634000,12736793000,16467085000,17616000000,16163600000,16005300000,12730400000,10091800000,6645900000,9171200000
48,Accounts Payable,- -,- -,13945095,20322000,41406000,53053000,144141000,118038000,210515000,343691000,553176000,655191000,789305000,839228000,679400000,647200000,613300000,532900000,- -,- -,450700000
49,Short-Term Debt,- -,14000000,40220000,92720000,225710000,254438000,595984000,- -,- -,- -,- -,- -,- -,93504000,72000000,90600000,67200000,103200000,232300000,248000000,303600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1942759,15407040,2345067,11244000,33263000,16179000,86571000,20603000,42970000,106240000,128103000,43229000,208706000,158366000,84700000,104700000,183000000,52500000,543000000,421200000,277900000
53,Total Current Liabilities,1942759,29407040,56510162,124286000,300379000,323670000,826696000,138641000,253485000,449931000,681279000,698420000,998011000,1091098000,836100000,842500000,863500000,688600000,775300000,669200000,1032200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,918626000,519127000,1006451000,1099028000,1474589000,1734114000,2849570000,4427200000,3773700000,4087200000,4213300000,2854000000,2168100000,1808000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3600375,4805634,29631990,33081000,37388000,85890000,244007000,331639000,506732000,616371000,652533000,792665000,864608000,1348180000,995300000,651500000,550600000,- -,- -,- -,- -
57,Other Non-Current Liabilities,22567,363377,1972097,21403000,37865000,57526000,125726000,73970000,181608000,269884000,445050000,512846000,639987000,1017348000,1232400000,1304700000,1341100000,1215700000,1119800000,985800000,925700000
58,Total Non-Current Liabilities,3622942,5169011,31604087,54484000,75253000,143416000,369733000,1324235000,1207467000,1892706000,2196611000,2780100000,3238709000,5215098000,6654900000,5729900000,5978900000,5429000000,3973800000,3153900000,2733700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47200000,43600000,43400000,39800000,181200000,156500000,141400000
61,Total Liabilities,5565701,34576051,88114249,178770000,375632000,467086000,1196429000,1462876000,1460952000,2342637000,2877890000,3478520000,4236720000,6306196000,7491000000,6572400000,6842400000,6117600000,4749100000,3823100000,3765900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11307470000,11990305000,14157519000,15693200000,16400200000,16489600000,16546900000,16449000000,16451500000,16706900000
64,Retained Earnings,-182683,3116906,-7701872,-30782000,-67369000,-148699000,-424506000,-285225000,-769618000,-1407117000,-2023751000,-2755832000,-3692437000,-4357053000,-6239300000,-7432100000,-7751800000,-10567200000,-11636900000,-14166100000,-11848700000
65,Other Comprehensive Income/Loss,- -,- -,11120459,9324000,-133428000,-271939000,-514862000,-830345000,-223000,-2736000,7865000,-1279000,92641000,242378000,571800000,512500000,352200000,591700000,495500000,517700000,529600000
66,Other Total Stockholders Equity,7946158,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102755000,109564000,118045000,99300000,110600000,72900000,41400000,35100000,19700000,17500000
67,Total Stockholders Equity,7763475,40093389,117298186,218548000,425100000,906380000,1417003000,1844812000,3978478000,5523465000,5856556000,8653114000,8500073000,10160889000,10125000000,9591200000,9162900000,6612800000,5342700000,2822800000,5405300000
68,Total Liabilities And Stockholders Equity,13329176,74669440,205412435,397318000,800732000,1373466000,2613432000,3307688000,5439430000,7866102000,8734446000,12131634000,12736793000,16467085000,17616000000,16163600000,16005300000,12730400000,10091800000,6645900000,9171200000
69,Minority Interest,- -,- -,- -,- -,7565000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13329176,74669440,205412435,397318000,808297000,1373466000,2613432000,3307688000,5439430000,7866102000,8734446000,12131634000,12736793000,16467085000,17616000000,16163600000,16005300000,12730400000,10091800000,6645900000,9171200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1545851/000110262415000363/exh99_2.htm,https://www.sec.gov/Archives/edgar/data/1545851/000110262416002276/0001102624-16-002276-index.html,- -,https://www.sec.gov/Archives/edgar/data/1545851/000162828018002571/0001628280-18-002571-index.html,https://www.sec.gov/Archives/edgar/data/1545851/000162828019002577/0001628280-19-002577-index.html,https://www.sec.gov/Archives/edgar/data/1545851/000162828020003011/0001628280-20-003011-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-182683,3299589,9020377,30659000,38509000,68947000,-32167000,464102000,-31075000,20021000,201134000,190653000,144876000,508894000,-870200000,-932700000,-124000000,-2616900000,-1033300000,-2519900000,2364100000
74,Depreciation and Amortization,162124,5742362,18765388,40157000,66790000,138511000,242923000,315483000,423114000,716789000,939530000,1443982000,1558899000,2222556000,3138300000,2220100000,1741400000,5284700000,2713300000,4270500000,- -
75,Deferred Income Tax,-92506,2260300,8036277,-12014000,-27800000,-16560000,21173000,77308000,16557000,7854000,60753000,19436000,73433000,303973000,-572200000,-381300000,102100000,-938800000,-159400000,-627800000,799700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,41519000,65662000,69736000,51141000,67752000,69681000,58600000,57700000,42200000,19800000,14900000,-900000,6100000
77,Change in Working Capital,407216,-1362550,-3697900,-2447000,-14512000,-10691000,-21450000,-4860000,-19030000,-54349000,36078000,-29375000,-57349000,99372000,48900000,-29900000,18700000,37200000,-47500000,6200000,51600000
78,Accounts Receivable,-279930,-10850862,- -,- -,- -,- -,- -,- -,-8972000,-29852000,-57087000,70241000,-66537000,9744000,145600000,- -,-21600000,- -,-31800000,86700000,-111800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-5978000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29561000,800000,- -,1500000,- -,7300000,6500000,- -
82,Other Non-Cash Items,22567,590812,804925,10712000,31260000,-2781000,122126000,-267078000,220943000,60477000,15740000,-131894000,185721000,-748920000,153500000,590400000,-61700000,-38000000,254900000,-267600000,-1725700000
83,Cash Provided by Operating Activities,316718,10530513,32929067,67067000,94247000,177426000,332605000,584955000,652028000,816454000,1322971000,1543943000,1973332000,2455556000,1956900000,1524300000,1718700000,1748000000,1742900000,860500000,1495800000
84,CAPEX,- -,- -,-61296900,-112647000,-131078000,-475420000,-636822000,-472517000,-967311000,-1612124000,-1458432000,-1509029000,-1746873000,-2168667000,-1605200000,-1173400000,-1854700000,-1817800000,-1306200000,-698800000,-676100000
85,Acquisitions Net,- -,- -,-7713626,-76845000,-50320000,- -,- -,- -,- -,- -,- -,-1855721000,-127415000,-845597000,-23100000,-222300000,-42000000,227900000,901200000,508400000,-578900000
86,Purchases of Investments,- -,- -,- -,- -,-30191000,- -,-5912000,-220443000,-13899000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,740716,241000,- -,- -,1573000,17796000,574000,1465000,- -,- -,- -,- -,- -,- -,- -,162100000,- -,- -,12600000
88,Other Investing Activites,-8022370,-52779966,-516915,1092000,-23571000,10138000,36039000,-11520000,-931204000,-1547507000,-1458314000,-1435070000,-1610426000,-2271721000,-1770400000,-1138100000,-1918200000,-1899400000,-1246200000,-777400000,49000000
89,Cash Used for Investing Activites,-8022370,-52779966,-68786725,-188159000,-235160000,-465282000,-605122000,-686684000,-944529000,-1546042000,-1458314000,-3290791000,-1737841000,-3117318000,-1793500000,-1360400000,-1960200000,-1509400000,-345000000,-269000000,-1193400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-564865000,- -,- -,- -,- -,- -,-1100600000,-552500000,-90300000,-425000000,-1231500000,-662500000,-273400000
91,Common Stock Issued,9065479,26974784,41418378,122037000,93215000,425202000,253926000,124477000,1303002000,706420000,372965000,1946186000,- -,764987000,630700000,622800000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1033000,- -,- -,- -,- -,- -,-123400000,-12900000,-18200000
93,Dividends Paid,- -,- -,-8085196,-53877000,-74591000,-150277000,-245108000,-324821000,-445636000,-280547000,-314210000,-349152000,-422411000,-834745000,-750300000,-260300000,-197700000,-198500000,-22000000,-9400000,-47800000
94,Other Financing Activites,- -,14000000,2520962,52894000,122562000,12819000,263494000,302073000,- -,303715000,76588000,150642000,203214000,718010000,1073100000,14400000,579200000,335600000,21200000,45300000,42200000
95,Cash Used/Provided by Financing Activities,9065479,40974784,35854144,121054000,141186000,287744000,272312000,101729000,292501000,729588000,135343000,1747676000,-220230000,648252000,-147100000,-175600000,291200000,-287900000,-1355700000,-639500000,-297200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-828000,680000,1522000,4400000,400000,-700000,2200000,-600000,-100000,-500000
97,Net Change In Cash,9065479,-1274669,-3514,-38000,273000,-112000,272312000,101729000,292501000,729588000,135343000,1747676000,-220230000,-11988000,20700000,-11300000,49000000,-47100000,41600000,-48100000,4700000
98,Cash at the End of Period,1359827,85158,81644,44000,317000,205000,- -,- -,- -,- -,- -,- -,15941000,3953000,24700000,13400000,62400000,15300000,56900000,8800000,13500000
99,Cash at the Beginning of Period,- -,1359827,85158,82000,44000,317000,205000,- -,- -,- -,- -,- -,- -,15941000,4000000,24700000,13400000,62400000,15300000,56900000,8800000
100,Free Cash Flow,316718,10530513,-28367833,-45580000,-36831000,-297994000,-304217000,112438000,-315283000,-795670000,-135461000,1543943000,1973332000,2455556000,1956900000,1524300000,1718700000,1748000000,1742900000,860500000,819700000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1545851/000110262415000363/exh99_2.htm,https://www.sec.gov/Archives/edgar/data/1545851/000110262416002276/0001102624-16-002276-index.html,- -,https://www.sec.gov/Archives/edgar/data/1545851/000162828018002571/0001628280-18-002571-index.html,https://www.sec.gov/Archives/edgar/data/1545851/000162828019002577/0001628280-19-002577-index.html,https://www.sec.gov/Archives/edgar/data/1545851/000162828020003011/0001628280-20-003011-index.html,- -,- -
102,Forex Rate,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
