,https://roic.ai/company/FTCH,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,36691000,10265000,28804000,422049000,4488214000,2648641000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,119318000,191403000,214509000
61,Total Liabilities,- -,126116000,166155000,222962000,890047000,5266961000,3555898000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6192000,7086000,11994000,13584000,14168000,15231000
64,Retained Earnings,- -,-216901000,-329177000,-483357000,-826135000,-4010756000,-2366990000
65,Other Comprehensive Income/Loss,- -,-13014000,39108000,827494000,1102150000,1224011000,798693000
66,Other Total Stockholders Equity,- -,342640000,679886000,772300000,878007000,927931000,1641674000
67,Total Stockholders Equity,- -,118917000,396903000,1128431000,1167606000,-1844646000,88608000
68,Total Liabilities And Stockholders Equity,- -,245033000,563058000,1351393000,2057653000,3422315000,3644506000
69,Minority Interest,- -,-1000,- -,- -,170226000,168556000,182008000
70,Total Liabilities & Equity,- -,245032000,563058000,1351393000,2227879000,3590871000,3826514000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1740915/000156459019005846/0001564590-19-005846-index.html,https://www.sec.gov/Archives/edgar/data/1740915/000156459020009887/0001564590-20-009887-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-60353000,-81414000,-112275000,-155575000,-385297000,-3350619000,1466487000
74,Depreciation and Amortization,3104000,6897000,10980000,23537000,113591000,217223000,251198000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,4803000,15339000,16578000,53819000,138195000,168347000,- -
77,Change in Working Capital,14968000,10985000,15184000,-27030000,43771000,376286000,-247610000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-151105000
79,Inventory,-2838000,-6308000,-35163000,-10345000,-29723000,-16471000,-104838000
80,Accounts Payable,14292000,19463000,47406000,57432000,113721000,280454000,- -
81,Other Working Capital,-4747000,-619000,-3826000,-1966000,-529000,68496000,-62465000
82,Other Non-Cash Items,220000,1114000,10213000,-10956000,-36902000,2705078000,-1752229000
83,Cash Provided by Operating Activities,-37258000,-47079000,-59320000,-116205000,-126642000,116315000,-282154000
84,CAPEX,-16012000,-18598000,-31613000,-72115000,-112497000,-120944000,-196561000
85,Acquisitions Net,-12043000,- -,195000,- -,-461691000,-12016000,-27295000
86,Purchases of Investments,- -,- -,-278000,-288000,-20846000,-2872000,-109794000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6099000,-10949000,-16164000,-42113000,-61454000,-90914000,-164713000
89,Cash Used for Investing Activites,-27571000,-16961000,-28863000,-63538000,-583503000,-132641000,-330656000
90,Debt Repayment,-303000,-47000,-21955000,- -,-19127000,-19051000,-26251000
91,Common Stock Issued,77717000,146869000,322097000,859526000,8654000,50000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,14351000,- -,- -,-4776000,1230091000,431393000
95,Cash Used/Provided by Financing Activities,77414000,161173000,300142000,859526000,-15249000,1261040000,405142000
96,Effect of Forex Changes on Cash,-3447000,-19680000,22011000,-18999000,3037000,6278000,-2625000
97,Net Change In Cash,9138000,77453000,233970000,660784000,-722357000,1250992000,-210293000
98,Cash at the End of Period,72579000,150032000,384002000,1044786000,322429000,1573421000,1363128000
99,Cash at the Beginning of Period,63441000,72579000,150032000,384002000,1044786000,322429000,1573421000
100,Free Cash Flow,-53270000,-65677000,-90933000,-188320000,-239139000,-4629000,-478715000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740915/000156459019005846/0001564590-19-005846-index.html,https://www.sec.gov/Archives/edgar/data/1740915/000156459020009887/0001564590-20-009887-index.html,- -,- -
102,false,,,,,,,
