,https://roic.ai/company/EMN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,792000000,806000000,848000000,830000000,590000000,501000000,595000000,495000000,612000000,566000000,588000000,597000000,647000000,637000000,698000000,607000000,536000000,583000000,627000000,842000000,838000000,982000000,1013000000,922000000,914000000,956000000,925000000,880000000,1049000000
11,COGS and Expenses,3452000000,3693000000,4076000000,4119000000,4172000000,4047000000,4363000000,4721000000,5109000000,5107000000,5578000000,6199000000,6302000000,6810000000,6336000000,6207000000,4530000000,4951000000,6165000000,7182000000,7412000000,8288000000,8081000000,7580000000,8009000000,8628000000,7964000000,7378000000,9025000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,6000000,16000000,16000000,26000000,3000000,3000000,3000000,4000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,99000000,76000000,148000000,186000000,203000000,279000000,281000000,244000000,238000000,221000000,214000000,198000000
14,Depreciation and Amortization,346000000,329000000,308000000,314000000,327000000,351000000,383000000,418000000,435000000,397000000,367000000,322000000,304000000,308000000,327000000,267000000,274000000,280000000,273000000,360000000,433000000,450000000,571000000,580000000,587000000,604000000,611000000,574000000,538000000
15,EBITDA,309000000,879000000,1207000000,921000000,773000000,711000000,455000000,870000000,138000000,463000000,-11000000,386000000,1087000000,884000000,776000000,714000000,578000000,1028000000,1352000000,1151000000,2291000000,1639000000,1973000000,1905000000,2116000000,2148000000,1731000000,1307000000,1808000000
16,EBITDA ratio,0.0792,0.2030,0.2395,0.1926,0.1652,0.1587,0.0991,0.1644,0.0256,0.0870,-0.0019,0.0587,0.1540,0.1187,0.1136,0.1062,0.1145,0.1760,0.1884,0.1421,0.2450,0.1720,0.2045,0.2115,0.2216,0.2116,0.1867,0.1543,0.1726
17,Operating Income,451000000,636000000,964000000,663000000,506000000,434000000,202000000,562000000,-126000000,208000000,-267000000,175000000,757000000,640000000,504000000,519000000,317000000,862000000,1021000000,800000000,1862000000,1162000000,1384000000,1383000000,1532000000,- -,- -,- -,- -
18,Operating Income ratio,0.1156,0.1469,0.1913,0.1386,0.1082,0.0969,0.0440,0.1062,-0.0234,0.0391,-0.0460,0.0266,0.1072,0.0859,0.0738,0.0772,0.0628,0.1476,0.1422,0.0987,0.1991,0.1220,0.1434,0.1535,0.1604,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-12000000,-86000000,-65000000,-56000000,-60000000,-74000000,-130000000,-110000000,-171000000,-124000000,-114000000,-111000000,26000000,-64000000,-34000000,-90000000,-91000000,-226000000,-57000000,-151000000,-183000000,-172000000,-255000000,-334000000,-243000000,-213000000,-407000000,-565000000,-369000000
20,Income Before Tax,439000000,550000000,899000000,607000000,446000000,360000000,72000000,452000000,-297000000,84000000,-381000000,64000000,783000000,576000000,470000000,429000000,226000000,636000000,964000000,649000000,1679000000,990000000,1129000000,1049000000,1289000000,1310000000,902000000,530000000,1082000000
21,Income Before Tax Ratio,0.1125,0.1271,0.1784,0.1269,0.0953,0.0803,0.0157,0.0854,-0.0552,0.0158,-0.0657,0.0097,0.1109,0.0773,0.0688,0.0638,0.0448,0.1089,0.1343,0.0801,0.1796,0.1039,0.1170,0.1165,0.1350,0.1291,0.0973,0.0626,0.1033
22,Income Tax expense (Gain),172000000,214000000,340000000,227000000,160000000,111000000,24000000,149000000,-118000000,5000000,-108000000,-106000000,226000000,167000000,149000000,101000000,90000000,211000000,307000000,206000000,507000000,235000000,275000000,190000000,-99000000,226000000,140000000,41000000,215000000
23,Net Income,-209000000,336000000,559000000,380000000,286000000,249000000,48000000,303000000,-179000000,61000000,-270000000,170000000,557000000,409000000,300000000,346000000,136000000,438000000,696000000,437000000,1165000000,751000000,848000000,854000000,1384000000,1080000000,759000000,478000000,857000000
24,Net Income ratio,-0.0535,0.0776,0.1109,0.0795,0.0611,0.0556,0.0105,0.0573,-0.0332,0.0115,-0.0466,0.0258,0.0789,0.0549,0.0439,0.0514,0.0269,0.0750,0.0970,0.0539,0.1246,0.0788,0.0879,0.0948,0.1449,0.1064,0.0819,0.0564,0.0818
25,EPS,1.24,2.03,3.42,2.40,1.83,1.57,0.30,1.98,-1.17,0.40,-1.75,1.10,3.45,2.49,1.81,2.29,0.94,3.04,4.98,3.00,7.57,5.03,5.71,5.88,10.18,7.65,5.52,3.53,6.32
26,EPS Diluted,1.23,2.02,3.39,2.40,1.81,1.56,0.30,1.97,-1.17,0.40,-1.75,1.09,3.40,2.46,1.79,2.27,0.93,2.96,4.86,2.93,7.44,4.97,5.66,5.84,10.09,7.56,5.48,3.50,6.32
27,Weighted Average Shares Outstanding,165292000,165400000,163400000,158333333,156284153,158095238,157377049,153417722,153648069,154430380,154285714,154545455,161449275,164257028,165289256,150762527,145000000,144200000,139700000,145500000,154000000,149500000,148600000,147300000,144800000,141200000,137400000,135500000,132500000
28,Weighted Average Shares Outstanding Diluted,165292000,166200000,164800000,159200000,157575758,159105431,157377049,153807107,153648069,154430380,154285714,155963303,163582966,166598778,167597765,152087912,146800000,147800000,143100000,149100000,156500000,151100000,149800000,148400000,146100000,142900000,138500000,136500000,134600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915389/000095014403002908/g80935e10vk.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538904000006/form10k123103.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538905000023/form10-k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538906000017/ecc200510k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538907000019/eccform10k2006.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538908000017/emn200710k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538909000014/0000915389-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538910000020/0000915389-10-000020-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538911000022/emn2010form10_k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538912000031/0000915389-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538913000010/0000915389-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538914000013/emn-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538915000021/emn2014123110k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538916000095/0000915389-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538917000014/0000915389-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538918000016/0000915389-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538919000009/0000915389-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538920000016/0000915389-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538921000016/0000915389-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538922000010/0000915389-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,24000000,29000000,29000000,186000000,101000000,66000000,77000000,558000000,325000000,524000000,939000000,888000000,387000000,793000000,516000000,577000000,249000000,237000000,214000000,293000000,181000000,191000000,226000000,204000000,564000000,459000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,24000000,29000000,29000000,186000000,101000000,66000000,77000000,558000000,325000000,524000000,939000000,888000000,387000000,793000000,516000000,777000000,249000000,237000000,214000000,293000000,181000000,191000000,226000000,204000000,564000000,459000000
34,Net Receivables,- -,- -,- -,744000000,793000000,776000000,631000000,737000000,656000000,659000000,701000000,779000000,656000000,754000000,658000000,354000000,379000000,676000000,704000000,997000000,1088000000,1200000000,1038000000,1211000000,1386000000,1483000000,1375000000,1515000000,1091000000
35,Inventory,- -,- -,- -,465000000,511000000,493000000,485000000,580000000,659000000,713000000,698000000,582000000,671000000,682000000,539000000,637000000,531000000,619000000,779000000,1260000000,1264000000,1509000000,1479000000,1404000000,1509000000,1583000000,1662000000,1379000000,1504000000
36,Other Current Assets,- -,- -,- -,112000000,157000000,117000000,187000000,105000000,77000000,80000000,53000000,82000000,73000000,47000000,208000000,45000000,32000000,236000000,42000000,88000000,251000000,250000000,68000000,70000000,57000000,73000000,80000000,83000000,1592000000
37,Total Current Assets,- -,- -,- -,1345000000,1490000000,1415000000,1489000000,1523000000,1458000000,1529000000,2010000000,1768000000,1924000000,2422000000,2293000000,1423000000,1735000000,2047000000,2302000000,2594000000,2840000000,3173000000,2878000000,2866000000,3143000000,3365000000,3321000000,3541000000,4646000000
38,PP&E,- -,- -,- -,3520000000,3881000000,4060000000,3950000000,3925000000,3627000000,3753000000,3419000000,3192000000,3162000000,3069000000,2846000000,3198000000,3110000000,3219000000,3107000000,4181000000,4290000000,5087000000,5130000000,5276000000,5607000000,5600000000,5571000000,5549000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314000000,316000000,325000000,315000000,375000000,406000000,2644000000,2637000000,4486000000,4518000000,4461000000,4527000000,4467000000,4431000000,4465000000,3641000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,446000000,612000000,614000000,573000000,350000000,339000000,312000000,- -,- -,- -,- -,- -,- -,1849000000,1761000000,2905000000,2650000000,2469000000,2373000000,2185000000,2011000000,1792000000,1362000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,446000000,612000000,614000000,573000000,350000000,339000000,312000000,314000000,316000000,325000000,315000000,375000000,406000000,4493000000,4398000000,7391000000,7168000000,6930000000,6900000000,6652000000,6442000000,6257000000,5003000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,401000000,407000000,401000000,418000000,490000000,387000000,418000000,451000000,573000000,375000000,368000000,554000000,335000000,355000000,345000000,369000000,351000000,317000000,421000000,435000000,385000000,349000000,378000000,674000000,736000000,5870000000
45,Total Non-Current Assets,- -,- -,- -,3921000000,4288000000,4461000000,4814000000,5027000000,4628000000,4744000000,4220000000,4104000000,3849000000,3751000000,3716000000,3858000000,3780000000,3939000000,3882000000,9025000000,9005000000,12899000000,12733000000,12591000000,12856000000,12630000000,12687000000,12542000000,10873000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,5266000000,5778000000,5876000000,6303000000,6550000000,6086000000,6273000000,6230000000,5872000000,5773000000,6173000000,6009000000,5281000000,5515000000,5986000000,6184000000,11619000000,11845000000,16072000000,15611000000,15457000000,15999000000,15995000000,16008000000,16083000000,15519000000
48,Accounts Payable,- -,- -,- -,312000000,281000000,316000000,323000000,526000000,438000000,1221000000,973000000,1098000000,1047000000,581000000,578000000,819000000,- -,- -,529000000,723000000,762000000,827000000,699000000,704000000,842000000,914000000,890000000,799000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,474000000,5000000,54000000,3000000,504000000,1000000,4000000,14000000,78000000,13000000,- -,6000000,153000000,4000000,- -,301000000,431000000,283000000,393000000,243000000,171000000,349000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,76000000,80000000,- -,- -,106000000,111000000,94000000,89000000,178000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,475000000,673000000,669000000,811000000,727000000,466000000,- -,- -,- -,- -,464000000,466000000,- -,800000000,1064000000,432000000,637000000,708000000,894000000,926000000,808000000,747000000,694000000,728000000,890000000,2971000000
53,Total Current Liabilities,- -,- -,- -,787000000,954000000,985000000,1608000000,1258000000,958000000,1224000000,1477000000,1099000000,1051000000,1059000000,1122000000,832000000,800000000,1070000000,1114000000,1364000000,1470000000,2022000000,2056000000,1795000000,1982000000,1851000000,1789000000,2038000000,2971000000
54,Long-Term Debt,- -,- -,- -,1523000000,1714000000,1649000000,1506000000,1914000000,2143000000,2054000000,2089000000,2061000000,1621000000,1589000000,1535000000,1442000000,1604000000,1598000000,1445000000,4779000000,4254000000,7248000000,6608000000,6311000000,6147000000,5925000000,5611000000,5269000000,4412000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,810000000
56,Deferred Tax Liabilities,- -,- -,- -,348000000,397000000,415000000,485000000,607000000,452000000,484000000,316000000,210000000,317000000,269000000,300000000,106000000,258000000,284000000,210000000,91000000,496000000,946000000,928000000,1206000000,893000000,884000000,915000000,848000000,810000000
57,Other Non-Current Liabilities,- -,- -,- -,969000000,960000000,893000000,945000000,959000000,1155000000,1240000000,1305000000,1318000000,1172000000,1227000000,970000000,1348000000,1340000000,1407000000,1545000000,2357000000,1750000000,2266000000,1998000000,1537000000,1497000000,1457000000,1661000000,1820000000,728000000
58,Total Non-Current Liabilities,- -,- -,- -,2840000000,3071000000,2957000000,2936000000,3480000000,3750000000,3778000000,3710000000,3589000000,3110000000,3085000000,2805000000,2896000000,3202000000,3289000000,3200000000,7227000000,6500000000,10460000000,9534000000,9054000000,8537000000,8266000000,8187000000,7937000000,6760000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,3627000000,4025000000,3942000000,4544000000,4738000000,4708000000,5002000000,5187000000,4688000000,4161000000,4144000000,3927000000,3728000000,4002000000,4359000000,4314000000,8591000000,7970000000,12482000000,11590000000,10849000000,10519000000,10117000000,9976000000,9975000000,9731000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,1929000000,2078000000,2188000000,2098000000,2266000000,1952000000,1882000000,1476000000,1509000000,1923000000,2186000000,2349000000,2563000000,2571000000,2880000000,3436000000,3038000000,4012000000,4545000000,5146000000,5721000000,6802000000,7573000000,7965000000,8080000000,8557000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4010000000,-4223000000,-4534000000,-4870000000,-5114000000,-5675000000,-295000000,-121000000,-103000000,-200000000,-174000000,-28000000,-335000000,-385000000,-432000000,-538000000,123000000,171000000,-277000000,-390000000,-281000000,-209000000,-245000000,-214000000,-273000000,-182000000
66,Other Total Stockholders Equity,- -,- -,- -,3720000000,3897000000,4279000000,4530000000,4659000000,5100000000,-317000000,-313000000,-223000000,-112000000,16000000,-240000000,-676000000,-674000000,-822000000,-1030000000,-220000000,-389000000,-760000000,-817000000,-910000000,-1192000000,-1527000000,-1795000000,-1786000000,- -
67,Total Stockholders Equity,- -,- -,- -,1639000000,1753000000,1934000000,1759000000,1812000000,1378000000,1271000000,1043000000,1184000000,1612000000,2029000000,2082000000,1553000000,1513000000,1627000000,1870000000,2943000000,3796000000,3510000000,3941000000,4532000000,5403000000,5803000000,5958000000,6023000000,5788000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,5266000000,5778000000,5876000000,6303000000,6550000000,6086000000,6273000000,6230000000,5872000000,5773000000,6173000000,6009000000,5281000000,5515000000,5986000000,6184000000,11534000000,11766000000,15992000000,15531000000,15381000000,15922000000,15920000000,15934000000,15998000000,15519000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,79000000,80000000,80000000,76000000,77000000,75000000,74000000,85000000,- -
70,Total Liabilities & Equity,- -,- -,- -,5266000000,5778000000,5876000000,6303000000,6550000000,6086000000,6273000000,6230000000,5872000000,5773000000,6173000000,6009000000,5281000000,5515000000,5986000000,6184000000,11619000000,11845000000,16072000000,15611000000,15457000000,15999000000,15995000000,16008000000,16083000000,15519000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915389/000095014403002908/g80935e10vk.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538904000006/form10k123103.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538905000023/form10-k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538906000017/ecc200510k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538907000019/eccform10k2006.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538908000017/emn200710k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538909000014/0000915389-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538910000020/0000915389-10-000020-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538911000022/emn2010form10_k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538912000031/0000915389-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538913000010/0000915389-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538914000013/emn-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538915000021/emn2014123110k.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538916000095/0000915389-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538917000014/0000915389-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538918000016/0000915389-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538919000009/0000915389-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538920000016/0000915389-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/915389/000091538921000016/0000915389-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538922000010/0000915389-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-209000000,336000000,559000000,380000000,286000000,249000000,48000000,303000000,-179000000,61000000,-270000000,170000000,557000000,409000000,300000000,346000000,136000000,438000000,696000000,437000000,1165000000,751000000,848000000,854000000,1384000000,1080000000,759000000,478000000,857000000
74,Depreciation and Amortization,346000000,329000000,308000000,314000000,327000000,351000000,383000000,418000000,435000000,397000000,367000000,322000000,304000000,308000000,327000000,267000000,274000000,280000000,273000000,360000000,433000000,450000000,571000000,580000000,587000000,604000000,611000000,574000000,538000000
75,Deferred Income Tax,11000000,-8000000,-11000000,8000000,7000000,66000000,-18000000,64000000,-148000000,95000000,-140000000,-136000000,115000000,7000000,-9000000,-71000000,185000000,59000000,11000000,48000000,331000000,99000000,107000000,177000000,-394000000,-51000000,23000000,-111000000,-38000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,105000000,11000000,-28000000,575000000,-22000000,-106000000,-549000000,384000000,235000000,-195000000,228000000,136000000,204000000,490000000,-192000000,-580000000,344000000,42000000,211000000,42000000,140000000,-219000000,-329000000,249000000,90000000,353000000,18000000,-29000000,-27000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,-358000000,-73000000,48000000,-38000000,19000000,114000000,-29000000,-53000000,16000000,170000000,-31000000,-281000000
79,Inventory,29000000,-60000000,-108000000,10000000,-65000000,19000000,63000000,-43000000,-8000000,-58000000,41000000,18000000,-110000000,-99000000,66000000,-95000000,100000000,-160000000,-156000000,38000000,-6000000,-61000000,-26000000,54000000,-71000000,-224000000,-80000000,291000000,-389000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,152000000,-51000000,10000000,-2000000,-30000000,-102000000,7000000,123000000,90000000,-27000000,-100000000,554000000
81,Other Working Capital,- -,11000000,-17000000,558000000,536000000,430000000,-119000000,265000000,500000000,305000000,533000000,669000000,873000000,1363000000,1171000000,591000000,935000000,977000000,1188000000,1230000000,1370000000,1151000000,822000000,1071000000,1161000000,1514000000,1532000000,1503000000,89000000
82,Other Non-Cash Items,499000000,148000000,10000000,-531000000,100000000,171000000,880000000,-338000000,88000000,443000000,59000000,2000000,-411000000,-605000000,306000000,691000000,-181000000,-244000000,-566000000,241000000,-772000000,327000000,415000000,-475000000,-10000000,-443000000,93000000,543000000,289000000
83,Cash Provided by Operating Activities,752000000,816000000,838000000,746000000,698000000,731000000,744000000,831000000,431000000,801000000,244000000,494000000,769000000,609000000,732000000,653000000,758000000,575000000,625000000,1128000000,1297000000,1408000000,1612000000,1385000000,1657000000,1543000000,1504000000,1455000000,1619000000
84,CAPEX,-404000000,-281000000,-446000000,-789000000,-749000000,-500000000,-292000000,-226000000,-234000000,-427000000,-230000000,-248000000,-343000000,-405000000,-529000000,-644000000,-318000000,-250000000,-466000000,-470000000,-488000000,-596000000,-652000000,-626000000,-649000000,-528000000,-425000000,-383000000,-578000000
85,Acquisitions Net,- -,- -,-56000000,-26000000,- -,-27000000,-381000000,-261000000,-257000000,-6000000,-15000000,- -,- -,- -,-40000000,-38000000,-68000000,-190000000,-156000000,-2669000000,- -,-3509000000,-45000000,-26000000,10000000,-3000000,-48000000,-1000000,553000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,12000000,- -,- -,- -,- -,417000000,- -,- -,- -,30000000,13000000,651000000,200000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,6000000,105000000,-22000000,6000000,4000000,-18000000,-42000000,10000000,-32000000,-34000000,85000000,100000000,-92000000,311000000,234000000,306000000,-21000000,-22000000,20000000,-28000000,26000000,11000000,4000000,-3000000,-4000000,68000000,-7000000,-10000000,-27000000
89,Cash Used for Investing Activites,-398000000,-176000000,-524000000,-809000000,-745000000,-545000000,-715000000,-465000000,-523000000,-467000000,-160000000,-148000000,-18000000,-94000000,-335000000,-376000000,-369000000,-442000000,-142000000,-2962000000,-457000000,-4091000000,-693000000,-655000000,-643000000,-463000000,-480000000,-394000000,-29000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101000000,-620000000,-2000000,-1867000000,-1105000000,-315000000,-950000000,-2276000000,-1044000000,-1920000000,-760000000,-556000000,-300000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,77000000,100000000,93000000,103000000,39000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-200000000,-161000000,-8000000,- -,-51000000,-57000000,-4000000,-1000000,- -,- -,- -,- -,-382000000,-501000000,-21000000,-280000000,-316000000,- -,-238000000,-410000000,-103000000,-145000000,-350000000,-400000000,-325000000,-60000000,-1000000000
93,Dividends Paid,-18000000,-99000000,-133000000,-134000000,-138000000,-138000000,-138000000,-135000000,-135000000,-135000000,-136000000,-137000000,-142000000,-144000000,-147000000,-135000000,-128000000,-127000000,-136000000,-192000000,-140000000,-210000000,-238000000,-272000000,-296000000,-318000000,-343000000,-358000000,-375000000
94,Other Financing Activites,-208000000,-592000000,29000000,282000000,198000000,-48000000,317000000,-259000000,176000000,-187000000,533000000,-519000000,-505000000,-50000000,-22000000,-182000000,268000000,616000000,31000000,3563000000,624000000,3599000000,459000000,1855000000,684000000,1598000000,385000000,270000000,-15000000
