,https://roic.ai/company/NEW,2016,2017,2018,2019,2020
78,Accounts Receivable,-9000,-104000,113000,- -,- -
79,Inventory,- -,-44000,723000,-2144000,-1893000
80,Accounts Payable,3048000,788000,230657000,- -,- -
81,Other Working Capital,107458000,200647000,-32052000,-16407000,-183405000
82,Other Non-Cash Items,-614000,70765000,140005000,111183000,-96886000
83,Cash Provided by Operating Activities,81409000,80266000,-92905000,24684000,-203330000
84,CAPEX,-21093000,-64706000,-83709000,-115545000,-70968000
85,Acquisitions Net,-68166000,-564998000,-73208000,-104534000,30315000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-191230000,-43663000
89,Cash Used for Investing Activites,-89259000,-629704000,-156917000,-411309000,-84316000
90,Debt Repayment,- -,- -,-88075000,-644800000,-817689000
91,Common Stock Issued,- -,- -,799208000,- -,- -
92,Common Stock Repurchased,- -,- -,-180000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,70000000,629386000,300373000,849046000,1073935000
95,Cash Used/Provided by Financing Activities,70000000,629386000,831506000,204246000,256246000
96,Effect of Forex Changes on Cash,- -,3696000,48131000,6432000,-22823000
97,Net Change In Cash,62150000,83644000,629815000,-175947000,-54223000
98,Cash at the End of Period,105518000,189162000,818977000,643030000,588807000
99,Cash at the Beginning of Period,43368000,105518000,189162000,818977000,643030000
100,Free Cash Flow,60316000,15560000,-176614000,-90861000,-274298000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
