,https://roic.ai/company/STNG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,15643373,16343739,4220480,1160589,-75598605,-17175000,17792000,71007000,307084000,76749000,-44949000,10542000,129972000,245334000,-90508000
18,Operating Income ratio,0.5160,0.4161,0.1528,0.0299,-0.9208,-0.1488,0.0857,0.2071,0.4064,0.1468,-0.0877,0.0180,0.1845,0.2679,-0.1674
19,Total Other Income Expenses (Gains),-1778470,-2482400,-4620134,-3960589,-7101395,-9325000,-792000,-18916000,-89335000,-101652000,-113291000,-200613000,-178462000,-151210000,-143927000
20,Income Before Tax,- -,- -,- -,-2800000,-82700000,-26500000,17000000,52091000,217749000,-24903000,-158240000,-190071000,-48490000,94124000,-234435000
21,Income Before Tax Ratio,- -,- -,- -,-0.0722,-1.0073,-0.2296,0.0819,0.1520,0.2881,-0.0476,-0.3086,-0.3249,-0.0688,0.1028,-0.4335
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,12053792,12185924,3418037,-2800000,-82700000,-26500000,17000000,52091000,217749000,-24903000,-158240000,-190071000,-48490000,94124000,-234435000
24,Net Income ratio,0.3976,0.3103,0.1238,-0.0722,-1.0073,-0.2296,0.0819,0.1520,0.2881,-0.0476,-0.3086,-0.3249,-0.0688,0.1028,-0.4335
25,EPS,21.60,21.80,6.10,-1.80,-28.80,-6.40,1.20,3.00,13.50,-1.50,-7.30,-5.46,-0.97,1.72,-4.28
26,EPS Diluted,21.60,21.80,6.10,-1.80,-28.80,-6.40,1.10,3.00,12.00,-1.50,-7.30,-5.46,-0.97,1.67,-4.28
27,Weighted Average Shares Outstanding,558914,558914,558914,1560081,2870487,4141333,14179167,17363667,16143644,16111865,21533340,34824311,49857998,54665898,54718709
28,Weighted Average Shares Outstanding Diluted,558914,558914,558914,1560081,2870487,4141333,15468182,17363667,19973932,16111865,21533340,34824311,49857998,56392311,54718709
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483934/000117120011000358/i00184_scorpio-20f.htm,https://www.sec.gov/Archives/edgar/data/1483934/000117120012000275/0001171200-12-000275-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000117120013000047/0001171200-13-000047-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000117120014000018/i00097_stng-20f.htm,https://www.sec.gov/Archives/edgar/data/1483934/000162828015002092/stng2014-12x31x20xf.htm,https://www.sec.gov/Archives/edgar/data/1483934/000148393416000057/0001483934-16-000057-index.html,- -,https://www.sec.gov/Archives/edgar/data/1483934/000148393418000015/0001483934-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000148393419000017/0001483934-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000148393420000011/0001483934-20-000011-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1153743,3607635,444496,18200000,26900000,87200000,53800000,116143000,200970000,99887000,186462000,593652000,202303000,187511000,230415000
32,Short-Term Investments,- -,- -,- -,50000000,10000000,- -,25000000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1153743,3607635,444496,68200000,36900000,87200000,78800000,116143000,200970000,99887000,186462000,593652000,202303000,187511000,230415000
34,Net Receivables,4704933,3701980,3367251,7400000,20400000,36400000,72500000,78201000,69017000,42329000,65458000,69718000,78174000,58217000,38069000
35,Inventory,389736,502514,433428,1300000,2700000,2200000,2900000,6075000,6575000,6122000,9713000,8300000,8646000,9261000,8781000
36,Other Current Assets,62064,39596,583944,400000,1500000,900000,85000000,73285000,3585000,9183000,17720000,15671000,13855000,12430000,7954000
37,Total Current Assets,6310476,7851725,4829119,77300000,61500000,126700000,239200000,273704000,280147000,157521000,279353000,687341000,302978000,267419000,285219000
38,PP&E,116244546,109260102,99594267,333400000,382800000,445700000,1179800000,2376755000,3219971000,3051171000,4145470000,3997789000,4706061000,4810067000,4606096000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11482000,11539000,11539000,8900000,8900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11482000,11539000,11539000,8900000,8900000
42,Investments,- -,- -,- -,- -,- -,- -,209803000,130456000,- -,- -,- -,1751000,1751000,1751000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1600000,3900000,900000,17897000,23728000,23337000,21495000,62071000,85744000,141681000,70487000,113754000
45,Total Non-Current Assets,116244546,109260102,99594267,335000000,386700000,446600000,1407500000,2530939000,3243308000,3072666000,4219023000,4096823000,4861032000,4891205000,4728750000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,122555022,117111827,104423386,412300000,448200000,573300000,1646700000,2804643000,3523455000,3230187000,4498376000,4784164000,5164010000,5158624000,5013969000
48,Accounts Payable,488816,841070,656002,3200000,11700000,11400000,20700000,14929000,25683000,15027000,13044000,11865000,23122000,12863000,35080000
49,Short-Term Debt,- -,- -,- -,15826314,2888723,7475000,31850000,87163000,124503000,353012000,113036000,297934000,235482000,- -,467855000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,51315140,54236239,5367738,1073686,3611277,3925000,7950000,88276000,87190000,17279000,82984000,137401000,227627000,393312000,24906000
53,Total Current Liabilities,51803956,55077309,6023740,20100000,18200000,22800000,60500000,190368000,237376000,385318000,209064000,447200000,486231000,406175000,527841000
54,Long-Term Debt,43400000,39800000,36200000,127400000,142700000,135000000,135300000,1451427000,1872114000,1529669000,2604011000,2497952000,2700790000,971172000,2649200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,453824,1935352,871104,- -,500000,700000,200000,- -,80000,- -,- -,- -,- -,1715509000,- -
58,Total Non-Current Liabilities,43853824,41735352,37071104,127400000,143200000,135700000,135500000,1451427000,1872194000,1529669000,2604011000,2497952000,2700790000,2686681000,2649200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,53372000,- -,717139000,1420381000,1887697000,1903923000,2215368000
61,Total Liabilities,95657780,96812661,43094844,147500000,161400000,158500000,196000000,1641795000,2109570000,1914987000,2813075000,2945152000,3187021000,3092856000,3177041000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,55891,55891,55891,200000,400000,700000,2000000,2033000,2224000,2247000,3766000,5776000,646000,656000,659000
64,Retained Earnings,- -,- -,1707816,12200000,-70500000,-97100000,-80100000,-27980000,109658000,- -,-158240000,-348307000,-399046000,-304922000,-539357000
65,Other Comprehensive Income/Loss,-24574889,-31559333,-40800105,-50900000,-1400000,-600000,-400000,-11000000,-162653000,- -,-382442000,-557665000,-712310000,- -,- -
66,Other Total Stockholders Equity,51416240,51802608,100364940,303283182,358353227,511790000,1529223000,1199795000,1464656000,1312953000,2222217000,2739208000,3087699000,2370034000,2375626000
67,Total Stockholders Equity,26897242,20299166,61328542,264783182,286853227,414790000,1450723000,1162848000,1413885000,1315200000,1685301000,1839012000,1976989000,2065768000,1836928000
68,Total Liabilities And Stockholders Equity,122555022,117111827,104423386,412283182,448253227,573290000,1646723000,2804643000,3523455000,3230187000,4498376000,4784164000,5164010000,5158624000,5013969000
69,Minority Interest,- -,- -,- -,16818,-53227,10000,-23000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,122555022,117111827,104423386,412300000,448200000,573300000,1646700000,2804643000,3523455000,3230187000,4498376000,4784164000,5164010000,5158624000,5013969000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483934/000117120011000358/i00184_scorpio-20f.htm,https://www.sec.gov/Archives/edgar/data/1483934/000117120012000275/0001171200-12-000275-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000117120013000047/0001171200-13-000047-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000117120014000018/i00097_stng-20f.htm,https://www.sec.gov/Archives/edgar/data/1483934/000162828015002092/stng2014-12x31x20xf.htm,https://www.sec.gov/Archives/edgar/data/1483934/000148393416000057/0001483934-16-000057-index.html,- -,https://www.sec.gov/Archives/edgar/data/1483934/000148393418000015/0001483934-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000148393419000017/0001483934-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000148393420000011/0001483934-20-000011-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,12053792,12185924,3418037,-2800000,-82700000,-26500000,17000000,52091000,217749000,-24903000,-158240000,-190071000,-48490000,94124000,-234435000
74,Depreciation and Amortization,6482484,6984444,6834742,11167181,21822462,14818000,23595000,42617000,107356000,121461000,141418000,176723000,206968000,245818000,240253000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,13142000,478000,513000,65000,- -,- -,27421000,- -,- -
77,Change in Working Capital,-13950975,3609567,-4502685,-6029230,-19353996,-7766000,-37199000,6608000,3488000,11778000,-17200000,-13004000,116000,14583000,14337000
78,Accounts Receivable,2953719,1002953,2262984,-5915254,-13031294,-16052000,-36104000,-5660000,9184000,26688000,-1478000,-4298000,-8458000,19957000,-5052000
79,Inventory,18029,-112778,69086,-853079,-1409789,526000,-687000,-3218000,-1909000,564000,-1319000,1535000,-346000,-615000,480000
80,Accounts Payable,-354448,352254,-279628,2600483,-954027,3966000,-2021000,6471000,775000,-2487000,3694000,-1382000,4019000,-5094000,20716000
81,Other Working Capital,- -,- -,-1580826,-4088116,-3889928,2443000,-1849000,-2901000,-14153000,2045000,-22651000,-1226000,-7177000,856000,- -
82,Other Non-Cash Items,1245472,2057957,3555757,2568527,67780371,17520000,-22193000,-7878000,62869000,70110000,75823000,84142000,23497000,64856000,53145000
83,Cash Provided by Operating Activities,5830773,24837892,9305851,4906478,-12451163,-1928000,-5655000,93916000,391975000,178511000,41801000,57790000,209512000,419381000,73300000
84,CAPEX,- -,- -,- -,-245466077,-122573437,-191490000,-850518000,-1403181000,-936674000,-126842000,-264233000,-52737000,-206973000,-174477000,-47102000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-84583000,- -,142436000,- -,-23062000,- -,- -,- -,-5176000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-128732,- -,101335000,- -,244947000,90820000,158175000,127372000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-245594809,-122573437,-90155000,-935101000,-1158234000,-703418000,31333000,-159923000,-52737000,-206973000,-174477000,-52278000
90,Debt Repayment,-3600000,-3600000,-3600000,-44625418,-109637551,-129076000,-28410000,-74674000,-227892000,-761824000,-546296000,-865594000,-525112000,-924722000,-707656000
91,Common Stock Issued,- -,- -,- -,207936272,104985555,153052000,983537000,- -,159747000,- -,303500000,337000000,50000000,2601000,- -
92,Common Stock Repurchased,- -,- -,-207990,-2647807,-2850688,-2440000,- -,-276294000,-76028000,-16505000,-39495000,-23240000,-1000,-13115000,- -
93,Dividends Paid,-7093500,-18784000,-8661000,- -,- -,- -,-24353000,-70495000,-87056000,-86923000,-9561000,-15127000,-21278000,-23302000,-23320000
94,Other Financing Activites,- -,- -,- -,147767690,111173472,120879000,1662000,1523079000,627499000,554325000,496549000,969098000,102503000,698842000,752858000
95,Cash Used/Provided by Financing Activities,-10693500,-22384000,-12468990,308430737,103670788,142415000,932436000,1101616000,396270000,-310927000,204697000,402137000,-393888000,-259696000,21882000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4862727,2453892,-3163139,67742406,-31353812,50332000,-8320000,37298000,84827000,-101083000,86575000,407190000,-391349000,-14792000,42904000
98,Cash at the End of Period,1153743,3607635,444496,68186902,36833090,87165000,78845000,116143000,200970000,99887000,186462000,593652000,202303000,187511000,230415000
99,Cash at the Beginning of Period,6016470,1153743,3607635,444496,68186902,36833000,87165000,78845000,116143000,200970000,99887000,186462000,593652000,202303000,187511000
100,Free Cash Flow,5830773,24837892,9305851,-240559599,-135024600,-193418000,-856173000,-1309265000,-544699000,51669000,-222432000,5053000,2539000,244904000,26198000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483934/000117120011000358/i00184_scorpio-20f.htm,https://www.sec.gov/Archives/edgar/data/1483934/000117120012000275/0001171200-12-000275-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000117120013000047/0001171200-13-000047-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000117120014000018/i00097_stng-20f.htm,https://www.sec.gov/Archives/edgar/data/1483934/000162828015002092/stng2014-12x31x20xf.htm,https://www.sec.gov/Archives/edgar/data/1483934/000148393416000057/0001483934-16-000057-index.html,- -,https://www.sec.gov/Archives/edgar/data/1483934/000148393418000015/0001483934-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000148393419000017/0001483934-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1483934/000148393420000011/0001483934-20-000011-index.html,- -,- -
102,false,,,,,,,,,,,,,,,
