,https://roic.ai/company/NNVC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,65587,930077,-778729,61555,369786,161297,-286930,458265,-387497,-145674,802869,110631,-710752
81,Other Working Capital,-66005,2146770,374636,223292,1604580,4983253,8969141,12809544,13343441,36437242,31081278,17637629,10624109,6440080,-22732,11829280,20472633
82,Other Non-Cash Items,- -,-796473,2521664,325951,-1287820,-772276,-2544133,-3053702,1879304,-17655978,-117531,15451563,7156742,3500394,6868171,-6330199,-9145133
83,Cash Provided by Operating Activities,- -,-1823575,-2333132,-2550258,-2682040,-2047522,-4507668,-4217986,-5797772,-6333625,-6212332,-6829195,-7897746,-7775868,-6802770,-6665603,-8213837
84,CAPEX,- -,-2148,-26173,-121173,-752805,-744779,-194042,-58552,-64931,-5231094,-6760109,-476368,-164978,-241822,-73794,-8638,-238764
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-100000,20000,-111578,-183509,-41081,-35200,-1000000,- -,1000000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-2148,-126173,-101173,-672805,-744779,-194042,-58552,-1064931,-5231094,-5760109,-476368,-164978,-241822,-73794,-8638,-238764
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,-92330,-1303013
91,Common Stock Issued,- -,3335000,920000,2500000,4121651,1432252,- -,- -,- -,28602740,- -,- -,- -,- -,2350000,16676975,16563697
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,997825,- -,20,106250,6626340,6970000,9327500,6510963,5735626,6743297,- -,- -,- -,- -,1242983,- -
95,Cash Used/Provided by Financing Activities,- -,4332825,920000,2500020,4227901,8058592,6970000,9327500,6510963,34338366,6743297,- -,-1000000,- -,2350000,17827628,15260684
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1539305,-151411,873056,5266291,2268290,5050962,-351740,22773647,-5229144,-7305563,-9062724,-8017690,-4526564,11153387,6808083
98,Cash at the End of Period,- -,2507102,967797,816386,1689442,6955733,9224023,14274985,13923245,36696892,31467748,24162185,15099461,7081771,2555207,13708594,20516677
99,Cash at the Beginning of Period,- -,- -,2507102,967797,816386,1689442,6955733,9224023,14274985,13923245,36696892,31467748,24162185,15099461,7081771,2555207,13708594
100,Free Cash Flow,- -,-1825723,-2359305,-2671431,-3434845,-2792301,-4701710,-4276538,-5862703,-11564719,-12972441,-7305563,-8062724,-8017690,-6876564,-6674241,-8452601
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1379006/000114036107019735/0001140361-07-019735-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036108023975/0001140361-08-023975-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036109023155/0001140361-09-023155-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036110041099/0001140361-10-041099-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036111049401/0001140361-11-049401-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420412056152/0001144204-12-056152-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420413053084/0001144204-13-053084-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420414058463/0001144204-14-058463-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420415054864/0001144204-15-054864-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420416124276/0001144204-16-124276-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420417050412/0001144204-17-050412-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420418053665/0001144204-18-053665-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420419041547/0001144204-19-041547-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000110465920114577/0001104659-20-114577-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000110465921125343/0001104659-21-125343-index.htm
102,false,,,,,,,,,,,,,,,,,
