,https://roic.ai/company/RRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5591000,9100000,31275000,32747000,36520000,42574000,65250000,262422000,174531000,142627000,375300000,466000000,334100000,252900000,284500000,139600000,248600000,331400000,611300000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117553000,56327000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5591000,9100000,31275000,32747000,36520000,42574000,65250000,379975000,230858000,142627000,375300000,466000000,334100000,252900000,284500000,139600000,248600000,331400000,611300000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79283000,85691000,177183000,197118000,218036000,297569000,311654000,240721000,331017000,424185000,446000000,463800000,447500000,462000000,462200000,506300000,551900000,461400000,432000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134037000,131121000,246816000,224316000,275138000,318200000,359918000,268839000,390587000,575785000,557000000,618700000,691700000,775000000,660800000,757100000,767200000,678400000,690300000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10621000,11515000,19645000,33099000,39474000,70148000,124440000,89841000,135589000,148524000,161600000,177400000,178700000,145300000,124500000,171400000,250000000,136500000,117700000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229532000,237427000,474919000,487280000,569168000,728491000,861262000,979376000,1088051000,1291121000,1539900000,1725900000,1652000000,1635200000,1532000000,1574400000,1817700000,1607700000,1851300000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173740000,169098000,253673000,244329000,268880000,339343000,358372000,343071000,396376000,533981000,573100000,573400000,531500000,678500000,627500000,623000000,615500000,676000000,628900000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313265000,311216000,596498000,- -,546152000,654261000,672475000,663920000,775371000,1117549000,1151000000,1081900000,1004000000,1465600000,1453200000,1477100000,1509200000,1501300000,1518200000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591842000,43257000,129473000,120784000,116426000,175490000,316333000,293200000,244200000,202300000,777800000,711700000,670500000,625500000,567200000,530300000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313265000,311216000,596498000,591842000,589409000,783734000,793259000,780346000,950861000,1433882000,1444200000,1326100000,1206300000,2243400000,2164900000,2147600000,2134700000,2068500000,2048500000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,22400000,28500000,34200000,58400000,43900000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17451000,16704000,26962000,19103000,10102000,10679000,10603000,9444000,13848000,7531000,11900000,18100000,17800000,16000000,11700000,14700000,21700000,20100000,16400000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,504456000,497018000,877133000,855274000,868391000,1133756000,1162234000,1132861000,1361085000,1975394000,2029200000,1917600000,1755600000,2956500000,2826500000,2813800000,2806100000,2823000000,2737700000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,733988000,734445000,1352052000,1342554000,1437559000,1862247000,2023496000,2112237000,2449136000,3266515000,3569100000,3643500000,3407600000,4591700000,4358500000,4388200000,4623800000,4430700000,4589000000,- -
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32038000,36179000,106374000,82513000,108050000,183215000,202456000,161902000,231705000,249400000,251800000,304600000,312200000,336200000,334200000,384300000,424800000,337000000,360100000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000,125000,271000,25684000,49376000,5332000,15280000,8385000,8637000,10030000,63800000,158400000,8400000,6300000,100600000,101200000,500000,22200000,252600000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39934000,41022000,88564000,110594000,101495000,123373000,213266000,138779000,159000000,265066000,218300000,237900000,240700000,270300000,266800000,226500000,258200000,201300000,209300000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72127000,77326000,195209000,218791000,258921000,311920000,431002000,309066000,399342000,524496000,533900000,700900000,561300000,612800000,701600000,712000000,683500000,560500000,822000000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222812000,195677000,547350000,386332000,323946000,558918000,561190000,468065000,428256000,909159000,754700000,609000000,625400000,1715600000,1310900000,1039900000,1306600000,1187900000,895500000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44913000,46186000,48663000,59993000,65937000,75055000,71715000,72418000,92858000,100160000,132000000,140300000,116000000,100900000,97700000,135300000,148300000,171900000,172000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10661000,11658000,17359000,18394000,29146000,47783000,122607000,82620000,131518000,156301000,152000000,90900000,125600000,179600000,170100000,146300000,146900000,130000000,122500000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278386000,253521000,613372000,464719000,419029000,681756000,755512000,623103000,652632000,1165620000,1038700000,840200000,867000000,1996100000,1578700000,1321500000,1601800000,1489800000,1190000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72600000,76700000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350513000,330847000,808581000,683510000,677950000,993676000,1186514000,932169000,1051974000,1690116000,1572600000,1541100000,1428300000,2608900000,2280300000,2033500000,2285300000,2050300000,2012000000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,250000,298000,315000,318000,321000,323000,374000,386000,416000,400000,500000,400000,400000,400000,400000,400000,400000,400000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257570000,270760000,288837000,343161000,435971000,535304000,644141000,703765000,827467000,951280000,1115000000,1199400000,1188900000,1291100000,1452000000,1611600000,1777900000,1886700000,2010700000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5837000,-1892000,482000,3322000,-228000,2180000,-142429000,-48597000,-1700000,-105221000,-65300000,-59800000,-151000000,-255000000,-318100000,-164000000,-251400000,-237800000,-163300000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381423000,398704000,538179000,647996000,749975000,858029000,825328000,1167824000,1361960000,1535931000,1953400000,2056200000,1934400000,1937300000,2038800000,2325500000,2310500000,2351100000,2544400000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,731936000,729551000,1346760000,1331506000,1427925000,1851705000,2011842000,2099993000,2413934000,3226047000,3526000000,3597300000,3362700000,4546200000,4319100000,4359000000,4595800000,4401400000,4556400000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2052000,4894000,5292000,11048000,9634000,10542000,11654000,12244000,35202000,40468000,43100000,46200000,44900000,45500000,39400000,29200000,28000000,29300000,32600000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,733988000,734445000,1352052000,1342554000,1437559000,1862247000,2023496000,2112237000,2449136000,3266515000,3569100000,3643500000,3407600000,4591700000,4358500000,4388200000,4623800000,4430700000,4589000000,- -
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82811/000008281121000043/0000082811-21-000043-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,11500000,10700000,5500000,9500000,14300000,23100000,32800000,32300000,38900000,43000000,38100000,33771000,19590000,24518000,25206000,30434000,69557000,109806000,118347000,128587000,95048000,149379000,152290000,195600000,120000000,31000000,143300000,203400000,213000000,231200000,238900000,189300000,- -
74,Depreciation and Amortization,- -,- -,- -,- -,3700000,4000000,4500000,7000000,8700000,9000000,10200000,10600000,18900000,22000000,23100000,25549000,31798000,23174000,22072000,21613000,37627000,37682000,46619000,61601000,69144000,72869000,98238000,126000000,128500000,138700000,159400000,155400000,137200000,142400000,134500000,131400000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-1200000,-1000000,200000,-700000,-200000,-500000,-800000,-100000,13800000,3700000,1700000,7678000,3014000,4103000,2377000,1089000,-811000,5376000,7091000,7903000,7718000,690000,2265000,6500000,-5500000,-26400000,-10400000,-1600000,-9700000,13200000,22400000,-16500000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4580000,4752000,6747000,14284000,9000000,11400000,11900000,13900000,13300000,13600000,16900000,13000000,9200000,- -
77,Change in Working Capital,- -,- -,- -,- -,6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157405000,- -,2696000,119609000,-11221000,41758000,106324000,13689000,240050000,18399000,77916000,239375000,19000000,65700000,-68300000,-192000000,32000000,271800000,-87000000,-17900000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16900000,-3400000,28600000,-10400000,-31000000,-56500000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,7200000,5500000,4200000,5400000,2200000,-3600000,-900000,3700000,500000,-5800000,7100000,-5686000,17014000,-311000,6483000,-16481000,28355000,-47146000,18002000,-8882000,86593000,-56369000,21011000,40900000,-52700000,-55400000,11100000,100400000,-83000000,-42700000,68600000,-3700000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22553000,-39327000,24457000,-41285000,-5300000,44500000,6900000,-22300000,7600000,37700000,41100000,-80300000,15200000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157405000,157405000,160101000,279710000,268489000,310247000,416571000,430260000,670310000,688709000,766625000,1006000000,1025000000,1090700000,1022400000,830400000,862400000,1134200000,1047200000,1029300000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,4300000,9900000,6800000,1600000,-4000000,-6500000,10900000,7200000,-18300000,7400000,-14909000,-130038000,2614000,6614000,-134581000,17059000,-101074000,-77755000,-62161000,-101793000,-72696000,-79697000,-224775000,31600000,77300000,143200000,261100000,-94200000,-312800000,86700000,139900000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,- -,20400000,18000000,20100000,22600000,24400000,27600000,35700000,53700000,78800000,50400000,70300000,52089000,81769000,54409000,58965000,38164000,112211000,93548000,200626000,154199000,314919000,175388000,265296000,351700000,305000000,298200000,381100000,439600000,291900000,362700000,408500000,435400000,- -
84,CAPEX,- -,- -,- -,- -,-4000000,-7600000,-7500000,-6500000,-8500000,-7500000,-13700000,-11100000,-295400000,-14800000,-43500000,-16994000,-15426000,-10754000,-17965000,-16281000,-28261000,-52545000,-36628000,-52209000,-33604000,-44994000,-57621000,-82300000,-91000000,-88200000,-92200000,-65200000,-65200000,-77600000,-92400000,-47500000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-269232000,-3629000,-1939000,-717000,-327851000,- -,-10962000,-337643000,-49702000,-1500000,-211916000,-765882000,-110400000,-38400000,-127300000,-1401400000,24600000,1100000,-160800000,157900000,300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117553000,-416797000,- -,-13000000,-32200000,-46700000,-55400000,-53700000,-900000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,477514000,55998000,4700000,32900000,44800000,45600000,72600000,900000,500000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-17200000,2000000,-9600000,-32200000,1000000,-9200000,2900000,-100000,900000,-1300000,-1200000,1206000,809000,744000,2092000,5623000,16468000,20189000,637000,2238000,1033000,1496000,15363000,12100000,3300000,12500000,15800000,2100000,6300000,10000000,8800000,10200000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-21200000,-5600000,-17100000,-38700000,-7500000,-16700000,-10800000,-11200000,-294500000,-16100000,-44700000,-285020000,-18246000,-11949000,-16590000,-338509000,-11793000,-43318000,-373634000,-99673000,-151624000,-194697000,-752142000,-197600000,-125400000,-204900000,-1487600000,-19600000,-57800000,-227900000,74300000,-37000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174844000,-99949000,-50693000,-295222000,-432700000,-122400000,-491500000,-785000000,-923000000,-1547800000,-2102800000,-1348600000,-1158900000,- -
91,Common Stock Issued,- -,- -,- -,- -,400000,300000,100000,300000,200000,300000,500000,600000,1200000,2000000,700000,194000,188000,90240000,- -,848000,54982000,6942000,2190000,- -,150370000,- -,- -,202900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1685000,-1042000,- -,- -,-12501000,- -,- -,- -,-4191000,- -,- -,- -,- -,- -,-35000000,-12000000,- -,-49100000,-131300000,-176000000,-28600000,- -
