,https://roic.ai/company/FOLD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17464000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,531739,267338,267000,267000,485000,267000,709000,442000,552000,502000,1108000,- -,5200000,6683000,28317000,19095000,24427000
45,Total Non-Current Assets,- -,- -,3810626,4625250,4057000,5186000,4884000,2871000,3147000,5471000,39285000,55390000,691783000,- -,235059000,238855000,330134000,307051000,308306000
46,Other Assets,501000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,501000,- -,28669954,59645574,167097000,128773000,85370000,112552000,69795000,110088000,127563000,209967000,908384000,- -,627024000,789951000,850207000,886520000,905140000
48,Accounts Payable,- -,- -,906226,1195318,530000,8796000,- -,- -,2576000,2115000,2146000,5874000,16477000,- -,7867000,6606000,21722000,17063000,21513000
49,Short-Term Debt,- -,- -,279265,1307451,1527000,877000,1558000,1293000,1044000,398000,299000,3840000,- -,283000,307000,- -,7189000,6872000,7409000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,11177000,6154000
51,Deferred Revenue,- -,- -,- -,- -,3801000,3705000,- -,6640000,8504000,- -,- -,- -,- -,- -,- -,- -,- -,4896000,- -
52,Other Current Liabilities,- -,- -,1407025,7703775,9935000,- -,9635000,8290000,7132000,6730000,8016000,10471000,57139000,- -,61866000,79519000,99901000,100845000,117053000
53,Total Current Liabilities,- -,- -,2592516,10206544,15793000,13378000,11193000,16223000,19256000,9243000,10461000,20185000,73616000,283000,70040000,86125000,128812000,129676000,145975000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2296000,1044000,- -,299000,14174000,10510000,41601000,- -,164167000,321740000,149505000,389254000,432720000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,25639000,18999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9186000,9186000,176219000,- -,6465000,6465000,5051000,4896000,4930000
57,Other Non-Current Liabilities,- -,- -,61907371,126954464,48007000,44352000,48000,4712000,1948000,31326000,47991000,47908000,269114000,- -,33502000,32709000,90414000,76314000,14146000
58,Total Non-Current Liabilities,- -,- -,61907371,126954464,48007000,44352000,2344000,31395000,20947000,31625000,71351000,67604000,486934000,- -,204134000,360914000,244970000,470464000,451796000
59,Other Liabilities,5776000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,734370,2256092,1194000,317000,353000,40000,- -,- -,- -,- -,- -,283000,307000,- -,60720000,52476000,50772000
61,Total Liabilities,5776000,- -,64499887,137161008,63800000,57730000,13537000,47618000,40203000,40868000,81812000,87789000,560550000,- -,274174000,447039000,373782000,600140000,597771000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,40352,70288,285000,287000,287000,406000,407000,556000,679000,1015000,1306000,- -,1721000,1942000,2598000,2650000,2808000
64,Retained Earnings,-8503000,- -,-37322440,-83667350,-124834000,-164189000,-170756000,-225692000,-270104000,-318889000,-378522000,-447448000,-579566000,- -,-1063610000,-1412222000,-1768610000,-2045462000,-2295922000
65,Other Comprehensive Income/Loss,- -,- -,-2562985,14752,408000,533000,43000,-28000,4000,14000,1000,-132000,-115000,2047000,-2095000,68000,2825000,8227000,4981000
66,Other Total Stockholders Equity,3228000,- -,4015140,6066876,227438000,234412000,242259000,290248000,299285000,387539000,423593000,568743000,926209000,- -,- -,1753124000,2239612000,2320965000,- -
67,Total Stockholders Equity,-5275000,- -,-35829933,-77515434,103297000,71043000,71833000,64934000,29592000,69220000,45751000,122178000,347834000,360151000,352850000,342912000,476425000,286380000,307369000
68,Total Liabilities And Stockholders Equity,501000,- -,28669954,59645574,167097000,128773000,85370000,112552000,69795000,110088000,127563000,209967000,908384000,- -,627024000,789951000,850207000,886520000,905140000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,501000,- -,28669954,59645574,167097000,128773000,85370000,112552000,69795000,110088000,127563000,209967000,908384000,- -,627024000,789951000,850207000,886520000,905140000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1178879/000089322008000264/0000893220-08-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000136231009001208/0001362310-09-001208-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000095012310023137/0000950123-10-023137-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000095012311022110/0000950123-11-022110-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000119312512085717/0001193125-12-085717-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746913002611/0001047469-13-002611-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746914001702/0001047469-14-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746915001585/0001047469-15-001585-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746916010563/0001047469-16-010563-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746917001128/0001047469-17-001128-index.html,- -,https://www.sec.gov/Archives/edgar/data/1178879/000117887919000024/0001178879-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887920000015/0001178879-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887921000004/0001178879-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887922000006/0001178879-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-19972289,-46344910,-41167000,-39355000,-6567000,-54936000,-44412000,-48785000,-59633000,-68926000,-132118000,-200042000,-284002000,-348995000,-356388000,-276852000,-250460000
74,Depreciation and Amortization,- -,- -,667383,952452,1237000,1493000,2132000,2058000,1585000,1705000,1719000,1547000,1833000,3242000,3593000,4216000,4775000,8846000,6209000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3742000,-167305000,- -,-1415000,-155000,34000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,7787000,6186000,8679000,6191000,6177000,6008000,9972000,17504000,23101000,29260000,44430000,49151000,57838000
77,Change in Working Capital,- -,- -,788612,22546968,102433220,-37038000,-40916000,24165000,-46066000,47982000,-17557000,56575000,8593000,-142985000,321925000,143046000,-73710000,58532000,-18585000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1818000,2466000,1083000,- -,-1419000,-7725000,-13294000,-11114000,-11219000,-8189000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3651000,-897000,-4205000,-5114000,-4639000,-7790000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7430000
81,Other Working Capital,- -,- -,22266812,44813780,147247000,110209000,69293000,93458000,47392000,95374000,77817000,134392000,142985000,- -,321925000,464971000,391261000,449793000,-4117000
82,Other Non-Cash Items,- -,- -,391945,-11043300,-47311220,38037000,-5807000,8544000,30792000,-40837000,23500000,-46873000,11581000,175489000,-112797000,-127482000,131892000,-72812000,2473000
83,Cash Provided by Operating Activities,- -,- -,-18124349,-33888790,15192000,-36863000,-43371000,-13983000,-49422000,-33744000,-45794000,-51669000,-100139000,-150534000,-215485000,-299955000,-250416000,-233290000,-202491000
84,CAPEX,- -,- -,-3040442,-2031477,-669000,-2667000,-1807000,-384000,-1420000,-4324000,-695000,-238000,-4817000,-5951000,-4526000,-6308000,-20012000,-3227000,-3884000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141060000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-16989847,-62013520,-200743000,-153687000,-98173000,-113660000,-50602000,-118459000,-56559000,-162752000,-289595000,-219932000,-490468000,-578394000,-383882000,-365178000,-341398000
87,Sales/Maturities of Investments,- -,- -,3092620,37441039,126370000,178100000,131848000,94602000,98474000,83352000,83337000,55914000,290129000,221374000,323753000,463502000,499047000,354826000,424043000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6308000,-20012000,-3227000,-3884000
89,Cash Used for Investing Activites,- -,- -,-16937669,-26603958,-75042000,21746000,31868000,-19442000,46452000,-39431000,26083000,-107076000,-145343000,-4509000,-171241000,-121200000,95153000,-13579000,78761000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1049000,-1565000,-1293000,-1342000,-398000,-299000,-15291000,-80193000,-308000,-334000,-420000,-155325000,-479000
91,Common Stock Issued,- -,- -,40415043,63620270,92753000,530000,- -,45214000,- -,80195000,15000000,135805000,243042000,97068000,243037000,294584000,188994000,- -,199750000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,839090,2549908,-842000,-1528000,3818000,9000,359000,2625000,14778000,3673000,63142000,255840000,4705000,156525000,28928000,418183000,12802000
95,Cash Used/Provided by Financing Activities,- -,- -,41254133,66170178,91911000,-998000,2769000,43658000,-934000,81478000,29380000,139179000,290893000,272715000,247434000,450775000,217502000,262858000,212073000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000,1326000,1518000,1729000,3830000,-5049000
97,Net Change In Cash,- -,- -,6192115,5677430,32061000,-16115000,-8734000,10233000,-3904000,8303000,9669000,-19566000,45411000,117541000,-137966000,31138000,63968000,19819000,83294000
98,Cash at the End of Period,- -,- -,6449151,12126581,44188000,28073000,19339000,29572000,25668000,33971000,43640000,24074000,69485000,187026000,49060000,82375000,146343000,166162000,249456000
99,Cash at the Beginning of Period,- -,- -,257036,6449151,12127000,44188000,28073000,19339000,29572000,25668000,33971000,43640000,24074000,69485000,187026000,51237000,82375000,146343000,166162000
100,Free Cash Flow,- -,- -,-21164791,-35920267,14523000,-39530000,-45178000,-14367000,-50842000,-38068000,-46489000,-51907000,-104956000,-156485000,-220011000,-306263000,-270428000,-236517000,-206375000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1178879/000089322008000264/0000893220-08-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000136231009001208/0001362310-09-001208-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000095012310023137/0000950123-10-023137-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000095012311022110/0000950123-11-022110-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000119312512085717/0001193125-12-085717-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746913002611/0001047469-13-002611-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746914001702/0001047469-14-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746915001585/0001047469-15-001585-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746916010563/0001047469-16-010563-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746917001128/0001047469-17-001128-index.html,- -,https://www.sec.gov/Archives/edgar/data/1178879/000117887919000024/0001178879-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887920000015/0001178879-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887921000004/0001178879-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887922000006/0001178879-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,
