,https://roic.ai/company/CLNE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368265/000104746908003095/0001047469-08-003095-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746909002732/0001047469-09-002732-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746910002013/0001047469-10-002013-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746911001969/0001047469-11-001969-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746912002470/0001047469-12-002470-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746913001945/0001047469-13-001945-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746914001483/0001047469-14-001483-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746915001290/0001047469-15-001290-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826516000012/0001368265-16-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826517000006/0001368265-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826518000010/0001368265-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826519000004/0001368265-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000155837020002326/0001558370-20-002326-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1368265/000155837022001985/0001558370-22-001985-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6774456,1299746,28763445,937445,67937602,36284431,67086965,55194000,238125000,108522000,240033000,92381000,43724000,36119000,36081000,30624000,49207000,108977000,99448000
32,Short-Term Investments,- -,- -,- -,- -,- -,12479684,2500000,- -,- -,33329000,38175000,138240000,122546000,102944000,73718000,141462000,65646000,56929000,29528000,129722000
33,Cash and Short-Term Investments,- -,6774456,1299746,28763445,937445,80417286,38784431,67086965,55194000,271454000,146697000,378273000,214927000,146668000,109837000,177543000,96270000,106136000,138505000,229170000
34,Net Receivables,- -,- -,10844541,15100397,48816233,34180794,23526145,22788877,72925000,76056000,75402000,79758000,138193000,134312000,101366000,83196000,84409000,146658000,85439000,111880000
35,Inventory,- -,- -,1366829,1947908,2558689,2403890,3110731,6662505,20483000,35287000,38152000,33822000,34696000,29289000,29544000,35238000,34975000,29874000,28100000,31302000
36,Other Current Assets,- -,- -,5820079,10681214,4862335,19149245,9740133,11861586,13459000,18819000,24447000,29243000,25823000,19170000,21017000,8920000,9952000,11124000,10995000,37584000
37,Total Current Assets,- -,- -,19331195,56492964,57174702,136151215,75161440,108399933,162061000,401616000,284698000,521096000,413639000,329439000,261764000,304897000,225606000,293792000,263039000,409936000
38,PP&E,- -,- -,29011188,48005204,54888739,88676318,160593665,172182436,211643000,277334000,428177000,487854000,514269000,516324000,483923000,367305000,350568000,352539000,316878000,304298000
39,Goodwill,- -,- -,21133164,20993059,20957589,20922098,20797878,21572020,71814000,73741000,75865000,88548000,98726000,91967000,93018000,64328000,64328000,64328000,64328000,64328000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,21400558,34921361,112174000,102103000,99282000,79770000,55361000,42644000,38700000,3590000,2207000,1229000,464000,5500000
41,Intangible Assets,- -,- -,21133164,20993059,20957589,20922098,42198436,56493381,183988000,175844000,175147000,168318000,154087000,134611000,131718000,67918000,66535000,65557000,64792000,69828000
42,Investments,- -,- -,- -,- -,- -,- -,5000000,10536405,10748000,16459000,2581000,- -,6510000,5695000,3475000,30395000,26079000,26305000,27962000,109811000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10336460,3122423,3911606,3275313,7420859,8186418,15059000,71454000,84597000,73697000,71904000,19723000,16377000,21397000,30294000,38892000,42356000,63197000
45,Total Non-Current Assets,- -,- -,60480812,72120686,79757934,112873729,215212960,247398640,421438000,541091000,690502000,729869000,746770000,676353000,635493000,487015000,473476000,483293000,451988000,547134000
46,Other Assets,- -,73117214,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,73117214,79812007,128613650,136932636,249024944,290374400,355798573,583499000,942707000,975200000,1250965000,1160409000,1005792000,897257000,791912000,699082000,777085000,715027000,957070000
48,Accounts Payable,- -,- -,5838761,9560274,6697363,10547451,14276591,14775406,28635000,36668000,39216000,33541000,43922000,26906000,23637000,17901000,19024000,27376000,17310000,24352000
49,Short-Term Debt,- -,- -,827071,4817860,57499,63520,2232875,2439263,22712000,22925000,30389000,23401000,4846000,150129000,5943000,139699000,5405000,59987000,7254000,17242000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4483000,5448000,5178000,5344000,4572000,4582000,3397000,3732000,3094000,3369000
51,Deferred Revenue,- -,- -,240083,623828,585505,677826,1060582,2691007,17507000,21267000,13521000,16419000,14683000,10549000,7041000,3432000,7361000,7338000,2642000,7251000
52,Other Current Liabilities,- -,- -,4049653,14064236,5023051,5381541,6647454,9695443,28137000,28255000,30794000,46745000,56760000,59082000,52601000,42268000,48469000,67861000,52637000,77059000
53,Total Current Liabilities,- -,- -,10955568,29066198,12363418,16670338,24217502,29601119,96991000,109115000,113920000,120106000,120211000,246666000,89222000,203300000,80259000,162562000,79843000,125904000
54,Long-Term Debt,- -,- -,4760482,- -,224897,- -,22850927,9781425,41704000,266497000,300636000,597017000,565824000,422285000,306433000,120388000,78779000,32872000,108338000,65073000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1112083,4210416,- -,- -,2297446,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,920450,1847168,1428464,1422132,- -,36039864,28588000,22687000,14014000,15304000,9339000,7896000,7915000,18566000,15035000,38622000,3996000,10682000
58,Total Non-Current Liabilities,- -,- -,6793015,6057584,1653361,1422132,25148373,45821289,70292000,289184000,314650000,612321000,575163000,430181000,314348000,138954000,93814000,71494000,112334000,75755000
59,Other Liabilities,- -,23166888,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,334446,282396,- -,161377,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32895000,29912000,46255000
61,Total Liabilities,- -,23166888,17748583,35123782,14016779,18092470,49365875,75422408,167283000,398299000,428570000,732427000,695374000,676847000,403570000,342254000,174073000,234056000,192177000,201659000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2083,2556,3419,4428,5024,5984,7000,9000,9000,9000,9000,9000,15000,15000,20000,20000,20000,22000
64,Retained Earnings,- -,- -,50933,17308520,-60192221,-69086583,-109943257,-149410111,-151926000,-199559000,-300814000,-367782000,-457441000,-591683000,-603836000,-683570000,-688653000,-668232000,-678096000,-771242000
65,Other Comprehensive Income/Loss,- -,- -,1254886,1423743,1425798,2147884,853837,2012573,-3996000,-1216000,6151000,-700000,-3248000,-20973000,-17675000,-887000,-2138000,-1566000,-209000,-1622000
66,Other Total Stockholders Equity,- -,49950326,60755522,74755049,181678861,297866745,346466999,424580895,569202000,741650000,837367000,883045000,898106000,915199000,1090361000,1111432000,1198769000,1203186000,1191791000,1519918000
67,Total Stockholders Equity,- -,49950326,62063424,93489868,122915857,230932474,237382603,277189341,413287000,540884000,542713000,514572000,437426000,302552000,468865000,426990000,507998000,533408000,513506000,747076000
68,Total Liabilities And Stockholders Equity,- -,73117214,79812007,128613650,136932636,249024944,286748478,352611749,580570000,939183000,971283000,1246999000,1132800000,979399000,872435000,769244000,682071000,767464000,705683000,948735000
69,Minority Interest,- -,- -,- -,- -,- -,- -,3625922,3186824,2929000,3524000,3917000,3966000,27609000,26393000,24822000,22668000,17011000,9621000,9344000,8335000
70,Total Liabilities & Equity,- -,73117214,79812007,128613650,136932636,249024944,290374400,355798573,583499000,942707000,975200000,1250965000,1160409000,1005792000,897257000,791912000,699082000,777085000,715027000,957070000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368265/000104746908003095/0001047469-08-003095-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746909002732/0001047469-09-002732-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746910002013/0001047469-10-002013-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746911001969/0001047469-11-001969-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746912002470/0001047469-12-002470-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746913001945/0001047469-13-001945-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746914001483/0001047469-14-001483-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746915001290/0001047469-15-001290-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826516000012/0001368265-16-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826517000006/0001368265-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826518000010/0001368265-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826519000004/0001368265-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000155837020002326/0001558370-20-002326-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1368265/000155837022001985/0001558370-22-001985-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,2129241,17257587,-77500741,-8894362,-40856674,-33248701,-2516000,-47633000,-101255000,-66968000,-89659000,-134242000,-12153000,-79237000,-3790000,20421000,-9864000,-93146000
74,Depreciation and Amortization,- -,- -,3810419,3948544,5765001,7107942,9623672,16991695,22487000,30406000,36261000,42318000,49058000,55219000,59262000,56614000,51850000,52859000,47682000,45184000
75,Deferred Income Tax,- -,- -,1679795,4861314,-7020994,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738000,120000,69000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,14070888,11920000,13473000,22087000,23008000,11514000,10779000,8092000,8123000,5307000,3880000,2957000,98635000
77,Change in Working Capital,- -,- -,-5836603,19051139,17384518,74669593,-68536939,27854876,-13728814,227431000,-121723000,230212000,-107562000,-210655000,89769000,-70945000,43750000,-14117000,- -,-15736000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3329000,- -,-441000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-465553,-581079,-610781,154799,-706841,5861810,-4597000,-14622000,-1879000,-637000,-979000,5407000,-1520000,963000,-1065000,3439000,108000,-5704000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,925541,999000,8033000,-328000,-6962000,9126000,-12005000,-764000,-8964000,679000,9316000,-9337000,6615000
81,Other Working Capital,- -,- -,8375627,27426766,44811284,119480877,50943938,78798814,65070000,292501000,170778000,400990000,293428000,82773000,172542000,101597000,145347000,131230000,183196000,4550000
82,Other Non-Cash Items,- -,- -,-9740919,-8512202,24760793,-65782067,97694038,-12397846,-22198186,-234894000,144874000,-233264000,60644000,266803000,-98908000,80018000,-59135000,-51502000,20146000,6292000
83,Cash Provided by Operating Activities,- -,- -,-7958067,36606382,-36611423,7101106,-2075903,13270912,-4036000,-11217000,-19756000,-4694000,-76005000,-12096000,46062000,-5427000,37982000,12279000,61041000,41298000
84,CAPEX,- -,- -,-6314195,-22320940,-12414066,-57422255,-78031747,-30498501,-50534000,-85798000,-192894000,-86730000,-88628000,-51415000,-23640000,-36307000,-25263000,-27088000,-13273000,-28905000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-19274948,-10362312,-20473000,-1000000,-1168000,-4059000,33593000,1118000,648000,150157000,871000,7582000,-650000,-78919000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-45230061,-5633717,-427000,-38041000,-55062000,-170935000,-157629000,-158840000,-137023000,-340194000,-348091000,-171080000,-74292000,-324170000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6860115,57709745,- -,- -,- -,49504000,93289000,171902000,176969000,165695000,272220000,425804000,180704000,101850000,223991000
88,Other Investing Activites,- -,- -,400000,- -,- -,- -,-7444151,3083714,2700000,-56987000,35673000,13453000,-6127000,-1701000,-4608000,1786000,1048000,8380000,10535000,344000
89,Cash Used for Investing Activites,- -,- -,-5914195,-22320940,-12414066,-50562140,-92271162,-43410816,-68734000,-181826000,-163947000,-154982000,-46889000,-33869000,1072000,47662000,54369000,-1502000,24170000,-207659000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-20022685,- -,-66668000,-44775000,-47914000,-81390000,-6322000,-237851000,-54519000,-194886000,-7795000,-70399000,-52187000
91,Common Stock Issued,- -,- -,9637014,14000000,21994709,110518690,37834989,- -,- -,- -,- -,677000,2300000,6314000,103591000,10767000,83438000,309000,1683000,204455000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14647000,-2916000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1239462,-821743,-795220,-57499,24858905,80965123,62615000,444496000,98395000,337956000,53305000,415000,78637000,589000,16239000,15171000,64706000,3480000
95,Cash Used/Provided by Financing Activities,- -,- -,8397552,13178257,21199489,110461191,62693894,60942438,62615000,377828000,53620000,290719000,-25785000,407000,-55623000,-43163000,-95209000,7685000,-18657000,152832000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1738000,-1854000,480000,468000,1027000,-3099000,884000,890000,274000,136000,201000,8000
97,Net Change In Cash,- -,- -,-5474710,27463699,-27826000,67000157,-31653171,30802534,-11893000,182931000,-129603000,131511000,-147652000,-48657000,-7605000,-38000,-2584000,18598000,66755000,-13521000
98,Cash at the End of Period,- -,- -,1299746,28763445,937445,67937602,36284431,67086965,55194000,238125000,108522000,240033000,92381000,43724000,36119000,36081000,34624000,53222000,119977000,106456000
99,Cash at the Beginning of Period,- -,- -,6774456,1299746,28763445,937445,67937602,36284431,67087000,55194000,238125000,108522000,240033000,92381000,43724000,36119000,37208000,34624000,53222000,119977000
100,Free Cash Flow,- -,- -,-14272262,14285442,-49025489,-50321149,-80107650,-17227589,-54570000,-97015000,-212650000,-91424000,-164633000,-63511000,22422000,-41734000,12719000,-14809000,47768000,12393000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368265/000104746908003095/0001047469-08-003095-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746909002732/0001047469-09-002732-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746910002013/0001047469-10-002013-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746911001969/0001047469-11-001969-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746912002470/0001047469-12-002470-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746913001945/0001047469-13-001945-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746914001483/0001047469-14-001483-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000104746915001290/0001047469-15-001290-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826516000012/0001368265-16-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826517000006/0001368265-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826518000010/0001368265-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000136826519000004/0001368265-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1368265/000155837020002326/0001558370-20-002326-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1368265/000155837022001985/0001558370-22-001985-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
