,https://roic.ai/company/MODV,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-4277604,-2541423,-257363,-764837,601121,-1601512,-18599527,-20432397,-16011848,-9753723,-7507724,-7419000,-14563000,-26326000,-10495000,28171000,-1364000,-30258000,-8739000,-49081000
20,Income Before Tax,-4539870,4337958,11320427,15732408,16042310,24110655,-167916215,33292665,41291503,26885442,16692780,31215000,27777000,-2330000,-1878000,64204000,22912000,-5526000,114419000,40690000
21,Income Before Tax Ratio,-0.1996,0.0732,0.1167,0.1080,0.0836,0.0845,-0.2428,0.0416,0.0469,0.0285,0.0151,0.0278,0.0188,-0.0014,-0.0012,0.0395,0.0165,-0.0037,0.0836,0.0204
22,Income Tax expense (Gain),179608,1691804,4235363,6306962,6660992,9721981,-12311542,12167058,17664860,9945248,8210541,11777000,7502000,16276000,17036000,4401000,4684000,-573000,24805000,8729000
23,Net Income,-4719478,2646154,7085064,9425446,9381318,14388674,-155604673,21125607,23626643,16940194,8482239,19438000,20275000,83696000,91928000,53369000,-18981000,966000,88836000,-6585000
24,Net Income ratio,-0.2075,0.0446,0.0731,0.0647,0.0489,0.0505,-0.2250,0.0264,0.0269,0.0180,0.0077,0.0173,0.0137,0.0494,0.0582,0.0329,-0.0137,0.0006,0.0649,-0.0033
25,EPS,-2.42,-0.25,0.77,0.97,0.82,1.21,-12.42,1.61,1.79,1.28,0.64,1.44,1.37,4.30,5.07,3.08,-1.95,-0.26,2.39,-0.47
26,EPS Diluted,-2.42,-0.25,0.76,0.95,0.80,1.19,-12.42,1.60,1.78,1.27,0.64,1.41,1.35,4.30,5.07,3.06,-1.95,-0.26,2.37,-0.47
27,Weighted Average Shares Outstanding,2029053,4432043,9216988,9667416,11472408,11744856,12531869,13130092,13194226,13242702,13225448,13499885,14765303,15960905,14666896,13602140,12960837,12958713,13567323,13993438
28,Weighted Average Shares Outstanding Diluted,2029053,4432043,9355480,9884878,11676323,11926575,12531869,13211393,14964516,13321609,13354613,13809874,15018561,15960905,14666896,13673314,13033247,12958713,13683308,13993438
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1220754/000119312511145061/0001193125-11-145061-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1220754/000119312513109980/0001193125-13-109980-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774914007326/0001437749-14-007326-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774915005193/0001437749-15-005193-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774916030399/0001437749-16-030399-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774917004218/0001437749-17-004218-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075418000026/0001220754-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075419000038/0001220754-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075420000007/0001220754-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075421000008/0001220754-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075422000007/0001220754-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1019171,15004235,10657483,8994243,40702730,35378645,29364247,51157429,61260661,43183878,55862832,98995000,160406000,84770000,72262000,95310000,5678000,61365000,183281000,133139000
32,Short-Term Investments,- -,3972560,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137466000,- -
33,Cash and Short-Term Investments,1019171,18976795,10657483,8994243,40702730,35378645,29364247,51157429,61260661,43183878,55862832,98995000,160406000,84770000,72262000,95310000,5678000,61365000,320747000,133139000
34,Net Receivables,7682079,12776401,23846286,33732378,47980413,83089642,85055347,92066036,85881209,92301542,103889870,95425000,158210000,194347000,177681000,167909000,152602000,183812000,210617000,233121000
35,Inventory,- -,- -,- -,- -,- -,230124,75598,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,877766,1563575,4008071,7244804,7049633,23259967,27168532,24151257,24426400,22607978,16446591,17252000,56030000,40607000,44968000,33110000,52700000,11250000,-104748000,43574000
37,Total Current Assets,9579016,33316771,38511840,49971425,95732776,141958378,141663724,167374722,171568270,158093398,176199293,211672000,374646000,319724000,294911000,296329000,210980000,256427000,426616000,409834000
38,PP&E,1118553,1772201,2315911,2384776,2783651,11561671,11983368,11166272,16401107,28563149,30379614,32709000,57148000,57787000,46220000,50377000,22965000,43338000,58472000,97299000
39,Goodwill,- -,- -,- -,- -,56656263,280710297,112770566,113672945,113783389,113736998,113915468,113263000,355641000,340029000,119624000,121668000,135216000,135216000,444927000,- -
40,Intangible Assets,12535323,14415110,32227953,64227755,29037131,98254118,81555587,73963261,66441817,59473774,49651202,43476000,340673000,285951000,49124000,43939000,26146000,19912000,345652000,- -
41,Intangible Assets,12535323,14415110,32227953,64227755,85693394,378964415,194326153,187636206,180225206,173210772,163566670,156739000,696314000,625980000,168748000,165607000,161362000,155128000,790579000,1415000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161363000,169912000,161503000,130869000,137466000,83069000
43,Tax Assets,- -,1543050,606694,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,4003000,4632000,2601000,- -,- -,- -
44,Other Non-Current Assets,1560644,2240661,2258258,2428718,8125060,19499191,17689988,16929466,18738912,19185508,21591844,23638000,37137000,50443000,19149000,17233000,12835000,11619000,12780000,22223000
45,Total Non-Current Assets,15214520,19971022,37408816,69041249,96602105,410025277,223999509,215731944,215365225,220959429,215538128,213086000,790599000,734252000,399483000,407761000,361266000,340954000,999297000,1617591000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24793536,53287793,75920656,119012674,192334881,551983655,365663233,383106666,386933495,379052827,391737421,424758000,1165245000,1053976000,694394000,704090000,572246000,597381000,1425913000,2027425000
48,Accounts Payable,1613289,1001315,1243444,2134166,2902284,14035128,3004608,4010560,2887837,4461250,4569307,3904000,48061000,30007000,22177000,15404000,8828000,9805000,8464000,8690000
49,Short-Term Debt,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,308000,90688000,31375000,308000,308000,308000,308000,8277000,9873000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,948434,182986,790582,4061760,3375231,8347258,5373742,2193997,7054783,16132000,39625000,55336000,52719000,34868000,10318000,15933000,104628000,4228000
52,Other Current Liabilities,7462716,6006318,8089932,16917252,24598309,78201496,83518936,104487252,105123535,99923556,120696733,153721000,161084000,178554000,152114000,176350000,123429000,124140000,203383000,504443000
53,Total Current Liabilities,9384005,7315633,10589810,19542404,28599175,96606384,90206775,117153070,113693114,106886803,132628823,174065000,339458000,295272000,227318000,226930000,142883000,150186000,324752000,527234000
54,Long-Term Debt,10743369,2100000,700000,14240902,618680,236468680,223493680,186732342,164190260,140493000,116000000,75250000,484525000,272470000,1890000,584000,353000,45000,485980000,1009749000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,3983036,4060677,30599952,10096297,11740340,11579849,12910325,10894295,9447000,93239000,93474000,67291000,41627000,25650000,22907000,92195000,- -
57,Other Non-Current Liabilities,9308680,139293,32882,- -,- -,- -,3975278,5143322,8721610,9740159,13526948,15359000,26609000,25052000,22655000,21386000,14970000,29531000,111376000,117175000
58,Total Non-Current Liabilities,20052049,2239293,732882,18223938,4679357,267068632,237565255,203616004,184491719,163143484,140421243,100056000,604373000,390996000,91836000,63597000,40973000,52483000,689551000,1126924000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,87269,139293,32882,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21232000,31714000,44397000
61,Total Liabilities,29436054,9554926,11322692,37766342,33278532,363675016,327772030,320769074,298184833,270030287,273050066,274121000,943831000,686268000,319154000,290527000,183856000,202669000,1014303000,1654158000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77576000,77565000,77546000,77392000,77120000,- -,- -
63,Common Stock,2029,8482,9487,9822,12171,12756,13462,13522,13580,13622,13786,14000,17000,17000,17000,17000,18000,18000,19000,- -
64,Retained Earnings,-6826807,-7929665,-844601,8580845,17962163,32350837,-123253836,-102128229,-78501586,-61561392,-53079153,-33641000,-13366000,69209000,156718000,204818000,187127000,183733000,218414000,- -
65,Other Comprehensive Income/Loss,-1117071,-1598375,-2970043,-3883910,-4158021,-5748839,-9975895,-14655563,-18731132,-22694035,-28888561,-33341000,-42280000,-44391000,-46735000,-60014000,-45221000,-51445000,-53048000,- -
66,Other Total Stockholders Equity,3299331,53252425,68403121,76539575,145240036,154044939,163840979,172147325,179007263,186303808,193680746,210644000,276993000,265749000,190095000,193361000,169074000,185286000,246225000,- -
67,Total Stockholders Equity,-4642518,43732867,64597964,81246332,159056349,180659693,30624710,55377055,81788125,102062003,111726818,143676000,221364000,368160000,377660000,415728000,388390000,394712000,411610000,373267000
68,Total Liabilities And Stockholders Equity,24793536,53287793,75920656,119012674,192334881,544334709,358396740,376146129,379972958,372092290,384776884,417797000,1165195000,1054428000,696814000,706255000,572246000,597381000,1425913000,2027425000
69,Minority Interest,- -,- -,- -,- -,- -,7648946,7266493,6960537,6960537,6960537,6960537,6961000,50000,-452000,-2420000,-2165000,- -,- -,- -,- -
70,Total Liabilities & Equity,24793536,53287793,75920656,119012674,192334881,551983655,365663233,383106666,386933495,379052827,391737421,424758000,1165245000,1053976000,694394000,704090000,572246000,597381000,1425913000,2027425000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1220754/000119312511145061/0001193125-11-145061-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1220754/000119312513109980/0001193125-13-109980-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774914007326/0001437749-14-007326-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774915005193/0001437749-15-005193-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774916030399/0001437749-16-030399-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774917004218/0001437749-17-004218-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075418000026/0001220754-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075419000038/0001220754-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075420000007/0001220754-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075421000008/0001220754-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075422000007/0001220754-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4719478,2646154,7085064,9425446,9381318,14388674,-155604673,21125607,23626643,16940194,8482239,19438000,20275000,83696000,91928000,53369000,-18981000,966000,88836000,-6585000
74,Depreciation and Amortization,361328,969552,1427530,2215316,3620799,5280624,12721494,12852107,12652027,13656305,15022969,14872000,29488000,58301000,47725000,26469000,27677000,16816000,26182000,56998000
75,Deferred Income Tax,136071,815251,7727,-68444,-316869,-501657,-14553560,2299614,1369316,-529941,-815907,-3282000,-5208000,-10000,44362000,-22996000,-52406000,71000,11919000,-17691000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,8760435,302071,1694371,3675066,3872549,3079000,7562000,26622000,5136000,7543000,8993000,5414000,3930000,5904000
77,Change in Working Capital,96648,25806127,1920892,2506991,36704580,-21781607,6104955,-1235297,7653504,-6668561,-7636125,-5963470,-2419000,-10736000,43141000,1806000,-1302000,38144000,-4377000,83358000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,28979,-9018734,-15713551,7845000,-17208000,-86627000,-19332000,5715000,-30997000,-29928000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2411914,18863000,28483000,-21900000,33365000,-9064000,-21799000,-4144000,126415000,- -
81,Other Working Capital,195011,26001138,27922030,30429021,67133601,45351994,51456949,50221652,57875156,51206595,43570470,37607000,35188000,24452000,67593000,69399000,68097000,106241000,101864000,- -
82,Other Non-Cash Items,5006858,-29981606,-8937926,-5624808,-42589429,20818245,154957335,25757240,-2970642,3965175,23561981,27093470,5497000,-144633000,-190809000,-11147000,43918000,-471000,221945000,64856000
83,Cash Provided by Operating Activities,881427,255478,1503287,8454501,6800399,18204279,12385986,61101342,44025219,31038238,42487706,55237000,55195000,13240000,41483000,55044000,7899000,60940000,348435000,186840000
84,CAPEX,-115502,-949051,-874869,-917184,-1075940,-1949038,-4664007,-3699385,-10265944,-11305219,-9522527,-10183000,-23242000,-35072000,-41216000,-19923000,-17521000,-10858000,-12150000,-21316000
85,Acquisitions Net,- -,-2971881,-15830579,-24335421,-17604500,-242176242,-10268421,-1037650,- -,-4889420,-190000,-989000,-416986000,180438000,357917000,15593000,-30931000,- -,-622862000,-664309000
86,Purchases of Investments,- -,-3955760,- -,-3510088,-148860,-320368,-185515,-194304,-2424630,-113151,- -,- -,-19000,-18000,-13663000,-3000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,444050,177000,- -,- -,239000,15593000,- -,- -,- -,- -
88,Other Investing Activites,128000,-321500,-2994769,- -,-6742306,-3135848,5379834,-696796,- -,1692025,2633252,-2848000,-3108000,-2058000,20628000,-7449000,3130000,- -,- -,- -
89,Cash Used for Investing Activites,12498,-8198192,-15700217,-28762693,-25571606,-247581496,-9738109,-5628135,-12690574,-14615765,-6635225,-13843000,-443355000,143290000,323905000,814000,-45322000,-10858000,-635012000,-685625000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-8739787,-34417087,-21983905,-146826270,-20515659,-82509000,-48625000,-305125000,-358385000,- -,-42000000,-12000000,-237000000,-125000000
91,Common Stock Issued,- -,36217376,13636340,2549756,66100533,2363172,469320,149667,470887,56232,949000,10069000,11019000,4894000,4108000,1921000,12413000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-10960461,-124760,- -,- -,-51066,-3658436,-547000,-524000,-36838000,-70378000,-29364000,-56088000,-6797000,-99224000,-40890000
93,Dividends Paid,- -,-1071187,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3928000,-4419000,-4418000,-4413000,-4403000,-1987000,- -
94,Other Financing Activites,-636160,-13218411,-3786162,16095196,-15620839,232460200,184908,140312,66372,112365541,26614,75038000,491226000,109742000,52535000,-1927000,38533000,22424000,746471000,614741000
95,Cash Used/Provided by Financing Activities,-636160,21927778,9850178,18644952,50479694,223862911,-8210319,-34127108,-21446646,-34455563,-23198481,2051000,453096000,-231255000,-376539000,-33788000,-51555000,-776000,408260000,448851000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,190221,-451956,447083,215233,-43693,24954,-313000,-3525000,-911000,-1357000,978000,-261000,- -,- -,- -
97,Net Change In Cash,257765,13985064,-4346752,-1663240,31708487,-5324085,-6014398,21793182,10103232,-18076783,12678954,43132000,61411000,-75636000,-12508000,23048000,-89239000,49306000,121683000,-49934000
98,Cash at the End of Period,1019171,15004235,10657483,8994243,40702730,35378645,29364247,51157429,61260661,43183878,55862832,98995000,160406000,84770000,72262000,95310000,12367000,61673000,183356000,133422000
99,Cash at the Beginning of Period,761406,1019171,15004235,10657483,8994243,40702730,35378645,29364247,51157429,61260661,43183878,55863000,98995000,160406000,84770000,72262000,101606000,12367000,61673000,183356000
100,Free Cash Flow,765925,-693573,628418,7537317,5724459,16255241,7721979,57401957,33759275,19733019,32965179,45054000,31953000,-21832000,267000,35121000,-9622000,50082000,336285000,165524000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1220754/000119312511145061/0001193125-11-145061-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1220754/000119312513109980/0001193125-13-109980-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774914007326/0001437749-14-007326-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774915005193/0001437749-15-005193-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774916030399/0001437749-16-030399-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000143774917004218/0001437749-17-004218-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075418000026/0001220754-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075419000038/0001220754-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075420000007/0001220754-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075421000008/0001220754-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1220754/000122075422000007/0001220754-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
