,https://roic.ai/company/NVFY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-Infinity,0.1243,0.0820,0.0621,0.0867,0.0202,-0.0121,0.0354,0.0598,-0.3912,-2.2976,-1.5580
25,EPS,-0.01,1.85,1.45,1.30,2.10,0.50,-0.20,0.70,0.95,-1.52,-4.54,-3.48
26,EPS Diluted,-0.01,1.85,1.45,1.25,2.10,0.50,-0.20,0.70,0.95,-1.52,-4.54,-3.48
27,Weighted Average Shares Outstanding,2461033,2901383,3706118,3775210,4076386,4565130,5086407,5535587,5678770,5666320,5740620,5740620
28,Weighted Average Shares Outstanding Diluted,2461033,2939441,3736289,3824477,4094051,4565130,5086407,5551172,5722656,5666320,5740620,5740620
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1473334/000118518513000706/0001185185-13-000706-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518514000695/novalifestyle10k123113.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518515000622/novalifestyle10k123114.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518516004004/0001185185-16-004004-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518517000929/novalifestyle10k123116.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518518000517/0001185185-18-000517-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518519000485/0001185185-19-000485-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518520000605/novalife20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518521000407/0001185185-21-000407-index.htm,https://www.sec.gov/Archives/edgar/data/1473334/000149315222009475/0001493152-22-009475-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2505179,3150492,2323338,1244308,988029,2587743,5722716,890408,7423198,8744784,6276106
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2505179,3150492,2323338,1244308,988029,2587743,5722716,890408,7423198,8744784,6276106
34,Net Receivables,- -,19206252,22455709,28108741,43057746,51106101,50437540,54040963,67466876,415098,1136114,224031
35,Inventory,- -,1848081,3240721,3353634,3612868,5254029,2781123,6374560,6371112,29724665,32814520,17656175
36,Other Current Assets,- -,620594,3374528,4325146,8778150,8484886,14242757,8779094,10721218,30935910,599485,1412641
37,Total Current Assets,- -,24180106,32221450,38110859,56693072,65833045,70049163,74917333,85449614,68498871,43294903,25568953
38,PP&E,- -,8812652,14054172,14304276,15889282,15326263,171276,157246,147096,2794856,2773260,3669414
39,Goodwill,- -,218606,218606,1027124,218606,218606,218606,218606,218606,218606,218606,218606
40,Intangible Assets,- -,724465,1216092,6976991,6493726,8062649,5686623,4202608,3795904,- -,- -,- -
41,Intangible Assets,- -,943071,1434698,8004115,6712332,8281255,5905229,4421214,4014510,218606,218606,218606
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,118144,- -,44334,- -,69451,874759,318961,436449,- -,117952,- -
44,Other Non-Current Assets,- -,763517,3043029,103122,1360647,237993,43260,43260,43260,43260,73801,72651
45,Total Non-Current Assets,- -,10637384,18531899,22455847,23962261,23914962,6994524,4940681,4641315,3056722,3183619,3960671
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,34817490,50753349,60566706,80655333,89748007,77043687,79858014,90090929,71555593,46478522,29529624
48,Accounts Payable,- -,6758058,7123534,6895254,10454485,9822857,2368775,1634554,4145927,417918,743785,358362
49,Short-Term Debt,- -,- -,6529178,820089,7592879,4604560,7977841,- -,6248162,- -,688082,731284
50,Tax Payable,- -,198984,- -,- -,- -,- -,- -,- -,- -,- -,1628694,1543472
51,Deferred Revenue,- -,91021,257191,43077,123673,187359,513880,19826,45309,26450,266243,- -
52,Other Current Liabilities,12520,1033112,1767994,1458157,3997072,2590395,780960,1026063,1393503,1020332,327173,724751
53,Total Current Liabilities,12520,7882191,15677897,9216577,22168109,17205171,11641456,2680443,11832901,1464700,2025283,1814397
54,Long-Term Debt,- -,- -,- -,6602258,- -,5659357,- -,4202118,- -,- -,150000,2727567
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,45370,- -,12199,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4075215,4664494,6018576,6692816,6891797,2136788,4527849,3351652,4044347,3374764,1543472
58,Total Non-Current Liabilities,- -,4075215,4709864,12620834,6705015,12551154,2136788,8729967,3351652,4044347,3524764,4271039
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692129,2434152,- -
61,Total Liabilities,12520,11957406,20387761,21837411,28873124,29756325,13778244,11410410,15184553,5509047,5550047,6085436
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2596,17898,18537,19206,20897,24254,27309,28192,28567,5741,5769,6837
64,Retained Earnings,-28260,5572436,11006319,15873780,24428428,26628670,26346431,29730794,35030419,26429695,351370,-19604882
65,Other Comprehensive Income/Loss,- -,2138974,2000000,3000000,3000000,2000000,-213474,-254322,-292001,-328487,798290,381850
66,Other Total Stockholders Equity,- -,- -,17340732,19836309,24332884,31338758,37105177,38942940,40139391,39939597,39773046,42660383
67,Total Stockholders Equity,-12520,22860084,30365588,38729295,51782209,59991682,63265443,68447604,74906376,66046546,40928475,23444188
68,Total Liabilities And Stockholders Equity,- -,34817490,50753349,60566706,80655333,89748007,77043687,79858014,90090929,71555593,46478522,29529624
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,34817490,50753349,60566706,80655333,89748007,77043687,79858014,90090929,71555593,46478522,29529624
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1473334/000118518513000706/0001185185-13-000706-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518514000695/novalifestyle10k123113.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518515000622/novalifestyle10k123114.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518516004004/0001185185-16-004004-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518517000929/novalifestyle10k123116.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518518000517/0001185185-18-000517-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518519000485/0001185185-19-000485-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518520000605/novalife20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518521000407/0001185185-21-000407-index.htm,https://www.sec.gov/Archives/edgar/data/1473334/000149315222009475/0001493152-22-009475-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-27735,5365165,5433883,4867461,8554648,2200242,-1118253,3764611,5299625,-8600724,-26078325,-19962493
74,Depreciation and Amortization,- -,- -,764596,1324881,1700758,1860598,603155,1524863,444383,510777,747814,853169
75,Deferred Income Tax,- -,- -,163370,-171938,180720,35127,-813760,175550,-117488,436449,-117952,- -
76,Stock Based Compensation,- -,- -,57292,581640,663317,1377328,1637362,2175973,1194759,369247,157439,130089
77,Change in Working Capital,13995,16310435,245638,12350729,5630681,14102911,9779833,13829183,1379823,-6582542,-25764551,-17515064
78,Accounts Receivable,- -,-11248094,-3596467,-3155909,-15066077,-8659276,-2022248,-12209271,-13463989,66423276,-125957,415699
79,Inventory,- -,4383,-1386750,-53035,-266023,-1798077,-266804,-3593437,3448,-26959301,-27096344,15961357
80,Accounts Payable,- -,3754075,351846,-3008918,3508782,-382438,-3856326,-734221,2511373,-3728008,325867,-385423
81,Other Working Capital,-12520,16297915,16543553,28894282,34524963,48627874,58407707,72236890,73616713,67034171,41269620,23754556
82,Other Non-Cash Items,- -,-22141366,-5837917,-18910011,-23185854,-23805514,-16509840,-22782666,-15083426,28752039,48980303,31711945
83,Cash Provided by Operating Activities,-13740,-465766,826862,42762,-6455730,-4229308,-6421503,-1312486,-6882324,14885246,-2075272,-4782354
84,CAPEX,- -,-926566,-5816526,-819333,-4149723,-2473664,-13494,-26818,-27529,-25902,-365043,-154820
85,Acquisitions Net,- -,-308769,-3000000,-3000000,- -,-2000000,13000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-819310,-5156358,-473873,-1266953,953992,-6888104,8250000,- -,- -,1037800,- -
89,Cash Used for Investing Activites,- -,-1854645,-8808163,-3975954,-4137725,-2473664,6098402,8223182,-27529,-25902,672757,-154820
90,Debt Repayment,- -,-1640085,- -,-17485192,-30439566,-36101507,-43934591,-52450165,-65530374,-23760366,- -,- -
91,Common Stock Issued,10280,3859933,1753849,- -,8119000,3645002,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-616193,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-540,1603938,6868090,20563627,31830939,38908577,45860245,48674442,67607919,17512205,466096,2760974
95,Cash Used/Provided by Financing Activities,9740,3823786,8621939,3078435,9510373,6452072,1925654,-3775723,2077545,-6864354,466096,2760974
96,Effect of Forex Changes on Cash,- -,16800,4675,27603,4052,-5379,-2839,- -,- -,- -,795805,- -
97,Net Change In Cash,9740,1520175,645313,-827154,-1079030,-256279,1599714,3134973,-4832308,7994990,-140614,- -
98,Cash at the End of Period,- -,2505179,3150492,2323338,1244308,988029,2587743,5722716,890408,8885398,8744784,- -
99,Cash at the Beginning of Period,4000,985004,2505179,3150492,2323338,1244308,988029,2587743,5722716,890408,8885398,8744784
100,Free Cash Flow,-13740,-1392332,-4989664,-776571,-10605453,-6702972,-6434997,-1339304,-6909853,14859344,-2440315,-4937174
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1473334/000118518513000706/0001185185-13-000706-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518514000695/novalifestyle10k123113.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518515000622/novalifestyle10k123114.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518516004004/0001185185-16-004004-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518517000929/novalifestyle10k123116.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518518000517/0001185185-18-000517-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518519000485/0001185185-19-000485-index.html,https://www.sec.gov/Archives/edgar/data/1473334/000118518520000605/novalife20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1473334/000118518521000407/0001185185-21-000407-index.htm,https://www.sec.gov/Archives/edgar/data/1473334/000149315222009475/0001493152-22-009475-index.htm
102,false,,,,,,,,,,,,
