,https://roic.ai/company/FTFT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-311984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7834,35000,- -,491910,487103,273229,-1563512,16353688,13178510,21975279,4444019,6652448,28755336,10954055,10489293,10976860,- -,- -,-5431630,6921565
95,Cash Used/Provided by Financing Activities,7834,35000,- -,7991773,587104,273229,-1563512,4836919,1963035,31022511,-3989565,5513790,22016315,-5164679,-60411274,-24102790,-19905302,155970,-5431630,17177874
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,478299,-71311,1224942,2755283,223808,2413669,-162600,1835260,30711693,-308025,390494,21728082,-29024
97,Net Change In Cash,121,12309,-795,7165,-44940,-29838,-83044,11179933,-869671,34945885,11803622,16406271,-10671324,-41758652,24876612,-48863329,3443172,-4332953,408599,9600159
98,Cash at the End of Period,256,12565,11770,158093,113153,83315,271,15274171,14404500,49350385,61154007,77560278,66888954,25130302,50006914,1143585,4586757,253804,662403,9791026
99,Cash at the Beginning of Period,135,256,12565,150928,158093,113153,83315,4094238,15274171,14404500,49350385,61154007,77560278,66888954,25130302,50006914,1143585,4586757,253804,190867
100,Free Cash Flow,-7713,-22691,-795,-7984608,-632044,-308567,1212104,9737293,2886297,2991856,18185807,11260191,-35101308,-36431373,103983097,-52495187,23656500,-4880137,-15887852,-227746
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066923/000118518508000031/entech10ksb9302007.htm,- -,https://www.sec.gov/Archives/edgar/data/1066923/000141588910000060/0001415889-10-000060-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588911000198/0001415889-11-000198-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588912000443/0001415889-12-000443-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588913000552/0001415889-13-000552-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000121390014001898/f10k2013_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390015002243/f10k2014_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390016018959/f10k2015_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390017003881/f10k2016_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390018004539/f10k2017_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390019017066/f10k2018_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390020013926/f10k2019_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390021021762/0001213900-21-021762-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
