,https://roic.ai/company/CVET,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,1944987000,2167970000,2233084000,3361000000,3496000000,3410000000
48,Accounts Payable,- -,341185000,375782000,441453000,520000000,405000000,442000000
49,Short-Term Debt,- -,1103000,3204000,675000,62000000,1000000,32000000
50,Tax Payable,- -,10324000,16301000,16922000,18000000,37000000,24000000
51,Deferred Revenue,- -,- -,- -,- -,- -,28000000,- -
52,Other Current Liabilities,- -,123859000,132600000,130435000,247000000,257000000,224000000
53,Total Current Liabilities,- -,466147000,511586000,572563000,829000000,691000000,698000000
54,Long-Term Debt,- -,25831000,23529000,23529000,1125000000,1068000000,1014000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,15241000,14157000,16372000,47000000,28000000,13000000
57,Other Non-Current Liabilities,- -,359007000,405758000,127003000,104000000,172000000,174000000
58,Total Non-Current Liabilities,- -,400079000,443444000,166904000,1276000000,1268000000,1201000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,866226000,955030000,739467000,2105000000,1959000000,1899000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,-1040000000,-1027000000,-1081000000
65,Other Comprehensive Income/Loss,- -,-100437000,-43036000,-82214000,-86000000,-66000000,-79000000
66,Other Total Stockholders Equity,- -,1128688000,1254940000,1575617000,2381000000,2629000000,- -
67,Total Stockholders Equity,- -,1078761000,1212940000,1493617000,1256000000,1537000000,1511000000
68,Total Liabilities And Stockholders Equity,- -,1944987000,2167970000,2233084000,3361000000,3496000000,3410000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1944987000,2167970000,2233084000,3361000000,3496000000,3410000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1752836/000119312519092756/0001193125-19-092756-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283620000060/0001752836-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283621000041/0001752836-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283622000018/0001752836-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,60324000,70298000,64354000,100861000,-1019000000,-19000000,-54000000
74,Depreciation and Amortization,50301000,55448000,59053000,64100000,176000000,190000000,200000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-32000000,-22000000
76,Stock Based Compensation,5620000,6208000,7220000,7052000,46000000,40000000,46000000
77,Change in Working Capital,-39410000,-99205000,99205000,-51298000,-3042000,229000000,-92000000
78,Accounts Receivable,333000,-13373000,-33941000,-13190000,13000000,-68000000,15000000
79,Inventory,-28971000,-54876000,-23450000,-42607000,-58000000,106000000,-65000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,565340000,466135000,565340000,514042000,511000000,740000000,-59000000
82,Other Non-Cash Items,19280000,72050000,-121641000,37189000,903042000,-355000000,24000000
83,Cash Provided by Operating Activities,96115000,104799000,108191000,157904000,103000000,53000000,102000000
84,CAPEX,-9291000,-12748000,-20665000,-22025000,-39000000,-58000000,-60000000
85,Acquisitions Net,-106270000,-110615000,-108933000,-8166000,-26000000,49000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-81000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,295000,606000,1072000,823000,- -,4000000,1000000
89,Cash Used for Investing Activites,-115266000,-122757000,-128526000,-29368000,-65000000,-5000000,-140000000
90,Debt Repayment,-181000,-373000,-314000,-2104000,-43000000,-312000000,-30000000
91,Common Stock Issued,- -,- -,- -,- -,- -,10000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1174000000,-6000000,- -
94,Other Financing Activites,28359000,20680000,15350000,-117591000,1283000000,412000000,-36000000
95,Cash Used/Provided by Financing Activities,28178000,20307000,15036000,-119695000,66000000,104000000,-66000000
96,Effect of Forex Changes on Cash,-823000,-1654000,2241000,-2173000,3000000,8000000,-3000000
97,Net Change In Cash,8204000,695000,-3058000,6668000,107000000,160000000,-107000000
98,Cash at the End of Period,19019000,19714000,16656000,23324000,130000000,290000000,183000000
99,Cash at the Beginning of Period,10815000,19019000,19714000,16656000,23000000,130000000,290000000
100,Free Cash Flow,86824000,92051000,87526000,135879000,64000000,-5000000,42000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1752836/000119312519092756/0001193125-19-092756-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283620000060/0001752836-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283621000041/0001752836-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283622000018/0001752836-22-000018-index.htm
102,false,,,,,,,
