,https://roic.ai/company/HRBR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-389.5079,-520.3214,-67.4257,-35.3674,-Infinity,-Infinity,-Infinity,-26.0342,- -,- -,- -,- -,- -,- -,0.8802,0.0322,0.3828,0.5875
17,Operating Income,-17870000,-18091000,-25641000,-28063000,-32964000,-25824000,-22607000,-15695000,-6530000,-3803000,- -,- -,- -,- -,- -,- -,-24498000,-20862000,43350000,105169000
18,Operating Income ratio,-Infinity,-Infinity,-407.0000,-501.1250,-74.2432,-40.0372,-Infinity,-Infinity,-Infinity,-26.0479,- -,- -,- -,- -,- -,- -,-0.1018,-0.0791,0.2331,0.4248
19,Total Other Income Expenses (Gains),-21000,-7629000,-33000,-3000000,-8000,-78000,-6000,-69000,-83000,- -,- -,- -,- -,- -,- -,- -,200687000,1970000,-1127000,12878000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3803000,- -,- -,- -,- -,- -,- -,176189000,-18892000,42223000,118047000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26.0479,- -,- -,- -,- -,- -,- -,0.7323,-0.0717,0.2271,0.4768
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5124000,322000,2460000,25421000
23,Net Income,-17502000,-25671000,-24757000,-29441000,-30231000,-23121000,-21565000,-15626000,-6597000,-3803000,- -,- -,- -,- -,- -,- -,181313000,-19214000,39763000,92626000
24,Net Income ratio,-Infinity,-Infinity,-392.9683,-525.7321,-68.0878,-35.8465,-Infinity,-Infinity,-Infinity,-26.0479,- -,- -,- -,- -,- -,- -,0.7536,-0.0729,0.2138,0.3741
25,EPS,-1.35,-1.67,-1.28,-1.46,-1.20,-0.80,-0.74,-0.53,-0.20,-0.11,- -,- -,- -,- -,- -,- -,3.30,-0.35,0.71,1.69
26,EPS Diluted,-1.35,-1.67,-1.28,-1.46,-1.20,-0.80,-0.74,-0.53,-0.20,-0.11,- -,- -,- -,- -,- -,- -,3.27,-0.35,0.56,1.30
27,Weighted Average Shares Outstanding,12932000,15381000,19267000,20125000,25131000,28955000,29060000,29319000,32803000,35459000,- -,- -,- -,- -,- -,- -,54863000,54863000,54863000,54863000
28,Weighted Average Shares Outstanding Diluted,12932000,15381000,19267000,20125000,25131000,28955000,29060000,29319000,32803000,35459000,- -,- -,- -,- -,- -,- -,55422000,54863000,71199000,71199000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899394/000119312512018557/0001193125-12-018557-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/899394/000119312520191135/0001193125-20-191135-index.htm,https://www.sec.gov/Archives/edgar/data/899394/000119312521103375/0001193125-21-103375-index.htm,https://www.sec.gov/Archives/edgar/data/899394/000119312522090061/0001193125-22-090061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13087000,84852000,61991000,45130000,67135000,43215000,24159000,9738000,5923000,1470000,- -,- -,- -,- -,- -,- -,60257000,69454000,130373000,37170000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,4275000,4275000,138370000
33,Cash and Short-Term Investments,13087000,84852000,61991000,45130000,67135000,43215000,24159000,9738000,5923000,1480000,- -,- -,- -,- -,- -,- -,60257000,73729000,134648000,175540000
34,Net Receivables,- -,18000,9000,15000,4000,645000,- -,81000,1000,- -,- -,- -,- -,- -,- -,- -,9514000,5525000,7977000,7422000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8676000,7819000,5937000,- -
36,Other Current Assets,210000,161000,220000,256000,227000,276000,262000,257000,128000,60000,- -,- -,- -,- -,- -,- -,32152000,-2053000,-712000,11341000
37,Total Current Assets,13297000,85031000,62220000,45401000,67366000,44136000,24421000,10076000,6052000,1540000,- -,- -,- -,- -,- -,- -,110599000,85020000,147850000,194303000
38,PP&E,398000,282000,961000,1116000,1051000,892000,641000,176000,44000,7000,- -,- -,- -,- -,- -,- -,158388000,151238000,157973000,143338000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,5300000,5300000,5300000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,5300000,5300000,5300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4275000,4275000,4275000,4275000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533000
44,Other Non-Current Assets,287000,68000,61000,65000,95000,95000,95000,34000,- -,2478000,- -,- -,- -,- -,- -,- -,3101000,26799000,35055000,51652000
45,Total Non-Current Assets,685000,350000,1022000,1181000,1146000,987000,736000,210000,44000,2485000,- -,- -,- -,- -,- -,- -,171064000,187612000,202603000,205098000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13982000,85381000,63242000,46582000,68512000,45123000,25157000,10286000,6096000,4025000,- -,- -,- -,- -,- -,- -,281663000,272632000,350453000,399401000
48,Accounts Payable,2950000,3329000,5008000,7515000,6734000,455000,323000,136000,201000,7000,- -,- -,- -,- -,- -,- -,25079000,16608000,11773000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7198000,19156000,25013000,11030000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,213000,107000,- -
51,Deferred Revenue,- -,- -,- -,193000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7226000,8342000,18443000,9046000
52,Other Current Liabilities,- -,- -,- -,- -,- -,2563000,1629000,1150000,1034000,2846000,- -,- -,- -,- -,- -,- -,17482000,16014000,15213000,69961000
53,Total Current Liabilities,2950000,3329000,5008000,7708000,6734000,3018000,1952000,1286000,1235000,2853000,- -,- -,- -,- -,- -,- -,56985000,60120000,70442000,90037000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113169000,107838000,98461000,72547000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11510000,8086000,38500000,9046000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1855000,2599000,6200000,533000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1409000,16468000,7125000,8478000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127943000,134991000,150286000,90604000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16849000,5712000,- -
61,Total Liabilities,2950000,3329000,5008000,7708000,6734000,3018000,1952000,1286000,1235000,2853000,- -,- -,- -,- -,- -,- -,184928000,195111000,220728000,90604000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,- -
63,Common Stock,130000,193000,193000,208000,290000,291000,292000,294000,355000,355000,- -,- -,- -,- -,- -,- -,555000,555000,555000,555000
64,Retained Earnings,-81420000,-107091000,-131848000,-161289000,-191520000,-214641000,-236206000,-251832000,-258429000,-262232000,- -,- -,- -,- -,- -,- -,-192319000,-211533000,-171770000,-78352000
65,Other Comprehensive Income/Loss,-327000,-434000,-462000,-740000,-990000,-1213000,-1496000,-906000,-273000,- -,- -,- -,- -,- -,- -,- -,-95336000,- -,- -,- -
66,Other Total Stockholders Equity,92649000,189384000,190351000,200695000,253998000,257668000,260615000,261444000,263208000,263049000,- -,- -,- -,- -,- -,- -,383835000,288499000,287740000,283357000
67,Total Stockholders Equity,11032000,82052000,58234000,38874000,61778000,42105000,23205000,9000000,4861000,1172000,- -,- -,- -,- -,- -,- -,96735000,77521000,129725000,205560000
68,Total Liabilities And Stockholders Equity,13982000,85381000,63242000,46582000,68512000,45123000,25157000,10286000,6096000,4025000,- -,- -,- -,- -,- -,- -,281663000,272632000,350453000,296164000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103237000
70,Total Liabilities & Equity,13982000,85381000,63242000,46582000,68512000,45123000,25157000,10286000,6096000,4025000,- -,- -,- -,- -,- -,- -,281663000,272632000,350453000,399401000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899394/000119312512018557/0001193125-12-018557-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/899394/000119312520191135/0001193125-20-191135-index.htm,https://www.sec.gov/Archives/edgar/data/899394/000119312521103375/0001193125-21-103375-index.htm,https://www.sec.gov/Archives/edgar/data/899394/000119312522090061/0001193125-22-090061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-17502000,-25671000,-24757000,-29441000,-30231000,-23121000,-21565000,-15626000,-6597000,-3803000,- -,- -,- -,- -,- -,- -,181313000,-19214000,39763000,92626000
74,Depreciation and Amortization,122000,7745000,218000,303000,294000,309000,315000,208000,21000,2000,- -,- -,- -,- -,- -,- -,22145000,25580000,27222000,26552000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4359000,-744000,3601000,-6045000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2490000,1323000,669000,114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,10347000,71355000,-24490000,-19519000,22939000,-19514000,-18649000,-13679000,-3973000,-6130000,- -,- -,- -,- -,- -,- -,54927000,-28714000,52508000,26858000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1654000,3989000,-2444000,2294000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266000,- -,622000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-132000,-187000,65000,-194000,- -,- -,- -,- -,- -,- -,-3401000,-7706000,-7790000,8287000
81,Other Working Capital,10347000,81702000,57212000,37693000,60632000,41118000,22469000,8790000,4817000,-1313000,- -,- -,- -,- -,- -,- -,53614000,24900000,77408000,104266000
82,Other Non-Cash Items,-10330000,-67478000,27071000,22354000,-19589000,18620000,18416000,13172000,4216000,5315000,- -,- -,- -,- -,- -,- -,-238428000,48638000,-49916000,-45778000
83,Cash Provided by Operating Activities,-17363000,-14049000,-21958000,-26303000,-26587000,-23706000,-18993000,-14602000,-5664000,-4502000,- -,- -,- -,- -,- -,- -,15598000,25546000,73178000,94213000
84,CAPEX,-119000,-4000,-930000,-458000,-237000,-234000,-70000,-9000,- -,- -,- -,- -,- -,- -,- -,- -,-31583000,-21498000,-8749000,-3637000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-267157000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127629000
88,Other Investing Activites,- -,253000,- -,- -,- -,- -,- -,197000,26000,49000,- -,- -,- -,- -,- -,- -,127000,557000,95000,30000
89,Cash Used for Investing Activites,-119000,249000,-930000,-458000,-237000,-234000,-70000,188000,26000,49000,- -,- -,- -,- -,- -,- -,-31456000,-20941000,-8654000,-143135000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7198000,-12845000,-40061000
91,Common Stock Issued,- -,72413000,27000,9900000,48863000,20000,- -,- -,1789000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69454000,- -,-2799000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-759000,-792000
94,Other Financing Activites,2000,13498000,- -,- -,-34000,- -,- -,- -,34000,- -,- -,- -,- -,- -,- -,- -,15199000,81244000,10000000,- -
95,Cash Used/Provided by Financing Activities,2000,85565000,27000,9900000,48829000,20000,- -,- -,1823000,- -,- -,- -,- -,- -,- -,- -,15199000,4592000,-3604000,-43652000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-17480000,71765000,-22861000,-16861000,22005000,-23920000,-19063000,-14414000,-3815000,-4453000,- -,- -,- -,- -,- -,- -,-659000,9197000,60920000,-92574000
98,Cash at the End of Period,13087000,84852000,61991000,45130000,67135000,43215000,24152000,9738000,5923000,1470000,- -,- -,- -,- -,- -,- -,60257000,69454000,131193000,38619000
99,Cash at the Beginning of Period,30567000,13087000,84852000,61991000,45130000,67135000,43215000,24152000,9738000,5923000,- -,- -,- -,- -,- -,- -,60916000,60257000,70273000,131193000
100,Free Cash Flow,-17482000,-14053000,-22888000,-26761000,-26824000,-23940000,-19063000,-14611000,-5664000,-4502000,- -,- -,- -,- -,- -,- -,-15985000,4048000,64429000,90576000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899394/000119312512018557/0001193125-12-018557-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/899394/000119312520191135/0001193125-20-191135-index.htm,https://www.sec.gov/Archives/edgar/data/899394/000119312521103375/0001193125-21-103375-index.htm,https://www.sec.gov/Archives/edgar/data/899394/000119312522090061/0001193125-22-090061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
